num,clean_id,loja_nome,destino_atual,score_atual,wl,vivino_id_atual,vivino_nome_atual,llm
90,2309162,2009 chateau gruaud larose grand cru,A,0.735,5,18117,chateau gruaud larose — saintjulien grand cru classe,W|Chateau Gruaud Larose|Saint-Julien Grand Cru Classé|FR|r|V|Saint-Julien
91,1043667,2009 domaine cecile tremblay vosneromanee vieilles vignes future arrival,A,0.667,3,110055,domaine cecile tremblay — vieilles vignes vosneromanee,W|Domaine Cécile Tremblay|Vosne-Romanée Vieilles Vignes|FR|r|N
92,1349312,2009 domaine de montille corton clos de roi grand cru,A,0.858,6,261054,domaine de montille — corton grand cru clos du roi,W|Domaine de Montille|Corton Clos de Roi Grand Cru|FR|r|V|Corton
93,362118,2009 domaine didier dagueneau pouillyfume silex future arrival,A,0.434,3,107020,didier dagueneau louisbenjamin dagueneau — silex,W|Domaine Didier Dagueneau|Pouilly-Fumé Silex|FR|w|N
94,2933981,2009 fourrier griotteschambertin burgundy,A,0.562,3,40456,domaine fourrier — vieille vigne griotteschambertin grand cru,W|Domaine Fourrier|Griotteschambertin|FR|r|V|Gevrey-Chambertin
95,907604,2009 niepoort lbv porto 37,A,0.815,5,1300198,niepoort — fabelhaft porto lbv,W|Niepoort|LBV Porto|PT|f|V|Port
96,2730504,2009 riesling dobre pole stare pozny zbior mikrosvin mikulov,C2,0.330,2,0,,W|Mikrosvin|Riesling Dobre Pole Stare Pozny Zbior|CZ|w|N
97,1051992,2009 sine qua non the thrill of stamp collecting california,A,0.736,4,136410,sine qua non — the thrill of stamp collecting,W|Sine Qua Non|The Thrill of Stamp Collecting|US|r|N
98,6588,2010 12,D,0,0,0,,X
99,821939,2010 charles melton nine popes gsm,B,0.446,5,0,,W|Charles Melton|Nine Popes GSM|AU|r|V|Barossa Valley
100,912208,2010 chateau duhartmilon pauillac tinto,A,0.790,5,12553,chateau duhartmilon — moulin de duhart pauillac,W|Chateau Duhart-Milon|Pauillac|FR|r|V|Pauillac
101,1829168,2010 chateau hosanna pomerol,A,0.855,6,30783,chateau hosanna — pomerol,W|Chateau Hosanna|Pomerol|FR|r|V|Pomerol
102,2093378,2010 chateau moulin peylabrie canonfronsac,A,0.860,4,72353,chateau moulin peylabrie — chateau moulin canonfronsac,W|Chateau Moulin Peylabrie|Canon-Fronsac|FR|r|V|Canon-Fronsac
103,1683960,2010 domaine comte georges de vogue chambollemusigny,A,0.498,6,1079441,georges blanc — domaine de la cote de nety beaujolaisvillages,W|Domaine Comte Georges de Vogüé|Chambolle-Musigny|FR|r|V|Chambolle-Musigny
104,2980825,2010 domaine fourrier chambollemusigny vieille vigne,A,0.863,4,40452,domaine fourrier — vieille vigne chambollemusigny,W|Domaine Fourrier|Chambolle-Musigny Vieille Vigne|FR|r|V|Chambolle-Musigny
105,2980298,2010 joseph drouhin montrachet grand cru marquis de laguiche,A,0.869,6,112239,joseph drouhin — montrachet grand cru marquis de laguiche,W|Joseph Drouhin|Montrachet Grand Cru Marquis de Laguiche|FR|w|V|Montrachet
106,3627988,2011 chateau potensac medoc,A,0.755,5,14154,chateau potensac — medoc,W|Chateau Potensac|Médoc|FR|r|V|Médoc
107,3625273,2011 domaine tortochot charmeschambertin grand cru,A,0.783,3,340744,domaine tortochot — charmeschambertin grand cru,W|Domaine Tortochot|Charmes-Chambertin Grand Cru|FR|r|V|Gevrey-Chambertin
108,2920885,2012 chateau canon premier grand cru classe b saintemilion grand cru,A,0.848,7,47232,chateau canon — saintemilion grand cru premier grand cru classe,W|Chateau Canon|Premier Grand Cru Classé B Saint-Émilion|FR|r|V|Saint-Émilion
109,1182251,2012 siro pacenti brunello di montalcino pelagrilli,A,0.866,6,275550,siro pacenti — pelagrilli brunello di montalcino,W|Siro Pacenti|Brunello di Montalcino Pelagrilli|IT|r|V|Brunello di Montalcino
110,2930824,2013 joseph phelps backus vineyard cabernet,A,0.492,5,1237311,joseph phelps vineyards — freestone vineyards ovation brut,W|Joseph Phelps Vineyards|Backus Vineyard Cabernet|US|r|V|Napa Valley
111,1179400,2013 littorai hirsch pinot noir sonoma coast,A,0.701,7,29717,littorai — hirsch vineyard pinot noir,W|Littorai Wines|Hirsch Pinot Noir|US|r|V|Sonoma Coast
112,2740555,2013 loupiac chateau du vieux moulin,B,0.433,5,0,,W|Chateau du Vieux Moulin|Loupiac|FR|w|V|Loupiac
113,915762,2013 quinta da pellada casa tinto,A,0.847,5,73545,quinta da pellada — tinto,W|Quinta da Pellada|Casa Tinto|PT|r|V|Dão
114,1830747,2013 tua rita redigaffi rossoditoscana igt,A,0.665,3,16478,tua rita — redigaffi toscana,W|Tua Rita|Redigaffi|IT|r|V|Toscana IGT
115,1065738,2013 verite le desir sonoma county,A,0.575,5,5574,verite — le desir,W|Verité|Le Désir|US|r|V|Sonoma County
116,497934,2014 chateau gazin,A,0.813,6,536270,chateau gazin — graves,W|Chateau Gazin|Pomerol|FR|r|V|Pomerol
117,3057951,2014 chateau la mission hautbrion blanc pessacleognan future arrival,A,0.661,5,677740,chateau la mission hautbrion — pessacleognan blanc grand cru classe de graves,W|Chateau La Mission Haut-Brion|Blanc Pessac-Léognan|FR|w|N
118,313710,2014 domaine faiveley corton grand cru clos des cortons faiveley future arrival,A,0.635,5,13853,faiveley — corton clos des cortons faiveley grand cru monopole,W|Domaine Faiveley|Corton Grand Cru Clos des Cortons Faiveley|FR|r|N
119,1171336,2014 domaine francois lamarche grands echezeaux grand cru,A,0.670,6,110902,domaine nicole lamarche francois lamarche — echezeaux grand cru,W|Domaine François Lamarche|Grands Échezeaux Grand Cru|FR|r|V|Vosne-Romanée
120,645323,2014 gutturnio vignamorello superiore rosso la tosa 6er paket,A,0.346,2,317956,la tosa — vignamorello gutturnio superiore,W|La Tosa|Gutturnio Vignamorello Superiore Rosso|IT|r|N
121,1654560,2014 hoffmann rathbone rose reserve england,A,0.567,6,1136565,hoffmann rathbone — pinot noir,W|Hoffmann & Rathbone|Rose Reserve|GB|s|N
122,3573800,2014 opus one,A,0.967,4,290866,opus one — opus one,W|Opus One|Opus One|US|r|V|Napa Valley
123,2927682,2014 sine qua non piranha waterdance syrah,A,0.713,4,720425,sine qua non — piranha waterdance,W|Sine Qua Non|Piranha Waterdance Syrah|US|r|N
124,3095583,2015 beringer vineyards private reserve cabernet sauvignon napa valley usa,A,0.713,7,762320,beringer — premiere napa valley cabernet sauvignon,W|Beringer Vineyards|Private Reserve Cabernet Sauvignon|US|r|V|Napa Valley
125,989419,2015 bodegas y vinedos alnardo psi ribera del duero do future arrival,B,0.415,5,0,,W|Bodegas y Viñedos Alnardo|PSI|ES|r|N
126,3662537,2015 cg paris chiroubles vieilles vignes,A,0.599,3,729289,christine et gilles paris — vieilles vignes chiroubles,W|CG Paris|Chiroubles Vieilles Vignes|FR|r|N
127,501125,2015 chateau beychevelle saint julian 4eme cru classe,A,0.567,7,12503,chateau beychevelle — saintjulien grand cru classe,W|Chateau Beychevelle|Saint-Julien 4eme Cru Classé|FR|r|V|Saint-Julien
128,1060473,2015 chateau dyquem premier cru superieur sauternes,A,0.626,5,1333959,chateau dyquem — sauternes dyquem,W|Chateau d'Yquem|Premier Cru Supérieur Sauternes|FR|w|V|Sauternes
129,1919988,2015 chateau leoville barton 2eme cru classe saintjulien,A,0.751,7,12087,chateau leoville barton — saintjulien grand cru classe,W|Chateau Léoville Barton|2eme Cru Classé Saint-Julien|FR|r|V|Saint-Julien
130,3626049,2015 dom perignon,A,0.837,4,21557,dom perignon — brut champagne,W|Dom Pérignon|Vintage Brut|FR|s|V|Champagne
131,630270,2015 domaine armand rousseau ruchotteschambertin grand cru clos des ruchottes,A,0.870,4,22366,domaine armand rousseau — ruchotteschambertin grand cru clos des ruchottes,W|Domaine Armand Rousseau|Gevrey-Chambertin Grand Cru Clos des Ruchottes|FR|r|V|Gevrey-Chambertin
132,1830221,2015 domaine georges roumier chambolle musigny les cras premier cru,A,0.626,5,28163,domaine g roumier — chambollemusigny 1er cru les cras,W|Domaine Georges Roumier|Chambolle-Musigny Les Cras Premier Cru|FR|r|V|Chambolle-Musigny
133,2213972,2015 domaine parent corton grand cru les renardes,A,0.855,6,268095,parent — corton grand cru les renardes,W|Domaine Parent|Corton Grand Cru Les Renardes|FR|r|V|Corton
134,3016294,2015 grasso tiziano barolo briccolina future arrival,A,0.641,4,725076,grasso tiziano — briccolina barolo,W|Grasso Tiziano|Barolo Briccolina|IT|r|N
135,1006048,2015 la spinetta barbaresco gallina vursu future arrival,A,0.629,4,1501134,la spinetta — vursu barbaresco gallina riserva,W|La Spinetta|Barbaresco Gallina Vursu|IT|r|N
136,821980,2015 pol roger cuvee sir winston churchill,A,0.841,6,1664798,pol roger — cuvee sir winston churchill vinotheque brut,W|Pol Roger|Cuvée Sir Winston Churchill|FR|s|V|Champagne
137,2792579,2015 pride merlot,A,0.813,5,1370771,peppers pride — merlot,W|Pride Mountain Vineyards|Merlot|US|r|V|Napa Valley
138,1340212,2015 quinta dos murcas vv47,A,0.860,6,795804,quinta dos murcas — vv47,W|Quinta dos Murças|VV47|PT|r|V|Douro
139,916247,2015 schloss gobelsburg heiligenstein riesling branco,A,0.703,5,306324,schloss gobelsburg — ried heiligenstein 1 otw,W|Schloss Gobelsburg|Heiligenstein Riesling Branco|AT|w|V|Kamptal
140,3033230,2016 15 gaja sperss barolo 2016,A,0.510,2,14785,gaja — sperss barolo,W|Gaja|Sperrs Barolo|IT|r|V|Barolo
141,1769412,2016 august kesseler assmannshauser hollenberg spatburgunder trocken,A,0.866,4,368674,august kesseler — assmannshauser hollenberg spatburgunder trocken,W|August Kesseler|Assmannshauser Hollenberg Spätburgunder Trocken|DE|r|V|Rheingau
142,144003,2016 chateau beychevelle saintjulien bordeaux,A,0.683,5,43612,chateau beychevelle — amiral de beychevelle saintjulien,W|Chateau Beychevelle|Saint-Julien Bordeaux|FR|r|V|Saint-Julien
143,3198851,2016 chateau cos destournel saintestephe bordeaux france,A,0.462,6,401281,chateau la rose saintestephe — cuvee prestige saintestephe,W|Chateau Cos d'Estournel|Saint-Estèphe Bordeaux|FR|r|V|Saint-Estèphe
144,762518,2016 chateau de pulignymontrachet chassagnemontrachet,B,0.395,6,0,,W|Chateau de Puligny-Montrachet|Chassagne-Montrachet|FR|w|V|Chassagne-Montrachet
145,1042750,2016 chateau des tours cotes du rhone rouge future arrival,A,0.711,5,1558789,chateau des tours — grande reserve cotes du rhone rouge,W|Chateau des Tours|Côtes du Rhône Rouge|FR|r|N
146,3097806,2016 chateau fontaine semisweet white riesling leelanau peninsula usa,A,0.324,4,235976,silver leaf — leelanau peninsula riesling semisweet,W|Chateau Fontaine|Semisweet White Riesling|US|w|N
147,3192893,2016 claudio quarta taurasi campania italy,A,0.690,4,1532183,claudio quarta — taurasi,W|Claudio Quarta|Taurasi|IT|r|V|Taurasi
148,755837,2016 domaine heitzlochardet pommard premier cru les rugiens,A,0.559,3,1117142,chateau de pommard — clos mareymonge les paules pommard,W|Domaine Heitz-Lochardet|Pommard Premier Cru Les Rugiens|FR|r|V|Pommard
149,1427618,2016 dumol chardonnay isobel russian river valley,A,0.713,5,9758,dumol — russian river valley chardonnay,W|Dumol|Chardonnay Isobel|US|w|V|Russian River Valley
150,2606799,2016 folie de chauvin saintemilion grand cru,A,0.525,6,1280178,vent de folie — rouge,W|Chateau de Fontaine|Saint-Émilion Grand Cru|FR|r|N
151,165131,2016 frederic cossard bourgogne bedeau,A,0.458,6,1288976,la cave de bourgogne — aloxecorton,W|Frederic Cossard|Bourgogne Bedeau|FR|r|V|Bourgogne
152,3624134,2016 gaja barolo sperss,A,0.600,5,1129941,gaja — conteisa barolo,W|Gaja|Barolo Sperss|IT|r|V|Barolo
153,917132,2016 herdade do freixo sauvignon blanc branco,A,0.576,5,1388806,herdade do freixo — special edition rose,W|Herdade do Freixo|Sauvignon Blanc|PT|w|V|Alentejo
154,3158616,2016 lodali barolo bricco ambrogio,A,0.780,5,402701,lodali — bricco ambrogio barolo,W|Lodali|Barolo Bricco Ambrogio|IT|r|V|Barolo
155,3661581,2016 marchesi di barolo barolo riserva,A,0.780,5,834,marchesi di barolo — barolo riserva,W|Marchesi di Barolo|Barolo Riserva|IT|r|V|Barolo
156,917780,2016 quinta nova grainha reserva tinto,A,0.666,3,110794,quinta nova de nossa senhora do carmo — grainha reserva,W|Quinta Nova|Grainha Reserva Tinto|PT|r|V|Douro
157,448500,2016 tierra del itata chile,A,0.595,4,1316939,tierra del condor — torrontes,W|??|??|CL|r|N
158,532706,2017 brunello di montalcino docg,C2,0.368,2,0,,W|??|Brunello di Montalcino DOCG|IT|r|N
159,3011593,2017 chateau la grave pomerol future arrival,B,0.414,5,0,,W|Chateau La Grave|Pomerol|FR|r|V|Pomerol
160,1907431,2017 chateau lafleurgazin pomerol,A,0.855,6,30363,chateau lafleurgazin — pomerol,W|Chateau Lafleur-Gazin|Pomerol|FR|r|V|Pomerol
161,516557,2017 clos marsalette rouge 6 pack,A,0.612,5,12543,clos marsalette — pessacleognan,W|Clos Marsalette|Rouge|FR|r|V|Pessac-Léognan
162,3046792,2017 domaine christian clerget echezeaux grand cru en orveaux future arrival,A,0.656,5,1521503,domaine christian clerget — echezeaux grand cru en orveaux,W|Domaine Christian Clerget|Echezeaux Grand Cru En Orveaux|FR|r|V|Echezeaux
163,2527855,2017 domaine pattes loup vent d ange chablis,A,0.685,5,340065,domaine pattes loup — chablis vent dange,W|Domaine Pattes Loup|Vent d'Ange Chablis|FR|w|V|Chablis
164,2529668,2017 don young vines pinot noir,A,0.513,4,1646627,kelley young — pinot noir,W|Don Young Vines|Pinot Noir|??|r|N
165,350885,2017 elvio cogno barolo ravera,A,0.840,6,11251,elvio cogno — barolo ravera,W|Elvio Cogno|Barolo Ravera|IT|r|V|Barolo
166,882461,2017 guiborat de caures a montaigu champagne,A,0.863,6,1403933,guiborat — de caures montaigu champagne,W|Guiborat de Caures|A Montaigu Champagne|FR|s|V|Champagne
167,3059658,2017 joseph faiveley meursault premier cru charmes future arrival,A,0.461,4,578220,chateau de meursault — meursault premier cru les charmes dessus,W|Joseph Faiveley|Meursault Premier Cru Charmes|FR|w|V|Meursault
168,2960044,2017 julian haart piesporter goldtropfchen riesling mosel,A,0.482,4,18726,reuscher haart — piesporter goldtropfchen riesling spatlese,W|Julian Haart|Piesporter Goldtröpfchen Riesling|DE|w|V|Mosel
169,970733,2017 la muse magnum,A,0.475,3,1255752,magnum — gran reserva carmenere,W|??|La Muse|??|??|N
170,3046586,2017 marie courtin efflorescence extra brut future arrival,C2,0.233,2,0,,W|Marie Courtin|Efflorescence Extra Brut|FR|s|V|Champagne
171,764805,2017 olivier leflaive pulignymontrachet les enseigneres,A,0.553,3,1116052,domaine leflaive — leflaive associes pulignymontrachet,W|Olivier Leflaive|Puligny-Montrachet Les Enseigneres|FR|w|V|Puligny-Montrachet
172,138352,2017 pierre yves colinmorey puligny montrachet burgundy,A,0.498,6,1106914,pierreyves colinmorey — puligny montrachet,W|Pierre-Yves Colin-Morey|Puligny Montrachet|FR|w|V|Puligny-Montrachet
173,947046,2017 quinta maria izabel bastardo tinto,A,0.863,5,1153179,quinta maria izabel — bastardo tinto,W|Quinta Maria Izabel|Bastardo Tinto|PT|r|V|Bairrada
174,3056091,2017 realm cellars moonracer napa valley future arrival,A,0.475,2,778639,realm — moonracer,W|Realm Cellars|Moonracer Napa Valley|US|r|V|Napa Valley
175,1545674,2017 riesling trocken grenzganger weingut stein,A,0.347,4,1482686,stein — grenzganger riesling trocken,W|Weingut Stein|Riesling Trocken Grenzganger|DE|w|V|Pfalz
