Aqui está a classificação e extração dos dados conforme solicitado:

W|domaine des marnes blanches|cotes du jura trousseau|fr|r|trousseau|jura|cotes du jura|2023|13|AOC|medio|carne vermelha, queijo|seco
W|domaine deugenie|chassagne montrachet les perclos|fr|w|chardonnay|bourgogne|chassagne-montrachet|les perclos|2023|13.5|AOC|encorpado|frutos do mar, peixe|seco|=38
W|domaine deugenie|chassagne montrachet les perclos|fr|w|chardonnay|bourgogne|chassagne-montrachet|les perclos|2023|13.5|AOC|encorpado|frutos do mar, peixe|seco|=38
W|domaine deugenie|chassagne montrachet les perclos|fr|w|chardonnay|bourgogne|chassagne-montrachet|les perclos|2023|13.5|AOC|encorpado|frutos do mar, peixe|seco|=38
W|domaine deugenie|montrachet grand cru|fr|w|chardonnay|bourgogne|montrachet|2023|14|Grand Cru|encorpado|frutos do mar, peixe|seco
W|domaine deugenie|montrachet grand cru|fr|w|chardonnay|bourgogne|montrachet|2023|14|Grand Cru|encorpado|frutos do mar, peixe|seco|=42
W|domaine deugenie|vosne romanee 1er cru aux brulees|fr|r|pinot noir|bourgogne|vosne-romanee|aux brulees|2023|13.5|1er Cru|encorpado|carne vermelha, aves|seco
W|domaine deugenie|vosne romanee clos deugenie|fr|r|pinot noir|bourgogne|vosne-romanee|clos deugenie|2023|13.5|??|encorpado|carne vermelha, aves|seco
W|domaine deugenie|vosne romanee clos deugenie|fr|r|pinot noir|bourgogne|vosne-romanee|clos deugenie|2023|13.5|??|encorpado|carne vermelha, aves|seco|=45
W|domaine deugenie|vosne romanee clos deugenie|fr|r|pinot noir|bourgogne|vosne-romanee|clos deugenie|2023|13.5|??|encorpado|carne vermelha, aves|seco|=45
W|domaine deugenie|vosne romanee clos deugenie|fr|r|pinot noir|bourgogne|vosne-romanee|clos deugenie|2023|13.5|??|encorpado|carne vermelha, aves|seco|=45
W|domaine deugenie|vosne romanee 1er cru aux brulees|fr|r|pinot noir|bourgogne|vosne-romanee|aux brulees|2023|13.5|1er Cru|encorpado|carne vermelha, aves|seco|=44
W|domaine deugenie|vosne romanee 1er cru aux brulees|fr|r|pinot noir|bourgogne|vosne-romanee|aux brulees|2023|13.5|1er Cru|encorpado|carne vermelha, aves|seco|=44
W|domaine deugenie|vosne romanee 1er cru aux brulees|fr|r|pinot noir|bourgogne|vosne-romanee|aux brulees|2023|13.5|1er Cru|encorpado|carne vermelha, aves|seco|=44
W|domaine deugenie|vosne romanee village|fr|r|pinot noir|bourgogne|vosne-romanee|??|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine dexaie|alto alberche|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco
W|domaine dexaie|alto alberche|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco|=53
W|domaine dexaie|alto alberche|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco|=53
W|domaine dexaie|alto alberche|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco|=53
W|domaine dexaie|la camilleja|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco
W|domaine dexaie|la camilleja|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco|=57
W|domaine dexaie|la camilleja|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco|=57
W|domaine dexaie|la camilleja|es|r|garnacha|sierra de gredos|cebreros|2023|14|DO|medio|carne vermelha, queijo|seco|=57
W|domaine dhomme|savennieres les fougerais|fr|w|chenin blanc|loire|savennieres|les fougerais|2023|13.5|AOC|medio|frutos do mar, peixe|seco
W|domaine didier dagueneau|vin de france pur sang|fr|w|sauvignon blanc|??|??|2023|13|??|medio|frutos do mar, peixe|seco
W|domaine didier fornerol|cote de nuits villages|fr|r|pinot noir|bourgogne|cote de nuits|??|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine didon|bourgogne blanc|fr|w|chardonnay|bourgogne|??|2023|13|AOC|leve|frutos do mar, peixe|seco
W|domaine didon|bourgogne gamay|fr|r|gamay|bourgogne|??|2023|12.5|AOC|leve|charcutaria, queijo|seco
W|domaine diochon|cuvee vieilles vignes moulin a vent|fr|r|gamay|beaujolais|moulin-a-vent|??|2023|13|AOC|encorpado|carne vermelha, queijo|seco
W|domaine diochon|moulin a vent|fr|r|gamay|beaujolais|moulin-a-vent|??|2023|13|AOC|encorpado|carne vermelha, queijo|seco
W|domaine dominique et janine crochet|sancerre|fr|w|sauvignon blanc|loire|sancerre|??|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine dominique et janine crochet|sancerre rouge le champ chene|fr|r|pinot noir|loire|sancerre|??|2023|13|AOC|medio|carne vermelha, aves|seco
W|domaine donatsch|malans unique chardonnay|ch|w|chardonnay|graubunden|malans|??|2023|13.5|??|medio|frutos do mar, peixe|seco
W|domaine donatsch|malans unique chardonnay|ch|w|chardonnay|graubunden|malans|??|2023|13.5|??|medio|frutos do mar, peixe|seco|=70
W|domaine donatsch|passion pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13.5|??|medio|carne vermelha, aves|seco
W|domaine donatsch|passion pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13.5|??|medio|carne vermelha, aves|seco|=72
W|domaine donatsch|passion pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13.5|??|medio|carne vermelha, aves|seco|=72
W|domaine donatsch|passion pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13.5|??|medio|carne vermelha, aves|seco|=72
W|domaine donatsch|pinot blanc weissburgunder|ch|w|pinot blanc|graubunden|??|??|2023|13|??|leve|frutos do mar, peixe|seco
W|domaine donatsch|pinot blanc weissburgunder|ch|w|pinot blanc|graubunden|??|??|2023|13|??|leve|frutos do mar, peixe|seco|=76
W|domaine donatsch|tradition pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13|??|medio|carne vermelha, aves|seco
W|domaine donatsch|tradition pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13|??|medio|carne vermelha, aves|seco|=78
W|domaine donatsch|tradition pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13|??|medio|carne vermelha, aves|seco|=78
W|domaine donatsch|tradition pinot noir|ch|r|pinot noir|graubunden|??|??|2023|13|??|medio|carne vermelha, aves|seco|=78
W|domaine doreau|pommard les vignots|fr|r|pinot noir|bourgogne|pommard|les vignots|2023|13.5|AOC|medio|carne vermelha, aves|seco
W|domaine doreau|saint romain sous roche|fr|w|chardonnay|bourgogne|saint-romain|sous roche|2023|13|AOC|medio|frutos do mar, peixe|seco
W|domaine douhairet porcheret|monthelie blanc cuvee miss armande|fr|w|chardonnay|bourgogne|monthelie|??|2023|13.5|AOC|medio|frutos do mar, peixe|seco
W|domaine dourea|vacqueyras rouge|fr|r|grenache, syrah|rhone valley|vacqueyras|??|2023|14.5|AOC|encorpado|carne vermelha, churrasco|seco
W|domaine drouhin laroze|bonnes mares grand cru|fr|r|pinot noir|bourgogne|bonnes-mares|??|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco
W|domaine drouhin laroze|bonnes mares grand cru|fr|r|pinot noir|bourgogne|bonnes-mares|??|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=86
W|domaine drouhin laroze|bonnes mares grand cru|fr|r|pinot noir|bourgogne|bonnes-mares|??|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=86
W|domaine drouhin laroze|chambertin clos de beze grand cru|fr|r|pinot noir|bourgogne|chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco
W|domaine drouhin laroze|chambertin clos de beze grand cru|fr|r|pinot noir|bourgogne|chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=89
W|domaine drouhin laroze|chambertin clos de beze grand cru|fr|r|pinot noir|bourgogne|chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=89
W|domaine drouhin laroze|chapelle chambertin grand cru|fr|r|pinot noir|bourgogne|chambertin|chapelle-chambertin|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco
W|domaine drouhin laroze|chapelle chambertin grand cru|fr|r|pinot noir|bourgogne|chambertin|chapelle-chambertin|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=92
W|domaine drouhin laroze|chapelle chambertin grand cru|fr|r|pinot noir|bourgogne|chambertin|chapelle-chambertin|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=92
W|domaine drouhin laroze|gevreychambertin premier cru au closeau|fr|r|pinot noir|bourgogne|gevreychambertin|au closeau|2023|13.5|1er Cru|medio|carne vermelha, aves|seco
W|domaine drouhin laroze|gevreychambertin premier cru au closeau|fr|r|pinot noir|bourgogne|gevreychambertin|au closeau|2023|13.5|1er Cru|medio|carne vermelha, aves|seco|=95
W|domaine drouhin laroze|gevreychambertin premier cru au closeau|fr|r|pinot noir|bourgogne|gevreychambertin|au closeau|2023|13.5|1er Cru|medio|carne vermelha, aves|seco|=95
W|domaine drouhin laroze|latricieres chambertin grand cru|fr|r|pinot noir|bourgogne|chambertin|latricieres-chambertin|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco
W|domaine drouhin laroze|latricieres chambertin grand cru|fr|r|pinot noir|bourgogne|chambertin|latricieres-chambertin|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=98
W|domaine drouhin laroze|latricieres chambertin grand cru|fr|r|pinot noir|bourgogne|chambertin|latricieres-chambertin|2023|14|Grand Cru|encorpado|carne vermelha, aves|seco|=98

Se precisar do restante da lista ou de ajustes, é só avisar!
