Aqui está a classificação e extração de dados conforme solicitado:

W|cascina pennacurrado|barbera dalba carra|it|r|barbera|piedmont|dalba|2022|13.5|DOC|medio|carne vermelha, queijo|seco
W|cascina pugnane|pugnane barolo|it|r|nebbiolo|piedmont|barolo||2019|14.5|DOCG|encorpado|carne vermelha, trufas|seco|=44
W|cascina radice|attimi di barbera|it|r|barbera|piedmont|||2023|13|DOC|medio|carne vermelha, queijo|seco
W|cascina radice|aulico gavi di gavi|it|w|cortese|piedmont|gavi||NV|12.5|DOCG|leve|frutos do mar, peixe|seco
W|cascina radice|barolo|it|r|nebbiolo|piedmont|barolo|poiana|NV|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina radice|gavi|it|w|cortese|piedmont|gavi||NV|12.5|DOCG|leve|frutos do mar, peixe|seco
W|cascina radice|il tempo che passa barbera dasti superiore barrique|it|r|barbera|piedmont|asti||NV|14|DOCG|encorpado|carne vermelha, queijo|seco
W|cascina radice|immenso gavi|it|w|cortese|piedmont|gavi||NV|12.5|DOCG|leve|frutos do mar, peixe|seco
W|cascina radice|nibbio barbaresco|it|r|nebbiolo|piedmont|barbaresco||2017|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina radice|perla nizza barrique|it|r|barbera|piedmont|nizza||NV|14|DOCG|encorpado|carne vermelha, queijo|seco
W|cascina radice|poiana barolo|it|r|nebbiolo|piedmont|barolo|poiana|NV|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina radice|poiana barolo|it|r|nebbiolo|piedmont|barolo|poiana|2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina radice|poiana barolo|it|r|nebbiolo|piedmont|barolo|poiana|2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco|=56
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2013|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2018|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2019|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2019|14|DOCG|encorpado|carne vermelha, trufas|seco|=60
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2021|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2021|14|DOCG|encorpado|carne vermelha, trufas|seco|=62
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2021|14|DOCG|encorpado|carne vermelha, trufas|seco|=62
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2017|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2017|14|DOCG|encorpado|carne vermelha, trufas|seco|=65
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2020|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2020|14|DOCG|encorpado|carne vermelha, trufas|seco|=67
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2021|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|barbaresco|it|r|nebbiolo|piedmont|barbaresco||2021|14|DOCG|encorpado|carne vermelha, trufas|seco|=69
W|cascina roccalini|barbaresco riserva|it|r|nebbiolo|piedmont|barbaresco||2013|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|roccalini barbaresco|it|r|nebbiolo|piedmont|barbaresco||NV|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roccalini|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2022|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina roccalini|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2023|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina roccalini|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2023|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina roccalini|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2023|13.5|DOC|medio|carne vermelha, trufas|seco|=75
W|cascina roccalini|roccalini barbaresco|it|r|nebbiolo|piedmont|barbaresco||2021|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina roera|cardin|it|r|??|piedmont|||2019|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|cardin|it|r|??|piedmont|||2019|13.5|IGT|medio|carne vermelha, queijo|seco|=78
W|cascina roera|cardin vdt|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|ciapin|it|r|??|piedmont|||2018|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|cuvette dounghette|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|gallega|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|la cuvette dounghette|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|la cuvette dounghette vdt|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|la pivetta vdt|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|la roera|it|r|??|piedmont|||2018|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|la roera barbera|it|r|barbera|piedmont|||2021|13|DOC|medio|carne vermelha, queijo|seco
W|cascina roera|la roera barbera dasti|it|r|barbera|piedmont|asti||NV|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina roera|le aie|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|piva|it|r|??|piedmont|||2017|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|piva|it|r|??|piedmont|||2018|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|san martino|it|r|??|piedmont|||2011|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|zero|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|zero 21|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina roera|zero19|it|r|??|piedmont|||2019|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina s maria|bianco amabile lambrusco dellemilia|it|s|lambrusco|emilia-romagna|||NV|11|DOC|leve|aperitivo, queijo|demi-sec
W|cascina s maria|lambrusco|it|s|lambrusco|emilia-romagna|||NV|11|DOC|leve|aperitivo, queijo|demi-sec
X
W|cascina san michele|barbera dasti primevi|it|r|barbera|piedmont|asti||2020|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina san michele|barbera dasti primevi|it|r|barbera|piedmont|asti||2021|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina san michele|barbera dasti superiore|it|r|barbera|piedmont|asti||2018|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cascina san michele|eteronimo bianco|it|w|??|piedmont|||2021|12.5|IGT|leve|frutos do mar, peixe|seco
W|cascina san michele|la briccona vino rosso|it|r|??|piedmont|||2018|13|IGT|medio|carne vermelha, queijo|seco
W|cascina san michele|la briccona vino rosso|it|r|??|piedmont|||2018|13|IGT|medio|carne vermelha, queijo|seco|=104
W|cascina san michele|monferrato rosso|it|r|??|piedmont|monferrato||2018|13|DOC|medio|carne vermelha, queijo|seco
W|cascina san michele|monferrato rosso|it|r|??|piedmont|monferrato||2018|13|DOC|medio|carne vermelha, queijo|seco|=106
W|cascina san michele|primevigne barbera dasti|it|r|barbera|piedmont|asti||2020|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina san michele|primevigne barbera dasti|it|r|barbera|piedmont|asti||2020|13|DOCG|medio|carne vermelha, queijo|seco|=108
W|cascina san michele|primevigne barbera dasti|it|r|barbera|piedmont|asti||2020|13|DOCG|medio|carne vermelha, queijo|seco|=108
W|cascina san michele|primevigne barbera dasti|it|r|barbera|piedmont|asti||2020|13|DOCG|medio|carne vermelha, queijo|seco|=108
W|cascina san michele|sciardese vino bianco|it|w|??|piedmont|||2019|12.5|IGT|leve|frutos do mar, peixe|seco
W|cascina san michele|sciardese vino bianco|it|w|??|piedmont|||2019|12.5|IGT|leve|frutos do mar, peixe|seco|=112
W|cascina san pietro|franciacorta brut|it|s|??|lombardy|franciacorta||NV|12.5|DOCG|leve|aperitivo, frutos do mar|brut
W|cascina san pietro|franciacorta brut|it|s|??|lombardy|franciacorta||NV|12.5|DOCG|leve|aperitivo, frutos do mar|brut|=114
W|cascina san pietro|franciacorta brut|it|s|??|lombardy|franciacorta||NV|12.5|DOCG|leve|aperitivo, frutos do mar|brut|=114
W|cascina san pietro|franciacorta brut saten|it|s|??|lombardy|franciacorta||NV|12.5|DOCG|leve|aperitivo, frutos do mar|brut
W|cascina san pietro|franciacorta pas dose cuvee terre dei trici|it|s|??|lombardy|franciacorta||2019|12.5|DOCG|leve|aperitivo, frutos do mar|brut
W|cascina san pietro|franciacorta pas dose cuvee terre dei trici|it|s|??|lombardy|franciacorta||2019|12.5|DOCG|leve|aperitivo, frutos do mar|brut|=118
W|cascina san pietro|franciacorta pas dose cuvee terre dei trici|it|s|??|lombardy|franciacorta||2019|12.5|DOCG|leve|aperitivo, frutos do mar|brut|=118
W|cascina schiavenza|barolo serralunga dalba|it|r|nebbiolo|piedmont|barolo|serralunga dalba|NV|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina smaria|lambrusco bianco|it|s|lambrusco|emilia-romagna|||NV|11|DOC|leve|aperitivo, queijo|demi-sec
W|cascina sot|barolo del comune di monforte dalba|it|r|nebbiolo|piedmont|barolo|monforte dalba|2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina sot|barolo del comune di monforte dalba|it|r|nebbiolo|piedmont|barolo|monforte dalba|2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco|=123
W|cascina sot|barolo del comune di monforte dalba|it|r|nebbiolo|piedmont|barolo|monforte dalba|2018|14.5|DOCG|encorpado|carne vermelha, trufas|seco|=123
X
W|cascina sot|chardonnay|it|w|chardonnay|piedmont|||2023|13|IGT|medio|frutos do mar, peixe|seco
W|cascina sot|langhe nascetta|it|w|nascetta|piedmont|langhe||2022|13|DOC|medio|frutos do mar, peixe|seco
W|cascina sot|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2020|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina sot|langhe nebbiolo|it|r|nebbiolo|piedmont|langhe||2022|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina sot|piemonte chardonnay|it|w|chardonnay|piedmont|||2023|13|IGT|medio|frutos do mar, peixe|seco
W|cascina sot|rosato tramonto|it|p|??|piedmont|||2022|12.5|IGT|leve|salada, peixe|seco
W|cascina sot|tramonto vino rosato|it|p|??|piedmont|||2022|12.5|IGT|leve|salada, peixe|seco|=132
W|cascina tavijin|vino rosso|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|68 rosso|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|68 vino rosso|it|r|??|piedmont|||2019|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|bandita|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|bandita|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco|=137
W|cascina tavijn|bandita|it|r|??|piedmont|||2019|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|bandita|it|r|??|piedmont|||2019|13|IGT|medio|carne vermelha, queijo|seco|=139
W|cascina tavijn|bandita|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|bandita|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco|=141
W|cascina tavijn|bandita|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|bandita barbera|it|r|barbera|piedmont|||2016|13|DOC|medio|carne vermelha, queijo|seco
W|cascina tavijn|barbera b|it|r|barbera|piedmont|||2020|13|DOC|medio|carne vermelha, queijo|seco
W|cascina tavijn|bianca|it|w|??|piedmont|||NV|12.5|IGT|leve|frutos do mar, peixe|seco
W|cascina tavijn|bianca|it|w|??|piedmont|||2023|12.5|IGT|leve|frutos do mar, peixe|seco
W|cascina tavijn|la grande teresa|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|little teresa|it|r|??|piedmont|||2020|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|little teresa|it|r|??|piedmont|||2020|13|IGT|medio|carne vermelha, queijo|seco|=149
W|cascina tavijn|mostro|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|nadia verrua ottavio|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|nadia verrua rosetta|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|nadia verrua teresa|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|nadia verrua teresa|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|nadia verrua vino rosso|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|nadia verrua vino rosso|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ottavio|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ottavio|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco|=158
W|cascina tavijn|ottavio|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ottavio|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco|=160
W|cascina tavijn|ottavio|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ottavio|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ottavio|it|r|??|piedmont|||2023|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ottavio|it|r|??|piedmont|||2023|13.5|IGT|medio|carne vermelha, queijo|seco|=164
W|cascina tavijn|rosso 68|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|rosso 68|it|r|??|piedmont|||2021|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ruschena|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ruschena|it|r|??|piedmont|||2021|13.5|IGT|medio|carne vermelha, queijo|seco|=168
W|cascina tavijn|ruschena|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|ruschena|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco|=170
W|cascina tavijn|teresa|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|teresa|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|teresa|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco|=173
W|cascina tavijn|teresa|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|teresa|it|r|??|piedmont|||2023|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|teresa|it|r|??|piedmont|||2023|13.5|IGT|medio|carne vermelha, queijo|seco|=176
W|cascina tavijn|teresa|it|r|??|piedmont|||2023|13.5|IGT|medio|carne vermelha, queijo|seco|=176
W|cascina tavijn|teresa la grande|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|teresa la grande|it|r|??|piedmont|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|teresa ruche|it|r|ruche|piedmont|||2017|13.5|DOC|medio|carne vermelha, queijo|seco
W|cascina tavijn|toc 1|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|toc 1|it|r|??|piedmont|||2022|13.5|IGT|medio|carne vermelha, queijo|seco|=182
W|cascina tavijn|toc 1|it|r|??|piedmont|||2023|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso|it|r|??|piedmont|||2018|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso|it|r|??|piedmont|||2018|13|IGT|medio|carne vermelha, queijo|seco|=186
W|cascina tavijn|vino rosso|it|r|??|piedmont|||2020|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso|it|r|??|piedmont|||2020|13|IGT|medio|carne vermelha, queijo|seco|=188
W|cascina tavijn|vino rosso|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco|=190
W|cascina tavijn|vino rosso 68|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso 68|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco|=192
W|cascina tavijn|vino rosso ottavio grignolino|it|r|grignolino|piedmont|||2023|12.5|DOC|leve|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso teresa|it|r|??|piedmont|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina tavijn|vino rosso teresa ruche|it|r|ruche|piedmont|||2023|13.5|DOC|medio|carne vermelha, queijo|seco
W|cascina val de prete|luet roero arneis|it|w|arneis|piedmont|roero||2023|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina val del prete|barbera dalba serra de gatti|it|r|barbera|piedmont|dalba||NV|13|DOC|medio|carne vermelha, queijo|seco
W|cascina val del prete|barbera dalba serra de gatti|it|r|barbera|piedmont|dalba||NV|13|DOC|medio|carne vermelha, queijo|seco|=198
W|cascina val del prete|barbera dalba serra de gatti|it|r|barbera|piedmont|dalba||2024|13|DOC|medio|carne vermelha, queijo|seco
W|cascina val del prete|bizzaro|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val del prete|bizzarro roero arneis|it|w|arneis|piedmont|roero||2023|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina val del prete|carolina barbera dalba superiore|it|r|barbera|piedmont|dalba||2017|13.5|DOC|medio|carne vermelha, queijo|seco
W|cascina val del prete|nebbiolo dalba|it|r|nebbiolo|piedmont|dalba||NV|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina val del prete|nebbiolo dalba|it|r|nebbiolo|piedmont|dalba||NV|13.5|DOC|medio|carne vermelha, trufas|seco|=204
W|cascina val del prete|nebbiolo dalba bricco medica|it|r|nebbiolo|piedmont|dalba||2018|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina val del prete|roero arneis luet|it|w|arneis|piedmont|roero||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina val del prete|roero docg bricco medica|it|r|nebbiolo|piedmont|roero||2019|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina val del prete|lino nebbiolo|it|r|nebbiolo|piedmont|roero||2019|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina val del prete|vigna di lino nebbiolo dalba|it|r|nebbiolo|piedmont|dalba||NV|13.5|DOC|medio|carne vermelha, trufas|seco
W|cascina val del prete|vino rosato burbero|it|p|??|piedmont|||2023|12.5|IGT|leve|salada, peixe|seco
W|cascina val liberata|anarkoide|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|anarkoide|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco|=212
W|cascina val liberata|anarkoide|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|cenerina|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|cenerina|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco|=215
W|cascina val liberata|cenerina|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|cenerina slarina|it|r|??|piedmont|||2020|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|chiaro|it|w|??|piedmont|||2023|12.5|IGT|leve|frutos do mar, peixe|seco
X
W|cascina val liberata|groove|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|la musa|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|la musa|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco|=222
W|cascina val liberata|la musa|it|r|??|piedmont|||2022|13|IGT|medio|carne vermelha, queijo|seco
W|cascina val liberata|luce|it|w|??|piedmont|||2024|12.5|IGT|leve|frutos do mar, peixe|seco
