W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|borgo scopeto|chianti classico|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=49
W|brancaia|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|brancaia|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|brancaia|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=52
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=54
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=54
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=54
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=54
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=59
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=59
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|barone ricasoli|brolio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=62
W|??|caffaggio|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|capotondo|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|carpineto|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco|=68
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco|=68
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco|=68
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco|=72
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco|=72
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco|=72
W|tenuta la novella|casa di colombo|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco|=72
W|??|casalvento|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|casanova|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|casanova dellaie|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|casanova dellaie|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=79
W|dievole|casanova|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|casanova|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=81
W|dievole|casanova magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|casanova magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=83
W|castagnoli|rocca|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castellare|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castellare|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=86
W|castellare|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=86
W|castellare di castellina|chianti classico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello dei rampolla|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello dei rampolla|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=90
W|castello dei rampolla|chianti classico|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di albola|chianti classico|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di ama|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di ama|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di gabbiano|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di gabbiano|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=96
W|fattoria di lamole|castello di lamole|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fattoria di lamole|castello di lamole|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=98
W|fattoria di lamole|le stinche|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fattoria di lamole|le stinche|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|medio|carne vermelha, queijo|seco|=100
W|fattoria di lamole|le stinche|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|medio|carne vermelha, queijo|seco|=100
W|fattoria di lamole|le stinche|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|medio|carne vermelha, queijo|seco|=100
W|??|castello di monastero|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|castello di querceto|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di querceto|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|castello di radda|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|castello la leccia|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello monterinaldi|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|catignano|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|catignano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|catignano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=111
W|dievole|catignano magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|catignano magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=113
X
W|??|certosa di belriguardo|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|chianti classico|it|r|sangiovese|toscan|chianti classico|2015|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|cispiano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|clemente vii|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|coli|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=121
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=121
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=121
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=121
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|contessa di radda|geografico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=126
W|contessa di radda|riserva geografico|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|contessa di radda|riserva geografico|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=128
W|contessa di radda|riserva geografico|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=128
W|conti serristori|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|chianti classico|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=133
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=133
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=133
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=137
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=137
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=137
W|lamole di lamole|duelame|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=137
W|famiglia zingarelli|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fattoria della aiola|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fattoria di lamole|le stinche|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fattoria le fonti|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fattoria rodano|chianti classico|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=150
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=150
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=150
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fontodi|filetta di lamole|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=154
W|mazzei|fonterutoli|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|mazzei|fonterutoli magnum|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|mazzei|fonterutoli magnum|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=157
W|mazzei|fonterutoli magnum|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=157
W|mazzei|fonterutoli|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|mazzei|fonterutoli|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=160
W|mazzei|fonterutoli|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=160
W|mazzei|fonterutoli|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=160
W|mazzei|fonterutoli|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=160
W|fontodi|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|fontodi|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=165
W|??|forcole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|badia a passignano|g selezione|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
X
W|??|gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=170
W|??|gran selezione|it|r|sangiovese|toscan|chianti classico|2016|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|isole e olena|gran selezione|it|r|sangiovese|toscan|chianti classico|2016|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|isole e olena|gran selezione|it|r|sangiovese|toscan|chianti classico|2016|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=173
W|isole e olena|gran selezione|it|r|sangiovese|toscan|chianti classico|2016|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=173
W|nardi viticoltori|gran selezione|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione bio|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|badia a passignano|gran selezione|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello di ama|gran selezione san lorenzo|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|badia a passignano|gran selezione|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|badia a passignano|gran selezione|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=181
W|badia a passignano|gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello la leccia|gran selezione bruciagna|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello la leccia|gran selezione bruciagna|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello di bibbione|gran selezione|it|r|sangiovese|toscan|chianti classico|2016|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|colombaio di cencio|gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|colombaio di cencio|gran selezione cornia|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fattoria le fonti|gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione il picchio|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione il picchio magnum|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|san felice|gran selezione la pieve|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|san felice|gran selezione la pieve|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=192
W|san felice|gran selezione la pieve|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=192
W|castello vicchiomaggio|gran selezione la prima|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello vicchiomaggio|gran selezione la prima|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=195
W|castello vicchiomaggio|gran selezione la prima|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=195
W|castello vicchiomaggio|gran selezione la prima|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello vicchiomaggio|gran selezione le bolle|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello vicchiomaggio|gran selezione le bolle|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=199
W|castello vicchiomaggio|gran selezione le bolle|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=199
W|castello vicchiomaggio|gran selezione le bolle|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|colombaio di cencio|gran selezione montelodoli|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fontodi|gran selezione panzano terrazze san leolino|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fontodi|gran selezione vigna del sorbo|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|san felice|gran selezione poggio rosso|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione radda bragantino|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello di ama|gran selezione san lorenzo|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|tenuta di arceno|gran selezione strada al sasso|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fontodi|gran selezione vigna del sorbo|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fontodi|gran selezione vigna del sorbo|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione vigna il corno|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|gran selezione vigneto la casuccia|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|cecchi|gran selezione villa rosa|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|cecchi|gran selezione villa rosa|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=214
W|cecchi|gran selezione villa rosa|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=214
W|colombaio di cencio|gran selezione vinci|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|granaio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
