Aqui está a classificação e extração dos dados conforme solicitado:

W|domaine elodie roy|maranges sur la rue des pierres|fr|r|pinot noir|burgundy|maranges|2023|13|AOC|medio|carne vermelha, queijo|seco
W|domaine fabien coche|bourgogne cote dor chardonnay|fr|w|chardonnay|burgundy|cote dor|??|2023|13|AOC|medio|frango, peixe|seco=39
W|domaine fabien coche|bourgogne cote dor chardonnay|fr|w|chardonnay|burgundy|cote dor|??|2023|13|AOC|medio|frango, peixe|seco=39
W|domaine fabien coche|bourgogne cote dor pinot noir|fr|r|pinot noir|burgundy|cote dor|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fabien coche|bourgogne cote dor pinot noir|fr|r|pinot noir|burgundy|cote dor|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=43
W|domaine fabien coche|bourgogne cote dor pinot noir|fr|r|pinot noir|burgundy|cote dor|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=43
W|domaine fabien coche|bourgogne cote dor pinot noir|fr|r|pinot noir|burgundy|cote dor|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=43
W|domaine fabien coche|chassagne montrachet|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault le limozin|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault le limozin|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=49
W|domaine fabien coche|meursault le pre de manche|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault le pre de manche|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=51
W|domaine fabien coche|meursault le pre de manche|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=51
W|domaine fabien coche|meursault les chevalieres|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault les chevalieres|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=54
W|domaine fabien coche|meursault les chevalieres|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=54
W|domaine fabien coche|meursault les chevalieres|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=54
W|domaine fabien coche|meursault les chevalieres|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=54
W|domaine fabien coche|meursault les gruyaches|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault les luchets|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault les luchets|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=60
W|domaine fabien coche|meursault les luchets|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=60
W|domaine fabien coche|meursault les luchets|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=60
W|domaine fabien coche|meursault lormeau|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fabien coche|meursault premier cru charmes|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fabien coche|meursault premier cru charmes|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco=65
W|domaine fabien coche|meursault premier cru charmes|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco=65
W|domaine fabien coche|meursault premier cru les gouttes dor|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fabien coche|meursault premier cru les gouttes dor|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco=68
W|domaine fabien coche|meursault premier cru les gouttes dor|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco=68
W|domaine fabien coche|meursault rouge|fr|r|pinot noir|burgundy|meursault|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fabien coche|meursault rouge|fr|r|pinot noir|burgundy|meursault|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=71
W|domaine fabien coche|meursault rouge|fr|r|pinot noir|burgundy|meursault|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=71
W|domaine fabien coche|meursault rouge|fr|r|pinot noir|burgundy|meursault|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=71
W|domaine fabien coche|meursault charmes 1er cru|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco=65
W|domaine fabien coche|meursault goutte dor 1er cru|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco=68
W|domaine fabien coche|monthelie premier cru les barbieres|fr|r|pinot noir|burgundy|monthelie|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fabien coche|monthelie premier cru les barbieres|fr|r|pinot noir|burgundy|monthelie|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=77
W|domaine fabien coche|monthelie premier cru les barbieres|fr|r|pinot noir|burgundy|monthelie|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=77
W|domaine fabien coche|pommard vieilles vignes|fr|r|pinot noir|burgundy|pommard|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fabien coche|pommard vieilles vignes|fr|r|pinot noir|burgundy|pommard|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=80
W|domaine fabien coche|pommard vieilles vignes|fr|r|pinot noir|burgundy|pommard|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=80
W|domaine fabien coche|pommard vieilles vignes|fr|r|pinot noir|burgundy|pommard|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=80
X
W|domaine faiveley|batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine faiveley|batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=85
W|domaine faiveley|batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=85
W|domaine faiveley|batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=85
W|domaine faiveley|batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=85
W|domaine faiveley|beaune 1er cru clos de lecu|fr|r|pinot noir|burgundy|beaune|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|bienvenues batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|bienvenues batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine faiveley|bienvenues batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|bienvenues batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=91
W|domaine faiveley|bienvenues batard montrachet|fr|w|chardonnay|burgundy|puligny montrachet|bienvenues batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=91
W|domaine faiveley|blanc les cent pieces montagny|fr|w|chardonnay|burgundy|montagny|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine faiveley|blanc montagny|fr|w|chardonnay|burgundy|montagny|??|2023|12.5|AOC|leve|frango, salada|seco=94
W|domaine faiveley|bourgogne chardonnay|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine faiveley|bourgogne rouge|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|chambertin clos de beze|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|chambertin clos de beze|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze les ouvrees rodin|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze les ouvrees rodin|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze les ouvrees rodin|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze les ouvrees rodin|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambertin clos de beze les ouvrees rodin|fr|r|pinot noir|burgundy|gevrey chambertin|clos de beze|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=98
W|domaine faiveley|chambolle musigny premier cru la combe dorveau|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|chambolle musigny|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|chambolle musigny 1er cru aux beaux bruns|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|chambolle musigny|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=110
W|domaine faiveley|chambolle musigny les charmes 1er cru|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|chambolle musigny premier cru la combe dorveau|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=109
W|domaine faiveley|chambolle musigny premier cru la combe dorveau|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=109
W|domaine faiveley|chambolle musigny premier cru la combe dorveau|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=109
W|domaine faiveley|chambolle musigny premier cru la combe dorveau|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=109
W|domaine faiveley|chambolle musigny premier cru les fuees|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|chambolle musigny premier cru les fuees|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=118
W|domaine faiveley|chambolle musigny premier cru les fuees|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=118
W|domaine faiveley|chambolle musigny premier cru les fuees|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=118
W|domaine faiveley|chambolle musigny premier cru les fuees|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=118
W|domaine faiveley|chardonnay|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine faiveley|charmes chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|charmes chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|charmes chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|charmes chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=124
W|domaine faiveley|charmes chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|charmes chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=124
W|domaine faiveley|charmes chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|charmes chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=124
W|domaine faiveley|charmes chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|charmes chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=124
W|domaine faiveley|clos de lecu|fr|r|pinot noir|burgundy|beaune|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=90
W|domaine faiveley|clos de vougeot|fr|r|pinot noir|burgundy|vougeot|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|clos de vougeot|fr|r|pinot noir|burgundy|vougeot|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=130
W|domaine faiveley|clos de vougeot|fr|r|pinot noir|burgundy|vougeot|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=130
W|domaine faiveley|clos de vougeot|fr|r|pinot noir|burgundy|vougeot|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=130
W|domaine faiveley|clos de vougeot|fr|r|pinot noir|burgundy|vougeot|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=130
W|domaine faiveley|clos de vougeot|fr|r|pinot noir|burgundy|vougeot|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=130
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons faiveley|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton grand cru clos des cortons monopole|fr|r|pinot noir|burgundy|corton|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=136
W|domaine faiveley|corton charlemagne|fr|w|chardonnay|burgundy|corton|??|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine faiveley|corton charlemagne|fr|w|chardonnay|burgundy|corton|??|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=145
W|domaine faiveley|corton charlemagne|fr|w|chardonnay|burgundy|corton|??|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=145
W|domaine faiveley|corton charlemagne|fr|w|chardonnay|burgundy|corton|??|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=145
W|domaine faiveley|corton charlemagne|fr|w|chardonnay|burgundy|corton|??|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=145
W|domaine faiveley|corton charlemagne|fr|w|chardonnay|burgundy|corton|??|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=145
W|domaine faiveley|de la framboisiere mercurey la framboisiere|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|echezeaux grand cru en orveaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|echezeaux grand cru en orveaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=152
W|domaine faiveley|echezeaux grand cru en orveaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=152
W|domaine faiveley|echezeaux grand cru en orveaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=152
W|domaine faiveley|echezeaux grand cru en orveaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=152
W|domaine faiveley|gevreychambertin 1er cru cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|gevreychambertin 1er cru clos des issarts monopole|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|gevreychambertin 1er cru la combe aux moines|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|gevreychambertin 1er cru lavaux saint jacques|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|gevreychambertin 1er cru les cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=157
W|domaine faiveley|gevreychambertin premier cru combe au moine|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=159
W|domaine faiveley|gevreychambertin premier cru combe au moine|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=159
W|domaine faiveley|gevreychambertin premier cru combe au moine|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=159
W|domaine faiveley|gevreychambertin premier cru lavaux saint jacques|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=160
W|domaine faiveley|gevreychambertin premier cru lavaux saint jacques|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=160
W|domaine faiveley|gevreychambertin premier cru lavaux saint jacques|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=160
W|domaine faiveley|gevreychambertin premier cru lavaux saint jacques|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=160
W|domaine faiveley|gevreychambertin premier cru les cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=157
W|domaine faiveley|gevreychambertin premier cru les cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=157
W|domaine faiveley|gevreychambertin premier cru les cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=157
W|domaine faiveley|gevreychambertin premier cru les cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=157
W|domaine faiveley|gevreychambertin premier cru les cazetiers|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=157
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=174
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=174
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=174
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=174
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=174
