W|branco|chileno dona paula los cardos sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno carmen discovery estate seleccion chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno caliterra tributo sauvignon blanc 2023|cl|w|sauvignon blanc|valle central|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno caliterra tributo sauvignon blanc 2023|cl|w|sauvignon blanc|valle central|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=77
W|branco|chileno caliterra tributo chardonnay 2022|cl|w|chardonnay|valle central|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno caliterra reserva sauvignon blanc 2023|cl|w|sauvignon blanc|valle central|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno caliterra reserva sauvignon blanc 2023|cl|w|sauvignon blanc|valle central|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=80
W|branco|chileno cabeza de piedra reservado sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno cabeza de piedra reservado pedro jimenez|cl|w|??|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno bravio sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bodegas re pinotel 2022|cl|w|??|valle central|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bodegas re enredo|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bodega vieja suave|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|chileno bodega vieja sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bodega re blend chardonnoir|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bestia chardonnay seco|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bestia chardonnay reserva|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno bestia chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno bellavista chardonnay seco|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno baron phillipe mapu sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno baron philippe de rothschild mas andes sauvignon blanc reserva|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno author superior sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno antawara secret angel chardonnay reserva|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno amigo perro sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno amayna chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno alturas de chile sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno alto pinot grigio los romeros|cl|w|pinot grigio|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno alto pinot grigio los romeros|cl|w|pinot grigio|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=101
W|branco|chileno albaclara 2024|cl|w|??|valle central|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno alaya chardonnay 2023 em|cl|w|chardonnay|valle central|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno adobe reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno 1932 sauvignon blanc reservado|cl|w|sauvignon blanc|valle central|??|1932|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chile ventisquero res casablanca chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile ventisquero queulat res casablanca sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile ventisquero queulat casa blanca sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile ventisquero classico chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile kalfu gran reserva kadu sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chile go up curico sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile chilano sunset blanco de verano|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile anakena varietal sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chile 7 colores sauvignon blanc e torontel|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chilano sunset blanco de verano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chilano moscato|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chilano chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chilano chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=118
W|branco|cheteauneuf du pape blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cherveny salvard|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chenin blanc nova 218jrs 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chenin blanc initial carbo 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chenin blanc cape elephant|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chenin blanc african king|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chenin blanc africa king|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cheda riesling 2015 douro|pt|w|riesling|douro|??|2015|10.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|chateau haut bergeron sauternes 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chasselas wolfhag zusslin|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru la maltroie 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru la maltroie 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru la maltroie 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru en remilly 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru clos de la rocquemaure monopole blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru clos de la rocquemaure monopole blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru blanchot dess|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru abbaye de morgeot chateau du passe temps blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet premier cru abbaye de morgeot chateau du passe temps blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet les pierres blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet les pierres 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet les pierres 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet les houilleres 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet les houilleres 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet les houilleres 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet hereditas 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco|=148
W|branco|chassagnemontrachet 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagnemontrachet 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chassagne montrachet blanc 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|charming rabbit chardonnay 3 und 0 9 57 a vista com desconto ou 3 x de 90 sem juros|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|charming rabbit chardonnay 3 und|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|charming rabbit chardonnay 3 und|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=154
W|branco|charming rabbit chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|charming rabbit chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=156
W|branco|charly nicolle per aspera chablis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|charly nicolle chablis per aspera 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|charisma riesling trocken eugen muller|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay winemakers vinicola foppa ambrosicom pixcom pix4x desem juros|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay winemakers vinicola foppa ambrosi com pix com pix 4 x de sem juros|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay winemakers vinicola foppa ambrosi|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|chardonnay vin de france 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay villa francioni|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay viento del mar|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay varietal cornellana|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay varietal cornellana|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=168
W|branco|chardonnay varietal cornellana|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=168
W|branco|chardonnay valmarino|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay vale de casablanca 2018|??|w|chardonnay|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay vaccaro|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay trofeo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay tre venezie bel corvo igp 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay terroir casa valduga|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay terrazas de los andes de los andes reserva 2015 adega bodegas chandon|cl|w|chardonnay|valle central|??|2015|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay terranoble|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay terranoble|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=178
W|branco|chardonnay terranoble|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=178
W|branco|chardonnay tennessee buffon|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay special cuvee montes alpha|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay sinzero sem alcool|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay single don bonifacio|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay savagnin nuance jerome arnoux|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay sauvignon blanc indomita tradicional vidro|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay sauvagny 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay saurus|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay santa laura|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserve sutil|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reservado santa carolina|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva viu manent|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva terranoble|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva santa magdalena|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva phebus|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva loma negra|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva indomita|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva casillero del diablo|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva casas del bosque|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva anya|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva alta yari|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay reserva almaunica|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay quintessence jerome arnoux|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay puglia igt tormaresca|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay premium viapiana|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay piodilei pio cesare|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay phebus|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
