1. W|carlos|i pahar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|carlos|iii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
35. W|carlos|iii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
36. W|carlos|iii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
37. W|carlos|iii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
38. W|carlos|iii 36|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|carlos|iii 36o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|carlos|iii litro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|carlos|iii solera reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
42. W|carlos|iii solera reservada|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
43. W|carlos|iii solera reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
44. W|carlos|imperial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|carlos|imperial xo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|carlos|light|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|carlos|light buy 2 pl free promo must be 18yrs old and above|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|carlos|light must be 18yrs old and above|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|carlos|lucas 20 anos tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|carlos|lucas alvarinho verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|carlos|lucas carlos rodrigues tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|carlos|lucas cota 700 dao|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|carlos|lucas familia tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|carlos|lucas primos tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|carlos|lucas ribeiro santo concrete branco|es|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
56. W|carlos|lucas vinha do reino a river runs through it douro|it|r|??|douro|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
57. W|carlos|lucas vinhos cota 700|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|carlos|lucas vinhos cota 700|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=57
59. W|carlos|lucas vinhos cota 700|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|carlos|lucas vinhos cota 700 dao portugal|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|carlos|lucas vinhos cota 700 doc dao portugal|pt|r|??|dao|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
62. W|carlos|mazo costumbres rioja tinto|es|r|??|rioja|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|carlos|montes cabernet tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|carlos|montes cabernet tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=63
65. W|carlos|montes cabernet tannat precio u49000|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|carlos|montes cabernettannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|carlos|montes merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
68. W|carlos|montes merlot precio u49000|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
69. W|carlos|montes tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|carlos|montes tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=69
71. W|carlos|montes tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=69
72. W|carlos|montes tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=69
73. W|carlos|montes tannat|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|carlos|montes tannat precio u49000|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|carlos|moro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|carlos|moro 2014 finca valdehierro cigales|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|carlos|moro 2015 prestigio|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|carlos|moro|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|carlos|moro 2018 finca las marcas verdejo fermentado en barrica|??|w|??|??|??|2018|12.5|do|medio|peixes, frutos do mar, saladas|seco
80. W|carlos|moro cm rioja doca spain 2019 case|es|r|??|rioja|??|2019|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
81. W|carlos|moro crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|carlos|moro finca valmediano|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|carlos|moro prestigio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|carlos|moro rioja|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|carlos|moro rioja prestigio|es|r|??|rioja|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|carlos|moro verdejo|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
87. W|carlos|plaza joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|carlos|plaza joven|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|carlos|plaza merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
90. W|carlos|plaza roble|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|carlos|plaza seleccion|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|carlos|plaza seleccion vino de la tierra de extremadura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|carlos|plaza tempranillosyrah|??|r|syrah|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
94. W|carlos|plaza tinto joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|carlos|raposo definido branco|??|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
96. W|carlos|raposo definido branco|??|w|??|??|??|2019|12.5|do|medio|peixes, frutos do mar, saladas|seco
97. W|carlos|raposo definido branco|??|w|??|??|??|2023|12.5|do|medio|peixes, frutos do mar, saladas|seco
98. W|carlos|raposo definido tinto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
99. W|carlos|raposo definido tinto|??|r|??|??|??|2018|13.5|do|medio|carne vermelha, massas, queijos curados|seco
100. W|carlos|raposo definido tinto|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
101. W|carlos|raposo definido vinhas velhas branco|??|w|??|??|??|2021|12.5|do|medio|peixes, frutos do mar, saladas|seco
102. W|carlos|raposo definido vinhas velhas branco|??|w|??|??|??|2022|12.5|do|medio|peixes, frutos do mar, saladas|seco
103. W|carlos|raposo definido vinhas velhas dao|pt|r|??|dao|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
104. W|carlos|raposo definido vinhas velhas tinto|??|r|??|??|??|2021|13.5|do|medio|carne vermelha, massas, queijos curados|seco
105. W|carlos|raposo definido vv branco|??|w|??|??|??|2022|12.5|do|medio|peixes, frutos do mar, saladas|seco
106. W|carlos|raposo definido vv tinto|??|r|??|??|??|2021|13.5|do|medio|carne vermelha, massas, queijos curados|seco
107. W|carlos|raposo ideal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|carlos|raposo ideal branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
109. W|carlos|raposo ideal branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
110. W|carlos|raposo ideal branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=109
111. W|carlos|raposo ideal branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
112. W|carlos|raposo ideal branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
113. W|carlos|raposo ideal branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=112
114. W|carlos|raposo ideal branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=112
115. W|carlos|raposo ideal branco dao|pt|w|??|dao|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
116. W|carlos|raposo ideal dao branco|pt|w|??|dao|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
117. W|carlos|raposo ideal dao tinto|pt|r|??|dao|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|carlos|raposo ideal tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|carlos|raposo ideal tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=118
120. W|carlos|raposo ideal tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|carlos|raposo ideal tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=120
122. W|carlos|raposo ideal tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=120
123. W|carlos|raposo ideal white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
124. W|carlos|raposo impecavel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|carlos|raposo impecavel|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|carlos|raposo impecavel|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|carlos|raposo impecavel branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
128. W|carlos|raposo impecavel branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
129. W|carlos|raposo impecavel branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
130. W|carlos|raposo impecavel dao|pt|r|??|dao|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|carlos|raposo impecavel dao branco|pt|w|??|dao|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
132. W|carlos|raposo impecavel dao rose|pt|p|??|dao|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
133. W|carlos|raposo impecavel dao tinto|pt|r|??|dao|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|carlos|raposo impecavel dao tinto|pt|r|??|dao|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|carlos|raposo impecavel encruzado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|carlos|raposo impecavel rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
137. W|carlos|raposo impecavel rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
138. W|carlos|raposo impecavel rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco|=137
139. W|carlos|raposo impecavel rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco|=137
140. W|carlos|raposo impecavel tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|carlos|raposo impecavel tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|carlos|raposo impecavel tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=141
143. W|carlos|raposo impecavel tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=141
144. W|carlos|raposo impecavel touriga|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|carlos|raposo impecavel touriga nacional|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|carlos|raposo impecavel touriga nacional|??|r|touriga nacional|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|carlos|raposo tinta pinheira|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|carlos|raposo tinta pinheira dao tinto|pt|r|??|dao|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|carlos|raposo tinta pinheira tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|carlos|raposo tinta pinheira tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=149
151. W|carlos|raposo tinta pinheira tinto dao|pt|r|??|dao|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|carlos|raposo touriga nacional impecavel|??|r|touriga nacional|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|carlos|raposo vinho definido branco 2022 075|??|w|??|??|??|2022|12.5|do|medio|peixes, frutos do mar, saladas|seco
154. W|carlos|raposo vinho definido tinto 2021 075|??|r|??|??|??|2021|13.5|do|medio|carne vermelha, massas, queijos curados|seco
155. W|carlos|raposo vinho ideal branco 2023 075|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
156. W|carlos|raposo vinho ideal tinto 2021 075|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|carlos|raposo vinho impecavel branco 2024 075|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
158. W|carlos|raposo vinho impecavel tinto 2023 075|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|carlos|raposo vinho imperfeito branco dao|pt|w|??|dao|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
160. W|carlos|raposo vinho imperfeito dv branco dao|pt|w|??|dao|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
161. W|carlos|raposo vinho imperfeito i branco 2018 075|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
162. W|carlos|raposo vinho imperfeito i branco dao|pt|w|??|dao|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
163. W|carlos|raposo vinho imperfeitos branco 2018 075|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
164. W|carlos|raposo vinho imperfeitos dv branco 2018 075|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
165. W|carlos|raposo vinhos imperfeitos branco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
166. W|carlos|raposo vinhos imperfeitos dv branco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
167. W|carlos|raposo vinhos imperfeitos i branco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
168. W|carlos|reynolds alentejo branco|pt|w|??|alentejo|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
169. W|carlos|reynolds alentejo rose|pt|p|??|alentejo|??|2018|12|??|leve|carne vermelha, massas, queijos curados|seco
170. W|carlos|reynolds alentejo rose|pt|p|??|alentejo|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
171. W|carlos|reynolds alentejo tinto|pt|r|??|alentejo|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|carlos|reynolds branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
173. W|carlos|reynolds branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=172
174. W|carlos|reynolds branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=172
175. W|carlos|reynolds branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=172
176. W|carlos|reynolds branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
177. W|carlos|reynolds branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
178. W|carlos|reynolds branco 6483 z|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
179. W|carlos|reynolds branco alentejo|pt|w|??|alentejo|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
180. W|carlos|reynolds red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|carlos|reynolds rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
182. W|carlos|reynolds rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=181
183. W|carlos|reynolds rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=181
184. W|carlos|reynolds rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
185. W|carlos|reynolds rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
186. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
188. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
189. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
190. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
191. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
192. W|carlos|reynolds tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
193. W|carlos|reynolds tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|carlos|reynolds tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|carlos|reynolds tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|carlos|reynolds tinto 6483 z|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|carlos|reynolds tinto julian reynolds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|carlos|reynolds white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
199. W|carlos|ruben antonio antonia|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|carlos|ruben antonio antonia|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=199
201. W|carlos|sanchez bienlarme lagrimas bellas|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|carlos|sanchez bienlarme lagrimas bellas|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|carlos|sanchez rioja bienlarme lagrimas bella|es|r|??|rioja|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|carlos|sanchez rioja bienlarme rouge|es|r|??|rioja|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|carlos|sanchez rioja buradon|es|r|??|rioja|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|carlos|sanchez rioja buradon blanc|es|w|??|rioja|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
207. W|carlos|serra reserva rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
208. W|carlos|serres 1896 finca el estanque blanco reserva 2017|??|w|??|??|??|2017|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
209. W|carlos|serres|??|r|??|??|??|1958|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|carlos|serres|??|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|carlos|serres 2016 gran reserva|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
212. W|carlos|serres 55 barricas gran reserva doca rioja|es|r|??|rioja|??|2014|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
213. W|carlos|serres 55 barricas reserva doca rioja|es|r|??|rioja|??|2017|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
214. W|carlos|serres brut sparkling|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
215. W|carlos|serres crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|carlos|serres crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
217. W|carlos|serres crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
218. W|carlos|serres crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
219. W|carlos|serres crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
220. W|carlos|serres crianza|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|carlos|serres crianza|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|carlos|serres crianza 2016 meia garrafa|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|carlos|serres crianza|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|carlos|serres crianza|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|carlos|serres crianza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|carlos|serres crianza magnum|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|carlos|serres crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|carlos|serres doc reserva rioja|es|r|??|rioja|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
229. W|carlos|serres doc rioja crianza|es|r|??|rioja|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
230. W|carlos|serres doc rioja old vines|es|r|??|rioja|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
231. W|carlos|serres gran reserva 1987 rioja|es|r|??|rioja|??|1987|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
