1. W|cao|agata arinto amphora 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|cao|perdigueiro tannat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|cao|perdigueiro trebbiano|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|cao|perdigueiro trebbiano|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=44
46. W|cao|perdigueiro trebbiano macerado|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|cao|perdigueiro trebbiano macerado|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=46
48. W|cao|perdigueiro vermentino|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
49. W|cao|perdigueiro vinho branco goethe|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
50. W|cao|perdigueiro vinho branco peverella|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
51. W|cao|perdigueiro vinho branco sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
52. W|cao|perdigueiro vinho branco vermentino|??|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
53. W|cao|perdigueiro vinho rose herbemont|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
54. W|cao|perdigueiro vinho tinto alicante bouschet|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|cao|perdigueiro vinho tinto barricao americano cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
56. W|cao|perdigueiro vinho tinto barricao frances cabernet sauvignon|fr|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
57. W|cao|perdigueiro vinho tinto cabernet franc|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
58. W|cao|perdigueiro vinho tinto cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
59. W|cao|perdigueiro vinho tinto cabernet franc|??|r|cabernet franc|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
60. W|cao|perdigueiro vinho tinto clarete cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
61. W|cao|perdigueiro vinho tinto merlot|??|r|merlot|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
62. W|cao|perdigueiro vinho tinto tannat|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|cao|pilon robusto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|cao|pilon robusto 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. X
66. W|cao|que ladra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|cao|que ladra|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|cao|surplus maduro gigante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|cao|surplus maduro robusto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|cao|surplus maduro toro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|cao|surplus shade toro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|cao|travel ashtray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|cao|vaina robusto cigar fra den dominikanske republik|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|cao|world sampler 5 pieces|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|caoa|de noci le rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
76. W|caoa|de noci notte di luna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|caoa|de noci nottediluna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|caoa|de noci sottobosco rosso frizzante|??|s|??|??|??|2020|12|??|leve|frutos do mar, aperitivos, sushi|brut
79. W|caoba|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
80. W|caoba estate|chardonnay familia falasco|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
81. W|caoba estate|oaked malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
82. W|caoba|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
83. W|caoba|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=82
84. W|caoba|malbec estate|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
85. W|caoba|oaked bonarda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|caoba|oaked malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|caoba|viognier|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
88. W|caobas|caobas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|caocao|original 45g klara|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|caoiila|35 ar 581 distilled|??|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|caol|iia moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
94. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
95. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
96. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
97. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
98. W|caol|ila|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
99. W|caol|ila 10 ar 526 valinch mallet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|caol|ila 10 ars 2010 signatory vintage 589 cask 316650|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|caol|ila 10 ars 2010 signatory vintage 589 cask 316660|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|caol|ila 10 year old adelphi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|caol|ila 10 year old adelphi wb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|caol|ila 10 year old feis ile|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|caol|ila 10 year old feis ile|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
106. W|caol|ila 10 year old lmdw|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|caol|ila 10 year old single malt artist collective|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. X
109. W|caol|ila 10 yo 201222 wilson morgan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|caol|ila 10 yo 201323 wm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|caol|ila 10yo feis ile 2018 582|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|caol|ila 10yo small batch 482 1st fill oloroso sherry cask|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
113. W|caol|ila 10yr 2010 artist collective sa|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|caol|ila 11 anni cask strenght|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|caol|ila 11 ans reserve casks elixir|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
116. W|caol|ila 11 ars special release 2024 573|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|caol|ila 11 year ambrosial feast 2024 release single malt|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|caol|ila 11 year islay special release|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|caol|ila 11 year old 2011 cask 15555 old particular douglas laing|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|caol|ila 11 year old 2024 release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|caol|ila 11 year old 2024 special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|caol|ila 11 year old 485 equinox solstice by decadent drinks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|caol|ila 11 year old cask strength 2024 special releas|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|caol|ila 11 year old cask strength 2024 special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|caol|ila 11 years special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|caol|ila 11 yo 2008 wilson morgan single cask 50|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|caol|ila 11y special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|caol|ila 11y special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
129. W|caol|ila 11yo ambrosial feast unpeated diageo special release 2024 573|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|caol|ila 11yo special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|caol|ila 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|caol|ila 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=131
133. W|caol|ila 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=131
134. W|caol|ila 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=131
135. W|caol|ila 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=131
136. W|caol|ila 12 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|caol|ila 12 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|caol|ila 12 ani 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|caol|ila 12 anni con astuccio cl 70|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|caol|ila 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|caol|ila 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=140
142. W|caol|ila 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=140
143. W|caol|ila 12 ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|caol|ila 12 ans 2011 elixir distillers|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|caol|ila 12 ar 546 north star|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|caol|ila 12 ars reserve cask parcel no 10 48 the single malts of scotland|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
147. W|caol|ila 12 jaar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|caol|ila 12 jahre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|caol|ila 12 jahre single islay malt 43 vol 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
152. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
153. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
154. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
155. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
156. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
157. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
158. W|caol|ila 12 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=150
159. W|caol|ila 12 year 43 abv 2010s|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
162. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
163. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
164. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
165. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
166. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
167. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
168. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
169. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
170. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
171. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
172. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
173. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
174. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
175. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
176. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
177. W|caol|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
178. W|caol|ila 12 year old feis ile|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|caol|ila 12 year old feis lle 2017 558 abv|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|caol|ila 12 year old islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|caol|ila 12 year old islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
182. W|caol|ila 12 year old islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
183. W|caol|ila 12 year old miniature|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|caol|ila 12 year old single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|caol|ila 12 year single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
188. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
189. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
190. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
191. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
192. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
193. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
194. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
195. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
196. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
197. W|caol|ila 12 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=186
198. W|caol|ila 12 years 0 43 gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|caol|ila 12 years 07ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|caol|ila 12 years 43 gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|caol|ila 12 years 43o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|caol|ila 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|caol|ila 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
204. W|caol|ila 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
205. W|caol|ila 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
206. W|caol|ila 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
207. W|caol|ila 12 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=202
208. W|caol|ila 12 years old 07 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|caol|ila 12 years old 07 ltr 43alc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|caol|ila 12 years old 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|caol|ila 12 years single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|caol|ila 12 years single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=211
213. W|caol|ila 12 years single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=211
214. W|caol|ila 12 years single malt litre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|caol|ila 12 years unpeated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. X
217. W|caol|ila 12 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|caol|ila 12 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=217
219. W|caol|ila 12 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=217
220. W|caol|ila 12 yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|caol|ila 12 yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|caol|ila 12 yo 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. X
224. W|caol|ila 12 yo islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|caol|ila 12 yr old single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|caol|ila 12 yr old single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=225
227. W|caol|ila 12 yrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|caol|ila 12 yrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=227
229. W|caol|ila 12 yrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=227
230. W|caol|ila 12ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
