W|vino|j stavek bodro 2020 cabernet sauvignon merlot dry round and cheeky bordeaux blend in another words bodro from moravia|fr|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|dry
W|vino|izadi larrosa rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|izadi larrosa blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi larrosa 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi larrosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi el regalo vinedo singular 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi crianza 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi crianza 1997|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi blanco 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ixeia blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|itsasmendi 7 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano the italian wine gift set|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano sole vivo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano rosso di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano prosecco mionetto|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|italiano prosecco doc extra dry cantina|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|extra dry
W|vino|italiano poggio badiola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano petalo amore moscato espumante|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|italiano petalo amore moscato espumante|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=42
W|vino|italiano pasqua sangiovese di puglia tinto|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua primitivo de salento tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua primitivo de salento tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=45
W|vino|italiano pasqua montepulciano dabruzzo tinto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua chardonay di puglia blanco 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua chardonay di puglia blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua capitolo 35 valpolicella tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua capitolo 35 valpolicella tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=50
W|vino|italiano pasqua capitolo 33 bardolino tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua capitolo 33 bardolino tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=52
W|vino|italiano pasqua capitolo 21 montepulciano dabruzzo tinto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano pasqua capitolo 21 montepulciano dabruzzo tinto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=54
W|vino|italiano ortonese sangiovese merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano montalto nero d avola|??|r|nero d avola|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano maremma toscana pink rosato|it|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|italiano lombardo marsala crema mandorla|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|??
W|vino|italiano lambrusco premium dolce tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|italiano lambrusco lunato tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano lambrusco lunato rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|italiano lambrusco lunato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano lambrusco di bacco tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano lambrusco di bacco rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|italiano lambrusco di bacco bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano gd vajra barolo albe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano fonterutoli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano espumoso cinzano to spritz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano capitolo 29 pasqua sangiovese di puglia|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano capitolo 29 pasqua sangiovese di puglia|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=70
W|vino|italiano capitolo 14 pasqua chardonnay di puglia blanco|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|italiano capitolo 14 pasqua chardonnay di puglia blanco|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=72
W|vino|italiano canonico due palme|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano caldora sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italiano caldora pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|italiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italia semi seco|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|italia|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla tropical sugarcane wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla tropical sugarcane|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla tropical mango wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla tropical mango|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla tropical coconut wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla negra reserve cabernet 2003|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla negra de chile 2003|cl|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla negra cabernet seuvinon tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isla coconut wine 11 abv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isasi ajuarte reserva 1991|??|r|??|??|??|1991|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|isabella tinto bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isabella espumoso vitis lambr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isabella blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|isabella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|irurtia syrah tannat|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|irune ensamblaje korta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|irresistibile 2021 agricola vallecamonica white natural|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|irep tempranillo 2003|??|r|tempranillo|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|irep tempranillo 2001|??|r|tempranillo|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|irene ecologico rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|irache reserva 1996|??|r|??|??|??|1996|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|irache reserva 1996|??|r|??|??|??|1996|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=100
W|vino|irache 1970|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|iporos vendimia seleccionada 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ipazia igp calabria rosso terre nobili|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|invitis limited edition petit verdot 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|invitis limited edition cabernet franc 750cc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|inurrieta orchidea blanco 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido wolf in sheeps clothing pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intrepido this little piggy vermentino 2018|??|w|vermentino|??|??|2018|12|??|leve|peixes; saladas; massas leves|??
W|vino|intrepido this little pig vermentino 2018|??|w|vermentino|??|??|2018|12|??|leve|peixes; saladas; massas leves|??
W|vino|intrepido spanna in the works nebbiolo 2019|??|r|nebbiolo|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido sharpest thorn negroarmaro rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intrepido sacred profane sagrantino 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido neros fiddle nero davola 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido nebbiolo 2021|??|r|nebbiolo|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido migrating coconuts montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido inherited trait lambrusco 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido grey matter pinot grigio 2022|??|w|pinot grigio|??|??|2022|12|??|leve|peixes; saladas; massas leves|??
W|vino|intrepido dulcet tones dolcetto|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|intrepido dolcetto 2021|??|r|dolcetto|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|intrepido cold fusion col fondo prosecco 2021|??|s|glera|??|??|2021|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intrepido col fondo prosecco 2021|??|s|glera|??|??|2021|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intrepido clear cut prosecco rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intrepido cherry pick frigo montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido blood of my blood sangiovese 2019|??|r|sangiovese|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido blood of my blood sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intrepido a pound of flesh vermentino 2021|??|w|vermentino|??|??|2021|12|??|leve|peixes; saladas; massas leves|??
W|vino|intrepido 2022 cold fusion col fondo prosecco|??|s|glera|??|??|2022|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intramurs de poblet blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intramurs de poblet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intis merlot malbec|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intis merlot malbec|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=131
W|vino|intis malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intis chardonnay botella|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intis bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka x syrah malbec sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intipalka x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka varietales|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka varietal tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka varietal syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka varietal sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intipalka varietal sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=141
W|vino|intipalka varietal rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intipalka varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=144
W|vino|intipalka varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=144
W|vino|intipalka varietal chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intipalka varietal chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=147
W|vino|intipalka tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka tannat botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=151
W|vino|intipalka tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=151
W|vino|intipalka tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=151
W|vino|intipalka syrah botella|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=156
W|vino|intipalka syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=156
W|vino|intipalka sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intipalka sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=159
W|vino|intipalka sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=159
W|vino|intipalka sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=159
W|vino|intipalka sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=159
W|vino|intipalka sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=159
W|vino|intipalka rose x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intipalka rose syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intipalka rose syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=166
W|vino|intipalka rose syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=166
W|vino|intipalka rose syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=166
W|vino|intipalka rose syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=166
W|vino|intipalka reserva malbec merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva malbec merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=171
W|vino|intipalka reserva malbec merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=171
W|vino|intipalka reserva malbec merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=171
W|vino|intipalka reserva de familia sauvignon blanc chardonnay|??|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|intipalka reserva de familia malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva de familia malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=176
W|vino|intipalka reserva de familia malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=176
W|vino|intipalka reserva cabernetsyrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva cabernetpetit verdot|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva cabernetpetit|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=182
W|vino|intipalka reserva cabernet sauvignon petit verdot|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka reserva cabernet sauvignon petit verdot|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=184
W|vino|intipalka patrimonial torontel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka patrimonial torontel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=186
W|vino|intipalka patrimonial rose quebranta|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|intipalka patrimonial rose quebranta|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=188
W|vino|intipalka patrimonial negra criolla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka patrimonial negra criolla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=190
W|vino|intipalka no1 gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka no1 gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=192
W|vino|intipalka no 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka n1 gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka n 1 gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka malbec botella de|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vino|intipalka malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=199
W|vino|intipalka chardonnay botella|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intipalka chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|intipalka chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=207
W|vino|intipalka chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=207
W|vino|intipalka cabernet sauvignon syrah reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|intipalka|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=211
W|vino|intacto gran reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|inspiracion valdemar graciano 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|inspiracion valdemar 2005 lote 6 botellas|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|inspiracion valdemar 2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|inspiracion valdemar 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|insolente weon porfiao gran reserva cabernet sauvignonmerlot|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|insolente shapalapashala gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|insolente la weona jugosa gran reserva merlotcarmenerecabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|insolente corneta chica gran reserva merlot|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|insolente cagaste te mando saludos gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|insolente andate a la ctm gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|insolente 11 chupalo entonces gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|inniskillin icewine gold oak aged vidal 2015|??|d|??|??|??|2015|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|inici|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|inglenook cabernet sauvignon 1983|??|r|cabernet sauvignon|??|??|1983|13.5|??|medio|carnes vermelhas; queijos curados|??
