W|gaja|gaia rey|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=19
W|gaia|s agiorgitiko syrah extremely limited|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|s rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaia|s white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|santorini assyrtiko wild ferment|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|santorini thalassitis|gr|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|santorini wild ferment assyrtiko|gr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|shorts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|sneakers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|sotol blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|sotol reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|spumante extra dry igp sicilien|??|s|??|??|??|nv|12|igp|leve|aperitivos, frutos do mar, canapes|seco
W|gaia|spumante extra dry romano vini|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gaia|spumante extra dry romano vini|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=32
W|gaia|thalassitis assyrtiko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=34
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=39
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko greece santorini white wine|gr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|thalassitis assyrtiko santorini white wine|gr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|thalassitis assyrtiko pdo santorini|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko santorini|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko santorini|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=46
W|gaia|thalassitis assyrtiko santorini|gr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko santorini greece|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis assyrtiko white|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|thalassitis santorini|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis santorini 1|gr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis santorini|gr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis submerged|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis submerged assyrtiko|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis submerged houten kist|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|thalassitis white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|thalassitis white 6 cs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|the monkey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|twist front rib swimsuit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|vinsanto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|vinsanto 20 years|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|vinsanto 8 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|vinsanto 8 years old aged greek dessert wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|vinsanto 8yr 6 cs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|white blend|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wild ferment|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wild ferment assyrtiko|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wild ferment assyrtiko|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wild ferment assyrtiko|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wild ferment assyrtiko santorini|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wild ferment assyrtiko santorini|gr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wild ferment santorini pdo assyrtiko|gr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines nychteri|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines monograph assyrtiko|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines thalassitis white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines 46h rose peloponnese agiorgitiko|??|p|agiorgitiko|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaia|wines 46h rose peloponnese agiorgitiko|??|p|agiorgitiko|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=78
W|gaia|wines agiorgitiko by gaia nemea peloponnese|gr|r|agiorgitiko|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines agiorgitiko by gaia nemea|gr|r|agiorgitiko|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines agiorgitiko by gaia nemea|gr|r|agiorgitiko|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines agiorgitiko by gaia nemea|gr|r|agiorgitiko|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=82
W|gaia|wines ammonite|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines ammonite santorini assyrtiko|gr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines ammonite santorini assyrtiko|gr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=85
W|gaia|wines clay orange wine santorini assyrtiko|gr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines clay orange wine santorini assyrtiko|gr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=87
W|gaia|wines clay orange wine santorini assyrtiko|gr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines gaia estate nemea|gr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines gaia estate nemea|gr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|gaia|wines|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines monograph|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines monograph|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines monograph|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines monograph assyrtiko peloponnese|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines monograph assyrtiko peloponnese|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=96
W|gaia|wines moschofilero monograph|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines moschofilero monograph|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines moschofilero wild ferment|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines moschofilero wild ferment|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=100
W|gaia|wines notios red|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines notios red peloponnese|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines notios red peloponnese|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines notios red peloponnese|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=104
W|gaia|wines notios rood|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines notios white|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines notios white peloponnese|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines notios white peloponnese|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines notios white peloponnese|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines notios white peloponnese|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=110
W|gaia|wines notios wit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines nv vinsanto 20yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines ritinitis nobilis retsina|gr|w|retsina|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines ritinitis nobilis retsina|gr|w|retsina|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaia|wines ritinitis nobilis retsina|gr|w|retsina|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=115
W|gaia|wines ritinitis nobilis retsina|gr|w|retsina|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=115
W|gaia|wines s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines s syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines s syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=119
W|gaia|wines santorini vinsanto by gaia 8 years old nv|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines santorini vinsanto by gaia 8 years old nv|gr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=121
W|gaia|wines thalassitis santorini assyrtiko|gr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines thalassitis santorini assyrtiko|gr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=123
W|gaia|wines vinsanto by gaia|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines vinsanto by gaia 8 years old nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines vinsanto by gaia 8 years old nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=126
W|gaia|wines wild ferment|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines wild ferment moschofilero by gaia peloponnese|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines wild ferment moschofilero by gaia peloponnese|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines wild ferment santorini assyrtiko|gr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaia|wines wild ferment santorini assyrtiko|gr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|gaia|yesil cizgili pamuk plaj havlusu|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaialuna|pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaialuna|pinot grigio doc delle venezie|??|w|pinot grigio|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaiante|prosecco treviso brut rose|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaiao|alentejo reserva tinto 075|pt|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiao|vinho verde loureiro 075|pt|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiarda|a le chiel nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiarda|canavese nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaias|gaias|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiawinescom|gaiawinescom|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaidoz|forget premier cru millesime brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaidozforget|carte dor premier cru brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaidozforget|cuvee de reserve premier cru brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaidozforget|cuvee reserve premier cru brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaierhof|gaierhof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|trentino marzemino|it|r|??|??|??|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|bianco dolomiti igt|??|w|??|??|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|cabernet sauvignon trentino doc|it|r|cabernet sauvignon|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|chardonnay trentino doc|it|w|chardonnay|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|g bianco dolomiti igt|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|gewurztraminer trentino doc|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|lagrein|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|lagrein trentino doc|it|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|marzemino doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|marzemino tentino doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|marzemino tentino doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|gaierhof|maso poli rosso trentino marmoram doc|it|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|maso poli rosso trentino marmoram doc|it|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=159
W|gaierhof|merlot riserva trentino doc|it|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|merlot riserva trentino doc|it|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=161
W|gaierhof|merlot trentino riserva doc|it|r|merlot|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|merlot trentino riserva doc|it|r|merlot|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|moscato giallo dolce|??|r|moscato|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gaierhof|moscato giallo dolce trentino doc|it|r|moscato|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gaierhof|moscato giallo trentino doc|it|r|moscato|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|moscato giallo trentino doc|it|r|moscato|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|muller thurgau trentino doc|it|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|nosiola nosiola|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|nosiola trentino doc|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|nosiola trentino doc|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|pinot bianco trentino doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|pinot grigio ramato trentino doc|it|w|pinot grigio|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|pinot grigio trentino|it|w|pinot grigio|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|pinot grigio trentino|it|w|pinot grigio|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaierhof|pinot nero trentino doc|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|pinot noir trentino|it|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|rosso vigneti delle dolomiti igt|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|sauvignon trentino doc|it|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|schiava|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|schiava delle dolomiti igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|schiava delle dolomiti igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|gaierhof|schiava vigneti delle dolomiti red dry12 075|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|siris rose trento doc|??|p|??|??|??|nv|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gaierhof|siris trento brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaierhof|siris trento doc brut|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gaierhof|siris trento doc brut astucciato|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gaierhof|siris trentodoc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|siris trentodoc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gaierhof|spumante trento doc siris doc nv|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gaierhof|spumante trento doc siris doc nv|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco|=193
W|gaierhof|teroldego rotaliano|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|teroldego rotaliano|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|gaierhof|teroldego rotaliano doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|teroldego rotaliano doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|teroldego rotaliano doc riserva|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|teroldego rotaliano superiore riserva|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|teroldego rotaliano superiore riserva|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=200
W|gaierhof|teroldego rotaliano superiore riserva doc|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaierhof|teroldego rotaliano superiore riserva doc|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=202
W|gaikodzor|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaikodzor|mourvedresyrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaikodzor|muscat white dry 125 075|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaikodzor|red klen terroir red dry 14 075|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaikodzor|rose rose dry 12 075|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaikodzor|rose prestige rose dry 125 075|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaikodzor|roussanne white dry 14 075|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaikodzor|viognier white dry 125 075|??|w|viognier|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|doris cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|doris cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=214
W|gail|doris white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|fancy cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|madhavan moon mountain barbera|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|pickberry vineyard merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|pinot grigio morning sun ranch|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|two creek farm chenin blanc|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
