W|rose|periquita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da vaqueira|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da ribeira 2017|??|p|??|??|??|2017|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira selecao do ano 2020 alentejo|pt|p|??|alentejo|??|2020|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira selecao do ano 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira selecao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira premium 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira mr premium 2016 alentejo|pt|p|??|alentejo|??|2016|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira mr premium 2015 alentejo|pt|p|??|alentejo|??|2015|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|monte da ravasqueira classico alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|monte da raposinha alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|monte da peceguina 2024 alentejo|pt|p|??|alentejo|??|2024|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|monte da peceguina 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da peceguina|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monte da peceguina|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=106
W|rose|monte da peceguina|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=106
W|rose|monte cascas biologico 2022 beira interior|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monsaraz tradicao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|monsaraz doc alentejo|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|mon paul mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mob lote 3|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miraval cotes de provence provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miraval cinsault grenache rolle provence 2022 kit 6 un|??|p|grenache|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miras jovem malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mira do o caminhante dao|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|miolo selecao rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miolo selecao cabernet sauvignon tempranillo|??|p|cabernet sauvignon|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miolo selecao cab sauvignon tempranillo|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miolo selecao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|miolo almaden suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|minuty prestige|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mingorra colheita 2024 regional alentejano|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mineiro primeira estrada syrah rose 2024|??|p|syrah|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|milani pinot grigio rosato|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|milani pinot grigio rosato|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=126
W|rose|mezzacorona pinot grigio|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|merlot uruguaio la fiesta sur|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|merlot granja uniao garibaldi|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meioseco aime boucher|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meiomi|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco villa wolf pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco rose danjou famille bougrier|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco quinta de bons ventos fresh|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco portugues real grei|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco portugues guarda rios safra 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco la petite annie 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco la mandala bombino nero puglia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco kekfrankos tuzco birtok|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco espanhol vina losar tempranillo|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco diablo luminous|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco codici puglia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco ciconia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco chileno casa crebar|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco chileno amucan altue|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco casillero del diablo belight|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco calvet rose d anjou|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco atico monastrell 2024 espanha|??|p|monastrell|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|meio seco alma de lisboa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mediterranico igt terre siciliane 2022|it|p|??|sicilia|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|mediterranico igt terre siciliane 2022|it|p|??|sicilia|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco|=151
W|rose|mayos jovem 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
S|=29
S|=29
S|=29
S|=29
S|=29
S|=29
S|=29
W|rose|mateus rose medium sweet rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mateus medium sweet 75|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mateus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mate|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mate|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=164
W|rose|masciarelli villa gemma cerasuolo dabruzzo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|masciarelli villa gemma cerasuolo dabruzzo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=166
W|rose|masciarelli linea classica rosato igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|masciarelli colline teatine igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|masciarelli colline teatine igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=169
W|rose|masciarelli cerasuolo d abruzzo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marzarotto pleno blush 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marsannay rose bio 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marsannay rose 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marsannay rose 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marques de marialva colheita selecionada 2024 bairrada|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marius by michel chapoutier|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marius by michel chapoutier|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=177
W|rose|marine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|marichal reserve collection blanc de noir pinot noir chardonnay|??|p|pinot noir|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|maria saudade vinhos verdes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maria mora maria mora|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maria izabel 2021 douro|pt|p|??|douro|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|maria herminda porto feliz sao paulo|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|rose|marcus james|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mar salgado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mar de rosas casal stamaria 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maos touriga nacional 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|manz 2024 075|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|manon cotes de provence rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|manon cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|manoella 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|mamore de borba touriga nacional 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|mamore de borba 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|malhadinha 2021 alentejo|pt|p|??|alentejo|??|2021|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|malbec leve e equilibrado envio rapido|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|malbec la linda|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|malbec la linda|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=197
W|rose|malbec la linda|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=197
W|rose|malbec don miguel|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|malbec demisec vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|malbec demisec begamo vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|malbec argentino chacabuco|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|malbec altavid|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|malbec altavid|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=204
W|rose|maia magnum 2021 1 provence franca|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maia 2020 cotes de provence franca|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maguelonne coteaux de lardeche rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maguelonne 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|magnum claude val paul mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|madreterra negroamaro salento organico igp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|madre terra auraz rose pinot noir 2023|??|p|pinot noir|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|maccari rose di nere|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|macaw frisante tropical|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|macaw frisante suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|macanita touriga nacional em rose 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|macanita touriga nacional 2025|??|p|??|??|??|2025|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|m de minuty provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|m de minuty provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=218
W|rose|m de minuty aop cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|m de minuty 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luz elegance edition 2024 vinhos verdes|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luna agrelo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luiz argenta terroir xxvii|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luiz argenta la terroir xxvii vinho rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luiz argenta la jovem rose audrey|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luiz argenta l a jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luiz argenta jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luiz argenta jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=228
W|rose|luiz argenta jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=228
W|rose|luiz argenta jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=228
W|rose|luis pato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luigi bosca rose is a rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luigi bosca la linda malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luigi bosca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luccarelli rosato puglia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luccarelli rosato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luar do pampa guatambu|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|luar do pampa guatambu|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=238
W|rose|luar do pampa guatambu|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=238
W|rose|lua cheia 2022 douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|lqlc 2019 franca|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|love pink famille sumeire|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lorient sakura|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lisbonita rose blend 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lisbonita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lingal perez cruz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lidio carraro faces do brasil rose pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lidio carraro essence 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|licoroso porto brigs|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|rose|libanes chateau st thomas les gourmet|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|levity vinho verde doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|levity vinho verde doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=252
W|rose|les petites cuvees|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|les chant des sirenes gris de sauvignon 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|les 3 freres cotes de provence rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lenvol rose vin de france 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lello garrafa magnum 1|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
