W|graham|s quinta dos malvedos vintage port|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s six grapes reserve ruby|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s tawny port 20 yo 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s the stone terraces vintage|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s the tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s the tawny reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s tinbox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s vintage|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s vintage|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s vintage tappit hen|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s vintage port library release|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s vintage port|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|s white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graham|single harvest tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|six grapes reserve porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|graham|stone terraces|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|graham|sylvanas 9inch round|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|vintage port|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|vintage port|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|vintage port|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graham|vintage port|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahamliszt|teljes kiorlesu 1000g csuta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|grahams|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|grahams|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|grahams|grahams|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|grahams|grahams|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|grahams|grahams|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|grahams|grahams|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=40
W|grahams|10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|grahams|10 anos 4|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 anos 4 tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 anos c2 calices porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 anos porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 anos porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=61
W|grahams|10 anos tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 anos tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 anos tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|grahams|10 anos tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 anos tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=66
W|grahams|10 anos tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=66
W|grahams|10 anos tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=66
W|grahams|10 ar gammel tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 ar tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 ars tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 ars tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=72
W|grahams|10 ars tawny 37|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 ars tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 ars tawny port jeroboam 45 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|grahams|10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
X
X
W|grahams|10 year old tawny nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|grahams|10 year old tawny port 020 ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
X
X
W|grahams|10 year old tawny port grahams port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grahams|10 year old tawny port jeroboam|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port js93we91ws90d90|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port mini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|grahams|10 year old tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|grahams|10 year old tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|grahams|10 year old tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|grahams|10 year old tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=125
X
X
W|grahams|10 year old tawny port packaging may vary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port portugal|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year old tawny port portugal|pt|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|grahams|10 year old tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 year oporto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 year tawny nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=139
W|grahams|10 year tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=139
W|grahams|10 year tawny port 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 year tawny port porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 year tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 year tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=144
W|grahams|10 year the tawny port 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years 20o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|grahams|10 years old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|grahams|10 years old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|grahams|10 years old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|grahams|10 years old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|grahams|10 years old tawny 34 ltr w j graham co|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny 45 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny med rr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|grahams|10 years old tawny port 075 ltr 20 alc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny port 45 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years old tawny portvin wj graham s co|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|grahams|10 years tawny 075 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|grahams|10 years tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|grahams|10 years tawny port 3 x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 years tawny porto port|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 years tawny porto port wine|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10 yr old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 yr tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 yr tawny nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10 yrs tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10y tawny 45 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10y tawny 45 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=189
W|grahams|10yearold tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yo tawny 02|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yo tawny 37|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grahams|10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|grahams|10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|grahams|10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|grahams|10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|grahams|10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=196
X
W|grahams|10yo tawny port small|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yo tawny porto|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|10yr old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yr port tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yr tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yr tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|10yr tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=208
W|grahams|10yr tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=208
W|grahams|10yr tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=208
W|grahams|single harvest colheita porto|??|f|??|??|??|1940|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest colheita porto|??|f|??|??|??|1950|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest tawny port|??|r|??|??|??|1950|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port douro portugal|pt|r|??|douro|douro|1950|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest colheita porto|??|f|??|??|??|1952|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest colheita porto|??|f|??|??|??|1963|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|malvedos vintage porto|??|f|??|??|??|1964|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|malvedos vintage porto|??|f|??|??|??|1965|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|malvedos vintage porto|??|f|??|??|??|1968|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest port|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|porto vintage|??|f|??|??|??|1970|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|porto vintage|??|f|??|??|??|1970|20|??|encorpado|queijos, sobremesas, chocolate|doce|=222
W|grahams|vintage port|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|vintage port|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=224
W|grahams|vintage porto|??|f|??|??|??|1970|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|colheita single harvest tawny|??|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest port|??|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest colheita porto|??|f|??|??|??|1974|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest tawny port|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|single harvest tawny port|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=230
W|grahams|porto vintage|??|f|??|??|??|1975|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|vintage port|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|vintage porto|??|f|??|??|??|1975|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|vintage porto 1|??|f|??|??|??|1975|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|malvedos vintage porto|??|f|??|??|??|1976|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|grahams|??|r|??|??|??|1977|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|porto vintage|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|vintage port|??|r|??|??|??|1977|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|vintage porto|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|vintage porto 1|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|malvedos vintage porto|??|f|??|??|??|1978|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|malvedos vintage porto|??|f|??|??|??|1980|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|vintage porto|??|f|??|??|??|1980|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|vintage porto 1|??|f|??|??|??|1980|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|single harvest colheita porto|??|f|??|??|??|1982|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|grahams|grahams|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grahams|vintage port|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
