W|15|minute test pots pinot noir|??|r|grenache syrah pinot noir, pinot noir, syrah, grenache|??|??|2024|14|??|encorpado|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco
W|vinyes|convent mon pare tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|vinyes|convent mon pare tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|domaine|beudon mon paien libre|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco
W|mon|padri tinto|??|r|??|??|??|1920|13.5|??|medio|carne vermelha, queijo|seco
W|mon|orxata traditional tigernut chufa tradicional valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|mon|orxata traditional tigernut chufa tradicional valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=88
W|mon|orxata traditional tigernut chufa tradicional valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=88
W|mon|orxata traditional tigernut chufa tradicional valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=88
W|mon|orxata organic tigernut chufa ecologica valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|mon|orxata organic tigernut chufa ecologica valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=92
W|mon|orxata organic tigernut chufa ecologica valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=92
W|mon|orxata organic tigernut chufa ecologica valencia bag 1kg|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=92
W|chateau|picoron mon nom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|nene|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|moscatel|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|mon|moscatel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|montesanco|mon bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|montesaco macabeo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|monastrell rosado|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco
W|mon|moment choucroute 410g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|laura|david vigneronne mon mojo|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|laura|david vigneronne mon mojo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon mio|laimi vaarikamaitselised kommid 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|mon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon kit|biere recharge kit brassage blonde 5lts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon kit|biere kit complet brassage biere triple 5lts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon kit|biere kit complet brassage biere blonde 5lts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon kit|biere blonde kit decouverte brassage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|ca|boit libre mon blanc bronze|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|mon jay|mezza fetta olive dip 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon iaio|sisco negre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|domaine|clavel mon histoire rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco
W|domaine|clavel mon histoire rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco|=116
W|histoire|denfer blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|si|mon grenache|??|r|grenache|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco
X
W|mon|gg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheval gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc bronze|??|w|gamay|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc bronze|??|w|gamay|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco
X
W|mon|frere chardonnay|us|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|mon|frere vintners selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|14|??|encorpado|carne vermelha, queijo|seco
W|mon|frere pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|mon|frere vintners selection cabernet sauvignon|??|r|cabernet sauvignon, pinot noir|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco
W|mon|frere vintners selection cabernet sauvignon|??|w|cabernet sauvignon, chardonnay|??|??|2022|12.5|do|leve|peixes, frutos do mar|seco
W|mon|frere vintners selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|14|??|encorpado|carne vermelha, queijo|seco
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere pinot noir|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|frere pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=126
W|mon|frere chardonnay|us|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=126
W|mon|frere chardonnay|??|w|chardonnay|??|??|2022|12.5|do|leve|peixes, frutos do mar|seco
W|mon|frere chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=126
W|mon|frere chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=126
W|mon|frere chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=126
W|mon|frere pinot noir|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere pinot noir|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere pinot noir|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=135
W|mon|frere chardonnay|us|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=126
W|mon|frere vintners selection cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|mon|frere vintners selection cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|mon|frere vintners selection cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|mon|frere vintners selection cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|mon|frere vintners selection cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|mon|frere vintners selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|mon|frere vintners selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|mon|frere vintners selection cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=151
W|ca|boit libre mon blanc bronze|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|mon|eurydice|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|mon|eurydice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon doux|mourvedre|??|r|mourvedre|??|??|NV|13.5|do|encorpado|carne vermelha, queijo|seco
W|mon doux|mourvedre|??|r|mourvedre|??|??|2022|13.5|do|encorpado|carne vermelha, queijo|seco
W|ca|boit libre mon blanc bronze|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|mon dieu|vermouth|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|mon dieu|blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|mon|dieu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|langlois|cremant loire vintage brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|langlois|cremant loire vintage brut|fr|s|??|loire|??|NV|12|??|leve|aperitivos, frutos do mar|brut|=168
W|chateau|martinolles cremant limoux brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|chateau|martinolles cremant limoux brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut|=170
W|maison|cremant cremant bourgogne brut rose|fr|s|??|bourgogne|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|maison|cremant cremant bourgogne brut rose|fr|s|??|bourgogne|??|NV|12|??|leve|aperitivos, frutos do mar|brut|=172
W|chateau|rambauds mon basset classique bordeaux|fr|s|??|bordeaux|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|robert|meistermann cremant dalsace brut rose|fr|s|??|alsace|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|robert|meistermann cremant dalsace brut rose|fr|s|??|alsace|??|NV|12|??|leve|aperitivos, frutos do mar|brut|=175
W|mon|cours dnologie editions dunod dedicace par lauteure|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cours dnologie editions dunod|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|domaine|creve coeur cotes rhone|fr|r|??|rhone|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|creve coeur cotes rhone|fr|r|??|rhone|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=180
W|waipara|hills waipara valley pinot noir rose|nz|p|pinot noir|??|??|2020|12.5|??|leve|saladas, frutos do mar|seco
W|waipara|hills waipara valley riesling|nz|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar|seco
W|waipara|hills waipara valley pinot noir rose|nz|p|pinot noir|??|??|2017|12.5|??|leve|saladas, frutos do mar|seco
W|mon|cheval gewurztraminer|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar|seco
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=186
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=186
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=186
W|mon|cheval gewurztraminer|nz|w|riesling|canterbury|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=122
W|mon|cheval mon petit pinot noir|nz|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=73
W|mon|cheval mon petit pinot noir|nz|r|pinot noir|canterbury|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=192
W|mon|cheval mon petit pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=186
W|waipara|hills waipara valley pinot noir rose|nz|p|pinot noir|??|??|2017|12.5|??|leve|saladas, frutos do mar|seco|=184
W|mon|cheval mon petit pinot noir|nz|r|pinot noir|canterbury|??|2017|13.5|??|medio|carne vermelha, queijo|seco|=186
W|mon|cheval gewurztraminer|??|w|riesling|??|??|2019|12.5|??|leve|peixes, frutos do mar|seco
W|mon tout|cherry picking|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=7
W|mon|cheri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|cheri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=200
W|mon cher|magnum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon cher|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|mon cher|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=203
W|mon|cher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mandirola|vini mon cavare brut metodo classico|es|s|??|??|??|NV|12|do|leve|aperitivos, frutos do mar|brut
W|miquel|pons cava gran reserva montargull brut nature suro|es|s|??|??|??|NV|12|gran reserva|leve|aperitivos, frutos do mar|brut nature
W|montesanco|mon bobal|es|s|??|??|??|NV|12|reserva|leve|aperitivos, frutos do mar|brut
W|domaine|albin jacumin pour clairette chateauneufdupape blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|mon|cadeau fete meres personnalise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|montesanco|mon bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=100
W|montesanco|mon bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=100
W|mon|frere sauvignon blanc|fr|w|sauvignon blanc|savoie|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|ca|boit libre mon blanc bronze|fr|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=132
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=124
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=132
W|mon|frere sauvignon blanc|gr|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|gr|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|domaine|lafage centenaire cotes roussillon blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc bronze|fr|w|??|savoie|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=215
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=215
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|ca|boit libre mon blanc bronze|fr|w|??|savoie|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=215
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|ca|boit libre mon blanc alpes|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc alpes|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=236
W|ca|boit libre mon blanc alpes|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=236
W|ca|boit libre mon blanc alpes|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=236
W|ca|boit libre mon blanc alpes|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc alpes|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc alpes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc bronze|fr|w|??|savoie|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=215
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=215
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
