W|dalamara naoussa|naoussa|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalamel merlot|reserva lapostolle|fr|r|merlot|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalamel reserva|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalamel reserva|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco|=26
W|dalamel reserva|cabernet sauvignon 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalamel reserva|carmenere|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalamel reserva|carmenere|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco|=29
W|dalamel reserva|chardonnay|fr|w|chardonnay|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco
W|dalamel reserva|chardonnay|fr|w|chardonnay|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco|=31
W|dalamel reserva|sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco
W|dalamel reserva|sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco|=33
W|dalamel sauvignon|blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalamquer casa|santos lima doc alenquer 2019|fr|r|??|??|??|2019|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|dalan 4125g|pure olive|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalan 4125g|pure white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalan 4200g|pure white 16174|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalan 4250g|pure white 16184|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalan 475g|family spring flowers 25812|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalandan|dalandan|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalang times|swimming life vest adult|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalaruan|dalaruan|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalary slingback|pump|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|1000|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|1000 aloe vera|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|1000 argan oil|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|1000 pomegranate|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|200|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|500|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|75|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|900 aloe vera|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|900 argan oil|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|900 keratin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|900 pomegranate|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas|900 profitox|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas das|o2 100|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas dusigeel|rohelise tee ja kurgiga 1000g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas dusigeel|sheavoi ja vaniljega 1000g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas juuksemask|keratiini ja piima proteiiniga|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas katekreem|oliivi ja avokaadoga|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalas sampoon|johvika ekstrakti ja argaaniaoliga|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalba italiensk|vit tryffelrengoringskram|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalba vit|tryffel aterfettande rengoringskram|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalberger ritterholle|riesling erste lage|fr|w|riesling|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalberger ritterholle|riesling erste lage|fr|w|riesling|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=66
W|dalberger ritterholle|riesling trocken 2022|fr|w|riesling|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalberger ritterholle|vdperste lage riesling kabinett 2022|fr|w|riesling|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalberger ritterholle|vdperste lage riesling trocken 2022|fr|w|riesling|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalbosco altos|de punitaqui cab souvignon 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalbosco cabernet|sauvignon clasico 2022|fr|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalbosco clasico|rose 750cc|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalbosco classico|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalbosco classico|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=74
W|dalbosco dolce|tardio viognier 2021|fr|w|viognier|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalbosco dolce|tardio viognier 2021|fr|w|viognier|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco|=76
W|dalbosco gran|reserva assemblage do punitaqui limari valley 2019|fr|r|??|??|??|2019|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva icono cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva icono carmenere|fr|r|??|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva icono ensamblaje|fr|r|??|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva icono syrah|fr|r|syrah|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva privada especial|fr|r|??|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva syrah|fr|r|syrah|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva syrah do punitaqui limari valley 2019|fr|r|syrah|??|??|2019|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco gran|reserva syrahcarmenere 2019|fr|r|syrah|??|??|2019|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco iconos|gran reserva|fr|r|??|??|??|NV|13.5|GRAN RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco kuri|taqui cab souvignon rva esp 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|cabernet sauvignon 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|cabernet sauvignon limari 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|carmenere 2017|fr|r|??|??|??|2017|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|carmenere limari 2017|fr|r|??|??|??|2017|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|de familia viognier|fr|w|viognier|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco
W|dalbosco reserva|ensamblaje|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|especial assemblage do punitaqui limari valley 2020|fr|r|??|??|??|2020|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|especial carmenere|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|privada ensamblaje|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|syrah 2016|fr|r|syrah|??|??|2016|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalbosco reserva|viognier|fr|w|viognier|??|??|NV|12.5|RESERVA|medio|peixe, frutos do mar|seco
W|dalbosco rose|syrah suave 2020|fr|p|syrah|??|??|2020|13.5|??|medio|frutos do mar, saladas|seco
W|dalbosco thaqui|red assemblage 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalbosco white|truffle powder seasoning 60g|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalbosco wine|luna de oro syrah rva esp 2020|fr|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalda vanaspati|vanaspati|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalda vanaspati|1 ltr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|daldin brut|dongjone cuvee sparkling wine 0|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|daldin brut|valdobbiadene prosecco superiore docg 0|it|s|??|??|??|NV|12|DOCG|medio|aperitivos, frutos do mar|brut
W|daldin extra|dry dongjone cuvee sparkling wine 0|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|daldin extra|dry mesai prosecco doc 0|it|s|??|??|??|NV|12|DOC|medio|aperitivos, frutos do mar|brut
W|daldin prosecco|valdobbiadene brut superiore docg|it|s|??|??|??|NV|12|DOCG|medio|aperitivos, frutos do mar|brut
W|daldy gallina|500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dale moscow|mule|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|daleah shomer|by marco abella priorat|es|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|daleah shomer|dopriorat dry red by marco bella winery|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalecio family|wines cabernet sauvignon napa valley 2017|us|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalee roasted|peking duck boneless 16x625g th|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalegria foral|da sesmaria tinto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalen vineyards|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|daleside blonde|blonde|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|daleside old|leg over|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalesio closciarr|trebbiano colline pescaresi igt|it|w|trebbiano|??|??|NV|12.5|IGT|medio|peixe, frutos do mar|seco
W|dalesio molesto|colline pescaresi igt|fr|r|??|??|??|NV|13.5|IGT|encorpado|carne vermelha, queijo|seco
W|dalesio montepulciano|dabruzzo sciarr biologico 2021|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfarras albarino|2021|fr|w|albarino|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalfarras albarino|2021|fr|w|albarino|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco|=124
W|dalfarras nero|davola 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfarras pinot|grigio|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalfarras pinot|grigio 2024|fr|w|pinot grigio|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalfarras prosecco|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|dalfarras prosecco|prosecco|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=129
W|dalfarras prosecco|2025|it|s|??|??|??|2025|12|??|medio|aperitivos, frutos do mar|brut
W|dalfarras rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalfarras sangiovese|sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfarras sangiovese|sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=133
W|dalfonsocurran|2017 pinot noir rancho la vina santa rita hills|fr|r|pinot noir|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfonsocurran|2022 santa barbara pinot noir|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfonsocurran di|bruno 2018 nebbiolo santa barbara county|it|r|nebbiolo|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfonsocurran pinot|noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfonsocurran pinot|noir santa barbara california 2018|us|r|pinot noir|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalfonsocurran pinot|noir santa barbara california 2018|us|r|pinot noir|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=139
W|dalforno romano|superiore 1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalforno valpolicella|valpolicella|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalgety craigellachie|12yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalheim spatburgunder|w grohl rheinhessen 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalheimer kranzberg|cabernetsauvignon merlot trocken 2019|fr|r|merlot|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2629|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2630|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2631|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2632|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2680|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2682|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2684|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali|2686|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali colour|library|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali gogh|seramik set|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dali the|wines of gala|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia|2024 pinot grigio|fr|w|pinot grigio|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalia|2024 trac gewurztraminer timok serbia|fr|w|gewurztraminer|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalia blanca|blanca|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia blanca|2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia gaamez|gamay 2023|fr|r|gamay|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia maris|colli orientali del friuli pignolo pignul 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia maris|friulano r 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia maris|piccolo bianco 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalia maris|piccolo bianco 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco|=164
W|dalia maris|piccolo bianco venezia giulia 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalia maris|piccolo ode to hermitage bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalia negra|negra|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia negra|negra|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=168
W|dalia negra|2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia pinot|grigio|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalia pinot|grigio 2023|fr|w|pinot grigio|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalia pinot|grigio 2024|fr|w|pinot grigio|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalia pinot|grigio delle venezie 2023 italy|it|w|pinot grigio|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalia pinot|grigio delle venezie italy 2024|it|w|pinot grigio|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalia spelt|gamayvranac serbia 2021|fr|r|gamay|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia splet|gamay noir 2022|fr|r|gamay|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia splet|gamayvfranc|fr|r|gamay|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalia trac|gewurztraminer 2022|fr|w|gewurztraminer|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|daliah vest|yellow|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalian cooked|abalone 8pcs frozen|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalila|2024|fr|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalila alubias|blancas cocidas extra 560g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalila feudo|arancio sicilia doc|it|r|??|??|??|NV|13.5|DOC|encorpado|carne vermelha, queijo|seco
W|dalila garbanzos|cocidos extra 560g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalila lentejas|cocidas 560g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalila top|and orchid bottom paseo del sol multi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalimar shoestring|potato chips 185g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalimar shoestring|potato chips 500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalion|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalion mavrodafne|mavrodafne|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalis bianco|bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalis bianco|bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=192
W|dalis bianco|bianco|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=192
W|dalis bianco|2020|fr|w|??|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|dalis bianco|endrizzi|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalis bianco|endrizzi|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=196
W|dalis bianco|endrizzi italy|it|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalis bianco|vigneti delle dolomiti igp|fr|w|??|??|??|NV|12.5|IGP|medio|peixe, frutos do mar|seco
W|dalis bianco|vigneti dolomiti endrizzi|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalis bianco|vino bianco ditalia 2025|fr|w|??|??|??|2025|12.5|??|medio|peixe, frutos do mar|seco
W|dalis rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalis rose|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=202
W|dalis rose|2020|fr|p|??|??|??|2020|13.5|??|medio|frutos do mar, saladas|seco
W|dalis rose|endrizzi|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalis rose|endrizzi|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco|=205
W|dalis rosso|rosso|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalis rosso|ditalia|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalis rosso|endrizzi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalis rosso|endrizzi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=209
W|dalis rosso|endrizzi italy|it|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalisay|dalisay|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalisay|dalisay|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=212
W|dalitro malgiacca|malgiacca|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalivard|dalivard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkeith|2023 dalkeith kalmoesfontein chenin blanc 2023|fr|w|chenin blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith jakkalsfontein|syrah|fr|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkeith jakkalsfontein|syrah 2023|fr|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkeith jakkalsfontein|syrah 2023|fr|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=218
W|dalkeith kalmoesfontein|chenin blanc|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith kalmoesfontein|chenin blanc 2021|fr|w|chenin blanc|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith kalmoesfontein|chenin blanc 2023|fr|w|chenin blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith kalmoesfontein|chenin blanc 2023|fr|w|chenin blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco|=222
W|dalkeith kalmoesfontein|chenin blanc 2024|fr|w|chenin blanc|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith kalmoesfontein|swartland chenin blanc 2021|za|w|chenin blanc|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith kalmoesfonterin|chenin blanc|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith koplandsteen|chenin blanc|fr|w|chenin blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalkeith koplandsteen|chenin blanc 2023|fr|w|chenin blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalkowksi advocaat|liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkowski advocaat|advocaat|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkowski promocja|promocja|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkowski wodka|0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkowski wodka|czysta 40 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkowski wodka|jarzebinowa|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalkowski wodka|wisniowa|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
