W|gran legado|tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gran maestro|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gran maestro|primitivo di manduria 3 szt|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria 6 szt|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria doc|??|r|primitivo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria doc|??|r|primitivo|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria doc|??|r|primitivo|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|primitivo di manduria doc|??|r|primitivo|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|rosso appassimento puglia igt|it|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|rosso puglia appasimento|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|rosso puglia appassimento|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|rosso puglia appassimento|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=122
W|gran maestro|rosso puglia appassimento|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=122
W|gran maestro|rosso puglia igt|it|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran maestro|rosso puglia igt|it|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|gran malbec|gran malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|gran malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=127
W|gran malbec|gran malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=127
W|gran malbec|aoc flechas de los andes|??|r|malbec|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|aoc flechas de los andes|??|r|malbec|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|gran malbec|caja de madera de regalo|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|de potrero|??|r|malbec|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|flechas de los andes|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|flechas de los andes|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|piedra negra|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|reserva finca flichman|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malbec|valle de uco mendoza piedra negra|ar|r|malbec|mendoza|mendoza|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|horchata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|horchata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=139
W|gran malo|jamaica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|jamaica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=141
W|gran malo|limited edition combo pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
S
W|gran malo|spicy tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|spicy tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|gran malo|spicy tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|gran malo|spicy tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|gran malo|spicy tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|gran malo|spicy tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|gran malo|spicy tamarindo 070|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|spicy tamarindo 10 pk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran malo|tamarindo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=154
W|gran malo|tamarindo mini shot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marinella|sangria must be 18yrs old and above|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marinella|vino blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran marinella|vino rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marinella|vino rosso must be 18yrs old and above|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marius|reserva seleccion do|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marius|reserva seleccion do almansa bodegas piqueras|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marius|reserva superior|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marius|reserva superior|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gran marius|reserva superior|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gran marius|reserva superior|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gran marius|reserva superior|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marius|verdejo barrica|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran marius|verdejo barrica|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|gran marius|verdejo barrica|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|gran marius|verdejo barrica|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|gran marius|verdejo barrica spanje|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran marius|verdejobarrica organic|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran marnier|france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran marnier|rojo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mascota|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mascota|cabernet sauvignon caja|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mascota|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mascota|malbec|??|r|malbec|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|teroldego endrizzi|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|teroldego endrizzi|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|teroldego endrizzi|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|endrizzi|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|endrizzi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|rosso dolomiti igt|??|r|??|??|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran masetto|rosso dolomiti igt|??|r|??|??|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran matador|light|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mexteno|smooth spicy habanero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mexteno|smooth spicy jalapeno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mezcla|de comahue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mezcla|lopez pangue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran milano|bitter 262|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|cuvee rosalia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|cuvee rosalia 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|dark blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|dark blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|gran mirador|dark blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|gran mirador|dark blend bodegas gran castillo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|red blend bodegas gran castillo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mirador|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|gran mirador|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=201
W|gran mitla|grasshopper salt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mitla|worm salt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|gran moraine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|gran moraine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=206
W|gran moraine|yamhill carlton chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|gran moraine|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|gran moraine|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhill carlton pinot noir|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhill carlton pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=214
W|gran moraine|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=214
W|gran moraine|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=214
W|gran moraine|brut rose n v|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|brut rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|brut rose yamhill carlton district|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|brut rose yamhill nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|brut rose yamhillcarlton|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|brut rose yamhillcarlton district usa|us|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|gran moraine|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|gran moraine|chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=233
W|gran moraine|chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=212
W|gran moraine|chardonnay yamhill carlton|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay yamhill carlton|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
