W|stag's leap|wine cellars cask 23 cabernet sauvignon 2016|gb|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars aveta sauvignon blanc 2023|us|w|sauvignon blanc|california|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=54
W|stag's leap|wine cellars aveta sauvignon blanc 2019|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags|leap wine cellars aveta sauvignon blanc 2017|us|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stags|leap wine cellars aveta sauvignon blanc|us|w|??|california|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags|leap wine cellars aveta sauvignon blanc|us|w|??|california|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=60
W|stag's leap|wine cellars aveta sauvignon blanc|us|w|sauvignon blanc|california|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars aveta sauvignon blanc|us|w|sauvignon blanc|california|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=62
W|stags|leap wine cellars aveta sauvignon blanc|us|w|??|california|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=60
W|stags|leap wine cellars aveta napa sauvignon blanc|us|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars 'aveta'|us|w|sauvignon blanc|california|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|stag|s leap wine cellars artemis napa valley cabernet sauvignon 2022|us|r|cabernet sauvignon|california|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars artemis napa valley cabernet sauvignon|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars artemis napa valley cabernet sauvignon|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco|=69
W|stags|leap wine cellars artemis napa cabernet 2021|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 'artemis' cabernet sauvignon napa valley usa 2022|us|r|cabernet sauvignon|california|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 'artemis' cabernet sauvignon napa valley usa 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon napa valley 2021|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cabernet sauvignon napa valley|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon magnum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cabernet sauvignon 2022|us|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cabernet sauvignon 2022|us|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=77
W|stag's leap|wine cellars artemis cabernet sauvignon 2022|us|r|cabernet sauvignon|california|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2022|us|r|cabernet sauvignon|california|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=79
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stag's leap|wine cellars 'artemis' cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stags|leap wine cellars artemis cabernet sauvignon 2021|gb|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stag's leap|wine cellars 'artemis' cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=85
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stag's leap|wine cellars artemis cabernet sauvignon 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=81
W|stag|s leap wine cellars artemis cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2020|us|r|cabernet sauvignon|california|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 'artemis' cabernet sauvignon 2020|us|r|cabernet sauvignon|california|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cabernet sauvignon 2019|us|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon 2014|us|r|cabernet sauvignon|napa valley|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon|us|r|cabernet sauvignon|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cabernet sauvignon|us|r|cabernet franc, cabernet sauvignon, malbec, merlot|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon|us|r|cabernet sauvignon|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=99
W|stag|s leap wine cellars artemis cabernet sauvignon|us|r|cabernet franc, cabernet sauvignon, malbec, merlot|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=100
W|stags|leap wine cellars artemis cabernet sauvignon|us|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis cabernet sauvignon|us|r|cabernet sauvignon|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=99
W|stag|s leap wine cellars artemis cabernet sauvignon|us|r|cabernet franc, cabernet sauvignon, malbec, merlot|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=100
W|stag's leap|wine cellars artemis cabernet sauvignon|us|r|cabernet sauvignon|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=99
W|stags' leap|wine cellars artemis cabernet sauvignon|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cabernet sauvignon|us|r|cabernet franc, cabernet sauvignon, malbec, merlot|california|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=100
W|stags|leap wine cellars artemis cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags' leap|wine cellars artemis cabernet sauvignon|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco|=107
W|stag's leap|wine cellars artemis cabernet 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis cab sauv|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars artemis 2022|us|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis 2020|fr|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis 2020|fr|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco|=115
W|stag's leap|wine cellars artemis 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars artemis 2018|us|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars artemis 2013|us|r|??|domestic wines|??|2013|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars artemis|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco|=121
W|stag|s leap wine cellars 2023 sauvignon blanc aveta|us|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags|leap wine cellars 2023 karia chardonnay napa valley|us|w|chardonnay wine|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stag|s leap wine cellars 2023 karia chardonnay|us|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars 2023 cask 23 cabernet sauvignon|us|r|cask 23 cabernet sauvignon 750 ml|napa|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars aveta sauvignon blanc napa valley 2023|us|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=50
W|stag's leap|wine cellars 2022 aveta sauvignon blanc napa valley|us|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stag's leap|wine cellars 2022 artemis cabernet sauvignon napa valley|us|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars 2022 artemis cabernet sauvignon|us|r|cabernet sauvignon wine|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars 2021 s l v cabernet sauvignon|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars 2021 fay vineyard cabernet sauvignon|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 2021 cask 23 cabernet sauvignon|us|r|cask 23 cabernet sauvignon|napa valley|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars 2021 cask 23 cabernet sauvignon|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars 2021 artemis cabernet sauvignon|us|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 2020 artemis cabernet sauvignon napa valley|us|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars 2018 s l v cabernet sauvignon|us|r|cabernet sauvignon wine|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 2017 artemis cabernet sauvignon napa valley|us|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars 2009 s l v cabernet sauvignon s l v|us|r|s l v cabernet sauvignon s l v|napa valley|??|2009|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellars|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wine cellars|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|wine cellars|us|r|cabernet sauvignon|napa valley|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stags' leap|wine cellar cask 23 napa valley cabernet sauvignon 2013|us|r|cabernet sauvignon|california|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag|s leap wine cellar artemis cabernet sauvignon napa valley 2020|us|r|cabernet sauvignon|usa|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon slv 2017|us|r|cabernet sauvignon|california|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon slv 2014|us|r|cabernet sauvignon|california|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon slv 2012|us|r|cabernet sauvignon|california|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon slv 2007|us|r|cabernet sauvignon|california|??|2007|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon slv 1996|us|r|cabernet sauvignon|california|??|1996|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon slv 1976|us|r|cabernet sauvignon|california|??|1976|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon napa valley 1999|us|r|cabernet sauvignon|california|??|1999|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon napa valley 1998|us|r|cabernet sauvignon|california|??|1998|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon napa valley 1997|us|r|cabernet sauvignon|california|??|1997|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon lot 2 napa valley 1998|us|r|cabernet sauvignon|california|??|1998|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon fay 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon fay 1997|us|r|cabernet sauvignon|california|??|1997|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cellarius ii 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cellarius ii 2012|us|r|cabernet sauvignon|california|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cellarius i 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cellarius i 2015|us|r|cabernet sauvignon|california|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cellarius i 2012|us|r|cabernet sauvignon|california|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2016|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2015|us|r|cabernet sauvignon|california|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2014|us|r|cabernet sauvignon|california|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2013|us|r|cabernet sauvignon|california|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2012|us|r|cabernet sauvignon|california|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2008|us|r|cabernet sauvignon|california|??|2008|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2006|us|r|cabernet sauvignon|california|??|2006|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2003|us|r|cabernet sauvignon|california|??|2003|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 2002|us|r|cabernet sauvignon|california|??|2002|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 1998|us|r|cabernet sauvignon|california|??|1998|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 1995|us|r|cabernet sauvignon|california|??|1995|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 1994|us|r|cabernet sauvignon|california|??|1994|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon cask 23 1992|us|r|cabernet sauvignon|california|??|1992|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stag's leap|wine cabernet sauvignon artemis 2021|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stags|leap wine c cabernet sauvignon artemis|us|r|??|napa valley|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap wc cask 23 cabernet sauvignon|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap viognier napa valley 2022|us|w|viognier|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags|leap viognier napa|us|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags' leap|viognier 2023|us|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags' leap|viognier 2021|us|w|viognier|california|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|stags' leap|the leap napa valley cabernet sauvignon|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags' leap|the leap estate grown napa valley cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos|seco
X
X
W|stags' leap|the investor red blend 2020|us|r|??|california|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stag's leap|the investor red blend|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags' leap|the investor napa valley red blend|us|r|??|california|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags' leap|the investor napa valley 2018|us|r|??|california|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
W|stags|leap the investor 2018|us|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos|seco
X
W|stags|leap slv napa cabernet sauvignon|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos|seco
W|stags|leap slv napa cabernet sauvignon|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
X
