W|vino|espumoso blanco rgny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron rothberg 750c|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron maxime regalo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron maxime|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron de valls ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso baron de valls ice rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso baron de valls ice blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron de rotherg brut botella|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso baron de rothberg rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso baron de rothberg demi sec botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso baron de rothberg demi sec airen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso baron de rothberg brut rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso baron de rothberg brut botella|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso baron darignac semi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron darignac rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso baron darignac demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso baron darignac demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec|=65
W|vino|espumoso baron d arignac rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso baron d arignac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso banshee sparkling brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso balero rosado valle de guadalupe mexico|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso balero rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso balero espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso balero blanco brut queretaro mexico|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso azul opera prima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso aviva sky azul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso aviva pink rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso aviva pink gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso avitorias botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso avitorias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti spumante martinni|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso asti spumante docg dezzani|??|s|??|??|??|NV|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|espumoso asti rose italia|it|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso asti riccadonna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti riccadonna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=83
W|vino|espumoso asti riccadonna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=83
W|vino|espumoso asti riccadonna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=83
W|vino|espumoso asti prosecco italia|it|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso asti pinelli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti pinelli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=88
W|vino|espumoso asti pinelli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=88
W|vino|espumoso asti martini italia|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti martini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=92
W|vino|espumoso asti espumante riccadonna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti dolce fontanafredda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso asti docg italia|it|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti cocchi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti cinzano 200|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti cinzano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso asti cinzano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=105
W|vino|espumoso argentino maria codorniu sur extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso argentino chandon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso argentino chandon extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso argentino chandon extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut|=109
W|vino|espumoso argentino chandon demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso argentino chandon delice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso argentino chandon brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso argentino chandon brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=113
W|vino|espumoso antinori marchese cuvee royal blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso antica vigna prosecco doc|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso antares sparkling brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso anonimo pet nat sangiovese|??|s|sangiovese|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso anonimo pet nat pinot noir baja intervencion|??|s|pinot noir|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso anonimo pet nat muscat|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso anna codorniu picolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso anecdota espumoso tinto altotinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso anecdota espumoso blanco altotinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso andre sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso andre sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=124
W|vino|espumoso andre sparkling brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso andre sparkling brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=126
W|vino|espumoso andre rose bot|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso andre rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso andre brut blanco|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso andre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso andiamo spritz mix|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso andiamo spritz mix|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=132
W|vino|espumoso andiamo prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso analogia dulce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso analogia brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso analogia brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=136
W|vino|espumoso analogia brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=136
W|vino|espumoso analogia amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso altotinto anecdota espumoso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso altotinto anecdota espumoso blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso alta vista extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso alta langa limited edition docg fontanafredda piemonte italia|it|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso alma negra brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso alma mora pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso alicante rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso alicante free blanco sin alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso alicante blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso aleman blue nun sparkling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso aleman blue nun sparkling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=149
W|vino|espumoso alegranza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso aldonza cava brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso aldonza cava brut reserva|??|s|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|brut
W|vino|espumoso aldonza cava brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso aldonza cava brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature|=154
W|vino|espumoso aldonza cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso aldonza brut nature cava|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso albert mann brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso albert bichot brut reserve blend|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso albarino martin codax|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso albarino martin codax|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=160
W|vino|espumoso albarino feitizo brut|??|s|albarino|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso albarino feitizo brut|??|s|albarino|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=162
W|vino|espumoso alamos espumante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso alamos espumante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=164
W|vino|espumoso ai galli prosecco doc extra brut|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso ai galli prosecco doc brut millesimato rosado|??|p|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|brut
W|vino|espumoso acquerello prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso acquerello prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=168
W|vino|espumoso abbazia prosecco dry|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry
W|vino|espumoso 4 soles tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso 4 soles blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso 4 soles afrutado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=174
W|vino|espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=174
W|vino|espumos brut bellini canella|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumos alta alella bruant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante vinamar unique blend chile 12|cl|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante undurraga demi sec x3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumante undurraga demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumante undurraga cold brake blue x3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante undurraga cold brake blue x12|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante undurraga cold brake blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante undurraga brut x3|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante undurraga brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=187
W|vino|espumante sweet moscato undurraga|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumante six pack con etiquetas personalizadas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumante italiano bottega gold prosecco spum doc 200|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumante frizzantino rose lichee|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumante frizzantino brut bot x|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante dominga brut rose chardonnay pinot noir|??|p|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante dominga brut rose chardonnay pinot noir|??|p|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=195
W|vino|espumante dominga brut chardonnay|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante dominga brut chardonnay|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=197
W|vino|espumante brut bco frizzantin|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante brut amaranta lata de 250 cc|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante bottega prosecco gold rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumante bottega gold rose brut 115|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante bottega gold prosecco spum doc|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumante bottega gold prosecco 11|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumante amaranta brut 750cc|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espum chandon extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espum chandon extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut|=208
W|vino|espum chandon brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espum chandon brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=210
W|vino|espiritus rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espino reserva especial pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espino reserva especial carmenere 750cc|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espino reserva especial cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espino gran cuvee cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|especial para cocinar el guiso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|especial bodegas morenito 1964|??|r|??|??|??|1964|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vinas del vero tempcabernet sauv crianza 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vinas del vero tempcabernet sauv crianza 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=219
W|vino|espanol vinas del vero macabeochardonnay|??|r|chardonnay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vinas del vero macabeochardonnay|??|r|chardonnay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=221
W|vino|espanol vinas del vero luces tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vinas del vero luces tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=223
W|vino|espanol vinas del vero luces rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol vinas del vero luces rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=225
W|vino|espanol vinas del vero luces blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vinas del vero luces blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=227
W|vino|espanol vinas del vero gewurztraminer|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol vinas del vero gewurztraminer|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=229
W|vino|espanol vinas del vero cabersauvigmerlot roble|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vinas del vero cabersauvigmerlot roble|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=231
W|vino|espanol vina pena tempranillo tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vina pena tempranillo rosado|??|p|tempranillo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol vina pena airen blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vina collada marques de riscal rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
