W|glengoyne|cask strength batch 4|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|old particular 200515yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|old particular 200515yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|glengoyne|old particular 200812yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|palmer cask|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|scottish oak 16 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|scottish oak wood finish 15 year old limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|series chapter two|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|single cask age 11 year old vintage muscatel finish lim ed|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|tartan 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|teapot batch 7 599 abv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|teapot dram 20022013 batch 002 585 wb8921|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|teapot dram batch 5|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|teapot dram batch 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|teapot dram batch 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy chap2 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy chapter 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy chapter 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter 3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|glengoyne|the legacy series chapter 3 48|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter one|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter three|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter three|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|glengoyne|the legacy series chapter three|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|glengoyne|the legacy series chapter three 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter two|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter two|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=85
W|glengoyne|the legacy series chapter two i gaveske|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|the legacy series chapter two 48 gb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|time capsule 12 18 years old legacy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|time capsule gift pack white oak12yo15yo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengoyne|time capsule giftpack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|time capsule mini gift pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|timekeeper gift pack 12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|timekeeper gift pack 12yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|triple gift pack 12 15 18 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|triple pack 12yo18yo legacy mini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|glengoyne|white oak|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=97
W|glengoyne|white oak 24 year old|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengoyne|white oak highland malt|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengoyne|white oak highland single malt|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengoyne|white oak nas highland single malt|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengoyne10|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne12|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne15|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne18|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne21|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengoyne25|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengrant|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengrant|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|glengrant|16 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengrant|18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengrant|giovinetti import 5yo|??|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenguin|botrytised semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenguin|estate school house block shiraz|??|r|shiraz|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenguin|schoolhouse block shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenguin|semillon|??|w|semillon|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenguin|shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenguin|stonybroke shiraz tannat|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenguin|vineyard semillon|??|w|semillon|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glengyle|distillery kilkerran 12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|distillery kilkerran heavily peated batch 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|distillery kilkerran heavily peated batch 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|distillery kilkerran heavily peated batch 13|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran 12 ans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran 12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran 16 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran heavily peated batch 10 1156|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran heavily peated batch 11|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran heavily peated batch 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran heavily peated batch 8|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran heavily peated batch 9|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glengyle|kilkerran heavily peated batch no 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenholm|hedvin limosa solera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gleni|prosecco extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gleni|wines espumante prosecco brut doc nv|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gleni|wines espumante prosecco brut rose doc|??|s|??|??|??|2020|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gleni|wines prosecco doc nv|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gleni|wines prosecco doc rose|??|s|??|??|??|2020|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gleni|wines prosecco doc rose safra|??|s|??|??|??|2020|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gleni|wines villa floriano pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenilen|farm 4 strawberry natural live yogurt 4x125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm gut health natural kefir 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm gut health passion fruit kefir 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm gut health vanilla kefir 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm kids yoghurt banana 4x90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm kids yoghurt pouch banana 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm kids yoghurt pouch strawberry 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm kids yoghurt pouch vanilla 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm kids yoghurt strawberry 4x90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm kids yoghurt vanilla 4x90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm live natural yoghurt with summer berries 4x125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm live unsweetened natural yoghurt 4x125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|glenilen|farm live unsweetened natural yoghurt 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|glenilen|farm mango passion fruit 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm mango passion fruit natural live yoghurt 4x125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm natural compote yoghurt 140g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm raspberry natural live yoghurt 140g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm raspberry natural live yoghurt 4x125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm rhubarb compote yoghurt 140g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenilen|farm strawberry compote yoghurt 140g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|bio organic live yogurt mango vanilla 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|bio whole organic yogurt natural 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|bio yogurt natural 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|bio yogurt peach 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|bio yogurt strawberry 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|bio yogurt vanilla 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|goats yogurt natural 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|goats yogurt strawberry 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|goats yogurt vanilla 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|greek style organic luxury yogurt salted caramel 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|greek style organic superior yogurt coconut vanilla 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|greek style organic yogurt blueberry 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|greek style organic yogurt natural 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|greek style yoghurt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|low fat organic yogurt natural 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|low fat organic yogurt strawberry 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisk|low fat organic yogurt vanilla 450g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisla|19772011 34 year old cask strength collection signatory vintage 19605|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenisla|19772017 anniversary exclusive signatory vintage 19606|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkeith|10yr malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkichie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkichie|12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinche|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchi|12 jaar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchi|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|glenkinchie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|glenkinchie|10 single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 year old 1980s bottling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 year old discontinued in|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 year old old version|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 yrs liter old presentation|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10 yrs past op de barplint|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|10yo 1990s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|glenkinchie|12 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|glenkinchie|12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenkinchie|12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenkinchie|12 eves|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 jahre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=221
W|glenkinchie|12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=221
W|glenkinchie|12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=221
W|glenkinchie|12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=221
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
