W|francois ducrot|auguste orange vdf 2023|fr|r|??|??|??|2023|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois et julien pinon|solera vouvray nv|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray brut 2019|fr|s|chenin blanc|loire|vouvray|2019|12|??|medio|aperitivos, frutos do mar|brut
W|francois et julien pinon|vouvray brut non dose 2020|fr|s|chenin blanc|loire|vouvray|2020|12|??|medio|aperitivos, frutos do mar|brut
W|francois et julien pinon|vouvray les deronnieres sec 2022|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray petillant organic brut 6 bottle case|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois et julien pinon|vouvray sec 2022|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray sec 2022|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco|=36
W|francois et julien pinon|vouvray sec 2022|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco|=36
W|francois et julien pinon|vouvray sec 2022 loire valley france|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray sec buvez du bon pinon 2020|fr|w|chenin blanc|loire|vouvray|2020|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray sec buvez du bon pinon 2023|fr|w|chenin blanc|loire|vouvray|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray sec loire france 2021|fr|w|chenin blanc|loire|vouvray|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray silex noir|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray silex noir 2019|fr|w|chenin blanc|loire|vouvray|2019|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray trois argiles 2018|fr|w|chenin blanc|loire|vouvray|2018|12.5|??|medio|peixe, frutos do mar|seco
W|francois et julien pinon|vouvray trois argiles 2018|fr|w|chenin blanc|loire|vouvray|2018|12.5|??|medio|peixe, frutos do mar|seco|=45
W|francois extra|brut nyerspezsgo drs|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|francois extra|rose brut nyerspezsgo|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois extra|rose brut nyerspezsgo drs|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois feuillet|feuillet|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois feuillet|chambertin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois feuillet|chambertin grand cru 2010|fr|r|??|??|??|2010|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|francois feuillet|chambollemusigny 2017 1|fr|w|??|bourgogne|chambolle-musigny|2017|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|clos roche|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois feuillet|echezeaux grand cru 2017 1|fr|w|??|bourgogne|echezeaux|2017|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois feuillet|gevrey chambertin 2016|fr|w|??|bourgogne|gevrey-chambertin|2016|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|gevrey chambertin 2021|fr|w|??|bourgogne|gevrey-chambertin|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|latricieres chambertin|fr|w|??|bourgogne|latricieres-chambertin|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|morey saint denis|fr|w|??|bourgogne|morey-saint-denis|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|morey saint denis 202|fr|w|??|bourgogne|morey-saint-denis|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|morey saint denis clos sorbe|fr|w|??|bourgogne|morey-saint-denis|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois feuillet|moreysaintdenis premier cru clos sorbe 2021|fr|w|??|bourgogne|morey-saint-denis|2021|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois feuillet|nuits saint george thorey|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois fils|cote rotie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois fils|cote rotie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=64
W|francois fouche|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois fouche|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois fouche|merlot|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois fouche|sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|22 meursault clos des meix chavaux 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|22 meursault clos des meix chavaux table white|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|beaune premier cru clos de mouches|fr|r|??|??|??|NV|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|beaune premier cru clos des mouches 2021|fr|r|??|??|??|2021|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|beaune premier cru clos des mouches 2021|fr|r|??|??|??|2021|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco|=73
W|francois gaunoux|meursault 1er cru goutte dor|fr|w|chardonnay|bourgogne|meursault|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault 1er cru goutte dor 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault 1er cru gouttes dor 2017|fr|w|chardonnay|bourgogne|meursault|2017|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault 1er cru gouttes dor 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault 1er cru gouttes dor 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=78
W|francois gaunoux|meursault 1er cru la goutte dor 2020 burgundy france|fr|w|chardonnay|bourgogne|meursault|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault 1er cru la goutte dor 2020 burgundy france|fr|w|chardonnay|bourgogne|meursault|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=80
W|francois gaunoux|meursault clos de meix chavaux monopole 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault clos de tavaux 2012 monopole|fr|w|chardonnay|bourgogne|meursault|2012|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault clos de tavaux 2022 monopole|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault clos de tavaux 2022 monopole|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco|=84
W|francois gaunoux|meursault clos des meix chavaux 2020 13 0|fr|w|chardonnay|bourgogne|meursault|2020|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault clos des meix chavaux 2021 monopole|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault clos des meix chavaux 2021 monopole|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco|=87
W|francois gaunoux|meursault clos des meix chavaux monopole|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault clos des meix chavauxmonopole|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault le clos de tavaux monopole|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault le clos de tavaux monopole 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault premier cru goutte dor 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|meursault premier cru goutte dor 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco|=93
W|francois gaunoux|meursault premier cru gouttes dor|fr|w|chardonnay|bourgogne|meursault|NV|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois gaunoux|pommard 1 cru grands epenots 2017|fr|r|??|bourgogne|pommard|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les epenots|fr|r|??|bourgogne|pommard|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les epenots 2000|fr|r|??|bourgogne|pommard|2000|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les epenots 2000|fr|r|??|bourgogne|pommard|2000|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=98
W|francois gaunoux|pommard 1er cru les epenots 2020|fr|r|??|bourgogne|pommard|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les grands epenots|fr|r|??|bourgogne|pommard|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les grands epenots|fr|r|??|bourgogne|pommard|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=101
W|francois gaunoux|pommard 1er cru les grands epenots 2013|fr|r|??|bourgogne|pommard|2013|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les grands epenots 2013|fr|r|??|bourgogne|pommard|2013|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=103
W|francois gaunoux|pommard 1er cru les grands epenots 2013|fr|r|??|bourgogne|pommard|2013|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=103
W|francois gaunoux|pommard 1er cru les grands epenots 2022|fr|r|??|bourgogne|pommard|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les grands epenots 2022|fr|r|??|bourgogne|pommard|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=106
W|francois gaunoux|pommard 1er cru les rugiens 2006|fr|r|??|bourgogne|pommard|2006|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard 1er cru les rugiens 2020|fr|r|??|bourgogne|pommard|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard epenots|fr|r|??|bourgogne|pommard|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard grands epenots|fr|r|??|bourgogne|pommard|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les epenots 1996|fr|r|??|bourgogne|pommard|1996|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les grands epenots 1999|fr|r|??|bourgogne|pommard|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les tavannes 2009|fr|r|??|bourgogne|pommard|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les tavannes 2009 1|fr|r|??|bourgogne|pommard|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les tavannes 2011|fr|r|??|bourgogne|pommard|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les tavannes 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les tavannes 2022|fr|r|??|bourgogne|pommard|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|pommard les tavannes 2022|fr|r|??|bourgogne|pommard|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=118
W|francois gaunoux|pulignymontrachet|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay 1 cru clos des chenes 2021|fr|r|??|bourgogne|volnay|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay 1 er cru les clos des chenes|fr|r|??|bourgogne|volnay|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay 1er cru clos des chenes 2014|fr|r|??|bourgogne|volnay|2014|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay 1er cru clos des chenes 2020|fr|r|??|bourgogne|volnay|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay 1er cru clos des chenes 2020|fr|r|??|bourgogne|volnay|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=124
W|francois gaunoux|volnay 1er cru clos des chenes magnum 2015|fr|r|??|bourgogne|volnay|2015|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay 1er cru le clos de chenes 2019 135 0|fr|r|??|bourgogne|volnay|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois gaunoux|volnay clos chenes|fr|r|??|bourgogne|volnay|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gay|aloxe corton 2018|fr|r|??|bourgogne|corton|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gay|aloxe corton 2018|fr|r|??|bourgogne|corton|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=129
W|francois gay|cortonrenardes 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois gerard|cote rotie 1997|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois grenier|grenier|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois grenier|condrieu|fr|w|viognier|rhone|condrieu|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois grenier|saintjoseph 2021|fr|r|syrah|rhone|saint-joseph|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois guy|guy|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois hemart|brut nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois hemart|brut nv magnum|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois hemart|brut rose nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois janoueix|cadet darthus bordeaux red aoc 2022|fr|r|??|??|??|2022|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|francois janoueix|chateau condat saint emilion grand cru aoc 2022|fr|r|??|bordeaux|saint-emilion|2022|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|francois janoueix|chateau la chapelle condat saint emilion aoc 2022|fr|r|??|bordeaux|saint-emilion|2022|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|francois janoueix|chateau leveche pomerol aoc 2022|fr|r|??|bordeaux|pomerol|2022|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|francois janoueix|chateau rousseau cuvee tradition bordeaux blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois janoueix|chateau rousseau cuvee tradition bordeaux rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois janoueix|chateau trincaud bordeaux superieur aoc 2022|fr|r|??|??|??|2022|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|francois janoueix|prieure bonnefond pauillac aoc 2020|fr|r|??|bordeaux|pauillac|2020|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|francois janoueix|relais du marquis margaux aoc 2022|fr|r|??|bordeaux|margaux|2022|13.5|AOC|encorpado|carne vermelha, queijo|seco
W|francois jegvodor|jegvodor|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois jobard|meursault 1er cru genevrieres 1986|fr|w|chardonnay|bourgogne|meursault|1986|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois jobard|meursault 1er cru genevrieres 1996|fr|w|chardonnay|bourgogne|meursault|1996|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois jobard|meursault 1er cru genevrieres 1999|fr|w|chardonnay|bourgogne|meursault|1999|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois jules|pinon vouvray sec 2022 bottle|fr|w|chenin blanc|loire|vouvray|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois kremer|cremant|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois la pierre|chablis 1er cru 2014|fr|w|chardonnay|??|??|2014|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois label|bourgogne 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|labet|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|2022 bourgogne vielle vignes chardonnay|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|2022 bourgogne vielle vignes chardonnay|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco|=158
W|francois labet|2022 bourgogne vielle vignes pinot noir|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|2023 pinot noir mediterranee rouge|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|batardmontrachet grand cru 2004|fr|r|??|??|??|2004|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|francois labet|bourg chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|bourgogne blanc vieilles vignes 2018|fr|w|??|??|??|2018|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|bourgogne chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|bourgogne chardonnay vieilles vignes|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|bourgogne pinot noir vieilles vignes|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|bourgogne pinot noir vieilles vignes|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=167
W|francois labet|bourgogne pinot noir vieilles vignes 2018|fr|r|pinot noir|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|bourgogne pinot noir vieilles vignes 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|bourgogne rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|bourgogne rouge pinot noir 2013|fr|r|pinot noir|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|bourgogne vieilles vignes chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|bourgogne vieilles vignes chardonnay 2023|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois labet|cremant de bourgogne brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois labet|cremant de bourgogne brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois labet|dame alix cotes du rhone red southern rhone blend|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|ile de beaute pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|ile de beaute pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=179
W|francois labet|ile de beaute pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=179
W|francois labet|ile de beaute pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=179
W|francois labet|ile de beaute pinot noir 2021|fr|r|pinot noir|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|ile de beaute pinot noir corsica|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|ille de beaute vdp pinot noir 2021|fr|r|pinot noir|??|??|2021|13.5|VDP|encorpado|carne vermelha, queijo|seco
W|francois labet|mediterranee pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|mediterranee pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=188
W|francois labet|pinot noir corse vdp ile de beaute 2022|fr|r|pinot noir|??|??|2022|13.5|VDP|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir ile de beaute 2016|fr|r|pinot noir|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir ile de beaute 2019|fr|r|pinot noir|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir ile de beaute 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir ile de beaute 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=193
W|francois labet|pinot noir mediterranee|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|pinot noir mediterranee 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois labet|vdp ile be beaute pinot 2020|fr|r|??|??|??|2020|13.5|VDP|encorpado|carne vermelha, queijo|seco
W|francois labet|vdp ile de beaute pinot noir 2022|fr|r|pinot noir|??|??|2022|13.5|VDP|encorpado|carne vermelha, queijo|seco
W|francois labet|vdp ile de beaute pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|VDP|encorpado|carne vermelha, queijo|seco
W|francois lamarche|1er cru vosne romanee aux malconsorts 2016|fr|w|??|bourgogne|vosne-romanee|2016|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|1er cru vosne romanee aux malconsorts 2017|fr|w|??|bourgogne|vosne-romanee|2017|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|clos de vougeot grand cru 2017|fr|w|??|bourgogne|clos-de-vougeot|2017|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|clos vougeot|fr|r|??|bourgogne|clos-vougeot|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lamarche|echezeaux|fr|w|??|bourgogne|echezeaux|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lamarche|echezeaux grand cru 1990|fr|w|??|bourgogne|echezeaux|1990|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|echezeaux grand cru 2018|fr|w|??|bourgogne|echezeaux|2018|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
