W|lammidia|miscela bianco 20 abruzzo|it|r|??|abruzzo|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianchetto|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=38
W|lammidia|bianchetto|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=38
W|lammidia|bianchetto|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=38
W|lammidia|bianchetto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|bianchetto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=42
W|lammidia|anfora rosso|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|anfora rosso|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|anfora rosso|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=45
W|lammidia|anfora bianco vdt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|anfora bianco|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|anfora bianco|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=48
W|lammidia|abruzzo rosato|it|p|??|abruzzo|??|2017|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lammidia|abruzzo bianco paisley|it|r|??|abruzzo|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|9 12|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|9 12|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=52
W|lammidia|65125|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|65125|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=54
W|lammidia|3pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|3pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=56
W|lammidia|3b treb|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammidia|lammidia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammfell|weinkuhler|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammets|vingard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammeskind|patchwork sort|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammeskind|patchwork mrkegra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammeskind|patchwork mocca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammeskind|patchwork hvid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammeskind|patchwork grat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammes|candies mini box texas chewie praline|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoeks|white mysteries|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|white mysteries|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|white mysteries|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=69
W|lammershoek|tinta barocca|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|the innocent white blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|the innocent syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|the innocent smg red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|the innocent smg|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|the innocent rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lammershoek|the innocent pinotage|??|r|pinotage|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|the innocent chenin blancviogniersauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lammershoek|terravinum reserve white|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|terravinum reserve syrah|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|terra res syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|terra res chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lammershoek|syrah reserve|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|rouge reserve|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|red mysteries|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|red mysteries|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammershoek|red mysteries|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=86
W|lammershoek|mysteries syrah|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|mysteries rose|??|p|??|??|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lammershoek|mysteries pinotage|??|r|pinotage|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lammershoek|mysteries ou nooi chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lammershoek|libero no5|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammermoor|the jock scott|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammermoor|special reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lammer|pinot grigio riserva trentino doc zehnhof|it|w|pinot grigio|trentino|??|NV|12.5|riserva|medio|peixes; frutos do mar; aves|seco
W|lamma|yung shue wan hand made pure silver shrimp paste 300g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamma|burgers wine pairing dinner|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamm|tbones lammkoteletts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamm|racks|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamm|auberginen und paprika 350g bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamm|lamm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamm|lamm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=101
W|lamita|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lamita|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lamita|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lamita|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lamis|barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiri|x sea sisters cornish sardines with tunisian harissa 120g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiri|harissa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiral|vino bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lamingtons|12 pcs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamington|v|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamington|and berries bento addon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamington|180g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamine|yamal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminated|soccer ball official measures no5 quetza blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminated|microwaveable paper plates 9 10 pieces|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminated|festive single bottle gift bag|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminasplacas|filtrantes para filtro de placas 25 piezas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|filtrantes standard sfo para filtro de placas distintos grados de micras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|filtrantes filtrox af para filtro de placas distintos grados de micras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|trufa con sal negra de chipre con molinillo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|maiz sanissimo 140g salmas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|cera de abejas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|bonito seleccion suprema|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|bonito seleccion gourmet 115grs catalina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|bonito cambados|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|bonito cambados|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=128
W|laminas de|bonito|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|barbear wilkinson 52|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|barbear wilkinson 5|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas de|barbear gillette gii 5x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|bic flex3 classic c42 oferta 10|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|bic flex 4 c31 oferta 10|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|barbear gillette mach 3 4x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|barbear gillette fusion 5 4x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laminas|antigotas 5 unidades|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|verge de martinet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|vendimia|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|termolaminada carta 125 mic caja 100 uni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|philips de reposicao para aparador oneblade qp22051 2un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|mach3 recarga 4un gillette|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|detalls de vendimia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina del|pesseroles brisat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina de|sorteo mandinga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina de|reposicao barbeador philips one blade 1un qp21051|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina de|ranunculo y anemona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina de|la primera etiqueta de mas martinet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina de|barbear gillette fusion5 cartela 4un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|bottom blue 65 cm 446361|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|bottom black 65 cm 446364|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|blue ii plus slalom 5 gillette|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|blue ii plun gillette|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|biciclette e ciclomotori legnano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|barbear blue ii 5un gillette|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|barbear bic platinum c10un 30|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamina|antiadherente siliconada reutilizable|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamimay|aoc bugey domaine de pacotille|??|r|??|??|??|2023|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|lamimay|domaine de pacotille|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamilla|lamilla|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamii|kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamigote|domaine de pacotille|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamigo|rouge magnum|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamigo|rouge|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamigo|blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|guttarolo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|delle vigne guttarolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|delle vigne puglia igt guttarolo|it|r|??|puglia|??|2017|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lamie|delle vigne|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|delle vigne|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=170
W|lamie|delle vigne|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie de|familogue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|cristiano guttarolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|blanc de pierre baptiste|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamie|lamie|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamico|frizz vino bianco frizzante castello di stefanago|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lamichto|domaine de pacotille|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamichto|domaine de pacotille|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiable|terre detoiles grand cru brut nv|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|terre detoiles grand cru bru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lamiable|terre detoiles brut grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|terre detoiles brut grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut|=182
W|lamiable|terre detoiles brut grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut|=182
W|lamiable|souffle detoille grand cru nv|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lamiable|souffle detoiles grand cru extra brut nv|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|souffle detoiles grand cru extra brut champagne france nv|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|souffle detoiles extra brut grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|souffle detoiles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiable|pheerie brut blanc de blancs millesime|??|s|??|??|??|2011|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|pheerie brut blanc de blancs grand cru millesime|??|s|??|??|??|2018|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|pheerie brut blanc de blancs grand cru millesime|??|s|??|??|??|2013|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|pheerie brut blanc de blancs grand cru millesime|??|s|??|??|??|2012|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|nv grand cru brut|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|meslaines brut blanc de noirs grand cru millesime|??|s|??|??|??|2016|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|meslaines brut blanc de noirs grand cru millesime|??|s|??|??|??|2012|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable les|meslaines brut grand cru|??|s|??|??|??|2015|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable les|meslaines blanc de noirs millesime grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lamiable les|meslaines blanc de noirs grand cru brut millesime|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable les|heliades millesime extra brut grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|helios champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lamiable|heliades brut grand cru millesime|??|s|??|??|??|2012|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|heliades brut grand cru extra brut millesime|??|s|??|??|??|2015|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|grand cru extra brut|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|grand cru champagne|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lamiable|graine detoiles brut nature grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut nature
W|lamiable|graine detoiles brut nature grand cru|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut nature|=206
W|lamiable|eclats detoiles grand cru brut rose champagne france nv|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|eclat detoiles rose grand cru nv|??|p|??|??|??|NV|12.5|grand cru|leve|saladas; peixes grelhados; massas leves|seco
W|lamiable|cuvee les meslaines brut grand cru champagne blanc de noirs pinot noir|fr|s|pinot noir|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne lapielamiable brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne lapielamiable brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=211
W|lamiable|champagne grand cru souffle detoile extra brut|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lamiable|champagne grand cru souffle detoile extra brut|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut|=213
W|lamiable|champagne grand cru souffle detoile extra brut|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut|=213
W|lamiable|champagne grand cru rose brut eclat detoiles a tours sur marne|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne grand cru brut terre detoiles|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne grand cru brut terre detoiles|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut|=217
W|lamiable|champagne grand cru brut terre detoiles|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut|=217
W|lamiable|champagne grand cru brut rose|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne grand cru brut nature graine detoiles|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut nature
W|lamiable|champagne grand cru blanc de noirs les meslaines brut millesime|fr|s|??|champagne|??|2011|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne grand cru blanc de blancs brut pheerie|fr|s|??|champagne|??|2011|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|champagne bankize doux|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lamiable|champagne bankize doux|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=224
W|lamiable|champagne bankize doux|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=224
W|lamiable|bankize|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiable|antares brut premier cru nv|??|s|??|??|??|NV|12|premier cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|grand cru cuvee heliades millesime brut|??|s|??|??|??|2012|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lamiable|lamiable|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamiable|lamiable|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|lamiable|lamiable|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=230
W|lami|karl|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
