W|vinho|tinto holminhos 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim reserva 2022 alentejo|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim mariana 2024 alentejo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim indigena 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim indigena 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim fresh from amphora 2024 alentejo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim cronica 328 magnum 2015 1 alentejo|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim cronica 328 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim colheita 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim clay aged 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim clay aged 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim clay aged 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim amphora 2023 alentejo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim alicante bouschet 2024 regional alentejano|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim 2024 alentejo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do rocim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do portocarro partage cabernet sauvignon 2010 peninsula de setubal|??|r|cabernet sauvignon|??|??|2010|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do portocarro 2017 regional peninsula de setubal|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do peso sossego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do peso reserva 2019 doc alentejo|??|r|??|??|??|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do peso reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do mouchao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do moinho branco alicante bouschet 2016 alentejo|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do moinho branco 2015 alentejo|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do grous|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do gamito syrah 2022 alentejo|??|r|syrah|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do gamito reserva 2020 alentejo|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do gamito cabernet sauvignon 2021 alentejo|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do gamito alicante bouschet 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do freixo reserva alentejo|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do freixo reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do freixo family collection alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do freixo family collection 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao torre do esporao 2017 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao private selection 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao monte velho reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao monte velho bio 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao monte velho 2024 alentejo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao monte velho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao esporao reserva 2022 alentejo|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao defesa do esporao 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao colheita 2023 regional alentejano|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao alandra 2024 ivv portugal|pt|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do esporao 4 castas 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do arrepiado velho petit verdot unoaked 2015 alentejo|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do arrepiado velho 2023 alentejo|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do arrepiado tradicao 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do arrepiado collection 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do arrepiado colheita 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade do arrepiado brett edition 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel trincadeira 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel trincadeira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel touriga nacional 2019 regional alentejano|??|r|touriga|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel touriga nacional 2019 alentejo portugues|??|r|touriga|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel touriga franca 2018 alentejo portugal|pt|r|touriga|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel touriga franca 2018 alentejo portugal|pt|r|touriga|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??|=118
W|vinho|tinto herdade de sao miguel the friends collection 2015 regional alentejano|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel reserva 2021 regional alentejano|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel private collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel escolha dos enologos 2022 regional alentejano|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel escolha dos enologos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel colheita selecionada garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel colheita selecionada alentejo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel colheita selecionada alentejo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=126
W|vinho|tinto herdade de sao miguel colheita selecionada alentejo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=126
W|vinho|tinto herdade de sao miguel colheita selecionada 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel colheita selecionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel colheita seleccionada 2024 regional alentejano|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel art terra biologico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel alicante bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel alfrocheiro 2014 regional alentejano|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de sao miguel alfrocheiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de ceuta reserva 2018 alentejo|??|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade de ceuta 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas vinhas velhas magnum 2017 1 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas vinhas velhas 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas vinhas velhas 2014 075|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas vinhas velhas 2012 075|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas sem barrica 2023 regional alentejano|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas reserva magnum 2017 1 regional alentejano|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas reserva 2020 regional alentejano|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas petit verdot 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas parcela v 2016 regional alentejano|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas parcela c magnum 2017 1 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas parcela c 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas magnum 2020 1 regional alentejano|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas garrafeira 2015 regional alentejano|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade das servas 2021 regional alentejano|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da pimenta vinha do botas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da pimenta grande escolha dos enologos 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da pimenta grande escolha dos enologos 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=154
W|vinho|tinto herdade da pimenta grande escolha 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da pimenta grande escolha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da malhadinha nova 2022 portugal doc alentejo|pt|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da malhadinha nova 2021 portugal doc alentejo|pt|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da malhadinha nova 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da candeeira reserva 2019 doc alentejo|??|r|??|??|??|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da candeeira petite syrah 2021 alentejo|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da candeeira colheita superior 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da candeeira barro 2020 alentejo|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da calada touriga franca 2016 alentejo|??|r|touriga|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da calada syrah touriga nacional 2017 regional alentejano|??|r|syrah|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da calada syrah 2018|??|r|syrah|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da calada grande reserva 1999 alentejo|??|r|??|??|??|1999|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da calada block no3 2015 alentejo|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da calada baron de b reserva 2020 alentejo|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da ajuda reserva 2021 alentejo|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da ajuda premium 2016 alentejo|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade da ajuda petit verdot 2017 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade barranco do vale 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade aldeia de cima reserva 2020 alentejo|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade aldeia de cima reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade aldeia de cima myndru 2019 vidigueira|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade aldeia de cima garrafeira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto herdade aldeia de cima alyantiju 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto henschke mount edelstone vineyard 2013 eden valley australia|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto henri dautignac pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto henkenberg spatburgunder pinot noir gg baden 2018|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto henkenberg gg spatburgunder pinot noir 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto helios nebbiolo 2018|??|r|nebbiolo|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto heck 12 malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto head rock grande reserva 2015 trasosmontes|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto head rock grande reserva 2014 trasosmontes|??|r|??|??|??|2014|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautmedoc 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautescotes de nuits rouge la croix 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautescotes de nuits les dames huguettes 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautescotes de beaune rouge 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautescotes de beaune clos marc 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautescotes de beaune 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautes cotes nuits rouge 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautes cotes de nuits les dames de vergy antonin guyon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautes cotes de beaune clos marc 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hautes cote de nuits rouge 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto haute cote de fruit 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto haut de valent cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto haus klosterberg pinot noir markus molitor|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hasso 2024 douro|pt|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto haras de pirque hussonet gran reserva cabernet sauvignon 2020|cl|r|cabernet sauvignon|maipo valley|pirque|2020|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hannes sabathi ca66 pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto haha marlborough pinot noir|nz|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto hachi minimal oak 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto habitat pinot noir don bonifacio|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto habemus papam chateauneufdupape 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
