W|vino|flor de maig blanco capcanes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fino quinta osborne|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry|=29
W|vino|fino lagar de los frailes|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino la ina de jerez|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino la ina 34 caja de 6 botellas|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino jerez tio pepe 15 750cc|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino ideal bodegas marques del real tesoro jerez|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino finca sobreno san ildefonso|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino cobos|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino cepa 21 tinto|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino cb caja de 6 botellas|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino blend reserva bresesti corte 3 750cc|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vino|fino blend reserva bresesti corte 2 750cc|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vino|fino blend reserva bresesti corte 1 750cc|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vino|finis terrae red blend cousino macul 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fincas las moras barrel select cabernet syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fincas del sur winemakers selection malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fincas de ganuza reserva 1999|??|r|??|??|??|1999|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca villacreces reserva 1999|??|r|??|??|??|1999|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca villacreces pruno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca villacreces 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca villacreces 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca villacreces 2003|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca valpiedra rsva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca valpiedra reserva 2004|??|r|??|??|??|2004|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca valpiedra reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca valpiedra reserva 1999|??|r|??|??|??|1999|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca valpiedra reserva 1997|??|r|??|??|??|1997|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca valpiedra reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca vallobera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca torrea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca terrerazo b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca terrerazo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca sobreno seleccion especial 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca sobreno seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca sobreno roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca sandoval manchuela 2003|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca saltamontes blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca saltamontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo varietal rose malbec|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca rotondo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca rotondo rose malbec|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca rotondo rose malbec|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=70
W|vino|finca rotondo reserva malbec botella|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo reserva malbec botella|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=72
W|vino|finca rotondo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=74
W|vino|finca rotondo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=74
W|vino|finca rotondo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=74
W|vino|finca rotondo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=74
W|vino|finca rotondo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=79
W|vino|finca rotondo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=79
W|vino|finca rotondo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=79
W|vino|finca rotondo patrimonial quebranta rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca rotondo patrimonial quebranta blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo patrimonial blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo organico malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo malbec organico|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo malbec merlot cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=90
W|vino|finca rotondo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=90
W|vino|finca rotondo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=90
W|vino|finca rotondo isabel gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo gran reserva blend isabel|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo gran reserva blend isabel|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=95
W|vino|finca rotondo gran reserva blend isabel|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=95
W|vino|finca rotondo gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo cabernet sauvignon organico|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo cabernet sauvignon malbec merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo cabernet sauvignon malbec merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=101
W|vino|finca rotondo cabernet sauvignon malbec merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=101
W|vino|finca rotondo cabernet sauvignon malbec merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=101
W|vino|finca rotondo cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rotondo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=106
W|vino|finca rotondo blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rio negro992|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rio negro gewurz blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rio negro cerro del lobo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rio negro 5o ano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rio negro 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca rio negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso tempranillo botella|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso emilio moro tempranillo botella|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca resalso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=120
W|vino|finca resalso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=120
W|vino|finca resalso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=120
W|vino|finca piedra infinita malbec 2018 zuccardi x 3|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca piedra infinita malbec 2016 zuccardi 100pts|??|r|malbec|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca morillas picos de cabariezo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca montico blanco slias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca montepedroso blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca moncloa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca monastasia rose novel|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca monastasia monastrell 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca malaveina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca magnolia malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca magnolia malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=133
W|vino|finca magnolia malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=133
W|vino|finca magnolia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca magnolia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=136
W|vino|finca magnolia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=136
W|vino|finca magnolia blend de blancas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca magnolia blend de blancas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=139
W|vino|finca magnolia blend de blancas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=139
W|vino|finca luzon organic sin sulfitos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca luna beberide|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca lumbrarillo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca los nobles vistalba malbec x|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca los nobles malbec verdot botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca los nobles cabernet bouche x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca los membrillos cabernet sauvignon zuccardi|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca los hoyales|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las virtudes blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las violetas blend tannat petit verdot merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las violetas blend syrah sangiovese ppinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las violetas blend chardonnay sauvignon gris albarino|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las violetas blend cabernet franc syrah marselan|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las nubes blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras varietal rose syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca las moras varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=157
W|vino|finca las moras varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=157
W|vino|finca las moras varietal cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras varietal cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=160
W|vino|finca las moras tinto bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras syrah rose 2023|??|p|syrah|??|??|2023|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca las moras syrah rose|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca las moras syrah rose|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=164
W|vino|finca las moras sauvignou blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las moras sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las moras rosse syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras reserva chardonnay|??|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|finca las moras reserva cabernetsyrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras reserva botella|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras organico chardonnay 2021|??|w|chardonnay|??|??|2021|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las moras malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=177
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=177
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=177
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=177
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=177
W|vino|finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=177
W|vino|finca las moras los intocables malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras los intocables black cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras chardonnay 2024|??|w|chardonnay|??|??|2024|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las moras chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las moras chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=187
W|vino|finca las moras cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=189
W|vino|finca las moras cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=189
W|vino|finca las moras cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=189
W|vino|finca las moras cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=189
W|vino|finca las moras cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras barrel select malbec 750cc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras barrel select malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras alma mora malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras alma mora cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las moras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca las caraballas verdejo ecologico|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca las cabras crianza 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la nevera blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la montesa crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la melendra verdejo rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca la meda 2006|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la luisa cabernet sauv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=209
W|vino|finca la linda smart blend cabernet sauvignon syrah y tannat botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca la linda private selection old vines malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda private selection old vines malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=213
W|vino|finca la linda malbec organico|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda malbec organico|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=215
W|vino|finca la linda malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la linda chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca la garriga blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la garriga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la estacada sequa cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la estacada blanco manchego|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la estacada 6 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la estacada 6 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=224
W|vino|finca la estacada 18 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la estacada 12 meses barrica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la estacada 12 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la escondida torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la escondida gran reserva 750cc|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca la emperatriz reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca la emperatriz gran vino 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
