W|gianduioso|crema di gianduiotto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduiotto|novi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|gianduja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|120 baratti milano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|blocks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|bubo barcelona|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|cream artisanal product|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|cream filled croissant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|le fondant 80gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|med hasselndder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduja|tart 9 inches|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giandujas|100|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giandujas|100 angelina paris|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianduotti|250 cova|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianetto|gianetto|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barbera dalba|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barbera dalba doc|??|r|barbera|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barbera dalba vittoria doc 12|??|r|barbera|??|??|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=43
W|gianfranco|alessandria barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=43
W|gianfranco|alessandria barolo docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo san giovanni|it|r|??|barolo|barolo|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo san giovanni|it|r|??|barolo|barolo|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo san giovanni|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo san giovanni docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo san giovanni docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria barolo san giovanni docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=50
W|gianfranco|alessandria barolo san giovanni docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria doc barbera d alba sb art 51731|??|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria doc barbera d alba vittoria sb art 53306|??|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria doc dolcetto d alba privatimport pi 10506|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gianfranco|alessandria doc langhe nebbiolo sb art 77292|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria docg barolo sb art 73985|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria docg barolo san giovanni sb art 51791|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria dolcetto dalba doc case only|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gianfranco|alessandria dolcetto dalba doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gianfranco|alessandria langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria san giovanni barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|alessandria vittoria barbera dalba|??|r|barbera|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barbera dalba il ciotto|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barbera dalba ll ciotto|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barbera dalba superiore|??|r|barbera|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barbera dalba superiore regiaveja|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=70
W|gianfranco|bovio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo arborina|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo arborina|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo arborina|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo bricco parussi riserva barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo derieumes riserva|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo docg piedmont italy|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo gattera|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo gattera|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo parussi|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo parussi|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio barolo parussi|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=82
W|gianfranco|bovio barolo riserva de rieumes|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio bricco parussi barolo docg italy|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio derieumes barolo riserva docg italy|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio dolcetto dalba dabbene|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gianfranco|bovio langhe chardonnay alessandro|it|w|chardonnay|langhe|langhe|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianfranco|bovio langhe nebbiolo firagnetti|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio langhe nebbiolo firagnetti|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|bovio vigna arborina barolo italy|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|fino es salento primitivo igt|??|f|primitivo|??|??|2022|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es salento primitivo igt|??|f|primitivo|??|??|2022|20|igt|encorpado|queijos, sobremesas, chocolate|doce|=92
W|gianfranco|fino es salento primitivo igt|??|f|primitivo|??|??|2023|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es salento primitivo igt|??|f|primitivo|??|??|2023|20|igt|encorpado|queijos, sobremesas, chocolate|doce|=94
W|gianfranco|fino es primitivo|??|f|primitivo|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es primitivo|??|f|primitivo|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es primitivo del salento igp vino rosso|??|f|primitivo|??|??|2022|20|igp|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es primitivo di manduria|??|f|primitivo|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es primitivo di manduria|??|f|primitivo|??|??|2010|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es red salento primitivo igt in cassa legno|??|f|primitivo|??|??|2019|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino es red primitivo salento igt|??|f|primitivo|??|??|nv|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino primitivo del salento es|??|f|primitivo|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino primitivo del salento es|??|f|primitivo|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce|=103
W|gianfranco|fino primitivo di manduria doc es|??|f|primitivo|??|??|2022|20|doc|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino primitivo es|??|f|primitivo|??|??|2023|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino primitivo es red|??|f|primitivo|??|??|2019|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino primitivo se|??|f|primitivo|??|??|2023|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino salento primitivo se|??|f|primitivo|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino salento primitivo se|??|f|primitivo|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce|=109
W|gianfranco|fino salento primitivo se|??|f|primitivo|??|??|2023|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino se|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino se salento primitivo igt in cassa legno|??|f|primitivo|??|??|2022|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino se salento primitivo igt in cassa legno|??|f|primitivo|??|??|2023|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino se salento primitivo igt|??|f|primitivo|??|??|2023|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino se primitivo|??|f|primitivo|??|??|2022|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino se salento primitivo|??|f|primitivo|??|??|2023|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|fino sedicimila fiano salento igt|??|f|??|??|??|2024|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|gianfranco|manca panevino pikade rosso nv sardinia italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|manca survivor bianco nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianfranco|manca survivor rosato nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gianfranco|manca survivor rosso nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|manca vino bianco alvas 180 z|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianfranco|manca vino bianco diintedi 138 z|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianfranco|manca vino boxie croxiu 164 z|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|manca vino rosso pikade 180 z|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|manca vino rosso tanka scuriosa 164 z|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|siotto tzappu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|soldera case basse|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|soldera case basse|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|soldera case basse|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfranco|soldera case basse|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianfrancos|barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giangalup|con crema gianduia kg 0900 galup|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluca|colombo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluca|colombo barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluca|colombo nicba|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluca|colombo nicba|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=137
W|gianluca|colombo ravera barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluca|lavigna etna bianco roc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianluca|lavigna etna rosso lava|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|buffon salento primitivo igp|??|r|primitivo|??|??|2017|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|buffon salento verdeca chardonnay igp|??|w|chardonnay|??|??|nv|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gianluigi|lano rocche massalupo barbaresco|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano barbaresco rocche massalupo|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano barbaresco rocche massalupo|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gianluigi|lano barbaresco rocche massalupo|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano barbera altavilla|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano barbera dalba|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano freisa|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano langhe rosso lanot|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano langhe rosso lanot|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=152
W|gianluigi|lano lanot langhe rosso|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianluigi|lano rocche massalupo barbaresco|it|r|??|barbaresco|barbaresco|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianna|augie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianna|kolye|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianna|kupe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|giannecchini|family old vine zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|old vine zinfandel|??|r|zinfandel|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|oldn vine zinfandel|??|r|zinfandel|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|red blend|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|red blend|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|red blend|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=165
W|giannecchini|red blend|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannecchini|red blend|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|giannecchini|red blend|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|giannetta|casa agricola malauva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giannetto|sangiovese toscana|it|r|sangiovese|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli amor costante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli amor costante igt toscana|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli amor costante igt sgm|??|r|??|??|??|2013|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli amor costante igt toscana|it|r|??|tuscany|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=186
W|gianni|brunelli brunello di montalcino riserva|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gianni|brunelli brunello di montalcino red dry 155 075|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gianni|brunelli brunello di montalcino brunello di montalcino docg vino rosso|it|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino brunello di montalcino docg vino rosso|it|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino brunello di montalcino docg vino rosso|it|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino mgm owc brunello di montalcino docg vino rosso|it|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino riserva|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino riserva|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|gianni|brunelli brunello di montalcino riserva|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|gianni|brunelli brunello di montalcino riserva|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|gianni|brunelli brunello di montalcino riserva|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|gianni|brunelli brunello di montalcino riserva brunello di montalcino docg vino rosso|it|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello di montalcino riserva mgm owc brunello di montalcino docg vino rosso|it|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
