1. W|carpano|classico rosso vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
74. W|carpano|negroni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|carpano|negroni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=74
76. W|carpano|original rosso rojo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
79. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
80. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
81. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
82. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
83. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
84. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
85. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
86. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
87. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
88. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
89. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
90. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
91. W|carpano|punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=77
92. W|carpano|punt e mes 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|carpano|punt e mes 075 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|carpano|punt e mes 07ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|carpano|punt e mes 16 vermouth 07 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|carpano|punt e mes aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|carpano|punt e mes aperitivo fratelli branca milano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|carpano|punt e mes aperitivo vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|carpano|punt e mes apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|carpano|punt e mes apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=99
101. W|carpano|punt e mes l|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|carpano|punt e mes red vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|carpano|punt e mes rosso vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
106. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
107. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
108. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
109. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
110. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
111. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
112. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
113. W|carpano|punt e mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=104
114. W|carpano|punt e mes vermouth 16 italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|carpano|punt e mes vermouth italien|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
116. W|carpano|punt e mes vermouth italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|carpano|punt e mes vermouth italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=116
118. W|carpano|punt e mes vermouth r|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|carpano|punt e mes vermouth rosso cl100|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|carpano|punt e mess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|carpano|punt e mess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=120
122. W|carpano|punt mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|carpano|punt mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
124. W|carpano|punt mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
125. W|carpano|punt mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
126. W|carpano|punt mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
127. W|carpano|punt mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|carpano|punt mes vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=127
129. W|carpano|punte e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|carpano|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|carpano|rosso classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
132. X
133. W|carpano|vermouth antica formula|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|carpano|vermouth antica formula|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=133
135. W|carpano|vermouth antica formula|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=133
136. W|carpano|vermouth antica formula|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=133
137. W|carpano|vermouth bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
138. W|carpano|vermouth bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=137
139. W|carpano|vermouth bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=137
140. W|carpano|vermouth classic rosso|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
141. W|carpano|vermouth classico|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
142. W|carpano|vermouth dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|carpano|vermouth dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=142
144. W|carpano|vermouth dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=142
145. W|carpano|vermouth dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=142
146. W|carpano|vermouth dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=142
147. W|carpano|vermouth dry l|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|carpano|vermouth punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|carpano|vermouth punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
150. W|carpano|vermouth punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
151. W|carpano|vermouth punt e mes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=148
152. W|carpano|vermut bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
153. W|carpano|vermut bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=152
154. W|carpano|vermut bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=152
155. W|carpano|vermut classico|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
156. W|carpano|vermut classico|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=155
157. W|carpano|vermut rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|carpante|cagnulari|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|carpante|cagnulari|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=158
160. W|carpante|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|carpante|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=160
162. W|carparo|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
163. W|carparo|igt puglia bianco macerato|it|w|??|puglia|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
164. W|carpatccio|di tartufo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|carpathia|carpathia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|carpathia|cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
167. W|carpathia|heritage 1000 de chipuri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|carpathia|negre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. S
170. W|carpathian|amontillado single malt|??|f|??|??|??|NV|20|do|encorpado|sobremesas, queijos azuis, foie gras|doce
171. W|carpathian|burgundy single malt|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|carpathian|burgundy wine finish single malt|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|carpathian|chianti single malt|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|carpathian|cogniac single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|carpathian|commandaria single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. X
177. X
178. W|carpathian|fino single malt|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
179. W|carpathian|madeira single malt|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
180. W|carpathian|marsala single malt|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
181. W|carpathian|oloroso|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
182. W|carpathian|oloroso single malt|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
183. W|carpathian|palo cortado single malt|??|f|??|??|??|NV|20|do|encorpado|sobremesas, queijos azuis, foie gras|doce
184. W|carpathian|pinot noir exclusive cask|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|carpathian|ruby port single malt|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
186. W|carpathian|sekt chersegi|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
187. W|carpathian|shiraz single malt|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
188. W|carpathian|single malt barolo cask|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|carpathian|single malt madeira cask|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
190. W|carpathian|single malt rhum cask collectiuon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|carpathian|single malt ruby port cask|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
192. W|carpathian|tawny port single malt|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
193. W|carpathian|vradiano single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|carpatia|vintage 1997 wodka 40 0|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|carpatia|vintage 1998 wodka 40 0|??|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|carpatia|vintage 1999 wodka 40 0|??|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|carpatian|bear ec2410|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|carpatica|carpatica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|carpatica|24x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|carpatica|6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|carpatina|plata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. X
203. W|carpe|diem|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|carpe|diem|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=203
205. W|carpe|diem|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=203
206. W|carpe|diem 2016 cabernet sauvignon napa valley california|us|r|cabernet sauvignon|napa valley|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
207. W|carpe|diem|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|carpe|diem|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|carpe|diem aglianico del vulture doc 2020 cantina di barile|??|r|aglianico|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
210. W|carpe|diem aglianico del vulture doc 2020 cantina di barile|??|r|aglianico|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=209
211. W|carpe|diem anderson valley chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
212. W|carpe|diem anderson valley pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|carpe|diem bad boys|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|carpe|diem bad boys|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=213
215. X
216. W|carpe|diem bad boys moldavia tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|carpe|diem bad boys moldavia tinto|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|carpe|diem breaking red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|carpe|diem cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
220. W|carpe|diem cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=219
221. W|carpe|diem cabernet sauvignon 2013 moldova|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
222. W|carpe|diem cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
223. W|carpe|diem cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
224. W|carpe|diem cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
225. W|carpe|diem cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=224
226. W|carpe|diem cabernet sauvignon 750m|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
227. W|carpe|diem cabernet sauvignon napa 19|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
228. W|carpe|diem cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
229. W|carpe|diem cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
230. W|carpe|diem cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=229
231. W|carpe|diem chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
232. W|carpe|diem chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=231
233. W|carpe|diem chardonnay anderson valley|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
234. W|carpe|diem chardonnay anderson valley|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
235. W|carpe|diem chardonnay anderson valley ca 21|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
236. W|carpe|diem chardonnay anderson valley mendocino ca usa|us|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
