W|lan|culmen x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=31
W|lan|crayon khol 01 noir 007oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|crayon khol 01 noir 007oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=49
W|lan|bocage deo spray|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|bocage deo spray|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=51
W|lan|blanco viura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|bifacil eye demaq|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|bifacil eye demaq|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=54
W|lan|absolu rouge intimatte 888|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|absolu rouge intimatte 888|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=56
W|lan|absolu rouge intimatte 505|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|absolu rouge intimatte 505|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=58
W|lan|absolu rouge intimatte 388|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|absolu rouge intimatte 388|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=60
W|lan|a mano vino tinto rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano rioja doca bodegas lan|es|r|??|rioja|??|2022|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano edicion limitada x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano edicion limitada|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=66
W|lan|a mano edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=66
W|lan|a mano edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=66
W|lan|a mano doca|??|r|??|??|??|NV|13.5|doca|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|a mano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lan|7 metros x 2botellas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|7 metros crianza|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|7 metros|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|7 metros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lan|7 metros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=84
W|lan|7 metros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=84
W|lan|culmen rioja reserva rioja|es|r|??|rioja|??|2019|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lan|rioja reserva doc|es|r|??|rioja|??|2017|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lan|lan|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|saint aubin rouge les castets 1er cru|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|saint aubin les pucelles|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|saint aubin les combes 1er cru|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|saint aubin les combes 1er cru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot les|castets saintaubin 1er cru rouge|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|chassagne montrachet morgeot 1er cru|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|chassagne montrachet champs de morgeot rouge|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamypillot|lamypillot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|saintaubin en lebaupin 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|saint aubin en lebaupin|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|saint aubin en lebaupin|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat les|champs gain chassagnemontrachet premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat les|caillerets chassagnemontrachet premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat les|caillerets chassagnemontrachet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat la|romanee chassagnemontrachet premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat la|grande montagne chassagne montrachet|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagnemontrachet premier cru les caillerets|??|r|??|??|??|2019|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagnemontrachet cote de beaune france|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagnemontrachet 1|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet les caillerets 1er cru magnum|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet les caillerets 1er cru|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet les caillerets 1er cru|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet les caillerets 1er cru|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet les caillerets 1er cru|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet la romanee 1er cru|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet la grande montagne 1er cru|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet caillerets 1er cru 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet 1|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet 1er cru les caillerets capsule damage|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet 1er cru les caillerets|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|chassagne montrachet 1er cru les caillerets|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|bourgogne blanc|fr|r|??|bourgogne|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamycaillat|lamycaillat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot st aubin en creot|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot santenay rouge les charrons|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot saint aubin creot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot saint aubin blanc 1cru les charmois|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagnemontrachet blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet rouge champs de morgeot|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet morgeot 1er cru|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet champs de morgeot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet boudriotte rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet blanc 1er cru morgeot|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet 1er cru morgeot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|pillot chassagne montrachet 1er cru morgeot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=136
W|lamy|pillot beaune rouge les blanches fleurs|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|merlot igp|??|r|merlot|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin la princee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin la princee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=140
W|lamy|hubert st aubin la princee|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er en remilly|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er en remilly|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=143
W|lamy|hubert st aubin 1er derriere chez edouard haut densite|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er derriere chez edouard|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er derriere chez edouard|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=146
W|lamy|hubert st aubin 1er derriere chez edouard|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=146
W|lamy|hubert st aubin 1er en remilly|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er derriere chez edouard haut densite|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er derriere chez edouard|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er clos de la chateniere|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert pulignymontrachet tremblots haut densite|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert pulignymontrachet tremblots|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin la princee|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert santenay 1er cru clos des gravieres blanc|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert puligny montrachet tremblots vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert santenay 1er cru clos des gravieres rouge vieilles vignes|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er cru en remilly|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert st aubin 1er cru derriere chez edouard rouge|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin la princee|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin clos de la chateniere|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin 1er cru frionnes|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin 1er cru en remilly|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin 1er cru derriere chez edouard blanc|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin 1er cru clos de la chateniere vieilles vignes|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert puligny montrachet les tremblots vieilles vignes|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|hubert saint aubin 1er cru derriere chez edouard rouge|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat saintaubin blanc en lebaupin|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat chassagne montrachet les caillerets|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat chassagne montrachet la romanee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat chassagne montrachet champs gains|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat chassagne montrachet caillerets|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat chassagne montrachet|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat chassagne montrachet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamy|caillat bourgogne blanc|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamwbeston|wedge potatoes 25kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuse|signature gouda fromagerie lamuse third of a pound|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuse|signature 2 year aged gouda cow|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuse|brabander gouda aged 6 months goat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|tenuta regaleali sicilia doc|it|r|??|sicilia|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|tasca dalmerita nero davola sicilia tenuta regaleali|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|tasca dalmerita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|regaleali nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|regaleali|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|nero davola magnum in cassetta di legno rossa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|nero davola magnum|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|lamuri|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamuri|lamuri|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|pinot grigio terre siciliane igt|it|w|pinot grigio|sicilia|??|2024|12.5|igt|medio|peixes; frutos do mar; aves|seco
W|lamura|pinot grigio terre siciliane igt|it|w|pinot grigio|sicilia|??|2021|12.5|igt|medio|peixes; frutos do mar; aves|seco
W|lamura|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lamura|organic wines terre siciliane nero davola italy|it|r|??|sicilia|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|organic wines terre siciliane nero davola italy|it|r|??|sicilia|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|organic wines terre siciliane grillo italy|it|r|??|sicilia|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|organic wines terre siciliane grillo italy|it|r|??|sicilia|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|organic wines terre siciliane grillo italy|it|r|??|sicilia|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|organic wines terre siciliane grillo italy|it|r|??|sicilia|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola sicilia doc|it|r|??|sicilia|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola sicilia doc|it|r|??|sicilia|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola sicilia doc|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=204
W|lamura|nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=204
W|lamura|grillo sicily|it|r|??|sicily|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|grillo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|grillo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=208
W|lamura|bianco organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|24 pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lamura|23 nero davola org|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|23 grillo organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamura|2123 pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lamua|sauvignon blanc vegamar|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lamu|short sleeves sidetie white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamsrack|lamsrack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamspoulet|van de bout|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamsnekfilet|lamsnekfilet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamsjus|lamsjus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamsham|gesneden|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamschenkel|lamschenkel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamsboutrollade|lamsboutrollade|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamsbiefstuk|lamsbiefstuk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lams|spareribs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyris|lampyris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyridae|vineyards grenache|??|r|grenache|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyres|une autre historie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyres|triple point|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyres|harvest moon rouge roussillon fr|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyres|h2o blanc roussillon fr|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lampyres|des sens blanc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
