W|gomas|trolli mordiscos g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomas|tubes creamy morbanana fini 12x80gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomas|tubes inside out fini 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomas|ursos 100g amanhecer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomas|ursos acucar 1kg interdoces|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gomas|ursos brilho 1kg interdoces|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gomas|ursos brilho fini 12x90gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomas|ursos interdoces 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gomashio|biologique|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomasio|bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomasio|sol sezamowa bio 225 g lima|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomassacapuntas|gomassacapuntas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomax|2port pdqc usbc charger 495w white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomax|plport pdsmart ai usbc charger 73w black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomba|barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomba|boschetti barolo riserva|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gombasszarvasgombas|vaj 200 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gombaude|guillot pomerol|??|r|??|??|pomerol|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gombaude|guillot|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gombaude|guillot pomerol|??|r|??|??|pomerol|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gombaude|guillot pomnroll|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomersal|reserve shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomes|boal 1860|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomets|frutas box 30 units|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|crusado linea karman rioja tinto|es|r|??|rioja|rioja|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=42
W|gomez|cruzado blanco 2 ano rioja|es|w|??|rioja|rioja|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=54
W|gomez|cruzado blanco a bottle|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco 2do ano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco 2o ano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco 2o ano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=58
W|gomez|cruzado blanco 2o ano 34|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco de 2 ano fermentado en barrica|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco de 2o ano fermentado en barrica|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco de 2o ano rioja|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado blanco rioja doc|es|w|??|rioja|rioja|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado cerro las cuevas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado cerro las cuevas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=65
W|gomez|cruzado cerro las cuevas|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado cerro las cuevas|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado cerro las cuevas rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado cerro las cuevas rioja|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado cerro las cuevas rioja|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=70
W|gomez|cruzado cerro las cuevas seleccion terroir|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado cerro las cuevas tempranillo|es|r|tempranillo|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=88
W|gomez|cruzado crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|gomez|cruzado crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|gomez|cruzado crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=93
W|gomez|cruzado crianza|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=93
W|gomez|cruzado crianza a bottle|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado crianza|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|gomez|cruzado crianza rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|gomez|cruzado crianza rioja|es|r|??|rioja|rioja|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza rioja|es|r|??|rioja|rioja|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|gomez|cruzado crianza rioja|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza rioja doc|es|r|??|rioja|rioja|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza rioja|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=103
W|gomez|cruzado crianza rioja spain|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado el predilecto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado el predilecto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gomez|cruzado el predilecto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gomez|cruzado el predilecto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=107
W|gomez|cruzado el predilecto|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado el predilecto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado el predilecto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|gomez|cruzado el predilecto|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado el predilecto rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado el predilecto rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=115
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gomez|cruzado honorable|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado honorable|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado honorable|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=126
W|gomez|cruzado honorable rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado honorable rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=128
W|gomez|cruzado honorable rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=128
W|gomez|cruzado honorable rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=128
W|gomez|cruzado honorable rioja|es|r|??|rioja|rioja|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado honorable rioja|es|r|??|rioja|rioja|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado honorable rioja doca 145|es|r|??|rioja|rioja|2019|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado linea karman rioja tinto|es|r|??|rioja|rioja|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|gomez|cruzado montes obarenes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado montes obarenes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado montes obarenes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado montes obarenes rioja blanco|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado montes obarenes rioja blanco atlantic viura|es|w|??|rioja|rioja|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado montes obarenes seleccion terroir|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado montes obarenes seleccion terroir blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado montes obarenes seleccion terroir blanco doca rioja|es|w|??|rioja|rioja|nv|12.5|doca|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado montes obarenes seleccion terroir blanco rioja|es|w|??|rioja|rioja|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado pancrudo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado pancrudo|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado pancrudo|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gomez|cruzado pancrudo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado pancrudo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gomez|cruzado pancrudo rioja|es|r|??|rioja|rioja|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado pancrudo seleccion terroir doca rioja|es|r|??|rioja|rioja|nv|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado pancrudo seleccion terroir rioja|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado predilecto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado predilecto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado predilecto rioja|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado predilecto rioja|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=156
W|gomez|cruzado predilecto rioja|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=156
W|gomez|cruzado predilecto rioja doca 145|es|r|??|rioja|rioja|2022|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|gomez|cruzado reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|gomez|cruzado reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|gomez|cruzado reserva|??|r|??|??|??|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva|??|r|??|??|??|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva dorana|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=160
W|gomez|cruzado reserva rioja vina dorana|es|r|??|rioja|rioja|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva vina dorana|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado reserva vina dorana|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|gomez|cruzado rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja bianco|es|w|??|rioja|rioja|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=173
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=173
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=173
W|gomez|cruzado rioja blanco 2 ano|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco 2 ano|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|gomez|cruzado rioja blanco 2 ano|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=177
W|gomez|cruzado rioja blanco 2 ano|es|w|??|rioja|rioja|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco 2 ano|es|w|??|rioja|rioja|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=180
W|gomez|cruzado rioja blanco 2 ano|es|w|??|rioja|rioja|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=180
W|gomez|cruzado rioja blanco 2 ano case|es|w|??|rioja|rioja|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=184
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomez|cruzado rioja blanco|es|w|??|rioja|rioja|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=186
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=188
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gomez|cruzado rioja crianza|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja crianza doca rioja spain 14|es|r|??|rioja|rioja|2022|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja haro vina dorana reserva|es|r|??|rioja|rioja|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja honorable|es|r|??|rioja|rioja|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja honorable|es|r|??|rioja|rioja|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja pancrudo|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predelicto|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=206
W|gomez|cruzado rioja predilecto|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=206
W|gomez|cruzado rioja predilecto|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=206
W|gomez|cruzado rioja predilecto|es|r|??|rioja|rioja|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto|es|r|??|rioja|rioja|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto case|es|r|??|rioja|rioja|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto case|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto doca rioja|es|r|??|rioja|rioja|nv|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja predilecto rioja|es|r|??|rioja|rioja|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja reserva|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja reserva|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=216
W|gomez|cruzado rioja reserva|es|r|??|rioja|rioja|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja reserva|es|r|??|rioja|rioja|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja reserva dorana especial|es|r|??|rioja|rioja|1973|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gomez|cruzado rioja seleccion terroir pancrudo bottle|es|r|??|rioja|rioja|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
