1. W|casa silva|gran terroir los lingues cabernet sauvignon x|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
114. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
115. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
116. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
117. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
118. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
119. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
120. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=113
121. W|casa silva|reserva carmenere 2023|pt|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
122. W|casa silva|reserva carmenere 2024|pt|r|carmenere|??|??|2024|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
123. W|casa silva|reserva carmenere com 6 unidades|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
124. W|casa silva|reserva chardonnay 2025|pt|w|chardonnay|??|??|2025|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
125. X
126. W|casa silva|reserva cuvee cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
127. W|casa silva|reserva cuvee cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=126
128. W|casa silva|reserva cuvee colchagua pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
129. W|casa silva|reserva cuvee pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
130. W|casa silva|reserva cuvee viognier|pt|w|viognier|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
131. W|casa silva|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
132. W|casa silva|reserva merlot 2024|pt|r|merlot|??|??|2024|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
133. X
134. W|casa silva|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
135. W|casa silva|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=134
136. W|casa silva|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=134
137. W|casa silva|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=134
138. W|casa silva|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=134
139. W|casa silva|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
140. W|casa silva|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=139
141. W|casa silva|reserva sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
142. W|casa silva|reserva syrah 2023|pt|r|syrah|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
143. W|casa silva|reserva terroir de familia carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
144. W|casa silva|reserva viognier|pt|w|viognier|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
145. W|casa silva|reserva viognier|pt|w|viognier|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=144
146. W|casa silva|romano|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|casa silva|romano|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=146
148. W|casa silva romano parras viejas|1912 2021|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|casa silva romano single|vineyard|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|casa silva s|38 cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
151. W|casa silva s|7 carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
152. W|casa silva s|7 carmenere 075 14|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
153. W|casa silva s|7 single block carmenere 2023 do los lingues|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
154. W|casa silva|s38|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|casa silva s38|cabernet s|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
156. W|casa silva s38|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
157. W|casa silva s38|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=156
158. W|casa silva s38|cabernet sauvignon single block los lingues|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
159. W|casa silva|s7|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|casa silva s7|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
161. W|casa silva s7|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=160
162. W|casa silva s7|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=160
163. W|casa silva s7|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
164. W|casa silva s7 single block|carmenere 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
165. W|casa silva s7 single block los lingues|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
166. W|casa silva s7 single block los lingues|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=165
167. W|casa silva santa tierra estate|merlot 2021|pt|r|merlot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|casa silva|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
169. W|casa silva|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=168
170. W|casa silva|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=168
171. W|casa silva|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
172. W|casa silva|sauvignon blanc sauvignon gris organico 2018|pt|w|sauvignon blanc|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
173. W|casa silva|sauvignon gris|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|casa silva|sauvignon gris|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=173
175. W|casa silva|sauvignon gris 1912 vines|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|casa silva|sauvignon gris 1912 vines|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=175
177. W|casa silva|sauvignon gris 1912 vines|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=175
178. W|casa silva|sauvignon gris 1912 vines|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=175
179. W|casa silva|sauvignon gris 1912 vines 2022|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|casa silva|sauvignon gris 1912 vines colchagua 2024|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|casa silva|sauvignon gris 2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|casa silva|sauvignon gris 2024 colchagua valley chile|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|casa silva single block s38|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
184. W|casa silva single block s38|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=183
185. W|casa silva single block s7|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
186. W|casa silva super|premium s38 cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
187. W|casa silva super|premium s7 carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
188. W|casa silva|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
189. W|casa silva|syrah lolol gran terroir|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
190. W|casa silva|syrah lolol gran terroir|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=189
191. W|casa silva|syrah reserva 14 sgr|pt|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
192. W|casa silva terroir de|familia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|casa silva terroir de familia|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
194. W|casa silva terroir de familia|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=193
195. W|casa silva terroir de familia|cabernet sauvignon 750cc|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
196. W|casa silva terroir de familia|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
197. W|casa silva terroir de familia|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=196
198. W|casa silva terroir de familia|carmenere 750cc|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
199. W|casa silva terroir de familia|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
200. W|casa silva terroir de familia|chardonnay 750cc|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
201. W|casa silva terroir de familia|merlot 750cc|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|casa silva terroir de familia res valley de colchagua|sauvignon|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|casa silva terroir de familia|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
204. W|casa silva terroir de familia|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=203
