1. W|carema|doc vigne alte 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
131. W|caresse|caresse|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|caresse|calcaire|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|caresse|spring lenor 41|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|caressing|body sorbet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|careta|de proteccion facial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. W|careta|protectora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|careto|doc branco|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
138. W|careto|doc tinto|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
139. W|caretos|de podence|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|caretta|caretta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|carette|robin 2021 ernestine chenin limit 1 per customer|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|carette|robin 2022 ernestine chenin limit 1 per customer|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|carette|robin 2023 les salines|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|carette|robin 2023 les salines chenin|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|carette|robin 2024 les salines|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|carette|robin 2024 les salines chenin|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|carette|robin 2024 piha chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
148. W|carette|robin 2024 ringo limit 2 per customer|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|carette|robin 2024 ringo vin de france|fr|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|caretti|chianti toscana 2022 red dry 125 075|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. X
152. W|carey|198|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
153. W|carezza|almendras 160grs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|carezza|dautunno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|carezza|lambrusco di sorbara|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
156. W|carezza|lambrusco di sorbara doc metodo classico|??|s|lambrusco|??|??|2018|12|doc|leve|frutos do mar, aperitivos, sushi|brut
157. W|carezza|lambrusco di sorbara metodo classico doc|??|s|lambrusco|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
158. W|carezza|tableta x 100gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|carezze|carezze|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|carezze|al bergamotto gr 200|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|carezze|tornado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|carezzo|primitivo di manduria dop 2023 colle al vento cervene suche 0|??|r|primitivo|??|??|2023|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
163. W|carga|aparelho barbear gillette mach3 corpo 2un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. W|carga|de aparelho p barbear gillette mach3 leve mais pague menos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
165. W|carga|de aparelho para barbear gillette mach3 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|carga|de aparelho para barbear gillette mach3 carbono 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|carga|de aparelho para barbear gillette mach3 carbono 6 unidades leve mais pague menos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|carga|de aparelho para barbear gillette mach3 carbono contem 6 unidades leve mais pague menos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
169. W|carga|de aparelho para barbear gillette mach3 com 6 unid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
170. W|carga|de aparelho para depilar gillette venus pele sensivel com 2 uniddades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|carga|depilatoria gillette venus area intima|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
172. W|carga|gillete venus com 2 un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|carga|gillette fem p depilar pele sensivel gillette venun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|carga|gillette fem para depilar pele sensivel venun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|carga|gillette mach3 aparelho de barbear carbono 2un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|carga|gillette mach3 l6 p5 sensitive|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|carga|gillette mach3 l6p5 regular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|carga|gillette mach3 sensitive leve pague 4un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|carga|gillette venus pele sensivel 4 un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
180. W|carga|gillette venus pele sensivel 4un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|carga|mach 3 regular gillette 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|carga|maxima|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|carga|para aparelho de barbear descartavel gillette mach3 sensitive 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|carga|para aparelho de barbear gillette fusion proshield contem 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|carga|para aparelho de barbear gillette mach3 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|carga|para aparelho de depilar gillette venus pele sensivel 4 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|carga|para barbear gillette mach 3 carbono|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|carga|venus para depilacao pele sensivel gillette 4 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|carga|venus pele sensivel 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|cargador|20w usbc power adapter usbc to lightning cable bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
191. W|cargador|adaptador de pared 65 w cara 3 dispositivos bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|cargador|adaptador universal unitek 100w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
193. W|cargador|adaptador universal unitek 35w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|cargador|adaptador universal unitek 65w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
195. W|cargador|antpo 6 pilas aa 3000mwh 2 pilas aaa litio 1300mwh|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
196. W|cargador|apple usbc 20w original con cable c lightning 1mt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|cargador|auto 12v24v 15a 222a usb y c freecell acrilico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|cargador|carga jack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|cargador|compatible con hp envy punta azul 195v 231a 45w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|cargador|cubitt ct2s ct2pro ct3 ct4 and ct4gps charger|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|cargador|de 45w tipo c samsung bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|cargador|de auto duracell splitter 12v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|cargador|de auto fifo usb c usb a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|cargador|de auto oraimo 2 usb 21a anillo led|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
205. W|cargador|de auto xiaomi gds4147gl 2 usb 27w 37w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|cargador|de bateria automatico con arrancador truper expert|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
207. W|cargador|de bateria con arrancador truper 140 a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|cargador|de coche carga super rapida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|cargador|de ip de 35w tipo c a c bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|cargador|de pared apple tipo usb tipoc 1 puerto 20w blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
211. W|cargador|de pared apple usb tipoc 20w mhja3ama|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|cargador|de pared apple usbc 20w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|cargador|de pared microsoft surface duo llr00001 18w usb c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|cargador|de pared philips dlp222010 2usb 155w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|cargador|de pared philips dlp6316c97 45w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|cargador|de pared philips dlp6319c97 60w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|cargador|de pared samsung usb tipoc 45w negro cable tipoc a tipoc 18 m|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|cargador|de pared usb amazon 9w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|cargador|de pared usb apple 12w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|cargador|de pared usb apple 12w retail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|cargador|de pared usb bloox charge c usbc 3a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|cargador|de pared usb bloox charge c3 usbc usba 3a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|cargador|de pared usb c apple 20w carga rapida en caja|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|cargador|de pared usb c apple 20w carga rapida retail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|cargador|de pared usb para ipad apple 10w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
