W|langhe|nebbiolo doc la spinetta rivetti|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=87
W|langhe|nebbiolo doc magnum scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=87
W|langhe|nebbiolo doc magnum scarzello|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=87
W|langhe|nebbiolo doc magnum rocche dei manzoni|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum limited edition artist label 300 magnum prodotti borgogno rivata|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum castrum roche di costamagna isacco|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum cascina fontana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum astuccio benotti rosavica|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc livia fontana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc giuseppe cortese|??|w|cortese|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langhe|nebbiolo doc giuseppe cortese|??|w|cortese|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=98
W|langhe|nebbiolo doc giuseppe cortese|??|w|cortese|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=98
W|langhe|nebbiolo doc giuseppe cortese|??|w|cortese|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=98
W|langhe|nebbiolo doc giuseppe cortese|??|w|cortese|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=98
W|langhe|nebbiolo doc giovanni rosso|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc giovanni rosso|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=103
W|langhe|nebbiolo doc giovanni rosso|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=103
W|langhe|nebbiolo doc giovanni rosso|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=103
W|langhe|nebbiolo doc giovanni rosso|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=103
W|langhe|nebbiolo doc giovanni corino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc giovanni canonica|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc giovanni canonica|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|langhe|nebbiolo doc giovanni canonica|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=109
W|langhe|nebbiolo doc gian luca colombo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc gd vajra|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc fratelli abrigo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc francesco versio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc francesco versio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=115
W|langhe|nebbiolo doc francesco versio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=115
W|langhe|nebbiolo doc francesco versio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=115
W|langhe|nebbiolo doc francesco versio|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=115
W|langhe|nebbiolo doc fontanabianca|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc elio altare|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc e molino|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc crissante alessandria|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc coppo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc clavesana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc clavesana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=125
W|langhe|nebbiolo doc clavesana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=125
W|langhe|nebbiolo doc cavallotto|es|s|nebbiolo|cava|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langhe|nebbiolo doc cavallotto|es|s|nebbiolo|cava|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|seco|=128
W|langhe|nebbiolo doc castrum roche di costamagna isacco|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc castello di neive|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc castello di neive|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=131
W|langhe|nebbiolo doc castello di neive|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=131
W|langhe|nebbiolo doc castello di neive|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=131
W|langhe|nebbiolo doc cascina sot cassetta di legno|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cascina sot cassetta di legno|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=135
W|langhe|nebbiolo doc cascina sot cassetta di legno|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=135
W|langhe|nebbiolo doc cascina sot cassetta di legno|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=135
W|langhe|nebbiolo doc cascina sot cassetta di legno|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=135
W|langhe|nebbiolo doc cascina sot|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cascina sot|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=140
W|langhe|nebbiolo doc cascina sot|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=140
W|langhe|nebbiolo doc cascina sot|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=140
W|langhe|nebbiolo doc cascina sot|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=140
W|langhe|nebbiolo doc cascina roccalini|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cascina fontana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cascina fontana|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=146
W|langhe|nebbiolo doc cascina adelaide|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc benotti rosavica|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc baldissero|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=151
W|langhe|nebbiolo doc 2022gheddored wine|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc trediberri|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc tenuta cucco|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc tenuta cucco|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=165
W|langhe|nebbiolo doc tenuta cucco|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=165
W|langhe|nebbiolo doc stefano porro|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc roccheviberti|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc rocche dei manzoni|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc reva|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc poderi fogliati|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc poderi fogliati|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=172
W|langhe|nebbiolo doc poderi fogliati|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=172
W|langhe|nebbiolo doc poderi fogliati|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=172
W|langhe|nebbiolo doc pira luigi|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc pio cesare|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc neu morra gabriele|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc nadia curto|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc nada fiorenzo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc nada fiorenzo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=180
W|langhe|nebbiolo doc mauro marengo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum davide pellizzari|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc magnum davide pellizzari|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=183
W|langhe|nebbiolo doc luigi giordano|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc giovanni corino|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc giacomo fenocchio|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc elio sandri|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc elio perrone|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cavallotto|es|s|nebbiolo|cava|??|2022|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langhe|nebbiolo doc castello di perno|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc castello di perno|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=191
W|langhe|nebbiolo doc castello di perno|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=191
W|langhe|nebbiolo doc castello di perno|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=191
W|langhe|nebbiolo doc castello di perno|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=191
W|langhe|nebbiolo doc castello di neive|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cascina roccalini|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langhe|nebbiolo doc cascina massara|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
