W|fugue de nenin|aoc pomerol 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet desalcoolizado|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=84
W|freixenet desalcoolizado|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|freixenet desalcoolizado|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=86
W|freixenet desalcoolizado|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=86
W|freixenet desalcoolizado|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=86
W|freixenet|demisec branco 00 zero alcool|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|freixenet|chianti docg 2020|it|r|??|toscana|chianti|2020|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco|=92
W|freixenet|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco|=92
W|frei joao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|frei joao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=95
W|fray|chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frascati villa fabrizia|fabrizia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frascati villa fabrizia|fabrizia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=98
W|frascati san marco|marco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|franco|dop jumilla monastrell|??|r|monastrell|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances vin de lune malbec|rose|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances vidal fleury cotes du rhone|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances|tinto syrah cotes du rhone|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances|saint emilion private reserve 2021|fr|r|??|bordeaux|saint-emilion|2021|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|frances|rose suave rose piscine negrette sudouest|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|frances|rose piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances|rose piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=107
W|frances|rose pays doc gem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances rendezvous sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frances premier rendez vous sauvignon blanccolombard|blanccolombard|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frances piscine|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances members mark|bordeaux|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|frances mado provence|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances les tourelles|bordeaux|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|frances les bories blanques cabernet sauvignon leve 3 pague 2 kit pronto|pronto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances le temps des vendanges georges vigouroux malbec|rose|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances le petit cochonnet pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances la grive musicienne pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances la beliere|bordeaux tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|frances jp chenet merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances jp chenet merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=121
W|frances jolie|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances jean bouchard cortoncharlemagne|grand cru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances gaston|cuvee prestige tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances famille cattin alsace gewurztraminer|gewurztraminer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances delor|bordeaux|fr|r|??|bordeaux|??|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|frances|cuvee sidoine igp mediterrane rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frances cotes de blaignan|cru bourgeois chateau|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances coteaux bourguignons blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau reysson|cru bourgeois hautmedoc tinto|fr|r|??|bordeaux|medoc|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau pedesclaux pauillac|grand cru classe tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau lartigue cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau la freynelle|rose bordeaux|fr|p|??|bordeaux|??|NV|12.5|AOC|medio|saladas, sushi, petiscos|seco
W|frances chateau gabarey|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau fleur cardinale st|emilion 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau dorsan cotes du rhone|aoc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chateau croix cardinale st emililion|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances chablis|grand cru valmur dufouleur pere fils branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|frances|branco petit chablis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frances|branco lola french dog|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frances|branco chardonnay chablis|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frances|branco cerresou fontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frances baron darignac|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frances baron darignac|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
S
W|franc beausejour|bordeaux tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|franc beausejour|bordeaux tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco|=147
W|franc beausejour|bordeaux tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco|=147
W|franc beausejour|bordeaux tinto|fr|r|??|bordeaux|??|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco|=147
W|franc beausejour|bordeaux branco|fr|w|??|bordeaux|??|NV|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|fracao unica tannat|tinto|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fra|rose piscine stripes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|fra|doc bourgogne chardonnay bco 2020|??|w|chardonnay|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|foye|sauvignon blanc 1x|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|foye|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|foye|rose 1x|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|foye|rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|foye|rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=158
W|foye|chardonnay 2019|??|w|chardonnay|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|foye|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|foye|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=161
W|foye|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|foye|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=163
W|foye|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|foye|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=163
W|foye|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=165
W|foye|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=165
W|forte ambrone super toscano|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|forte ambrone|igt branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|forte ambrone etichetta nera|igt toscana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|forte ambrone etichetta nera|igt toscana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=171
W|forte ambrone etichetta nera|igt toscana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=171
W|forster mariengarten riesling kabinett|kabinett|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|fontenutta montepulciano dabruzzo|dabruzzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fonte|do imperador|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fonseca vintage|2011 0|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fonseca guimaraens vintage|1996 0|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|folia 2 garrafas|garrafas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fluminense guerreiros desde|1902 malbec|??|r|malbec|??|??|1902|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor|do tua superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor|do tua superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=181
W|flor|do tua reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|flor|do tua reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=183
W|flor|do tua reserva branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|flor|do tua colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor|do tua 17 superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor|do coa reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|flor|do coa reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=188
W|flor|do coa reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|flor|do coa branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|flor de ping|ping|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor de ping|ping|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=192
W|flor de los andes|rose 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|flor de los andes|carmenere 2020|??|r|carmenere|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|flor de los andes chardonnay|2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|flor de los andes chardonnay|2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco|=196
W|flor de los andes chardonnay|2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|flor de los andes carmenere|2024|??|r|carmenere|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor de los andes carmenere|2024|??|r|carmenere|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=199
W|flor de crasto|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor de crasto|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=201
W|flor de crasto|tinto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor de crasto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor de crasto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=204
W|flor de crasto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=204
W|flor de crasto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=204
W|flor de crasto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=204
W|flor de crasto|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|flor de crasto|douro doc branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|flor de crasto|douro doc branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=210
W|flor de crasto|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|flor de crasto|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=212
W|flor de crasto|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|flor de crasto|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=214
W|flor de crasto|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=214
W|flor das tecedeiras|tecedeiras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor da coutada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|flor da coutada|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|flor da coutada|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=219
W|fleur passion|passion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fiorito rosso puglia|puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fiorito pinot grigio delle venezie|doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|fiorito bianco sicilia|sicilia|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|fino|tinto seco vg reserva marselan garibaldi|??|f|palomino|??|??|NV|15|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco valdubon tempranillo|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco valdubon crianza|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco tannat zanotto|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco tannat il divino cave bertamoni no pix em ate 5x de sem juros comprar|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco tannat|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco sangiovese zanotto|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco pinot noir zanotto|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco orube reserva|??|f|palomino|??|??|NV|15|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|fino|tinto seco orube crianza|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
