1. W|carl|joseph hoch deidesheimer leinhohle tba riesling|??|w|riesling|??|??|1976|12.5|??|leve|peixes, frutos do mar, saladas|seco
121. W|carl|koch opp nat pet nat|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
122. W|carl|koch oppenheim spatburgunder kalkmergel trocken|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|carl|koch oppenheimer grauburgunder kalkmergel trocken|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|carl|koch oppenheimer sacktrager riesling spatlese trocken|??|w|riesling|??|??|2016|12.5|??|leve|peixes, frutos do mar, saladas|seco
125. W|carl|koch oppnat petnat nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|carl|koch orange gewurztraminer|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
127. W|carl|koch pinot promilleweg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|carl|koch rheinhessen germany|de|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|carl|koch riesling sacktrager loess|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
130. W|carl|koch sacktraeger riesling trocken|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
131. W|carl|koch sacktrager riesling loess|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
132. W|carl|koch spatburgunder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|carl|koch spatburgunder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
134. W|carl|koch spatburgunder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
135. W|carl|koch spatburgunder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=132
136. W|carl|koch spatburgunder herrenberg pie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|carl|koch weg weisse riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
138. W|carl|koch weg weisse riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=137
139. W|carl|koch weg wiese riesling|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
140. W|carl|koch weissburgunder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|carl|kuhne pickled gherkins 330g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|carl|loewen 1896 riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
143. W|carl|loewen black 1896 erste lage|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|carl|loewen blauschiefer trocken|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|carl|loewen blauschiefer trocken|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|carl|loewen blauschiefer trocken|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|carl|loewen estate riesling organic|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
148. W|carl|loewen herrenberg riesling kabinett erste lage|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
149. W|carl|loewen laurentiuslay 1er cru riesling trocken|??|w|riesling|??|??|2023|12.5|1er cru|leve|peixes, frutos do mar, saladas|seco
150. W|carl|loewen longuicher herrenberg riesling kabinett|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
151. W|carl|loewen maximin herrenberg 1896 alte reben 1er cru riesling trocken|??|w|riesling|??|??|2022|12.5|1er cru|leve|peixes, frutos do mar, saladas|seco
152. W|carl|loewen maximin herrenberg grosses gewachs riesling|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
153. W|carl|loewen maximin herrenberg riesling 1896 erste lage|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
154. W|carl|loewen maximin herrenberg riesling erste lage|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
155. W|carl|loewen maximin herrenberg riesling gg|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
156. W|carl|loewen maximin herrenberg riesling gg|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
157. W|carl|loewen maximin herrenberg riesling gg|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
158. W|carl|loewen maximin herrenberg riesling gg|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
159. W|carl|loewen maximin herrenberg riesling groes gewachs|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
160. W|carl|loewen maximin klosterlay riesling 2020 1er|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
161. W|carl|loewen pinot blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
162. W|carl|loewen pinot blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
163. W|carl|loewen pinot blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
164. W|carl|loewen pinot blanc trocken|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
165. W|carl|loewen quant riesling halbtrocken|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
166. W|carl|loewen quant riesling halbtrocken|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
167. W|carl|loewen quant riesling halbtrocken|??|w|riesling|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
168. W|carl|loewen riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
169. W|carl|loewen riesling|??|w|riesling|??|??|2009|12.5|??|leve|peixes, frutos do mar, saladas|seco
170. W|carl|loewen riesling alte reben|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
171. W|carl|loewen riesling alte reben|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
172. W|carl|loewen riesling alte reben feinherb|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
173. W|carl|loewen riesling alte reben feinherb|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
174. W|carl|loewen riesling alte reben feinherb|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
175. W|carl|loewen riesling alte reben feinherb|??|w|riesling|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
176. W|carl|loewen riesling alte reben mosel|de|w|riesling|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
177. W|carl|loewen riesling alte reben mosel|de|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
178. W|carl|loewen riesling alte reben trocken|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
179. W|carl|loewen riesling alte reben trocken|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
180. W|carl|loewen riesling alte reben trocken leiwener laurentiuslay|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
181. W|carl|loewen riesling auslese thornicher ritsch|??|w|riesling|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|doce
182. W|carl|loewen riesling auslese thornicher ritsch|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|doce
183. W|carl|loewen riesling gg longuicher maximiner herrenberg|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
184. W|carl|loewen riesling grosses gewachs maximin herrenberg mosel germany|de|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
185. W|carl|loewen riesling herrenberg erste lage kabinett|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
186. W|carl|loewen riesling herrenberg erste lage kabinett|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
187. W|carl|loewen riesling herrenberg erste lage kabinett|??|w|riesling|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
188. W|carl|loewen riesling kabinett herrenberg mosel 2023 eqw|de|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
189. W|carl|loewen riesling kabinett longuicher maximiner herrenberg|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
190. W|carl|loewen riesling laurentiuslay alte reben erste lage|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
191. W|carl|loewen riesling laurentiuslay alte reben erste lage|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
192. W|carl|loewen riesling laurentiuslay premier cru|??|w|riesling|??|??|NV|12.5|premier cru|leve|peixes, frutos do mar, saladas|seco
193. W|carl|loewen riesling maximin herrenberg 1896 premier cru|??|w|riesling|??|??|NV|12.5|premier cru|leve|peixes, frutos do mar, saladas|seco
194. W|carl|loewen riesling maximin herrenberg gg|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
195. W|carl|loewen riesling ritsch mosel 2023 white semidry 125 075|de|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
196. W|carl|loewen riesling trocken gg thornicher ritsch|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
197. W|carl|loewen ritsch riesling auslese|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|doce
198. W|carl|loewen ritsch riesling auslese|??|w|riesling|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|doce
199. W|carl|loewen ritsch riesling auslese|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|doce
200. W|carl|loewen ritsch riesling gg|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
201. W|carl|loewen ritsch riesling gg|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
202. W|carl|loewen ritsch riesling gg|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
203. W|carl|loewen ritsch riesling gg|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
204. W|carl|loewen varidor riesling trocken|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
205. W|carl|loewen varidor riesling trocken|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
206. W|carl|loewen varidor riesling trocken|??|w|riesling|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
207. W|carl|lowen ritsch riesling auslese|??|w|riesling|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|doce
208. W|carl|reh riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
209. W|carl|reh riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=208
210. W|carl|reh sweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
211. W|carl|reh sweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=210
212. W|carl|roy cabernet sauvignon east side cuvee stags leap district|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
213. W|carl|roy east side cuvee napa valley red|us|r|??|napa valley|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
