1. W|cape|heights cinsault rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
79. W|cape|line variety 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|cape|malay chicken curry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|cape|malay dhal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
82. W|cape|margaret cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
83. W|cape|maritime chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
84. W|cape|marlin chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
85. W|cape|marlin chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=84
86. W|cape|marlin shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
87. W|cape|marlin shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=86
88. W|cape|may|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
89. W|cape|may blueberry crushing it|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|cape|may boat ramp champ|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|cape|may city shore|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|cape|may coastal evacuation|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|cape|may crushing it grapefruit 6pk cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|cape|may crushing it mango|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|cape|may dive master|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. X
97. W|cape|may octoberfest|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|cape|may pick of the batch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|cape|may pineapple porter 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|cape|may snag drop|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|cape|may snap drop 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|cape|may two versions of me 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|cape|may variiety 12pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|cape|may white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
105. W|cape|meets teochew|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|cape|mentalle sauvignonsemillon|??|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
107. W|cape|mentelle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|cape|mentelle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=107
109. W|cape|mentelle australia sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
110. W|cape|mentelle brooks chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
111. W|cape|mentelle brooks chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=110
112. W|cape|mentelle brooks chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
113. W|cape|mentelle brooks chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
114. W|cape|mentelle brooks chardonnay margaret river 2023 12 bottles|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
115. W|cape|mentelle brooks sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
116. W|cape|mentelle brooks sauvignon blanc semillon 2024 margaret river|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
117. W|cape|mentelle cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
118. W|cape|mentelle cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=117
119. W|cape|mentelle cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=117
120. W|cape|mentelle cabernet merlot|??|r|merlot|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
121. W|cape|mentelle cabernet merlot|??|r|merlot|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=120
122. W|cape|mentelle cabernet merlot|??|r|merlot|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=120
123. W|cape|mentelle cabernet merlot australia|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
124. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
125. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=124
126. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=124
127. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=124
128. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=124
129. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=124
130. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=124
131. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|1993|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
132. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|1995|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
133. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|1999|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
134. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2001|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
135. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2001|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=134
136. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
137. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
138. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=137
139. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
140. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
141. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
142. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
143. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=142
144. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=142
145. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
146. W|cape|mentelle cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
147. W|cape|mentelle cabernet sauvignon 2021 grey label|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
148. W|cape|mentelle cabernet sauvignon australia|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
149. W|cape|mentelle cabernet sauvignon icon heritage|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
150. W|cape|mentelle cabernet sauvignon margaret river|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
151. W|cape|mentelle cabernet sauvignon margaret river 2020 12 bottles|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
152. W|cape|mentelle cabernet sauvignon margaret river australia|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
153. W|cape|mentelle cabernet sauvignon marri|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
154. W|cape|mentelle cabernet sauvignon merlot margaret river|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
155. W|cape|mentelle cabernet sauvignon mr|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
156. W|cape|mentelle cabernet sauvignon mr margaret river australia|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
157. W|cape|mentelle cabernet shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
158. W|cape|mentelle cabsauvignon|??|r|sauvignon|??|??|2017|13.5|??|leve|carne vermelha, massas, queijos curados|seco
159. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
160. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
161. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
162. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
163. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
164. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
165. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
166. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=159
167. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
168. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
169. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
170. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=169
171. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=169
172. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
173. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=172
174. W|cape|mentelle chardonnay 2021 grey label|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
175. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
176. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=175
177. W|cape|mentelle chardonnay 2022 margaret river|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
178. W|cape|mentelle chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
179. W|cape|mentelle chardonnay australia|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
180. W|cape|mentelle chardonnay margaret river|??|w|chardonnay|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
181. W|cape|mentelle chardonnay margaret river 2022 12 bottles|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
182. W|cape|mentelle chardonnay marri|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
183. W|cape|mentelle chardonnay marri|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=182
184. W|cape|mentelle grey label cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
185. W|cape|mentelle grey label chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
186. W|cape|mentelle icon cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
187. W|cape|mentelle icon cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=186
188. W|cape|mentelle icon cabernet sauvignon margaret river 2017 12 bottles|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
189. W|cape|mentelle margaret river cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
190. W|cape|mentelle margaret river cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
191. W|cape|mentelle margaret river sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
192. W|cape|mentelle marmaduke cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
193. W|cape|mentelle marmaduke cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=192
194. W|cape|mentelle marmaduke cabernet sauvignon 2024 12 bottles|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
195. W|cape|mentelle marmaduke chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
196. W|cape|mentelle marmaduke chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=195
197. W|cape|mentelle marmaduke chardonnay 2025 12 bottles|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
198. W|cape|mentelle marmaduke semillon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
199. W|cape|mentelle marmaduke semillon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=198
200. W|cape|mentelle marmaduke semillon sauvignon blanc 2023 12 bottles|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
201. W|cape|mentelle marmaduke shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
202. W|cape|mentelle marmaduke shiraz 2023 12 bottles|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
203. W|cape|mentelle marri cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
204. W|cape|mentelle marri chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
205. W|cape|mentelle marri chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
206. W|cape|mentelle marri semillon sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
207. W|cape|mentelle merlot petit verdot malbec|??|r|malbec|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
208. W|cape|mentelle mr cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
209. W|cape|mentelle rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
210. W|cape|mentelle rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=209
211. W|cape|mentelle rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=209
212. W|cape|mentelle rose|??|p|??|??|??|2018|12|??|leve|carne vermelha, massas, queijos curados|seco
213. W|cape|mentelle rose 2019 0|??|p|??|??|??|2019|12|??|leve|carne vermelha, massas, queijos curados|seco
214. W|cape|mentelle rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
215. W|cape|mentelle rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
216. W|cape|mentelle rose margaret river 2024 12 bottles|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
