W|vino|gran 120 red blend 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 cabernet s|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=20
W|vino|gran 120 botellon merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 botellon merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=22
W|vino|gran 120 botellon carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 botellon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 botellon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=25
W|vino|gran 120 botellon blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blue blend 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blue blend 1 x 6 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blue blend 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blanco botellon 1500cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blanco 1 x 6 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gran 120 blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=33
W|vino|gramona mas escorpi chardonnay 2004|??|w|chardonnay|??|??|2004|12|??|leve|peixes; saladas; massas leves|??
W|vino|gramona imperial gran reserva brut 2013|??|s|??|??|??|2013|11.5|gran reserva|medio|aperitivos; frutos do mar|brut
W|vino|gramona gessami blanco 38|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|grajales 750 cc blanco de misa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gr174 priorat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gr174|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gr 655|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gotin del risc blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gotin del risc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gotim bru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gotes del priorat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gostolai sos usos 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gostolai sonazzos 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gostolai cuncordu 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalo guzman vontade cab sauv 2021 do maipo x 3 botellas|cl|r|??|maipo valley|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalo guzman oriundo cinsault 2023 do itata coelemu x 3 botellas|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalo guzman garboso ensamblaje 2021 do maipo alto|cl|r|??|maipo valley|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez byass solera 1847 cream botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias tierra madre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias salvaje|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias pipeno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias pais en tinaja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias naranjo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias matorral|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias chardonnay viognier|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gonzalez bastias cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gonzalez bastias bote a remo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gontes crianza 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gomez de segura vendimia seleccionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gomez cruzado reserva especial 1976|??|r|??|??|??|1976|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gomez cruzado reserva especial 1973|??|r|??|??|??|1973|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gomez cruzado predilecto 1978|??|r|??|??|??|1978|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gomez cruzado crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gomez cruzado blanco rioja anos 40|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gomez cruzado anos 60 s|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gomara pedro ximenez|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|gomara pajarete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|goliard parnas costers del segre 1986|??|r|??|??|??|1986|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|goldenberry semiseco vino blueberry semiseco vino berrymix semiseco mermeladas de berries alyssol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|golden cherry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|golden cherry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=74
W|vino|gold rose cotes de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gold rose cotes de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=76
W|vino|gold rose cote de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gold rose cote de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=78
W|vino|goja wino czerwone wytrawne 20|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|godina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|godello sobre lias x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
X|=83
X|=83
W|vino|godello do x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|godello abraio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gobelet rojo 1981|??|r|??|??|??|1981|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva especial 1968|??|r|??|??|??|1968|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva especial 1959|??|r|??|??|??|1959|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva especial 1955|??|r|??|??|??|1955|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva 2002|??|r|??|??|??|2002|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva 1982|??|r|??|??|??|1982|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva 1978|??|r|??|??|??|1978|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso reserva 1973|??|r|??|??|??|1973|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso gran reserva 1982|??|r|??|??|??|1982|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso gran reserva 1973|??|r|??|??|??|1973|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso gran reserva 1964|??|r|??|??|??|1964|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso crianza 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso crianza 2000|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso 1985|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso 1982|??|r|??|??|??|1982|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso 1981|??|r|??|??|??|1981|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso 1980|??|r|??|??|??|1980|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glorioso 1970|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gloria de ostatu 2002|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gloria de ostatu 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gloria de ostatu 2000|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|globo vultur carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|globo vultur carmenere 2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|globo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glarima de sommos rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|glarima de sommos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glarima de sommos blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|glarima de sommos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giustini illuminato fiano salento igp cl 75|??|w|fiano|??|??|NV|12|igp|leve|peixes; saladas; massas leves|??
W|vino|giustini costiero rosato igp cl 75|??|p|??|??|??|NV|11.5|igp|medio|aperitivos; frutos do mar|??
W|vino|giustini avoglia sussumaniello igp cl 75|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|giustini avoglia rosato igt cl 75|??|p|??|??|??|NV|11.5|igt|medio|aperitivos; frutos do mar|??
W|vino|giustini avoglia primitivo igp puglia cl 75|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|giustini avoglia fiano igp cl 75|??|w|fiano|??|??|NV|12|igp|leve|peixes; saladas; massas leves|??
W|vino|giustini acinore primitivo di manduria doc cl 75 old vines|??|r|primitivo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|giubileo 2025 igt toscana|it|r|??|??|??|2025|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|gisele blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giorgi oltrepo pavese sangue di giuda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giogantinu vermentino 075|??|w|vermentino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|giogantinu tancare 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giogantinu rosso lt 5|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giogantinu nottechelu 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giogantinu nastarre 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giogantinu manzanu 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giogantinu lughente vermentino|??|w|vermentino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|giogantinu bianco lt 5|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez vina las brujas tannat 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez vina las brujas malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez vina las brujas chardonnay viognier 2024|??|w|chardonnay|??|??|2024|12|??|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez vina las brujas cabernet suvignon 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez vina las brujas albarino de corte 2025|??|w|albarino|??|??|2025|12|??|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez luis a gimenez tannat super premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez las brujas tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez las brujas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez las brujas chardonnay viognier|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez las brujas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez las brujas cabernet franc rose|??|p|cabernet franc|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gimenez mendez enigma 15 variedades|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez casco viejo tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez casco viejo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez casco viejo chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez casco viejo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez casco viejo cabernet malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez ar tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva tannat 750cc|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva tannat 2023|??|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva saivignon blanc 2024|??|r|??|??|??|2024|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva pinot noir 2020|??|r|pinot noir|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva malbec 2023|??|r|malbec|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva chardonnay|??|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez alta reserva cabernet suavignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva cabernet sauvigon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva arinarnoa 2021|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez alta reserva albarino|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez 100 anos tannat oak aged|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez 100 anos tannat 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez 100 anos sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gimenez mendez 100 anos rf tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez 100 anos res familiar tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez 100 anos res familiar cab sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez 100 anos marselan 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gimenez mendez 100 anos cabernet sauuvignon 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gillmore vermentino 2023 do maule x 3 botellas|cl|w|vermentino|maule valley|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vino|gillmore montepulciano del maule 2021 domaule x 3 botellas|cl|r|montepulciano|toscana|montepulciano|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gillmore hacedor de mundos merlot 2019 do maule x 3 botellas|cl|r|merlot|maule valley|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gillmore hacedor de mundos cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gillmore hacedor de mundos cabernet sauvignon 2015 do maule 3 botellas|cl|r|cabernet sauvignon|maule valley|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gillmore collezione del maule 2022 ensamblaje do maule x 3 botellas|cl|r|??|maule valley|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gik live azul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|giato nero davola perricone sicilia doc 6 bottiglie cento passi|it|r|??|sicilia|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|giato grillo catarratto doc sicilia superiore 6 bottiglie cento passi|it|r|grillo|sicilia|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|giacondi lambrusco rosato lleva gratis galletas estuche|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gewurztraminer les princes abbes domaines schlumberger|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gessami blanco x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gessami blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gessami|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard betrand jumbo clos d ora x magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard betrand clos d ora x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand orange gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand le chouchou botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand heresie corbieres tinto x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand heresie corbieres blanco x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand heresie corbieres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand cote des roses tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand cote des roses rose 2024|??|p|??|??|??|2024|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gerard bertrand cote des roses blanco 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand cigalus tinto x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand cigalus blanco x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand an 940 cabernet sauvignon x|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand an 560 cotes du roussillon villages tautavel x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand an 462 languedoc x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand an 1618 picpoul de pinet x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gerard bertrand an 1152 cahors x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso zoilo pedro ximenez|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|generoso ximenezspinola old harvest do jerezxeressherry espana|??|r|??|andalucia|jerez|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso ximenez spinola old harvest pedro ximenez|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|generoso vino para consagrar ucero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso valdespino toneles viejisimo moscatel|??|r|moscatel|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso valdespino tio diego amontillado palomino|??|f|palomino|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino palo cortado viejo cp vos palomino|??|f|palomino|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino oloroso don gonzalo vos|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino manzanilla la especial palomino|??|f|palomino|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino fino inocente palomino|??|f|palomino|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino el candado pedro ximenez|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|generoso valdespino cardenal palo cortado vors palomino|??|f|palomino|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino amontillado coliseo vors palomino|??|f|palomino|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso valdespino amontillado coliseo vors jerez espana|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso ucero vino para consagrar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso tres coronas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso tres coronas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=222
W|vino|generoso tawny 10 anos oporto ferreira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso rancio seco de muller|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso porto tawny reserve jockey club do oporto portugal|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso porto ruby reserve sotto voce do oporto portugal|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso porto rojo|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso porto ferreira tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
