W|galega|fekete olajbogyokrem 90 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods bacon bacon dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods buffalo bleu dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods caramelized onion horseradish dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods cucumber dill dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods grilled bacon cheeseburger dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods jalapeno popper dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods roasted garlic carolina reaper dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods sun dried tomato basil dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|river dry goods sweet maui onion dip mix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|galena|river dry goods white cheddar bacon dip|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galena|roasters costa rica west valley 12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|roasters honduras alto de los santos12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|roasters jackass blend 12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|roasters papua new guinea 12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|roasters peru cajamarca 12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|roasters sumatra harimau tiger12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galena|weekend sweepstakes package|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galenee|grolleau noir|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galenee|grolleau|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galens|good old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galentines|day definition valentines day card|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galentines|day pajama party|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galentines|party pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeo|dill 8g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeo|parsley leaves 10g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeo|potato french fries seasoning 20g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeone|bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeote|galeote|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeotti|pinot grigio rose|??|p|pinot grigio|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galeotti|pinot grigio rose blush|??|p|pinot grigio|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galereta|180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galereta|with egg 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|galeria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|galeria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|galeria|galeria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=59
W|galeria|bulldog|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|calavera tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|de cuadros afrodita|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|de fotos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|de tintos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|frizzante bianco secco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|galeria|leon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|migdal cabernet sauvignon czerwone posodkie|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|migdal cabernet savignon czerwone wytrawne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|migdal chardonnay biae powytrawne|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeria|migdal merlot czerwone powytrawne|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|migdal savignon blanc biae posodkie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeria|migdal savignon blanc biae wytrawne|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeria|reserv pachet mixt 4 sticle vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeria|rose craneo|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galeria|rose jirafa|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galeria|rose vino frizzante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|galerias|el triunfo canastas navidenas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerie|cabernet sauvignon latro|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerie|cabernet sauvignon napa|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerie|knights valley cab sauvignon sonoma county|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerie|latro knights valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerie|naissance napa valley sauvignon blanc|us|w|sauvignon blanc|california|napa valley|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galerie|napa sauvignon blanc|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galerie|sauvignon blanc naissance|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galerie|sauvignon blanc naissance|??|w|sauvignon blanc|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galerna|bubbles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerna|fuse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerna|undercover|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerna|verdejo organic|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galerne|galerne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerne|galerne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=92
W|galerne|galerne|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerne|galerne|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerne|galerne|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerno|pequena adega romana|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerno|galerno|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galerno|pequena adega romana|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeron|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeron|chardonnay baric bio dfr alb sec|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeron|chardonnay baric bio|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeron|chardonnay baric bio|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeron|eco chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeron|feteasca neagra baric|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeron|feteasca neagra baric|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|galeron|feteasca neagra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeron|rosu feteasca neagra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gales|blanc de blancs brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gales|blanc de blancs demisec|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gales|cremant de luxembourg g by gales|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gales|cremant de luxembourg heritage brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gales|cremant de luxembourg jubilee riesling brut|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|galesa|galesa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galesa|galesa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|galesa|valli di porto pino igt cantina mesa|??|f|??|??|??|nv|20|igt|encorpado|queijos, sobremesas, chocolate|doce
W|galet|de bigorre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|de chevre 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|de la loire|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|de la loire 260g new|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|de la loire cows milk loire valley france 9ozeach|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|de touraine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|de tours|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|des papes chateauneufdupape|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|des papes chateauneufdupape|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galet|god ballarinblandlada 2 roda viner viner 1 vitt vin 2 av varje 6 totalt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeto|congelado nat 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeto|congelado seara aproximadamente 700g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeto|inteiro congelado aprox 700g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeto|sadia carcaca congelada 15kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galets|chenes truffiers aop cotes du rhone rouge|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galets|de cazebonne cabernetsauvignon chateau cazebonne|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galets|de loire muscadet grandlieu|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galets|dores|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galets|dores|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=134
W|galets|roses|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galets|roses|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=136
W|galets|rouges|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galets|rouges|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=138
W|galetta|daniels|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galette|bretonne sachet 150g le drean|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galette|cream 17|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galette|des templiers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galette|insulated stainless tumbler with straw and lid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galette|pithivier frangipane preorder 24cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|au chocolat noir et oranges confites 200gr la fabrique|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|bretonnes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|bretonnes 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|bretonnes chocolat blancs eclat de caramel 200gr la fabrique|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galettes|de bretagne jacques menouap distribuzione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|palettes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galettes|thin crispy butter cookies box 100g 35 oz traou mad|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galetto|galetto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galetto|galetto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=154
W|galetto|extra dry rose metodo charmat igp puglia|it|p|??|??|??|nv|12.5|igp|leve|aperitivos, frutos do mar, saladas|seco
W|galetto|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galevan|chateauneuf du pape|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|aureus vin orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|chateauneufdupape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|chateauneufdupape saint georges|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|cote du rhone rood lesprit devin|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|cotes du rhone libre expression|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|cuvee saint georges chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galevan|cuvee saint georges chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|galevan|leon lili mediteranee rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galeyrand|gevreychambertin la justice 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeyrand|jerome bourgogne rouge antonin|fr|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeyrand|jerome marsannay blanc champs perdrix|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeyrand|jerome marsannay rouge combre du pre|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galeyrand|marsannay blanc les champs perdrix|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galeyrand|marsannay combe du pre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|galicia and catalonia spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|crujidera|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|doce|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|galgo|ib sunset|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|negro prieto picudo do leon vino tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|once tempranillo|??|r|tempranillo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|pompa|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|wines castilla y leon ib sunset garnachacayetana spain|es|r|garnacha|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galgo|wines la brisa castes tinto menciacaino longobrancellaosouson galicia spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galheteiro|ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galheteiros|cortica conjunto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|20 anos red wine grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|20 anos rotwein grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|20 anos tinto grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|20 anos vino tinto grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|branco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|branco reserva|??|r|??|??|??|2023|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|espumante bruto|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|galhofa|espumante bruto douro doc|pt|s|??|douro|douro|2020|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|galhofa|espumoso brut douro doc|pt|s|??|douro|douro|2020|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|galhofa|grande reserva tinto|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|moscatel galego branco|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|moscatel galego branco|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|moscatel galego vino blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galhofa|moscatel galego weiwein|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|moscatel galego white wine|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galhofa|red wine grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|red wine reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|red wine touriga nacional reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|reserva branco|??|r|??|??|??|2023|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|reserva tinto|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|reserva tinto|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|rotwein grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|rotwein reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|rotwein touriga nacional reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|schaumwein brut douro doc|pt|s|??|douro|douro|2020|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|galhofa|sparkling brut douro doc|pt|s|??|douro|douro|2020|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|galhofa|tinto|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|tinto grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|tinto reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|tinto touriga nacional reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|touriga nacional reserva tinto|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|vino blanco reserva|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|galhofa|vino tinto grande reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|vino tinto reserva|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|vino tinto touriga nacional|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|weiwein reserva|??|r|??|??|??|2023|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|galhofa|white wine reserva|??|w|??|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gali|kolye|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gali|kupe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gali|mountain cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gali|yuzuk|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|galia|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|clos santuy|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|clos santuy|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|galia|clos santuy|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|clos santuy vdt 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|le dean tinto fino|??|f|??|??|??|2018|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|galia|le dean vdt 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|le petit|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|vilages|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
