W|valdespino|la especial miraflores 2016|es|f|palomino|andalucia|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|inocente fino dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=29
W|valdespino|inocente fino dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=29
W|valdespino|inocente fino dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=29
W|valdespino|inocente fino dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=29
W|valdespino|inocente fino dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=29
W|valdespino|inocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|inocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=35
W|valdespino|inocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=35
W|valdespino|inocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=35
W|valdespino|inocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=35
W|valdespino|innocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|innocente fino|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=40
W|valdespino|herencia vermouth|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|fino ynocente pago de macharnudo|es|f|palomino|andalucia|macharnudo alto|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino sherry ynocente nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino sherry ynocente nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=44
W|valdespino|fino sherry inocente jerez nv|es|f|palomino|andalucia|jerez|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino sherry inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente single vineyard sherry fortified wine|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente single vineyard|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=50
W|valdespino|fino inocente pago de macharnudo jerez spain|es|f|palomino|andalucia|jerez|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente pago de macharnudo half nv|es|f|palomino|andalucia|macharnudo alto|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente pago de macharnudo demi|es|f|palomino|andalucia|macharnudo alto|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|demi-sec
W|valdespino|fino inocente macharnudo vineyard nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente dry sherry 075|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente dry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=58
W|valdespino|fino innocente nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino half|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino dry sherry inocente single vineyard marcharnudo alto|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino dry sherry inocente|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|fino 15 075|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|el deliciosa manzanilla|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|el candido pedro ximenex sherry px|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado px sherry 075|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado px sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado px sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=77
W|valdespino|el candado px|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenezx sherry nv|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenezx sherry nv|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=80
W|valdespino|el candado pedro ximenez sherry nv|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenez sherry nv|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=82
W|valdespino|el candado pedro ximenez sherry 37|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez sherry|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=85
W|valdespino|el candado pedro ximenez 0|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenez 0|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=94
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenez|es|f|pedro ximenez|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=96
W|valdespino|el candado pedro ximenex px sherry jerez spain|es|f|pedro ximenez|andalucia|jerez|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|el candado pedro ximenex px sherry jerez spain|es|f|pedro ximenez|andalucia|jerez|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=104
W|valdespino|el candado pedro ximenex px sherry jerez spain|es|f|pedro ximenez|andalucia|jerez|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=104
W|valdespino|el candado pedro ximenex px sherry jerez spain|es|f|pedro ximenez|andalucia|jerez|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=104
W|valdespino|el candado|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|dry 413 07|es|f|palomino|andalucia|??|07|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|don gonzolo oloroso vos|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso vos sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso vos|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso vos|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=112
W|valdespino|don gonzalo oloroso viejo vos sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso viejo vos sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=114
W|valdespino|don gonzalo oloroso viejo vos sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=114
W|valdespino|don gonzalo oloroso viejo vos over 20 years old sherry nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso viejo vos aged 20 years nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso viejo jerez|es|f|palomino|andalucia|jerez|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso 21|es|f|palomino|andalucia|??|21|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso 20y sherry sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|don gonzalo oloroso|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa pago miraflores manzanilla sherry|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa manzanilla sherry nv|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa manzanilla sherry|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa manzanilla sherry|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=125
W|valdespino|deliciosa manzanilla sherry|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=125
W|valdespino|deliciosa manzanilla nv|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa manzanilla nv|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=128
W|valdespino|deliciosa manzanilla nv|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=128
W|valdespino|deliciosa manzanilla 0375|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa manzanilla|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|deliciosa manzanilla|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=132
W|valdespino|deliciosa manzanilla|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=132
W|valdespino|deliciosa manzanilla|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=132
W|valdespino|deliciosa manzanilla|es|f|palomino|andalucia|sanlucar de barrameda|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=132
W|valdespino|cream sweet sherry isabela|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|cream sherry isabela|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|cream sherry|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|cream oloroso isabela sherry|es|f|palomino|andalucia|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdespino|cream isabela|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|doce
W|valdespino|contrabandista sherry amontillado medium dry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|demi-sec
W|valdespino|contrabandista medium dry amontillado sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|demi-sec
W|valdespino|contrabandista medium dry amontillado sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|demi-sec|=143
W|valdespino|contrabandista medium dry amontilado 075|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|valdespino|contrabandista amontillado sherry gift box nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|contrabandista amontillado medium dry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|demi-sec
W|valdespino|contrabandista amontillado blend sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|contrabandista amontillado|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|contrabandista amontillado|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=149
W|valdespino|contrabandista amontillado|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=149
W|valdespino|contrabandista|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|contarbandista amontillado sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|coliseo amontillado vors nv demi|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|demi-sec
W|valdespino|coliseo amontillado vors aged 30 years|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|coliseo amontillado vors aged 30 years|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=155
W|valdespino|cardenal vors palo cortado sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|cardenal vors 30 single vineyard macharnudo alto|es|f|palomino|andalucia|macharnudo alto|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|cardenal vors 30 single vineyard macharnudo alto|es|f|palomino|andalucia|macharnudo alto|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=158
W|valdespino|cardenal palo cortado vors over 30 years 22o gl sherry nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|barrel fermented palomino|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|barrel ferment palomino|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|aperitivo jerezano|es|f|palomino|andalucia|jerez|NV|15|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|amontillado vors coliseo 30 anos sherry nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado tio diego sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado tio diego sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=165
W|valdespino|amontillado tio diego sherry|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=165
W|valdespino|amontillado tio diego jerez nv|es|f|palomino|andalucia|jerez|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado tio diego 18 075|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado tio diego|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado tio diego|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=170
W|valdespino|amontillado medium contrabandista|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado dry tio diego|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado contrabandista nv|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado contrabandista|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|valdespino|amontillado|es|f|palomino|andalucia|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco|=176
W|valdespino|amont tio diego|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino|alfonso el sabio gran reserva|es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino||es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdespino||es|f|palomino|andalucia|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=180
W|valdesill|godello sobre lias 2024|??|w|godello|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdesil|valderroa mencia 2021|es|r|mencia|valdeorras|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|valderroa mencia 2021|es|r|mencia|valdeorras|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=183
W|valdesil|valderroa mencia 2021|es|r|mencia|valdeorras|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=183
W|valdesil|valderroa mencia|es|r|mencia|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|valderroa carballo mencia 2022|es|r|mencia|valdeorras|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|valderroa carballo mencia 2018|es|r|mencia|valdeorras|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|valderroa carballo mencia 2018|es|r|mencia|valdeorras|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=188
W|valdesil|valdeorras godello sobre lias white 2018|es|w|godello|valdeorras|??|2018|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|valdeorras godello montenovo|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|sobre lias 2024|es|w|??|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|sobre lias|es|w|??|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|sobre lias|es|w|??|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=193
W|valdesil|pezas de portela 2022|es|w|??|valdeorras|??|2022|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|pezas da portela godello 2021|es|w|godello|valdeorras|??|2021|20|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|pezas da portela 2024|es|w|??|valdeorras|??|2024|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|pezas da portela 2018|es|w|??|valdeorras|??|2018|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
