W|vino|espumoso prospritz cinzano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso prosec mionetto brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso prosec mionetto brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=27
W|vino|espumoso private cuvee brut zardetto|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso prapian 3 volte presa no 3 brut glera|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso praon de maria serendipia rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso pommery brut royal|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso pommery brt apanage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso pizzorno proseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso pizzorno brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso pinelli prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso pinelli moscato spumante|??|s|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espumoso pinelli asti spumante|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso pierre zero rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso pierre zero chardonnay sin alcohol|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso pierre zero chardonnay sin alcohol|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=40
W|vino|espumoso pierre zero chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso piccini lambrusco reggiano tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso piccini lambrusco reggiano tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=43
W|vino|espumoso picamelot cremant de bourgogne les terroirs brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso petillant demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso petillant demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec|=46
W|vino|espumoso petillant brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso petillant brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=48
W|vino|espumoso peterlongo gar 20 lit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso peterlongo bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso pet nat llano colorado bixo|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso perrier jouet grand brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso perrier belle epoque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso pere ventura ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso pere ventura ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso pata negra ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso pata negra ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso pata negra cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso pata negra cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=59
W|vino|espumoso pata negra cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=59
W|vino|espumoso pata negra cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=59
W|vino|espumoso pata negra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso paris rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso paris ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso paris ice blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso paris de nuit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso paris brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso paris brut botella|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso paris brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso palomas semi cava 57|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso palomas brut cava 57|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso palacio de bornos frizzante verdejo brut|??|s|verdejo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso palacio de bornos frizzante verdejo|??|s|verdejo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso palacio de bornos frizzante verdejo|??|s|verdejo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=74
W|vino|espumoso palacio de bornos frizzante verdejo|??|s|verdejo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=74
W|vino|espumoso palacio de bornos frizzante rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso palacio de bornos frizzante rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=77
W|vino|espumoso palacio de bornos espumoso brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso palacio de bornos brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso oveja negra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso ottella blanc de blancs metodo clasico igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso ottella back to silence lugana doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso orlotti prosecco extra dry doc|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso orlotti lambrusco tinto dell emilia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso orlotti lambrusco blanco dell emilia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso orlotti asti spumando docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso orlandi espumoso semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso orlandi espumoso rosado semi seco|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso orlandi espumoso brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso opera prima brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso nuit doree sec botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso nuit doree demi sec rose ice edition|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|demi-sec
W|vino|espumoso nuit doree demi sec rose ice edition|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|demi-sec|=93
W|vino|espumoso nuit doree demi sec botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso nuit doree black ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso nuit doree black ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=96
W|vino|espumoso nuestra ameextra brut 750 cc|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso nozeco sin alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso nicole espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso nicchio lambrusco emilia rosso dolce igt italia|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso nicchio lambrusco emilia rosato dolce igt italia|it|p|??|??|??|NV|11.5|igt|medio|aperitivos; frutos do mar|doce
W|vino|espumoso nicchio lambrusco emilia blanco igt italia|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso navarro correas extra brut piba|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso navarro correas extra brut malbec|??|s|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso navarro correas extra brut blanc|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso navarro correas extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso navarro correas brut malbec rose|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso n correas extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso mumm bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso mucho mas sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso moscato spumante pinelli|??|s|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espumoso moscato spumante pinelli|??|s|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=112
W|vino|espumoso moscato spumante pinelli|??|s|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=112
W|vino|espumoso moscato sperone|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso moscato sorbello|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso moscato ice blue|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso moscato gioioso gioiosa|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso moscato gioioso gioiosa|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=118
W|vino|espumoso mona lisa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso molino rojo 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso molina canovas brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso moet chandon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso moet chandon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=123
W|vino|espumoso moet chandon ice imperial rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso moet chandon ice imperial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso moet chandon brut imperial rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso moet chandon brut imperial rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=127
W|vino|espumoso moet chandon brut imperial|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso moet chandon brut imperial|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=129
W|vino|espumoso moet chandon brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso moet chandon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso moelia rose demisec|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|demi-sec
W|vino|espumoso moelia brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso moelia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso mionetto prosecco valdobbiadene extra dry docg|it|s|glera|veneto|valdobbiadene|NV|11.5|docg|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso mionetto prosecco brut botella|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso mionetto prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso mionetto la pieve prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso mionetto cuvee sergio 1887 rose igt extra dry luxury|??|p|??|??|??|NV|11.5|igt|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso mionetto cuvee sergio 1887 igt extra dry luxury|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|extra dry
W|vino|espumoso mionetto cartizze docg dry luxury|??|r|??|veneto|cartizze|NV|13.5|docg|medio|carnes vermelhas; queijos curados|dry
W|vino|espumoso millesimato valdobbiadene prosecco superiore docg|it|s|glera|veneto|valdobbiadene|NV|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|espumoso michele nivole moscato|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso mezza di mezzacorona rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso mezza di mezzacorona extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso mezza di mezzacorona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso mezza di mezzacorona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=147
W|vino|espumoso mestres visol gran reserva brut nature|??|s|??|??|??|NV|11.5|gran reserva|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso mestres mas via brut gran reserva|??|s|??|??|??|NV|11.5|gran reserva|medio|aperitivos; frutos do mar|brut
W|vino|espumoso mestres damiana gran reserva brut nature|??|s|??|??|??|NV|11.5|gran reserva|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso mestres coquet gran reserva brut nature|??|s|??|??|??|NV|11.5|gran reserva|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso mestres cava 1312 rosat|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso medici ermete amabile lambrusco grasparrosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso matarromera wine 00|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso maschio spumante rose extra dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso maschio spumante rose extra dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry|=156
W|vino|espumoso maschio prosecco rose extra dry|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso maschio prosecco rose extra dry|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry|=158
W|vino|espumoso maschio prosecco rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso maschio prosecco extra dry|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso maschio prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso maschio procecco treviso extra dry|it|r|??|veneto|treviso|NV|13.5|??|medio|carnes vermelhas; queijos curados|extra dry
W|vino|espumoso maschio pinot grigio extra dry|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|extra dry
W|vino|espumoso maschio pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso maschio called oro frizzante seco|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso maschio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso martini prosseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso martini proseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso martini prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso martini asti docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso martini asti botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=173
W|vino|espumoso martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=173
W|vino|espumoso martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=173
W|vino|espumoso martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=173
W|vino|espumoso martini asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=173
W|vino|espumoso martellozzo prosseco rose glera|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso martellozzo prosseco glera|??|r|glera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso marques de moja semi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso marques de caceres cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso maria y bernardo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso marchese antinori cuvee royale docg lombardia italia|it|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso maison castel ice cuvee blanche demisec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso maison castel ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso maison castel gold cuvee brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso maison castel gold cuvee blanche brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso maison castel gold cuvee blanche|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso maison castel cuvee blanche brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso madera 5 sangiovese rosado|??|p|sangiovese|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lyra brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso lunelli perle chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso lunelli maximum blanc de blancs chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso lunato lambrusco tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lunato lambrusco rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lunato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso luminoso rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso luminoso blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lume brut de huelva|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso luigi bosca brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso luc belaire rose fantome|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso luc belaire rare luxe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso luc belaire gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso loxarel vintage rose brut nature blend|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso loxarel vintage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso loxarel ancestral a pel pet nat xarello|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso louis perdrier rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso louis perdrier brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso louis perdrier brut francia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso louis perdrier brut excellence|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso louis perdrier brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso louis perdrier brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=212
W|vino|espumoso louis perdrier brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=212
W|vino|espumoso louis perdrier brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=212
W|vino|espumoso louis perdrier brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=212
W|vino|espumoso louis perdrier brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=212
W|vino|espumoso louis de grenelle saumur 3774 maitre de chai blanc de noirs brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso louis de grenelle cremant de loire chardonnay extra brut|fr|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso louis de grenelle cremant de loire blanc de noirs extra brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso lolea sangria de vino rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lolea sangria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lia by nivarius petnat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso les cocottes chardonnay sin alcohol|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso les cocottes chardonnay sin alcohol|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=224
W|vino|espumoso le marchesine franciacorta brut docg|??|s|??|??|??|NV|11.5|docg|medio|aperitivos; frutos do mar|brut
W|vino|espumoso le marchesine franciacorta brut docg|??|s|??|??|??|NV|11.5|docg|medio|aperitivos; frutos do mar|brut|=226
W|vino|espumoso le concord bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso le concord|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso las garrafas ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
