W|gh|mumm champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm cordon rouge jeroboam cutie lemn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm cordon rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|gh|mumm cordon rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|gh|mumm cordon rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|gh|mumm cordon rouge mathusalem cutie lemn|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm cordon rouge nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm cordon rouge nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|gh|mumm cordon rouge nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=90
W|gh|mumm cordon rouge nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm cordon rouge nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=93
W|gh|mumm cordon rouge nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=93
W|gh|mumm cordon rouge nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=93
W|gh|mumm cordon rouge nv champagne limited release|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm cordon rouge nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=93
W|gh|mumm cordon rouge nv champagne wooden box jeroboam|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
X
W|gh|mumm cordon rouge rose abv 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm cordon rouge rose abv 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=101
W|gh|mumm cordon rouge rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm cordon rouge rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm cordon rouge sampanie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm cordon rouge sampanie 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm cuvee cordon rouge brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm cuvee cordon rouge brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=107
W|gh|mumm cuvee r lalou prestige brut|??|s|??|??|??|2006|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm cuvee r lalou prestige brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm cuvee r lalou prestige brut millesime 1|??|s|??|??|??|1985|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm cuvee rene lalou|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm cuvee rene lalou|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|gh|mumm demi sec|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm demi sec|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|gh|mumm demisec 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm et cie cordon rouge brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm et cie cordon rouge imperial brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm et cie cordon rouge jeroboam brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm et cie cordon rouge rose brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm et cie grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm et cie grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=121
W|gh|mumm et cie rene lalou millesime brut|??|s|??|??|??|2002|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm et cie rose brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm gift pack 2 champagne flutes|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm gran cordon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm gran cordon rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm grand 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=129
W|gh|mumm grand cordon 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=132
W|gh|mumm grand cordon brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=132
W|gh|mumm grand cordon brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=132
W|gh|mumm grand cordon brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=132
W|gh|mumm grand cordon brut box|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=138
W|gh|mumm grand cordon brut champagne nv gift boxed|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=148
W|gh|mumm grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=148
W|gh|mumm grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=148
W|gh|mumm grand cordon brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=148
W|gh|mumm grand cordon brut nv twin flute gift pack|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=154
W|gh|mumm grand cordon brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=154
W|gh|mumm grand cordon brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=154
W|gh|mumm grand cordon brut rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon brut rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=158
X
W|gh|mumm grand cordon champagne brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon champagne gift pack two champagne glasses|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=163
W|gh|mumm grand cordon nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon nv future arrival|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm grand cordon rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=167
W|gh|mumm grand cordon rose 075 goy|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm grand cordon rose 075 kartonik|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm grand cordon rose 6 case|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm grand cordon rose brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon rose brut 12 box|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon rose brut box|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=175
W|gh|mumm grand cordon rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=175
W|gh|mumm grand cordon rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=175
W|gh|mumm grand cordon rose champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon rose champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=179
W|gh|mumm grand cordon rose champagne nv france|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm grand cordon rose nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm grand cordon rouge 075 goy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon rouge 075 kartonik|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon rouge 3 kartonik|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm grand cordon rouge brut 12 box|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon rouge brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm grand cordon rouge brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=188
W|gh|mumm grand cordon rouge rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm ice extra 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm ice extra champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm ice extra demisec|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm ice xtra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm ice xtra champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm lalou prestige brut millesime|??|s|??|??|??|1971|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm lalou prestige brut millesime|??|s|??|??|??|1973|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm lalou prestige brut millesime|??|s|??|??|??|1979|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm le rose sampanie 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm marlborough brut prestige|nz|s|??|??|marlborough|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm millesime|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm millesime vintage|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm millesmime 750|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm olympe demi sec|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm olympe demi sec champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm plastic champagne flute 2 pcs|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm plastic champagne flute 6 pcs|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm rene lalou brut|??|s|??|??|??|2002|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|mumm rouge rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gh|mumm rsrv cuvee 45 brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm rsrv cuvee 45 brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=212
W|gh|mumm rsrv cuvee lalou brut|??|s|??|??|??|2008|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|mumm rsrv lalou|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm rsrv lalou|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|gh|mumm rsrv lalou|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|mumm rsrv rose foujita brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gh|nourish body wash|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|nourish complexion bar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|protect roll on|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|rsrv|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh|von mumm 50 degree trocken riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gh|von mumm 50 riesling trocken|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gh|von mumm pinot noir 50 parallel rose|??|p|pinot noir|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
