W|vino|rosado montgras pink sin|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado los vascos rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=42
W|vino|rosado lopez cristobal rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado lomita grenache|??|p|grenache|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado lomita|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado lj|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado livana rose x 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado livana rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado leyenda|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado leyenda|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=50
W|vino|rosado leyenda|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=50
W|vino|rosado les cocottes rose sin alcohol|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado laus rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado las nubes jaak|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado las nubes jaak|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=55
W|vino|rosado las nubes jaak|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=55
W|vino|rosado las moras syrah|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado lancers rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado lancers|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado lancers|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=60
W|vino|rosado lambrusco dolce amore rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|rosado lambrusco|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado la violette rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado la mascota x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado la maldita|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado la cetto primavera cabernet sauvignon|??|p|cabernet sauvignon|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado la cetto blanc de zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=68
W|vino|rosado izadi larrosa|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado izadi larrosa|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=85
W|vino|rosado inspiration aoc chateau berne|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado hito|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado hacienda guadalupe gaby rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado guaname|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado guaname|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=90
W|vino|rosado guaname|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=90
W|vino|rosado gsm cava cordova|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado gato negro rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado gato negro|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado gato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado gallo family vineyards white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado frontera white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado frontera rose 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado frontera cabernet blush 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado frontera|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado freixenet italian rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado freixenet|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado freixenet|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=103
W|vino|rosado flor de muga|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado fish hoek cinsault|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado fincas las moras syrah botella|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado finca las moras|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado finca la linda rose malbec|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado finca flichman rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado ferratus|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado familia gascon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado familia gascon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=112
W|vino|rosado espumoso piccini regno lambrusco|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado espumoso la marca prosecco rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado espumoso freixenet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado espumoso freixenet italian rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado espumoso freixenet|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado espumoso diamante|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado espumoso chandon brut|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|rosado espumoso cavicchioli|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado erath|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado entrevez textiles|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado enate cabernet sauvignon|??|p|cabernet sauvignon|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado enate|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado enate|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=125
W|vino|rosado enate|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=125
W|vino|rosado el coto|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado ej gallo sierra valley white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado dulzino blush|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado dona paula rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado dona dominga rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado don simon|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado don simon|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=133
W|vino|rosado don simon|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=133
W|vino|rosado don leo zinfandel rose|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado don leo zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado don leo zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=137
W|vino|rosado don leo zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=137
W|vino|rosado domaine houchart rose cotes de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado domaine de la gypiere|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado dolce amore rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|rosado dolce amore rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=142
W|vino|rosado docdouro sequeira|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado diamante|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado diamante|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=145
W|vino|rosado des lys rose d anjou reserve|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado del rancho mogorcito|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado de cote atempo|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado de cote atempo|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=149
W|vino|rosado dark horse rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado dark horse rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=151
W|vino|rosado cvne|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado cupcake|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado cune|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado costanilla rosado mc|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado corona del valle grenache|??|p|grenache|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado corona del valle grenache|??|p|grenache|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=157
W|vino|rosado corona del valle grenache|??|p|grenache|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=157
W|vino|rosado cordus cabsauvmerlot|??|p|merlot|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado coolwine|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado coolwine|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=161
W|vino|rosado coolwine|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=161
W|vino|rosado coolwine|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=161
W|vino|rosado condesa de leganza rose provenzal|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado chivite las fincas x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado chateau romassan|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado chateau peyrassol|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado chateau destoublon roseblood|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado cedros|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado cava 57 dos secretos|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado castel igp pays doc syrah rose 750|??|p|syrah|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|rosado casta de vinos pitaya|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero summer rose 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero rose 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero del diablo rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero del diablo reserva devils collection|??|p|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero del diablo devils collection|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero del diablo belight|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casillero|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casa silva cuvee rose syrahcarmenere 750|??|p|syrah|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casa naufrago rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casa magoni rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casa madero v rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado casa madero v|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=185
W|vino|rosado carpineto dogajolo rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado calvet rose danjou|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado calvet rose danjou|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=195
W|vino|rosado calvet rose danjou|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=195
W|vino|rosado calvet rose d anjou|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado calvet rose d anjou|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=198
W|vino|rosado california blanc zinfandel tetra brick|us|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado california|us|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado bonina|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado bodegas del viento ru|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado bodegas del viento ru|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=203
W|vino|rosado black tower x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado bila haut rosado pays d oc igp|??|p|??|??|??|NV|11.5|igp|medio|aperitivos; frutos do mar|??
W|vino|rosado bg cotes de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado beringer white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado beringer white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=208
W|vino|rosado beringer white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=208
W|vino|rosado beringer white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=208
W|vino|rosado beringer white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=208
W|vino|rosado beringer main vine white zinfandel|??|p|zinfandel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado beringer|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado barefoot pink moscato|??|p|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|rosado barefoot pink moscato|??|p|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=215
W|vino|rosado barefoot pink moscato|??|p|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=215
W|vino|rosado barefoot pink moscato|??|p|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce|=215
W|vino|rosado band of roses|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado balero|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado avaniel tempranillo|??|p|tempranillo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado autografo|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado atiy|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado argento malbec rose|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado antichello bardolino doc chiaretto|??|p|??|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|rosado anjou reserve des lys|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado analogia rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado analogia|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado amalaya rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado althay|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado alta vista premium rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado alma negra espumante malbec rose|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado aliwen reserva rose|??|p|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??
W|vino|rosado alamos malbecrose|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado adobe rose 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado adobe guadalupe uriel|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado 2024|??|p|??|??|??|2024|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado 2023|??|p|??|??|??|2023|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado 12 lunas|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado 12 lunas|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=239
W|vino|rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=241
W|vino|rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=241
W|vino|rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=241
W|vino|rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=241
X
W|vino|romelio 2019 blend 750cc|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|romanico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|roma rosso pallavicini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|roda reserva 2013|??|r|??|??|??|2013|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|roda reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|roda i reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|rocaplana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
