W|pedra cancela touriga nacional|rose 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|pedra cancela intemporal|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pedra cancela douradinha|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pedra cancela|dao 2009|pt|r|??|dao|??|2009|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela coracao de galo|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedote lambrusco|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|pedote lambrusco dell emilia rosso frizzante|frizzante|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|pedote lambrusco dell emilia rosato frizzante|frizzante|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|pedote lambrusco dell emilia bianco frizzante|frizzante|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|pedote lambrusco|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pedigree|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedigree|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedacos|douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pecora|rose lovara|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|peccato di vino merlot|especial vinho chileno|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|peccato di vino carmenere|tinto reserva especial|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|peccato di vino cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pe|tinto esporao portugal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pe|tinto esporao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=45
W|pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=45
W|pe|rose esporao portugal|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|pe dopff fils riesling|2016|??|w|riesling|??|??|2016|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|pe|branco esporao portugal|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pe|branco esporao|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pazzia primitivo rosato salento|igp|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pazzia primitivo puglia|tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pazzia primitivo puglia|2020|??|r|primitivo|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pazzia primitivo di|manduria tinto|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|pazzia primitivo di|manduria old vines 2017|it|r|primitivo|puglia|manduria|2017|14.5|DOP|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pazzia primitivo di|manduria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|pazzia negroamaro|tinto 750mml|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pazzia ampelo primitivo di|manduria dop|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|pazos de lusco albarino|do 2023|??|w|albarino|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pazo del barrantes albarino|blanco|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pazo de barrantes albarino|albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pazo das bruxas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pays d oc domaine de la provenquiere pinot gris|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paya de millaman malbec|tinto seco|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paya de millaman cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paxis|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paxis bulldog|rose blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paxis bulldog|rose blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=69
W|pavonero 4 volte 25 rosso nv|nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano vinhas velhas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano vinhas velhas private selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano vinhas velhas nosso terroir|terroir|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano vinea julieta|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano verdelho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paulo laureano|tinto vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|tinto classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano signature|signature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano selectio touriga nacional|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano selectio grossa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paulo laureano|reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano nosso terroir|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano nosso terroir|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=85
W|paulo laureano nosso terroir bco|bco|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano eleicao|do enologo tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano eleicao|do enologo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano colheita bigode|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|classico tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|classico rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paulo laureano|classico branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paulo laureano|classico branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=93
W|paulo laureano|classico 2023 branco portugal|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paulo laureano|classico 2021 tinto portugal|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=97
W|paulo laureano caricatura|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano caricatura|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paulo laureano caricatura|caricatura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano bigode|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano bigode|2023 branco portugal|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paulo laureano bigode|2022 tinto portugal|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano alicante bouschet|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paulo laureano|laureano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pauliteiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pauliteiros|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|pauliteiros ribadouro|rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|pauliteiros|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paul mas mas des mas minervois|minervois|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X
W|paul mas grenache noir paul mas|mas|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas grenache noir|noir|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas gewurztraminer|gewurztraminer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas|carignan vieilles vignes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas claude val|rouge 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas claude val|rouge 2019 tinto franca|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas claude val|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas claude val|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=119
W|paul mas claude val|rose magnum 1 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|paul mas claude val|rose kit com 6 unidades|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paul mas claude val|rose kit com 06 unidades|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paul mas claude val|rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|paul mas claude val|rose 2020 franca|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|paul mas claude val|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paul mas claude val|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=126
W|paul mas claude val|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=126
W|paul mas claude val|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=126
W|paul mas claude val|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=126
W|paul mas claude val|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=126
W|paul mas claude val|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paul mas claude val blanc|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas claude val blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul mas claude val blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=134
W|paul lehmann the barossan shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs richard dinner|vineyard chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paul hobbs nathan coombs|cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs katherine lindsay|pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs george menini|pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs george menini|chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paul hobbs edward james|chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paul hobbs cabernet sauvignon nathan coombs|napa valley 2016|??|r|cabernet sauvignon|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs cabernet sauvignon beckstoffer to kalon napa valley|2015|??|r|cabernet sauvignon|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs beckstoffer to kalon|vineyard cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs beckstoffer las piedras|vineyard cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul hobbs beckstoffer dr crane|vineyard cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul coulon domaine de beaurenard chateauneufdupape blanc|2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul coulon boisrenard chateauneufdupape blanc|2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paul blanck riesling alsace|aoc|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|paul blanck riesling alsace|aoc|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco|=150
W|pauillac fleur de pedesclaux|pedesclaux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pauillac echo de lynch bages|bages|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pattrem schanson selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patrizi passo del bricco|bricco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti sommelier|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito sangre azul pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito sangre azul merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito sangre azul|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti primogenito|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti lassia pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti lassia malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patritti lassia cabernet sauvignonmalbec|sauvignonmalbec|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patrimony cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patrimony cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patricius tokaji aszu 6 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patricius tokaji aszu 6 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=170
W|patricius tokaji aszu 6 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=170
W|patricius tokaji aszu 5 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patricius tokaji aszu 5 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=173
W|patricius tokaji aszu 5 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=173
W|patricius tokaj aszu 6 puttonyos|puttonyos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pato rebel|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|patanegra tempranillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X|=112
W|pata negra verdejo|branco|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pata negra verdejo|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pata negra valdepenas tempranillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra valdepenas tempranillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=182
W|pata negra valdepenas|cepas viejas tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra toro tempranillo|tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra toro tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra toro roble|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra toro roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra toro roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=188
W|pata negra|tinto tempranillo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tinto reserva tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tinto oro tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tinto gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillocabernet|tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillo roble toro|toro|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillo e cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillo e cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=196
W|pata negra tempranillo cabernet sauvignon|2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=199
W|pata negra tempranillo cabernet|cabernet|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra tempranillo cab sauvignon|doc|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra|valdepenas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tempranillo valdepenas tinto|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tempranillo tinto|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tempranillo safra 2013|??|r|tempranillo|??|??|2013|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tempranillo 2018|??|r|tempranillo|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra|tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=208
W|pata negra|tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=208
W|pata negra|tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=208
W|pata negra|tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=208
W|pata negra|tempranillo|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=208
W|pata negra|cepas viejas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pata negra ouro tempranillo 1x|1x|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro tempranilo cab sauv 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro tempranillo|tinto seco espanha garrafa|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro tempranillo|2022|??|r|tempranillo|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro tempranillo|2018|??|r|tempranillo|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pata negra oro tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=221
W|pata negra oro tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=221
