W|gattinara|nervi conterno|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg antoniolo|??|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg paride iaretti|??|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg paride iaretti|??|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|gattinara|riserva docg travaglini|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|gattinara|riserva docg antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|gattinara|riserva docg travaglini|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg travaglini|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|gattinara|riserva docg travaglini|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|gattinara|riserva docg travaglini|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|gattinara|riserva docg travaglini|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=51
W|gattinara|riserva docg le castelle antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva docg le castelle antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=56
W|gattinara|riserva docg le castelle antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=56
W|gattinara|riserva docg le castelle antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=56
W|gattinara|riserva docg le castelle antoniolo|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=56
W|gattinara|riserva paride iaretti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva osso san grato antoniolo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva paride iaretti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=61
W|gattinara|riserva travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|gattinara|riserva travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|gattinara|riserva travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|gattinara|riserva travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=64
W|gattinara|riserva vigna ronchi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva vigna ronchi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva vigna ronchi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|riserva vigna ronchi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=71
W|gattinara|riserva vigna ronchi travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|rusca attilio doc|??|r|??|??|??|1967|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|san francesco antoniolo|fr|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|san francesco antoniolo|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|selezione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|selezione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|gattinara|selezione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|gattinara|selezione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|gattinara|selezione travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|selezione travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gattinara|spanna|??|r|??|??|??|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna|??|r|??|??|??|1953|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna|??|r|??|??|??|1954|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna|??|r|??|??|??|1955|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna|??|r|??|??|??|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna|??|r|??|??|??|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=88
W|gattinara|spanna|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna berteletti|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna borgo|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna classico|??|r|??|??|??|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna classico|??|r|??|??|??|1955|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna luigi nervi|??|r|??|??|??|1955|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna luigi nervi|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna riserva|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna roggia ernaldo|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|spanna roggia ernaldo|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|gattinara|spanna roggia ernaldo|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|gattinara|tipico di spanna|??|r|??|??|??|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tipico di spanna|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tipico spanna|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|torraccia del piantavigna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|gattinara|travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|gattinara|travaglini|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=108
W|gattinara|travaglini|??|r|??|??|??|1957|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=108
W|gattinara|travaglini|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=111
W|gattinara|travaglini|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=111
W|gattinara|travaglini|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=111
W|gattinara|travaglini selezione|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini selezione|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=115
W|gattinara|travaglini selezione|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=115
W|gattinara|travaglini|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini red wine|??|r|??|??|??|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rode wijn|??|r|??|??|??|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rott vin|??|r|??|??|??|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini red wine|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini riserva|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rode wijn|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rott vin|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rdvin|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini red wine|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rode wijn|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini rott vin|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini docg cl50|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini docg cl75|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini docg piedmont|it|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=137
W|gattinara|travaglini nebbiolo italy|it|r|nebbiolo|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|travaglini tre vigne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tre vigne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tre vigne travaglini|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tre vigne travaglini|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|gattinara|tre vigne travaglini|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|gattinara|tre vigne docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tre vigne docg|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tre vigne travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|tre vigne travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gattinara|tre vigne travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gattinara|tre vigne travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gattinara|tre vigne travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gattinara|tre vigne travaglini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gattinara|tre vigne travaglini|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|gattinara|umberto fiore|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore reserv|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore reserv|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gattinara|umberto fiore reserve|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore reserve|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|gattinara|umberto fiore reserve|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|gattinara|umberto fiore reserve|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|gattinara|umberto fiore doc|??|r|??|??|??|1961|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore doc|??|r|??|??|??|1970|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore doc|??|r|??|??|??|1975|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore docg|??|r|??|??|??|1959|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umberto fiore docg|??|r|??|??|??|1964|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|umerto fiore docg|??|r|??|??|??|1970|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=171
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=171
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino conterno cantine nervi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|gattinara|vigna molsino nervi giacomo conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino nervi conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino nervi giacomo conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|gattinara|vigna molsino nerviconterno 0750 piemonte italie|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino nerviconterno 1500 piemonte italie|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino nerviconterno italie piemonte rood|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino nerviconterno italie piemonte rood|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna molsino nerviconterno italie piemonte rood|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|gattinara|vigna molsino nerviconterno italie piemonte rood|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|gattinara|vigna molsino nerviconterno italie piemonte rood|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=194
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana conterno cantine nervi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=196
W|gattinara|vigna valferana docg paride iaretti|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana docg paride iaretti|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|gattinara|vigna valferana nervi conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nervi conterno|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nervi giacomo conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nerviconterno 0750 piemonte italie|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nerviconterno 1500 piemonte italie|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=208
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=208
W|gattinara|vigna valferana nerviconterno italie piemonte rood|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigna valferana paride iaretti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vigneto valferana|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinara|vino rosso doc|??|r|??|??|??|1980|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinaro|spanna handskriven argang av producent|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinaro|spanna handwritten vintage by producer|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinaro|spanna handwritten vintage by producer|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=216
W|gattinger|federspiel riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|gruner veltliner federspiel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|gruner veltliner federspiel|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|gruner veltliner federspiel loiben suche|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|riesling federspiel|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|riesling federspiel|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|riesling federspiel suche|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinger|riesling federspiel terrassen|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
