W|gruner|veltliner rustenberg reserve|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner seestern|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner seeweingarten|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=44
W|gruner|veltliner sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=44
W|gruner|veltliner sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=44
W|gruner|veltliner sekt|??|s|??|??|??|2003|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degogiert dezember|??|s|??|??|??|2004|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degogiert dezember|??|s|??|??|??|2004|12|??|leve|aperitivos, frutos do mar, canapes|seco|=49
W|gruner|veltliner sekt degorgiert oktober|??|s|??|??|??|2005|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert oktober|??|s|??|??|??|2005|12|??|leve|aperitivos, frutos do mar, canapes|seco|=51
W|gruner|veltliner sekt degorgiert september|??|s|??|??|??|2007|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert september|??|s|??|??|??|2007|12|??|leve|aperitivos, frutos do mar, canapes|seco|=53
W|gruner|veltliner sekt degorgiert november|??|s|??|??|??|2008|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert november|??|s|??|??|??|2008|12|??|leve|aperitivos, frutos do mar, canapes|seco|=55
W|gruner|veltliner sekt degorgiert dezember|??|s|??|??|??|2009|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert dezember|??|s|??|??|??|2009|12|??|leve|aperitivos, frutos do mar, canapes|seco|=57
W|gruner|veltliner sekt degorgiert juli|??|s|??|??|??|2010|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert juli|??|s|??|??|??|2010|12|??|leve|aperitivos, frutos do mar, canapes|seco|=59
W|gruner|veltliner sekt degorgiert september|??|s|??|??|??|2011|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert september|??|s|??|??|??|2011|12|??|leve|aperitivos, frutos do mar, canapes|seco|=61
W|gruner|veltliner sekt degorgiert februar|??|s|??|??|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert februar|??|s|??|??|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|seco|=63
W|gruner|veltliner sekt degorgiert janner|??|s|??|??|??|2013|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert janner|??|s|??|??|??|2013|12|??|leve|aperitivos, frutos do mar, canapes|seco|=65
W|gruner|veltliner sekt degorgiert mai|??|s|??|??|??|2014|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt degorgiert mai|??|s|??|??|??|2014|12|??|leve|aperitivos, frutos do mar, canapes|seco|=67
W|gruner|veltliner sekt|??|s|??|??|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt austria reserve brut|at|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruner|veltliner sekt bio|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruner|veltliner sekt brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=73
W|gruner|veltliner sekt brut|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruner|veltliner sekt brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruner|veltliner sekt brut nature|??|s|??|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gruner|veltliner sekt methode elementar|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt reserve steininger|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner sekt steininger|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruner|veltliner selection|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner selection|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=81
W|gruner|veltliner selection|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner selection|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner selection nittna|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner selection norbert schmelzer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner selektion|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner selektion|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=87
W|gruner|veltliner sepp moser organic|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner setzer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner singing kamptal dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=92
W|gruner|veltliner smaragd|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=92
W|gruner|veltliner smaragd achleite domane wachau|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd achleiten domane wachau|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd achleiten domane wachau|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd achleiten dac domane wachau|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd achleiten domane wachau|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd achleiten domane wachau|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=99
W|gruner|veltliner smaragd achleithen|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd achtleiten jamek oostenrijk wachau wit|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd alte point|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd alte reben|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd axpoint|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd axpoint|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd axpoint|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd axpoint|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=107
W|gruner|veltliner smaragd axpoint weingut franz hirtzberger|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd axpoint weingut franz hirtzberger|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=109
W|gruner|veltliner smaragd classic|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd dacbest of|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd dacried kollmitz|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd dacried loibenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd dacried steinertal|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd durnstein|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd franz hirtzberger rotes tor|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd greif|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd greif|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd himmelstiege|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd hochrain|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd hochrain|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd hochrain|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=124
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=127
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd honivogl|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=129
W|gruner|veltliner smaragd im weingebirge bio|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd im weingebirge bio|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kellerberg bio 1|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kellerberg bio 1|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kellerberg bio|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kirchweg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kirchweg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kirnberg domane wachau|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kirnberg frischengruber|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kollmitz|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kollmutz mathias hirtzberger|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kollmutz|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd kreutles|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd liebenberg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd liebenberg jamek oostenrijk wachau wit|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd loibenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd loibenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|gruner|veltliner smaragd loibenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|gruner|veltliner smaragd loibenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=146
W|gruner|veltliner smaragd loibenberg|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd loibenberg|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd m|??|w|??|??|??|2010|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd muhlpoint|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd nomis|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd nomis|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd nomis|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=155
W|gruner|veltliner smaragd obere steilterrassen|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd obere steilterrassen|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd oberhauser|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd pichl point|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd postolern bio|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried 1000eimerberg dac|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=163
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|gruner|veltliner smaragd ried achleiten stockkultur wachau dac|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten stockkultur wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten stockkultur wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten stockkultur wachau dac|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleiten wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleithen wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried achleithen wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried axpoint|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried harzenleiten dac|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried hochrain wachau dac|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried hochrain wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried hochrain wachau dac|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kellerberg|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kellerberg|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kellerberg wachau dac|at|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kellerberg wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kellerberg wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=191
W|gruner|veltliner smaragd ried kirnberg bio|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg domane wachau|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kirnberg wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmitz|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmutz|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmutz|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmutz wachau dac|at|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmutz wachau dac|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmutz wachau dac|at|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|gruner|veltliner smaragd ried kollmutz wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kollmutz wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreutles|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreutles|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=205
W|gruner|veltliner smaragd ried kreutles|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreutles|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreutles|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=208
W|gruner|veltliner smaragd ried kreutles knoll|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreuzberg|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreuzberg|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried kreuzberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried liebenberg|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried loibenberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried loibenberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=215
W|gruner|veltliner smaragd ried loibenberg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried loibenberg|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried loibenberg knoll|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried mugler|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried poigen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried schon|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried schon|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=222
W|gruner|veltliner smaragd ried schutt|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried schutt|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steiger wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
