W|casa valduga naturelle|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|casa silva|gran terroir los lingues cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva|lolol viogner|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa silva|lolol viogner|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=40
W|casa silva|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=27
W|casa silva|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=27
W|casa silva|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=27
W|casa silva|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=28
W|casa silva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=31
W|casa silva|grown syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva|grown syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=47
W|casa silva|grown syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=47
W|casa silva|grown sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva|grown sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=50
W|casa silva|grown sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=50
W|casa silva|grown chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva|grown carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva|grown carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=54
W|casa silva|grown cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva|grown cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=56
W|casa silva edicion limitada petit verdot|tinto|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva edicion limitada petit verdot|verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva edicao limitada petit verdot|tinto|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva coolcoast sauvignon gris|gris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast|vinedo paredones pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast syrah|tinto 1x|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa silva cool coast syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=64
W|casa silva cool coast syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=64
W|casa silva cool coast syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=64
W|casa silva cool coast syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=68
W|casa silva cool coast syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=68
W|casa silva cool coast sauvignon gris|vinedo de paredones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast sauvignon gris|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast sauvignon gris|gris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast sauvignon gris|gris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=73
W|casa silva cool coast sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva cool coast sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=75
W|casa silva cool coast sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=75
W|casa silva cool coast sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=75
W|casa silva cool coast|rose syrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa silva cool coast|rose syrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=79
W|casa silva cool coast pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva cool coast pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=81
W|casa silva cool coast pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=81
W|casa silva cool coast pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=81
W|casa silva cool coast pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=81
W|casa silva cool coast chardonnay|vinedo de paredones|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva cool coast chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva cool coast|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva cool coast|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=88
W|casa silva colleccion sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva colleccion chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa silva coleccion sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|casa silva coleccion sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=92
W|casa silva coleccion chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|casa silva coleccion carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva coleccion carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva coleccion carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=96
W|casa silva coleccion carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=96
W|casa silva coleccion cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva coleccion cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=99
W|casa silva chardonnay coleccion|coleccion|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|casa silva carmenere coleccion|coleccion|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva carmenere coleccion|coleccion|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=102
W|casa silva cabernet sauvig|sauvig|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva altura|altura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva 5 cepas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva 5 cepas|grown|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva 5 cepas|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva 5 cepas|cepas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa silva|1912 vines sauvignon gris branco|??|w|??|??|??|1912|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa scalecci zingara merlotpetit verdot|doc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa scalecci sauvignon blanc|igt|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa scalecci|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa scalecci ronsaro nerosyrahpetit|igp|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa scalecci roncicio|roncicio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa scalecci petit verdot|rose|??|p|petit verdot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa scalecci passione nerosyrahpetit|doc|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa scalecci la principessa|blend tinto doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa scalecci il cavaliere nerosyrahpetit|doc|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|casa scalecci grillo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa scalecci chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa scalecci artemis grillo|branco doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa santos lima touriz|touriz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima red|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima pluma vinho verde|doc rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa santos lima pluma vinho verde|doc branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa santos lima lisboa share|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima corvos de lisboa|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima colinas de lisboa|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima coccinela|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima coccinela|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa santos lima bons ventos superior|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima bons ventos fresh|rose gelado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa santos lima bons ventos fresh|rose 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa santos lima alentejano espanta pardal|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa santos lima alentejano espanta pardal|rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa santos lima alentejano espanta pardal|branco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa romero el emisario|pinot noir 2021|??|r|pinot noir|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa rodrigues|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa rodrigues|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=139
W|casa rodrigues|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa rodrigues|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=141
W|casa rodrigues|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa rodrigues|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=143
W|casa rodrigues|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=143
W|casa rodrigues seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa rodrigues seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=146
W|casa rodrigues seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=146
W|casa roca syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa roca merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa roca chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa rivas carmenere|2020|??|r|carmenere|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa rivas cabernet sauvignon|2024|??|r|cabernet sauvignon|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa relvas|rose pompom|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa relvas pom pom|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa relvas ciconia|alentejo branco|pt|w|??|alentejo|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|casa relvas barricado|barricado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa relvas|alentejo doc tinto 2019|pt|r|??|alentejo|??|2019|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|casa real|tinto cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa real|especial 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa real|especial 1994|??|r|??|??|??|1994|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa prini benildo perini vintage|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini vitis marselan|marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini vitis barbera|tinto|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini vitis barbera|barbera|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini|tinto de mesa suave jota pe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa perini|tinto de mesa seco jota pe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini tannat tto 1x|1x|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini tannat macaw|macaw|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini tannat arbo|arbo|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=171
W|casa perini tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=171
W|casa perini|suave nuances|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa perini solidario|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini solidario|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=175
W|casa perini solidario seco|seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini solidario sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa perini solidario|rose seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini solidario|rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini solidario|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini solidario|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini solidario|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=182
W|casa perini solidario cabernetmerlot|cabernetmerlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini solidario cabernet merlot tto 1x|1x|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini solidario|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa perini solidario|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini solidario|solidario|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini solidario|solidario|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=188
W|casa perini sauvignon blanc|branco solidario|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa perini sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa perini sauvignon blanc 1x|1x|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa perini sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa perini|rose solidario|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini|rose solidario|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=194
W|casa perini|rose solidario|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=194
W|casa perini|rose merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini|rose frisante macaw|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=199
W|casa perini quatro|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini quatro|quatro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini qu4tro|qu4tro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini nuances|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa perini nuances|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa perini noblesse cabernet sauvignon|suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|casa perini moscato macaw|macaw|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini moscato e trebbiano arbo|arbo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot tto 1x|1x|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot|rose|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa perini merlot macaw|macaw|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot fracao unica|unica|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot arbo|arbo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=215
W|casa perini merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=215
W|casa perini matteo perini cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini matteo perini cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=218
W|casa perini matteo perini|perini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini marselan vitis|vitis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini marselan|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa perini marselan arbo|arbo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
