W|sicilia|lucido doc prio 2024 donnafugata|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grillo|it|w|grillo|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grecanico dorato doc costadune 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grecanico dorato doc costadune 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
W|sicilia|grecanico dorato doc costadune 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=88
W|sicilia|grecanico doc alastro 2024 planeta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|grecanico doc alastro 2024 planeta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=91
X
W|sicilia|frappato doc fondo filara 2024 nicosia|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|frappato doc fondo filara 2024 nicosia|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=94
W|sicilia|frappato doc 2024 tenuta regaleali tasca d almerita|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|frappato doc 2024 tenuta regaleali tasca d almerita|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=96
W|sicilia|fiano doc ciaca bianca 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|fiano doc ciaca bianca 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=98
W|sicilia|fiano doc ciaca bianca 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=98
W|sicilia|fiano doc ciaca bianca 2024 mandrarossa|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=98
W|sicilia|dop nero d avola conica cave epicuro|it|r|??|sicilia dop|??|NV|13.5|dop|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc vigna san francesco chardonnay 2023 tenuta regaleali|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc vigna san francesco chardonnay 2023 tenuta regaleali|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=103
W|sicilia|doc vermentino sentiero del vento 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc vermentino sentiero del vento 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=105
W|sicilia|doc vermentino sentiero del vento 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=105
W|sicilia|doc vermentino sentiero del vento 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=105
W|sicilia|doc vermentino sentiero del vento 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=105
W|sicilia|doc syrah maharis feudo maccari|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc shamaris 2023 cusumano|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc shamaris 2023 cusumano|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=111
W|sicilia|doc rose 2025 planeta|it|p|??|??|??|2025|12|??|medio|saladas, carnes brancas, peixes|seco
W|sicilia|doc rose 2025 planeta|it|p|??|??|??|2025|12|??|medio|saladas, carnes brancas, peixes|seco|=113
W|sicilia|doc rose 2025 planeta|it|p|??|??|??|2025|12|??|medio|saladas, carnes brancas, peixes|seco|=113
W|sicilia|doc rose 2025 planeta|it|p|??|??|??|2025|12|??|medio|saladas, carnes brancas, peixes|seco|=113
W|sicilia|doc regaleali bianco tappo stelvin|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc regaleali bianco tappo stelvin|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=117
W|sicilia|doc regaleali bianco tappo stelvin|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=117
W|sicilia|doc regaleali bianco tappo stelvin|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=117
W|sicilia|doc regaleali bianco 2025 tenuta regaleali tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc regaleali bianco 2025 tenuta regaleali tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=121
W|sicilia|doc regaleali bianco 2025 tenuta regaleali tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=121
W|sicilia|doc regaleali bianco 2025 tenuta regaleali tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=121
W|sicilia|doc perricone guarnaccio 2022 tenuta regaleali tasca d almerita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc perricone guarnaccio 2022 tenuta regaleali tasca d almerita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=125
W|sicilia|doc nozze d oro 2023 tenuta regaleali tasca d almerita|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc nozze d oro 2023 tenuta regaleali tasca d almerita|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=127
W|sicilia|doc nozze d oro 2023 tenuta regaleali tasca d almerita|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=127
W|sicilia|doc nero d'avola tareni 2024 cantine pellergrino 1880|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc nero d'avola tareni 2024 cantine pellergrino 1880|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=130
W|sicilia|doc nero d'avola tareni 2024 cantine pellergrino 1880|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=130
W|sicilia|doc nero d'avola tareni 2024 cantine pellergrino 1880|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=130
W|sicilia|doc nero d avola regaleali 2023 tenuta regaleali tasca d almerita|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc nero d avola regaleali 2023 tenuta regaleali tasca d almerita|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos|seco|=134
W|sicilia|doc nero d avola regaleali 2023 tenuta regaleali tasca d almerita|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos|seco|=134
W|sicilia|doc nero d avola regaleali 2023 tenuta regaleali tasca d almerita|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos|seco|=134
W|sicilia|doc nero d avola lamuri 2022 tenuta regaleali tasca d almerita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc nero d avola lamuri 2022 tenuta regaleali tasca d almerita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=138
W|sicilia|doc nero d avola lamuri 2022 tenuta regaleali tasca d almerita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=138
W|sicilia|doc nero d avola lamuri 2022 tenuta regaleali tasca d almerita|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=138
W|sicilia|doc nero d avola lamuri 2022 magnum tenuta regaleali tasca d'almerita astuccio|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc nero d avola lamuri 2022 magnum tenuta regaleali tasca d'almerita astuccio|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=142
W|sicilia|doc nero d avola lamuri 2022 magnum tenuta regaleali tasca d'almerita astuccio|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=142
W|sicilia|doc nero d avola lamuri 2022 magnum tenuta regaleali tasca d'almerita astuccio|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos|seco|=142
W|sicilia|doc nero d'avola duca enrico 2021 duca di salaparuta|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc nero d'avola duca enrico 2021 duca di salaparuta|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=146
W|sicilia|doc nero d'avola da uve 2024|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc nero d'avola da uve 2024|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=148
W|sicilia|doc nero d'avola da uve 2024|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=148
W|sicilia|doc nerello mascalese rose brut bollicina gold 2020 dolce&gabbana e donnafugata|it|s|??|??|??|2020|12|??|leve|aperitivos, ostras, canapes|brut
W|sicilia|doc nerello mascalese rose brut bollicina gold 2019 dolce&gabbana e donnafugata|it|s|??|??|??|2019|12|??|leve|aperitivos, ostras, canapes|brut
W|sicilia|doc nerello mascalese rose brut bollicina gold 2019 dolce&gabbana e donnafugata|it|s|??|??|??|2019|12|??|leve|aperitivos, ostras, canapes|brut|=152
X
X
X
X
W|sicilia|doc mille e una notte 2021 donnafugata astuccio|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc mille e una notte 2021 donnafugata astuccio|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=158
W|sicilia|doc mille e una notte 2021 donnafugata astuccio|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=158
W|sicilia|doc mille e una notte 2021 donnafugata astuccio|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=158
W|sicilia|doc mille e una notte 2020 donnafugata luxury cassetta di legno|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc mille e una notte 2020 donnafugata luxury cassetta di legno|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco|=162
W|sicilia|doc metodo classico brut 2021 donnafugata astuccio|it|s|??|??|??|2021|12|??|leve|aperitivos, ostras, canapes|brut
W|sicilia|doc metodo classico brut 2021 donnafugata astuccio|it|s|??|??|??|2021|12|??|leve|aperitivos, ostras, canapes|brut|=164
W|sicilia|doc metodo classico brut 2021 donnafugata astuccio|it|s|??|??|??|2021|12|??|leve|aperitivos, ostras, canapes|brut|=164
W|sicilia|doc metodo classico brut 2021 donnafugata astuccio|it|s|??|??|??|2021|12|??|leve|aperitivos, ostras, canapes|brut|=164
W|sicilia|doc ''lucido'' 2024 cusumano|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc ''lucido'' 2024 cusumano|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|sicilia|doc kados 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc kados 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=170
W|sicilia|doc kados 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=170
W|sicilia|doc kados 2024 duca di salaparuta|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=170
W|sicilia|doc il principe 2025 rallo|it|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc il principe 2024 rallo|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc il principe 2024 rallo|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=175
W|sicilia|doc il principe 2024 rallo|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=175
W|sicilia|doc il principe 2024 rallo|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos|seco|=175
W|sicilia|doc grillo mozia 2025 tenuta whitaker tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc grillo mozia 2025 tenuta whitaker tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=179
W|sicilia|doc grillo mozia 2025 tenuta whitaker tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=179
W|sicilia|doc grillo mozia 2025 tenuta whitaker tasca d almerita|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=179
X
X
W|sicilia|doc grillo cavallo delle fate 2025 tenuta regaleali tasca d almerita|es|s|??|??|??|2025|12|??|leve|aperitivos, ostras, canapes|brut
W|sicilia|doc grillo cavallo delle fate 2025 tenuta regaleali tasca d almerita|es|s|??|??|??|2025|12|??|leve|aperitivos, ostras, canapes|brut|=185
W|sicilia|doc grillo cavallo delle fate 2025 tenuta regaleali tasca d almerita|es|s|??|??|??|2025|12|??|leve|aperitivos, ostras, canapes|brut|=185
W|sicilia|doc grillo cavallo delle fate 2025 tenuta regaleali tasca d almerita|es|s|??|??|??|2025|12|??|leve|aperitivos, ostras, canapes|brut|=185
W|sicilia|doc duca enrico 2020 magnum duca di salaparuta cassetta di legno|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc duca enrico 2020 magnum duca di salaparuta cassetta di legno|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco|=189
W|sicilia|doc cygnus 2021 tenuta regaleali tasca d almerita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc cygnus 2021 tenuta regaleali tasca d almerita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=191
X
X
X
X
W|sicilia|doc cygnus 2021 magnum tenuta regaleali tasca d almerita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc cygnus 2021 magnum tenuta regaleali tasca d almerita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=197
W|sicilia|doc cygnus 2021 magnum tenuta regaleali tasca d almerita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=197
W|sicilia|doc cygnus 2021 magnum tenuta regaleali tasca d almerita|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=197
W|sicilia|doc catarratto buonsenso 2024 tenuta regaleali tasca d almerita|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc catarratto buonsenso 2024 tenuta regaleali tasca d almerita|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|sicilia|doc catarratto buonsenso 2024 tenuta regaleali tasca d almerita|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|sicilia|doc carta d'oro 2023 rallo|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|sicilia|doc carta d'oro 2023 rallo|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=204
W|sicilia|doc camelot 2020 firriato|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc camelot 2020 firriato|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos|seco|=206
W|sicilia|doc cabernet sauvignon vigna san francesco 2021 tenuta regaleali tasca d almerita|fr|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco
W|sicilia|doc cabernet sauvignon vigna san francesco 2021 tenuta regaleali tasca d almerita|fr|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=208
W|sicilia|doc cabernet sauvignon vigna san francesco 2021 tenuta regaleali tasca d almerita|fr|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos|seco|=208
