W|grolsch|biervat 50 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|pils beugel 045 ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|pils beugels groen 16 ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|pils fust 195ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|pils fust 50ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|premium pilsener|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|puur weizen bier fust 195 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|radler 00 alcoholvij bier blikjes tray 24 stuks|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|radler 00 alcoholvrij bier flesjes krat 24 stuks|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|radler bier flesjes krat 24 stuks|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grolsch|swing top bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grolsch|tek yon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grommes|ullrich|??|r|??|??|??|1936|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grommet|bikini top and bottom new navy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grommet|for airlock|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grommet|one piece new navy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grommet|tankini top black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gromonte|limited edition adelino porra astucciato|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gromutters|oliven|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gron|curry thailandskt recept 45g terre exotique|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gron|oliv tapenade 110g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gron|rund duschstang med justerbara borrhal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gron|zirkon och silver stiftorhangen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grona|blad jutesnore 4 rullar 5 mm m|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grona|kakelklistermarken 1010 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grona|kakelklistermarken 3030 cm medelhavsstil for kok badrum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grona|zoological biscuits 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronda|gronda|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronda|gronda|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grondpad|chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grongnet|blanc de blancs brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grongnet|carpe diem champagne extra brut nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grongnet|champagne blanc de blancs brut nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grongnet|champagne blanc de blancs nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grongnet|champagne extra brut rose de saignee carpe diem nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|groninger|notenmix ongezouten|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groningse|roomboter kniepertjes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronpeppar|60g terre exotique|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronsaksplockningsset|med dumpkniv och beskarverktyg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronsaksskryta|med franska stekskivor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|extra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|extra 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|monopol vsop|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|vs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|vs 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|vsop 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gronstedts|xo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gront|graskakel klistermarken pvc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groom|adelaide hills sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|groom|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groom|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groom|shiraz|??|r|shiraz|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groom|shiraz barossa valley|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groom|zinfandel bush block|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grooming|grooming|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grooming|kit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grooms|glory box wedding display tray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groomsmen|pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grooner|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grooner|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=81
W|grooner|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=81
W|grooner|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=81
W|grooner|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=81
W|grooove|niku yaro|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|abonnement|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|constantia brut rose mcc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|constantia cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|groot|constantia cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|groot|constantia cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|groot|constantia cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia cape ruby|za|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia cape winemakers guild auction shiraz|za|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=99
W|groot|constantia chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=99
W|groot|constantia chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=103
W|groot|constantia chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=106
W|groot|constantia constantia merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia constantia merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia constantia merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=109
W|groot|constantia constantia pinotage|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia constantia rood|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia constantia rood|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=112
W|groot|constantia constantia sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia constantia sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=114
W|groot|constantia constantia shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia constantia shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|groot|constantia constantia shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia estate pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia estate wine natural sweet wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|groot|constantia gouveneurs reserve|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouveneurs reserve|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouveneurs reserve|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs res red 21 diners|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|groot|constantia gouverneurs reserve|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve constantia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve constantia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=129
W|groot|constantia gouverneurs reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|groot|constantia gouverneurs reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|groot|constantia gouverneurs reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|groot|constantia gouverneurs reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|groot|constantia gouverneurs reserve red|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve red blend constantia|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia gouverneurs reserve white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia gouverneurs reserve white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=138
W|groot|constantia gouverneurs reserve white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=138
W|groot|constantia gouverneurs reserve white|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia gouverneurs reserve white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia grand constance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=143
W|groot|constantia grand constance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=143
W|groot|constantia grand constance|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=146
W|groot|constantia grand constance|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|groot|constantia grand constance|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|groot|constantia grand constance constantia|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance constantia|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance in wooden case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance muscat constantia south africa|za|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grand constance wooden case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia grande constance wooden case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia lady of abundance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia lady of abundance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=159
W|groot|constantia lady of abundance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=159
W|groot|constantia lady of abundance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=159
W|groot|constantia lady of abundance|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=159
W|groot|constantia lady of abundance|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia lady of abundance|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|groot|constantia lady of abundance|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|groot|constantia lady of abundance|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|groot|constantia lady of abundance|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=164
W|groot|constantia lady of abundance blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia lady of abundance cape blend|za|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia lady of abundance constantia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|groot|constantia merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|groot|constantia merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|groot|constantia merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|groot|constantia merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=172
W|groot|constantia merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=178
W|groot|constantia method cap classique brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|constantia methode cap classique brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|constantia mixed case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia mixed red case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|groot|constantia pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|groot|constantia pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|groot|constantia pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|groot|constantia pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=184
W|groot|constantia pinotage|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia pinotage constantia|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia pinotage constantia|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=191
W|groot|constantia pinotage constantia south africa case 6x750ml|za|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|groot|constantia rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=194
W|groot|constantia rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=194
W|groot|constantia rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|groot|constantia rose constantia|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|groot|constantia rose constantia|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=198
W|groot|constantia sauv blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=201
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia sauvignon blanc constantia south africa case|za|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|groot|constantia shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|groot|constantia shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|groot|constantia shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|groot|constantia shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|groot|constantia shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|constantia shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|groot|constantia shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|groot|constantia shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=218
W|groot|constantia shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|costantia rood cuvee|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|costantia rood cuvee|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=223
W|groot|feest 50 jaar wijnacademie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|geluk|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|geluk brut|gb|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|geluk brut cap classique|gb|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|geluk brut mcc in houten kist met 2 glazen|gb|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|geluk brut mcc wit|gb|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|geluk brut methode cap classique|gb|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|geluk johanniter witte wijn fris puur nederlands|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|geluk methode cap classique|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groot|geluk methode cap classique brut nv|gb|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|groot|geluk vonkelwijn|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
