W|griesel|bdb degorgement tardif blanc de blancs brut nature|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|griesel|rose tradition|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|griesel|rose tradition brut|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|rose tradition brut|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut|=61
W|griesel|rose tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griesel|rose tradition brut|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut|=63
W|griesfeld|lagrein riserva doc pfitscher|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesfeld|lagrein riserva doc pfitscher|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=65
W|grieskirchner|pils 48|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|blauburgunder igt gols|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|blauburgunder rose doc lilith dv|??|p|??|??|??|2022|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|griesser|gewuerztraminer doc gols|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|gruener veltliner doc rigger|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|kerner doc gall|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|kerner doc gall|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=72
W|griesser|muellerthurgau doc gols|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|sauvignon doc amphore|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|sauvignon doc gols|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|griesser|sylvaner doc gols|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grieve|family sauvignon blanc|??|w|sauvignon blanc|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grieve|family vineyard double eagle red|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grieve|family vineyard double eagle white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grieve|family vineyard sauvignon blanc|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grieve|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grieve|sauvignon blanc napa valley|us|w|sauvignon blanc|california|napa valley|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grifalco|grifalco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|grifalco|aglianico del vulture|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=89
W|grifalco|aglianico del vulture daginestra docg|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture daginestra superiore docg|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture damaschito|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture damaschito|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture damaschito|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture damaschito superiore docg|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|grifalco|aglianico del vulture doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|grifalco|aglianico del vulture doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=100
W|grifalco|aglianico del vulture doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=100
W|grifalco|aglianico del vulture doc grifalco|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture gricos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture gricos|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture gricos|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=105
W|grifalco|aglianico del vulture gricos|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture gricos|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture gricos|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture grifalco|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture grifalco|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture grifalco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico del vulture grifalco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|aglianico vulture gricos|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|daginestra 75012|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|daginestra aglianico del vulture docg grifalco|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|daginestra aglianico del vulture superiore basilicata italy|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|daginestra aglianico del vulture superiore docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|daginestra aglianico del vulture superiore docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|daginestra aglianico del vulture superiore docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=119
W|grifalco|daginestra aglianico vulture docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|damaschino aglianico del vulture docg grifalco|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|damaschito 75012|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|damaschito aglianico del vulture superiore basilicata italy|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|damaschito aglianico del vulture superiore docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|damaschito aglianico del vulture superiore docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=125
W|grifalco|damaschito aglianico del vulture superiore docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|damaschito aglianico del vulture superiore docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=127
W|grifalco|degunestra aglianico del vulture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos 75012|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=132
W|grifalco|gricos aglianico del vulture|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture basilicata italy|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=137
W|grifalco|gricos aglianico del vulture doc|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture doc grifalco|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos aglianico del vulture doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=141
W|grifalco|gricos basilicata italy aglianico del vulture|it|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|gricos organic aglianico del vulture doc|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|grifalco aglianico del vulture|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|grifalco aglianico del vulture|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|grifalco aglianico del vulture basilicata italy|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|grifalco aglianico del vulture|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|grifalco aglianico del vulture doc grifalco|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|grifalco aglianico del vulture doc vino rosso|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grifalco|vulture aglianico italy|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifarm|500gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griferia|griferia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griff|zu anrichtewerkzeugset|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffe|daigle rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffe|du marquis fleurie|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffes|daigle blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griffes|daigle blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=157
W|griffes|daigle rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|griffes|daigle rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=159
W|griffes|daigle rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffez|cuvee|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffi|griffi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|griffin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|chardonnay sur lie 075|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griffin|dark side barrique premium 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|dark side premium 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|pjenusac brut preminum 075|us|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|griffin|rose ambasador 075|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|griffin|rose preminum 075|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|griffin|sauvignon blanc 075|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|griffin|single vineyard premium 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|slipon flats|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|sparkling shirazcabernet|??|s|shiraz|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|griffin|syrah 20 journeys end|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|urn flowers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffin|zero preminum 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|cameo cremes 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|choc chippies 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|choc thins 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|fingers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|gingernuts 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|gingernuts minis biscuits 5 25g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|hokey pokey squiggles 215g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|hundreds thousands biscuits 200g|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|hundreds thousands muesli bars|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|krispie 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|macaroon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|mallowpuff bites 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|meal mates original 230g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|muesli bars chockie chippies|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|munchos spicy tomato 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|robusto cigar fra den dominikanske republik|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|shrewsbury biscuits 195g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|super wine 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|toffee pop bites 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|toffee pops original 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|toro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|waffle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffins|wharf 1773|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffith|parklos felizlosang 90027|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffo|espresso martini cocktail|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron pauillac|??|r|??|??|pauillac|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau pichon baron|griffons de pichon baron zweitwein|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron 2nd vin de pichon baron pauillac|??|r|??|??|pauillac|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron 2nd vin de pichon baron pauillac|??|r|??|??|pauillac|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron 2nd vin de pichon baron pauillac|??|r|??|??|pauillac|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=209
W|griffons|de pichon baron 2nd vin de pichon baron pauillac|??|r|??|??|pauillac|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron 2nd vin de pichon baron pauillac|??|r|??|??|pauillac|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron 2nd vin de pichon baron pauillac|??|r|??|??|pauillac|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|griffons|de pichon baron 2nd vin de pichon baron pauillac double|??|r|??|??|pauillac|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron 2nd vin de pichon baron pauillac double|??|r|??|??|pauillac|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|de pichon baron pauillac|??|r|??|??|pauillac|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|from pichon baron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griffons|pichon baron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifi|grifi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifi|avignonesi toscana rosso igt bio vegan|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grifi|igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|adaptable de lujo dro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
