1. W|carmel|road monterey chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
69. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
70. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
71. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
72. W|carmel|selected moscato|??|w|moscato|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
73. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
74. W|carmel|selected rose wine|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
75. W|carmel|selected sauv blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
76. W|carmel|selected sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
77. W|carmel|selected sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
78. W|carmel|selected sauvignon blanc damaged label|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
79. W|carmel|selected sauvignon blanc mevushal|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
80. W|carmel|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
81. W|carmel|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=80
82. W|carmel|signature black cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
83. W|carmel|signature black cabernet sauvignon 23|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
84. W|carmel|signature cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
85. W|carmel|signature cabernet sauvignon special reserve 21|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
86. W|carmel|signature mediterranean 2 vats rose blend damaged label|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
87. W|carmel|signature mediterranean 2 vats white blend 20|??|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
88. W|carmel|signature mediterranean 2 vats white blend damaged label|??|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
89. W|carmel|signature mediterranean 4 vats red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|carmel|signature mediterranean 4 vats red blend damaged label|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|carmel|signature mediterranean 4 vats red blend galilee|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|carmel|single vineyard admon cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
93. W|carmel|single vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
94. W|carmel|single vineyard cabernet sauvignon 2019 israeli dry red wine|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
95. W|carmel|single vineyard late harvest shaal gewurztraminer|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|doce
96. W|carmel|single vineyards caragnan old vines|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|carmel|single vineyards petite sirah old vines|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|carmel|single vineyards syrah|??|r|syrah|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
99. W|carmel|single vineyards volcano cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
100. W|carmel|single vineyards volcano merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
101. W|carmel|sparkling buzz apple moscato|??|s|moscato|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
102. W|carmel|sparkling buzz apple moscato damaged label|??|s|moscato|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
103. W|carmel|sparkling buzz mango|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
104. W|carmel|sparkling buzz mango damaged label|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
105. W|carmel|sparkling buzz peach|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
106. W|carmel|sparkling buzz pineapple|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
107. W|carmel|sparkling buzz pineapple damaged label|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
108. W|carmel|special reserve cabernet sauvignon israeli dry red wine|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
109. W|carmel|sv cabernet sauvignon admon vineyard 13|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
110. W|carmel|sv cabernet sauvignon admon vineyard 20|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
111. W|carmel|sv gewurztraminer late harvest 19|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|doce
112. W|carmel|sv malbec admon vineyard 14|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
113. W|carmel|sv malbec admon vineyard 16|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
114. W|carmel|sv malbec admon vineyard damaged labels|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
115. W|carmel|valley chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
116. W|carmel|vats series mediterranean 2 vats rose|??|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
117. W|carmel|vats series mediterranean 4 vats red kosher|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|carmel|vintage port 07|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
119. W|carmel|volcanic merlot 20|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
120. W|carmel|white zinfandel|??|w|zinfandel|??|??|NV|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
121. W|carmel winery|winery|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|carmel winery|carmel mediterranean 4 vats 4 vats red mediterranean|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|carmel winery|buzz mango moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
124. W|carmel winery|buzz peach moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
125. W|carmel winery|cabernet sauvignon appellation upper galilee|??|r|cabernet sauvignon|??|??|NV|13.5|appellation|encorpado|carne vermelha, massas, queijos curados|seco
126. W|carmel winery|cabernet sauvignon galilee|??|r|cabernet sauvignon|??|??|2005|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
127. W|carmel winery|cabernet sauvignon private collection galilee|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
128. W|carmel winery|cabernet sauvignon selected shomron|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
129. W|carmel winery|carignan nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|carmel winery|carignan nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=129
131. W|carmel winery|emerald riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
132. W|carmel winery|kayoumi single vineyard white riesling|??|w|riesling|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
133. W|carmel winery|kayoumi vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
134. W|carmel winery|mediterranean 4 vats shomron|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|carmel winery|red wine mediterranean blend selected shomron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
136. X
137. W|carmel winery|white riesling kayoumi vineyard upper galilee|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
138. W|carmela|carmela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|carmela|airen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
140. W|carmela|azul|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|carmela|benegas 2014 cabernet franc rose mendoza argentina|ar|p|cabernet franc|mendoza|??|2014|12|??|leve|carne vermelha, massas, queijos curados|seco
142. W|carmela|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
143. W|carmela|brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
144. W|carmela|death|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
145. W|carmela|donna brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
146. W|carmela|durigutti gran reserva single vineyard malbec|??|r|malbec|??|??|2015|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
147. W|carmela|fire|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|carmela|hope|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
149. W|carmela|luxury|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
150. W|carmela|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
151. W|carmela|moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
152. W|carmela|moscato sparkling|??|s|moscato|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
153. W|carmela|oro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
154. W|carmela|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
155. W|carmela|rosa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|carmela|rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
157. W|carmela|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
158. W|carmela|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
159. W|carmela|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
160. W|carmela|vino espumoso sparkling wines 7|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
161. W|carmela|vneck blouse blue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
162. W|carmela|winter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|carmelita|rompope|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
164. S
165. W|carmelitano|070|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
166. W|carmelitano|moscatel anos 50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
167. W|carmelite|tulips|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
168. W|carmelle|gamay rose wine|??|p|gamay|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
169. W|carmelle|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
170. W|carmelo|patti 2015 gran assemblage|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
171. W|carmelo|patti 2018 cabernet franc|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
172. W|carmelo|patti 2018 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
173. W|carmelo|patti 2019 malbec|??|r|malbec|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
174. W|carmelo|patti cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
175. W|carmelo|patti cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
176. W|carmelo|patti cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=175
177. W|carmelo|patti cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
178. W|carmelo|patti cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
179. W|carmelo|patti cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=178
180. W|carmelo|patti cabernet sauvignon perdriel argentina|ar|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
181. W|carmelo|patti gran assemblage 2003 mendoza argentina|ar|r|??|mendoza|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
182. W|carmelo|patti gran assemblage|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|carmelo|patti gran assemblage tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
184. W|carmelo|patti lujan de cuyo malbec|ar|r|malbec|lujan de cuyo|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
185. W|carmelo|patti lujan de cuyo malbec|ar|r|malbec|lujan de cuyo|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=184
186. W|carmelo|patti lujan de cuyo malbec|ar|r|malbec|lujan de cuyo|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
187. W|carmelo|patti malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
188. W|carmelo|patti malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=187
189. W|carmelo|patti malbec|??|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
190. W|carmelo|patti malbec|??|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=189
191. W|carmelo|patti malbec|??|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=189
192. W|carmelo|patti malbec|??|r|malbec|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
193. W|carmelo|patti malbec|??|r|malbec|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=192
194. W|carmelo|patti malbec lujan de cuyo|ar|r|malbec|lujan de cuyo|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
195. W|carmelo|patti malbec mendoza|ar|r|malbec|mendoza|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
196. W|carmelo|patti malbec perdriel 2019 argentina|ar|r|malbec|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
197. W|carmelo|pena santana bien de altura sansofi|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
198. W|carmelo|pena santana gran canaria ikewen|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
199. W|carmelo|rodero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
200. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
202. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
203. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
204. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
205. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
206. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
207. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
208. W|carmelo|rodero 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=200
209. W|carmelo|rodero 9 meses|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|carmelo|rodero 9 meses|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|carmelo|rodero 9 meses|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
212. W|carmelo|rodero 9 meses|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=211
213. W|carmelo|rodero 9 meses|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=211
214. W|carmelo|rodero 9 meses|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=211
215. W|carmelo|rodero 9 meses|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|carmelo|rodero 9 meses|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
217. W|carmelo|rodero 9 meses|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
218. W|carmelo|rodero 9 meses|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=215
