W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo santo stefano|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo santo stefano di perno|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo santo stefano perno|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo santo stefano perno|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo vigna santo stefano di perno|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=62
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=62
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=62
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=73
W|giuseppe|mascarello barolo villero|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=73
W|giuseppe|mascarello barolo villero 075 lit|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello ca dmorissio|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello ca dmorissio barolo riserva|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello ca dmorissio barolo riserva|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello ca dmorissio barolo riserva|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello ca dmorissio monprivato|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello dolcetto d alba|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto dalba|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto dalba bricco mirasole|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto dalba santo stefano|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto dalba santo stefano di perno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto dalba santo stefano di perno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=86
W|giuseppe|mascarello dolcetto dalba santo stefano di perno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=86
W|giuseppe|mascarello dolcetto dalba santo stefano di perno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=86
W|giuseppe|mascarello dolcetto dalba santo stefano di perno|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto dalba santo stefano di perno|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=90
W|giuseppe|mascarello dolcetto santo stefano|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello dolcetto santo stefano|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello e figli monprivato barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barbera dalba scudetto|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo monprivato|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo monprivato 1|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo monprivato|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo monprivato barolo piedmont italy|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo riserva|it|r|??|barolo|barolo|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo riserva monprivato ca dmorissio piedmont italy|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo villero|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo villero barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio barolo villero barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio bricco di castiglione falletto barolo docg italy|it|r|??|barolo|barolo|1955|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio bricco di castiglione falletto barolo docg italy|it|r|??|barolo|barolo|1955|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=108
W|giuseppe|mascarello e figlio dolcetto santo stefano di perno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giuseppe|mascarello e figlio langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo piedmont italy|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo docg italy|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo italy|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo italy|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=124
W|giuseppe|mascarello e figlio monprivato barolo italy|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo italy|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=126
W|giuseppe|mascarello e figlio monprivato barolo italy|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato barolo italy|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=128
W|giuseppe|mascarello e figlio monprivato ca dmorissio barolo riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio monprivato ca dmorissio barolo riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|giuseppe|mascarello e figlio nebbiolo barolo monprivato piedmont italy|it|r|nebbiolo|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio nebbiolo barolo monprivato piedmont italy|it|r|nebbiolo|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno barolo|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno barolo italy|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio santo stefano di perno barolo italy|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=140
W|giuseppe|mascarello e figlio toetto freisa|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio toetto freisa langhe piedmont italy|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e figlio toetto freisa langhe piedmont italy|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello e fliglio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio barolo santo stefano di perno|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio barolo santo stefano di perno|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio monprivato barolo|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio monprivato barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio monprivato barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio villero barolo|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio villero barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello figlio villero barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello freisa toetto|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello grignolino 1960s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello langhe freisa toetto|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=157
W|giuseppe|mascarello langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello langhe nebbiolo italia|it|r|nebbiolo|langhe|langhe|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello mascarello barolo monprivato|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=169
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=176
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|giuseppe|mascarello monprivato barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|giuseppe|mascarello monprivato ca d morissio|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato ca dmorissio barolo riserva|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato ca dmorissio barolo riserva|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato ca dmorissio barolo riserva|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato ca dmorissio barolo riserva|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato e allannunziata barolo|it|r|??|barolo|barolo|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello monprivato e bussia barolo|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello nebbiolo delle langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello pugnane barolo|it|r|??|barolo|barolo|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
