W|glenelly|lady may|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glenelly|lady may|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glenelly|lady may|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=23
W|glenelly|lady may 100th birthday|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may stellenbosch|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=30
W|glenelly|lady may cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=33
W|glenelly|lady may red blend|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|lady may stellenbosch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|le rose de may|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|glenelly|le rose de may|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|glenelly|le rose de may|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|glenelly|le rose de may|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|glenelly|le rose de may|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=37
W|glenelly|reserve chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenelly|reserve chardonnay|??|w|chardonnay|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenelly|reserve chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenelly|reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|reserve red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=45
W|glenelly|stellenbosch lady may|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenelly|stellenbosch lady may|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|glenelly|stellenbosch lady may|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|glenelly|stellenbosch lady may|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|glenelly|stellenbosch reserve chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
X
X
X
X
X
X
X
X
X
X
X
W|glenelly|unoaked chardonnay iloilo|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenelly|unoaked chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|glenelly|unoaked chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=65
W|glenelly|unoaked chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|glenesk|18 year connoisseurs choice|??|r|??|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenesk|38 year old the recollection series 2 connoisseurs choice gm|??|r|??|??|??|1984|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenesk|bottled gordon macphail connoisseurs choice 40|??|r|??|??|??|1984|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenesk|20 year old cask 4928 cask strength rare auld|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenesk|38 ans connoisseurs choice gm|??|r|??|??|??|1984|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenesk|fassdeckel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfairn|speyside sweet single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|glenfarcias|10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarcias|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarcias|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|glenfarclas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|glenfarclas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|glenfarclas|glenfarclas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|glenfarclas|10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=82
W|glenfarclas|10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=82
W|glenfarclas|10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=82
W|glenfarclas|10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|glenfarclas|10 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|glenfarclas|10 ani 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 anni astucciato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=91
W|glenfarclas|10 ans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 ans the family cask sherry butt 2372 new vibrations|??|f|??|??|??|2013|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|10 eves 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 sherry|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|10 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|glenfarclas|10 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|glenfarclas|10 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=97
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=101
W|glenfarclas|10 year old 105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old tigers finest selection cask 2424|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old tigers finest selection cask 2425|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old tigers finest selection cask 618|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old oloroso sherry casks premium edition|??|f|??|??|??|2007|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|10 year old germany exclusive|de|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old easter edition|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=123
W|glenfarclas|10 year old a force of nature older bottling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old highland scotland 40 volgift tube|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old highland single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old highlands single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old older bottling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 year old single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|glenfarclas|10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|glenfarclas|10 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=131
W|glenfarclas|10 years 34 ltr j g grant glenfarclas distillery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 years 40 j g grant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 years 40o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=138
W|glenfarclas|10 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=138
W|glenfarclas|10 years old single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|glenfarclas|10 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=142
W|glenfarclas|10 yo con astuccio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yo mini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yo single highland malt bottling 1990s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yo single highland malt bottling period 1980s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yo speyside single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|glenfarclas|105 1 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 12 year old sherry cask strength the hourglass edition|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|105 12 years old limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 12 yo sherry cask limited edition|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|105 16 year old limited edition single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 16 years old 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 16 years old 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=173
W|glenfarclas|105 16yo 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 16yo cask strength 60 j g grant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 16yo cask strength 60 j g grant glenfarclas distillery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 1ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=179
W|glenfarclas|105 60 c24|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 60 c6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 7 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 8 yo sherry cask strength|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenfarclas|105 aged 16 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 aged 16 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 astucciato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask 10 pdd 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask 16 ars 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strenght|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strenght|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|glenfarclas|105 cask strength 005 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength 1 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength 16 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength 16 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=215
W|glenfarclas|105 cask strength 60 diszdobozban|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength 60 mini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength highland scotland 60 volgift tube|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 cask strength single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=227
W|glenfarclas|105 cask strength speyside single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 caskstrength 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 highland malt 60 ob circa|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|105 proof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|108 20122024 single cask bottled for the highlander inn chichibu 2216|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10y 40 gb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10y highland single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenfarclas|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|glenfarclas|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|glenfarclas|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|glenfarclas|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
