W|vinho|tinto portugues bacalhoa quatro ventos garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues adega vidigueira cuba blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues adega vidigueira cuba blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=44
W|vinho|tinto portugues adega da vila|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues 5 elementos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues 3 herdades alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues 3 autores douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues 3 autores douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=49
W|vinho|tinto portuges casa de santar vinha dos amores touriga nacional doc dao|??|r|touriga|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal torre de coimbra bairrada|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal tapada delvas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal sericaia alentejo|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal sao miguel atlantico alentejano|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal ribeiro santos blend tintas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal quinta dos bons ventos blend tintas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal periquita reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal perereca do monte|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal pedra cancela selecao enologo|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal palavrar doc douro|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal monte cansado alentejo blend uvas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal irreverente terras do dao|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal flor das tecedeiras douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal egoista blend uvas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal dom afonso henriques doc signature|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal dom afonso henriques|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal coracao luso blend uvas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal cartuxa colheita|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal cabula douro blend uvas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugal barricado blend tintas|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portuga lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porto vintage 2015|pt|f|??|??|??|2015|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto tawny reserve jockey club|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto rouge tinto palacio dos marqueses|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto quinta dos murcas tawny 10 anos quinta dos murcas|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto quinta do crasto finest reserve quinta do crasto|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto pocas tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto pocas ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto morgadio da calcada 10 years old tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto messias tawny mini|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto messias tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto fiest ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto fiest ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??|=83
W|vinho|tinto porto faisao|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto dom jose rubby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto calem vintage 1999|pt|f|??|??|??|1999|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto calem vintage 1999|pt|f|??|??|??|1999|20|??|encorpado|sobremesas; queijos azuis|??|=87
W|vinho|tinto porto calem velhotes tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto porto calem velhotes ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto portillo pinot noir 2019 mendoza|ar|r|pinot noir|mendoza|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portillo pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portillo malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portillo cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porteno suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porteno suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=95
W|vinho|tinto porteno suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=95
W|vinho|tinto porteno cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portas do sol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portal s braz trincadeira 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portal de sao braz syrah superior 2022 regional alentejano|??|r|syrah|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portal de sao braz private collection alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portal da estrela 2021 doc dao|??|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portal 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portada red blend 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta de teira 2011 tejo|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa vinhas velhas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa doc alentejo colheita especial|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa doc alentejo|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa 2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da ravessa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=112
W|vinho|tinto porta da calada 2019 regional alentejano|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta da calada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 reserva 2021 lisboa|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 portugues|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 portugues|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=117
W|vinho|tinto porta 6 portugal 1|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 portugal|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 portugal|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=120
W|vinho|tinto porta 6 meia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 kit 4 garrafas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 bitube|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 3 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6 3 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=125
W|vinho|tinto porta 6 2024 regional lisboa|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porta 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=128
W|vinho|tinto porseleinberg 2021 swartland africa do sul|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pormenor 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porco bravo grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porca de murca reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porca de murca douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porca de murca 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porca de murca 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porca de murca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto porca da murca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto por iron maiden darkest red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto por carmin putos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa vv vinhas velhas 2016 douro|pt|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa tr tinta roriz 2007 douro|pt|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa tn touriga nacional 2016 douro|pt|r|touriga|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa tf touriga franca 2016 douro|pt|r|touriga|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa selection 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa black edition 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto popa bastardo 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontual touriga nacional 2020 alentejo|??|r|touriga|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontual syrah 2022 alentejo|??|r|syrah|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontual superior 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontual reserva 2019 alentejo|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontilli wines roble malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontilli wines roble cordisco 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontilli wines roble cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pontilli wines roble blend 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ponte mouchao 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ponte mouchao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ponte de lima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pont damour tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pomnroll pomerol 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pomnroll pomerol 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard premier cru les combes dess|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard premier cru les combes dess|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=162
W|vinho|tinto pommard premier cru les combes dess|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=162
W|vinho|tinto pommard les cras belland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard clos des roses sans sulfite monopole 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard clos des roses monopole 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard clos des roses 2020 com sulfitos adicionados|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard clos des roses 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard clos des roses 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard clos des roses 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pommard 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pombal do vesuvio 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pombal do vesuvio 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pomares 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pomar do espirito santo reserva 2016 lisboa|??|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poliphonia family blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poitout vindemiola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poggio della quercia sangiovese rubicone igt|??|r|sangiovese|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poggio civetta governo alluso toscano igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poggio civetta chianti classico docg 2021|it|r|??|toscana|chianti|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poggio cavalieri governo toscana 2024|it|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poggio al tesoro mediterra toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poggio al tesoro mediterra toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=184
W|vinho|tinto poeirinho 2022 bairrada|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira vinha impar 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira vinha da torre magnun 2017 1 douro|pt|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira vinha da torre douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira vinha da torre 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira she 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira impar 201828no pix28no boleto28em ate3xdesem juroscomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira 38 barricas decade 2013 douro|pt|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira 37 barricas 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira 31 barricas 2017 douro|pt|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poeira 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poderuccio camigliano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poderi del paradiso paterno ii|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto poderi del paradiso chianti colli senesi riserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto podere montepulciano dabruzzocomprar|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto podere le ripi amore e magia 145 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto podere castorani casauria riserva montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto podere 29 unio nero di troia e primativo 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pocas vinha do cerro 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pocas reserva 2022 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pocas reserva 2005 douro|pt|r|??|??|??|2005|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pocas 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto po de poeira douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto po de poeira 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto po de poeira 2016 douro|pt|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto plenitude lote iii garbo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto plaza del torres varietal tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto plaza del torres varietal cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto plaza del torres reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto plansel selecta tinta barroca colheita seleccionada 2017 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pknt carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piu belle 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piteira talha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piteira talha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=218
W|vinho|tinto piteira signature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piteira signature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=220
W|vinho|tinto pispi red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pispi blend de tintas mosquita muerta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pispi blend de tintas argentina|ar|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pispi blend de tintas 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
