W|finca dofi|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|egomei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|alma tinto rioja 2014|es|r|??|??|??|2014|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|alma tinto rioja 2017|es|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|alma tinto rioja elegante rode wijn|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|carpess crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|carpess crianza rioja elegante rioja vol karakter|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|olijfolie extra vergine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doc alma tinto|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doc carpess crianza|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doc carpess crianza|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco|=58
W|finca egomei|rioja doc carpess crianza 2015|es|r|??|??|??|2015|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doc geschenkkist met 2x rioja tinto|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doc tinto|es|r|??|??|??|NV|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doc tinto 2017|es|r|??|??|??|2017|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca 2 vaks geschenkkist met rioja tinto en alma tinto|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca 2 vaks geschenkkist met rioja tinto en alma tinto nv|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca alma tinto|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca carpess crianza|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca carpess crianza|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco|=67
W|finca egomei|rioja doca carpess crianza 2019|es|r|??|??|??|2019|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca carpess crianza 2020|es|r|??|??|??|2020|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca geschenkkist met 1 fles egomei rioja doc tinto 2020|es|r|??|??|??|2020|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca geschenkkist met rioja tinto en alma tinto|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca tinto|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca tinto 2018|es|r|??|??|??|2018|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|rioja doca tinto 2020|es|r|??|??|??|2020|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|tinto rioja elegante rode wijn uit spanje|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca egomei|tinto rioja magnum elegante rode wijn uit spanje|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|alba blanco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|bosque|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|bosque|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca el|bosque|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=80
W|finca el|bosque 2006 rioja sierra cantabria|es|r|??|??|??|2006|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|bosque 2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|bosque 20162022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|bosque 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|bosque 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=86
W|finca el|bosque 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|bosque sierra cantabria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|carril hechicero manchuela do 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|carril tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|colmenar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|colmenar 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|curvado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado crianza 2019|??|r|??|??|??|2019|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado crianza ribera del duero|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado crianza ribera del duero|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=98
W|finca el|empecinado do rueda|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado do rueda verdejo|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|empecinado ribera del duero crianza 2019 145 vol|es|r|??|??|??|2019|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado ribera del duero reserva 2019 15 vol|es|r|??|??|??|2019|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|empecinado roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=104
W|finca el|empecinado rueda verdejo 2023|es|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|empecinado rueda verdejo 2023|es|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco|=106
W|finca el|empecinado ruedo verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|empecinado verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|empecinado verdejo rueda|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|encinal crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca el|encinal roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|escribiente 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|estanque reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca el|foro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|foro red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|foro red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=116
W|finca el|grajo viejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|lince dop jumilla monastrell 2017|??|r|??|??|??|2017|13.5|dop|medio|carne vermelha; queijo curado; massas|seco
W|finca el|lince dop jumilla monastrell syrah 2017|??|r|??|??|??|2017|13.5|dop|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|lince monastrell 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|lince red blend 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|lince red blend 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|maldito ahillas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|maldito ahillas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=124
W|finca el|maldito tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|mito crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca el|molar bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|molar graciano 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|molar macabeo skin contact|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|molar manchuela bobal 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|molar pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|finca el|origen andes blend 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen andes blend valle de uco 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen andes signature rosado 2024|??|p|??|??|??|2024|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca el|origen cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen cabernet sauvignon gran reserva 2016|??|r|??|??|??|2016|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen cabernet sauvignon reserva 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen chardonnay 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen chardonnay 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen chardonnay mountain character 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen chardonnay unoaked reserve valle de uco 2021|??|w|??|??|??|2021|12.5|reserve|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen estate blend 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen gran reserva cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen gran reserva cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen gran reserva cabernet sauvignon valle de uco 2017|??|r|??|??|??|2017|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen gran reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen gran reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=150
W|finca el|origen gran reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=150
W|finca el|origen gran reserva malbec 2019|??|r|??|??|??|2019|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen gran reserva malbec 2019|??|r|??|??|??|2019|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=153
W|finca el|origen malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=155
W|finca el|origen malbec 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec 2025|??|r|??|??|??|2025|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec gran reserva 2016|??|r|??|??|??|2016|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec mendoza uco argentine 2015|ar|r|??|??|??|2015|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=163
W|finca el|origen malbec reserva 2020|??|r|??|??|??|2020|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec reserva 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec reserva 2023|??|r|??|??|??|2023|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec reserve|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen malbec rose 2017|??|p|??|??|??|2017|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca el|origen malbec rose 2021|??|p|??|??|??|2021|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca el|origen malbec varietales 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen phi 2010|??|r|??|??|??|2010|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen phi 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen phi highaltitude vineyard valle de uco 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen phi single vineyard 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen premium andes blend 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen res cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva cabernet sauvignon 2018|??|r|??|??|??|2018|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva cabernet sauvignon 2019|??|r|??|??|??|2019|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva cabernet sauvignon 2022 argentinian red wine|??|r|??|??|??|2022|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva cabernet sauvignon 2023|??|r|??|??|??|2023|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva chardonnay 2024|??|w|??|??|??|2024|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen reserva estate malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=184
W|finca el|origen reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=184
W|finca el|origen reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=184
W|finca el|origen reserva malbec 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva malbec 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=188
W|finca el|origen reserva malbec 2022|??|r|??|??|??|2022|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva malbec 2023|??|r|??|??|??|2023|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva malbec argentina red wine|ar|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva torrontes 2021|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen reserva viognier 2013|??|w|??|??|??|2013|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca el|origen reserve malbec|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca el|origen rose malbec 2022|??|p|??|??|??|2022|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca el|origen single lot malbec nro 17 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen single vineyard blend 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen single vineyard cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen single vineyard malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen syrah 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|origen torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen torrontes reserva 2022|??|r|??|??|??|2022|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca el|origen varietal chardonnay 2023 argentinian white wine|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|origenreserva torrontes|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca el|otero aster ribera del duero 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|otero ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|otero ribera del duero 2019 personliche empfehlung|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|paso garnacha spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|peral malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca el|peruco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|peruco 2018 goyo garcia viadero|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|peruco 2018 goyo garcia viadero|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=213
W|finca el|pla blanco daniel belda|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca el|pla tinto daniel belda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|portillo bodegas salentein estate bottled cabernet sauvignon|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finca el|portillo bodegas salentein estate bottled malbec|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finca el|portillo bodegas salentein estate bottled merlot|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finca el|portillo bodegas salentein sauvignon blanc|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finca el|portillo malbec|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finca el|portillo sauvignon blanc|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|seco
W|finca el|puig|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|refugio dominio del prior petit verdot 2016 14vol|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|regajal 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|ribazo 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|rincon de clunia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|rubio doca tinto 2017|??|r|??|??|??|2017|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca el|sapo garnacha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|serrano monastrell bodegas murviedro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|serrano monastrell murviedro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
