W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo dbmg|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo dbmg|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo mg|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo dbmg|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo mg|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo dbmg|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo mg|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo dbmg|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo mg|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|giacomo|conterno cerretta barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno cerretta barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=132
W|giacomo|conterno da i dilettanti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barbera dalba|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barbera dalba mg|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo dbmg|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo mg|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo dbmg|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo mg|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo 1|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=151
W|giacomo|conterno francia barolo mg|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg barolo|it|r|??|barolo|barolo|2011|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg barolo|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg barolo|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=158
W|giacomo|conterno francia barolo docg piedmont italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo docg piedmont italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno francia barolo piedmont italy|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara cantine nervi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna molsino 1 nervi|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna molsino nervi|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna valferana nervi|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg jeroboam nervi in cassa legno|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg nervi|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg nervi|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|giacomo|conterno gattinara docg vigna molsino nervi|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna valferana nervi|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg astucciato nervi|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg nervi|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna molsino nervi|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna molsino nervi|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=174
W|giacomo|conterno gattinara docg vigna valferana nervi|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna molsino nervi|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg vigna molsino nervi|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=177
W|giacomo|conterno gattinara docg vigna valferana nervi|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg nervi|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara docg nervi|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=180
W|giacomo|conterno gattinara vigna valferana cantine nervi|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno gattinara vigna valferana|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno il rosato nervi|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giacomo|conterno il rosato nervi|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giacomo|conterno jefferson nervi rose metodo classico dosaggio zero|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giacomo|conterno monfortino barolo|it|r|??|barolo|barolo|1943|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=198
W|giacomo|conterno monfortino barolo riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=200
W|giacomo|conterno monfortino barolo riserva docg italy|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva docg italy|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=202
