W|gaja|sito moresco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=20
W|gaja|sito moresco langhe 0|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=32
W|gaja|sito moresco langhe 37|it|r|??|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe 37|it|r|??|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=4
W|gaja|sito moresco langhe 37|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe elegant rdvin 37|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=41
W|gaja|sito moresco langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=41
W|gaja|sito moresco langhe doc|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe doc|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=44
W|gaja|sito moresco langhe doc|it|r|??|langhe|langhe|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe doc|it|r|??|langhe|langhe|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe dop|it|r|??|langhe|langhe|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe dop|it|r|??|langhe|langhe|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=48
W|gaja|sito moresco langhe dop|it|r|??|langhe|langhe|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe dop 338 z|it|r|??|langhe|langhe|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe dop halfs|it|r|??|langhe|langhe|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe red blend|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe rosso|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe rosso|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|gaja|sito moresco langhe rosso|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe rosso|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=56
W|gaja|sito moresco langhe rosso|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe rosso doc|it|r|??|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe rosso doc 6 x|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco langhe rosso dop|it|r|??|langhe|langhe|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=8
W|gaja|sito moresco nebbiolobarbera langhe dop|it|r|nebbiolo|langhe|langhe|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco nebbiolomerlotcab sauv langhe do|it|r|merlot|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco red wine|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco rosso lange|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco rosso lange|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco rosso langhe|it|r|??|langhe|langhe|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sito moresco rosso langhe|it|r|??|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori costa russi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=70
W|gaja|sori san lorenzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=70
W|gaja|sori san lorenzo|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=77
W|gaja|sori san lorenzo|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=79
W|gaja|sori san lorenzo|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gaja|sori san lorenzo|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gaja|sori san lorenzo|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|gaja|sori san lorenzo|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|gaja|sori san lorenzo|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|gaja|sori san lorenzo|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=92
W|gaja|sori san lorenzo|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=95
W|gaja|sori san lorenzo|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|gaja|sori san lorenzo|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=98
W|gaja|sori san lorenzo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=102
W|gaja|sori san lorenzo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=102
W|gaja|sori san lorenzo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=102
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=106
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|2014|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=111
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=117
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=119
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=119
W|gaja|sori san lorenzo barbaresco|it|r|??|barbaresco|barbaresco|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=123
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|2014|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=110
W|gaja|sori san lorenzo barbaresco docg|it|r|??|barbaresco|barbaresco|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo barbaresco dop|it|r|??|barbaresco|barbaresco|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo doppia cassa in legno|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo langhe|it|r|??|langhe|langhe|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2009|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzo langhebarbaresco piedmont italy hk00 hk00|it|r|??|langhe|langhe|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori san lorenzzo langhe|it|r|??|langhe|langhe|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tilden|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tilden|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tilden|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tilden|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=138
W|gaja|sori tildin|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=143
W|gaja|sori tildin|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=145
W|gaja|sori tildin|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|gaja|sori tildin|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gaja|sori tildin|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gaja|sori tildin|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=149
W|gaja|sori tildin|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gaja|sori tildin|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gaja|sori tildin|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=163
W|gaja|sori tildin|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=166
W|gaja|sori tildin|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=168
W|gaja|sori tildin|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco docg 100 nebbiolo 0|it|r|nebbiolo|barbaresco|barbaresco|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barb|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barb|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=175
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=177
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=177
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=177
W|gaja|sori tildin barbaresco piemonte italy|it|r|??|barbaresco|barbaresco|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco piemonte italy|it|r|??|barbaresco|barbaresco|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco piemonte italy|it|r|??|barbaresco|barbaresco|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco piemonte italy|it|r|??|barbaresco|barbaresco|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco docg|it|r|??|barbaresco|barbaresco|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=190
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|gaja|sori tildin barbaresco|it|r|??|barbaresco|barbaresco|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco docg|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco docg|it|r|??|barbaresco|barbaresco|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco docg|it|r|??|barbaresco|barbaresco|2014|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco docg|it|r|??|barbaresco|barbaresco|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco dop|it|r|??|barbaresco|barbaresco|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin barbaresco langhe|it|r|??|langhe|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|1999|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2000|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2009|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2010|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin langhebarbaresco|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sori tildin langhebarbaresco|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=207
W|gaja|sori tildin|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=155
W|gaja|sperrs barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|gaja|sperss|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|sperss|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
