W|gustinella|pomaro rosato|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gusto|organic sicilian blood orange case of 12|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusto|organic sicilian lemon with yuzu case of 12|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusto|pistachio kataifi spread 190gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusto|red beans in tomato filling 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusto|sensi 18k collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusto|tinto 1 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusto|tinto 1 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=69
W|gustoni|eco ardei la gratar in ulei cu verdeturi 190g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoni|eco paste scoici din grau dur 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoni|eco sos de rosii clasic 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoni|eco sos de rosii cu masline 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoria|gustoria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoria|112 358|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoria|195|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoria|358|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustos|para disfrutar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustos|y detalles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoso|gourmet mermelada de aji al vino blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gustoso|gourmet mermelada de cebolla morada al carmenere|??|r|carmenere|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoso|gourmet mermelada de frambuesa cerveza merken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoso|gourmet mermelada de sangria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustoso|gourmet olivada en tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustowny|podarunek pod choinke|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustowny|upominek wielkanocny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gusturi|de acasa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal boia ardei afumata 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal castraveti in otet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal dulceata de afine 330g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal dulceata de ardei iute 210g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal dulceata de visine 330g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal gogosari cu struguri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal hrean in otet 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal magiun de prune 390g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal mix legume uscate 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal mix legume uscate ciorba 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal mustar cu hrean 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal mustar tip dijon 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal sirop de afine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal sirop de coacaze negre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal sirop de visine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal tarhon in otet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal zacusca cu galbiori 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal zacusca cu hribi 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|din ardeal zacusca cu vinete 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gusturi|in ardeal zacusca fasole 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine ginglinger|gustus blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gustus|bukettraube|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustus|cape blend reserve red|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustus|cape blend reserve white|za|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gustus|chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gustus|pinotage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustus|shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustus|special reserve chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gustus|special reserve chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gustus|special reserve shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gustus|steingemahlener feiner senf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|avelsbach riesling mild|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|avelsbach riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|edition weinkonigin qba trocken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|feeling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|feeling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=124
W|gut|gunstig bitter lemon 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig champignons geschnitten 24 290g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig eistee pfirsich 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig eistee pfirsich 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=128
W|gut|gunstig eistee zitrone 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig eistee zitrone 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=130
W|gut|gunstig essigessenz 25 saure 12 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig gegrillte artischocken 6 280g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig getrocknete tomaten 6 280g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig kapern 8 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig mineralwasser classic 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig mineralwasser medium 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig mineralwasser still 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig mineralwasser to go still 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig mungobohnenkeimlinge 6 330g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig wild berry 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|gunstig wok gemuse chopsuey 6 330g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|hardegg gimpel rose ko|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gut|hardegg gimpel rose ko|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gut|hardegg girlitz gruner veltliner ko|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hardegg gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling 7 terroirs|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg nahe 7 terroirs riesling trocken|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg weisser burgunder|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|hermannsberg 7 terroirs riesling dry|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg 7 terroirs riesling trocken|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg 7 terroirs riesling vdpgutswein|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg 7 terroirs riesling vdpgutswein|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg 7 terroirs riesling vdpgutswein|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg 7 terroirs riesling vdpgutswein|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg blanc de blancs sekt brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gut|hermannsberg felsenberg riesling gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg hermannsberg riesling gg reserve|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg hermannsberg riesling grand cru|??|w|riesling|??|??|2017|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg just riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg just riesling vdpgutswein|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg kupfergrube riesling gg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg pinot blanc dq|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg pinot blanc vdpgutswein|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg pure riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg pure riesling vdpgutswein|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling felsenberg groes gewachs white|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling hermannsberg niederhausen gg reserve|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling kupfergrube schlossbockelheim gg reserve|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling kupfergrube schlossbockelheim gg reserve|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling sekt brut|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gut|hermannsberg riesling sekt brut nahe tyskland|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gut|hermannsberg riesling sekt extra brut kupfergrube versteigerungssekt|??|s|riesling|??|??|2017|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gut|hermannsberg riesling steinterrassen|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling steinterrassen vdpgutswein|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling steinterrassen vdpgutswein|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling vom schiefer vdportswein|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling vom schiefer vdportswein|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg riesling vom schiefer vdportswein|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg rotenberg riesling gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg rotenberg spatlese riesling|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gut|hermannsberg steinberg niederhausen riesling gg|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg vom vulkan riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gut|hermannsberg weiburgunder vdpgutswein|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|hermannsberg weiburgunder vdpgutswein|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|hermannsberg weiburgunder vdpgutswein|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|hermannsberg weisser burgunder nahe germany|de|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau burgenland josephine rot|at|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau burgenland theodora weiss|at|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau burgenland timotheus weiss|at|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau burgenland atanasius rot|at|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau burgenland cecilia rose|at|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gut|oggau burgenland theodora weiss|at|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau 5pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau 5pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|gut|oggau atanasi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
