W|chateau ludeman la cote vignobles belloc|chateau ludeman la cote vignobles belloc|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos des|blanc pins|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|clos floridene|blanc|es|w|??|bordeaux|graves|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|domaine du salut|blanc|es|w|??|bordeaux|graves|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|domaine du salut|blanc 20202022|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|blanc nature|es|w|??|bordeaux|graves|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|branco|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|branco|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau bousquet prestige red|chateau bousquet prestige red|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau bousquet white|chateau bousquet white|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau brondelle classic rouge|chateau brondelle classic rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau brondelle grand vin rouge|chateau brondelle grand vin rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau calvimont blanc|chateau calvimont blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau carbon dartigues|chateau carbon dartigues|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau darchambeau|chateau darchambeau|es|r|??|bordeaux|graves|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau darchambeau|chateau darchambeau|es|r|??|bordeaux|graves|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=37
W|chateau darchambeau|chateau darchambeau|es|r|??|bordeaux|graves|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau darchambeau|chateau darchambeau|es|r|??|bordeaux|graves|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=39
W|chateau darricaud|chateau darricaud|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de callac prestige|chateau de callac prestige|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de respide le drop|chateau de respide le drop|es|r|??|bordeaux|graves|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de rieufret rouge|chateau simon|es|r|??|bordeaux|graves|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de sauvage|chateau de sauvage|es|r|??|bordeaux|graves|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau gendre|chateau gendre|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau haut selve|chateau haut selve|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau haut selve|chateau haut selve|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=47
W|chateau haut selve cuvee aquacia|chateau haut selve cuvee aquacia|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau langlet vin rouge|chateau langlet vin rouge|es|r|??|bordeaux|graves|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau les clauzots bl|chateau les clauzots bl|es|r|??|bordeaux|graves|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau lugey rg|chateau lugey rg|es|r|??|bordeaux|graves|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau petit mouta rg|chateau petit mouta rg|es|r|??|bordeaux|graves|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau quincarnon maype lagrave|chateau quincarnon maype lagrave|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau respide|chateau respide|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos des|pins|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|dardonneau blanc cotes de bordeaux blaye cuvee prestige|es|w|??|bordeaux|graves|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|dardonneau blaye cuvee prestige|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|dardonneau bordeaux blanc|es|w|??|bordeaux|graves|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|de pez st estephe|es|r|??|bordeaux|graves|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|de vayres|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|de vayres ac 11|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau durandbayle|de vayres blanc aop|es|w|??|bordeaux|graves|2016|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|chateau barre gentillot lorangerie|de vayres blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau barre gentillot lorangerie|de vayres|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau du petit puch|de vayres|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau durandbayle|de vayres rouge aop|es|r|??|bordeaux|graves|2016|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|exploration|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau malartic lagraviere|gcc blanc|es|w|??|bordeaux|graves|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|grain alcohol|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|grain alcohol|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=70
W|graves|grain alcohol 190 prf|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|lame de pape clement rouge bernard magrez|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|lame du pape clement blanc bernard magrez|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|clos des|le pins|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|les fous volants|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rosechatel special reserve dry branco|es|p|??|bordeaux|graves|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|graves|rouge 1 ch crabitey|es|r|??|bordeaux|graves|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge 1 ch crabitey|es|r|??|bordeaux|graves|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge|es|r|??|bordeaux|graves|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|graves|rouge 37 ch crabitey|es|r|??|bordeaux|graves|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge ch crabitey|es|r|??|bordeaux|graves|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge ch crabitey|es|r|??|bordeaux|graves|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge chateau|es|r|??|bordeaux|graves|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge chateau|es|r|??|bordeaux|graves|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau darricaud reserve du comte|rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de callac|rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de cerons|rouge|es|r|??|bordeaux|graves|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau de rieufret|rouge|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau des perligues|rouge|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau jouvente|rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau ludeman la cote|rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine du salut|rouge 20192022|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge les oiseaux de chantegrive les oiseaux|es|r|??|bordeaux|graves|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|rouge|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|chateau jouvente|rouge|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=93
W|chateau darricaud|rouge reserve du comte|es|r|??|bordeaux|graves|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|sec barton guestier|es|r|??|bordeaux|graves|1986|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|sec barton guestier|es|r|??|bordeaux|graves|1986|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=100
W|graves|seigneurs de loubrie|es|r|??|bordeaux|graves|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau darricaud|superieurs doux|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|thomas barton reserve bl|es|r|??|bordeaux|graves|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|vayres chat haut beaumard trad rg|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|vayres chat ht beaumard trad bl|es|r|??|bordeaux|graves|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|vayres haut beaumard en fut rg|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|wei|es|r|??|bordeaux|graves|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|white|es|w|??|bordeaux|graves|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graves|wit|es|r|??|bordeaux|graves|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graves|xxx grain alcohol 190pf liter|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravestone|sauvignon blanc semillon|es|w|sauvignon blanc|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravestone|sauvignon blanc semillon|es|w|sauvignon blanc|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=112
W|gravestone|sauvignon blanc semillon|es|w|sauvignon blanc|bordeaux|graves|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravestone|sauvignon blanc semillon|es|w|sauvignon blanc|bordeaux|graves|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco|=114
W|gravestone|sidewinder twin pack|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravestone|sidewinder twin pack|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=116
W|gravet|laks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravette|gravette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravette|certan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravettes|ardeche chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravettien|grande cuvee|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravettien|rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|graviator|wifi hydrometer og termometer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravid|magevarmer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravidade|tinto|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviditetsbelte|magebelte for gravide med stttebelte under graviditet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|graviera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|200g|??|r|??|??|??|1965|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|au bukovo|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|au poivres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|aus kreta 283kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|bafas 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|chevre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|douce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|geitenkaas griekse kaas syros rijk en pittig|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|greceasca maturata 3 luni in vin rosu 125g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|griekse kaas syros rijk en pittig|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|maturata 3 luni cu trufe 125gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|maturata 5 luni cu 4 tipuri piper 125gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|maturata 5 luni cu cimbru 125gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|maturata 5 luni cu usturoi salbatic 125gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|met cactusvijg syros rijk en pittig|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|mytilinis 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|piquante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|stagionata di capra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|triptiek syros zoet en pittig 220g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|with 4 peppers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|z chilli bafas 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|z pieprzem bafas 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviera|z truflami bafas 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravieres|gravieres|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravieres|saint emilion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravilla|gravilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france a fleur de peau|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france cote obscur|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france lo vielh carignan|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|minervois rendezvous sur la lune|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|muscat st jean de minervois doux providence|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france a fleur de peau|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france im alive|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france lo vielh carignan|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france mademoiselle lily|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france retour aux origines|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france sous les cailloux des grillon|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|a fleur de peau vdf|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|lo vielh carignan vdf|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|minervois blanc linattendu|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravillas|minervois rendezvous sur la lune|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france alive|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france cote obscur|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france jour de teuf petnat|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france mademoiselle lily|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france retour aux origines|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france sous les cailloux des grillons|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|mademoiselle lily|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|minervois blanc linattendu|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravillas|muscat st jean de minervois douce providence|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|sous les cailloux des grillons|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france alive|fr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france cote obscur|fr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france jour de teuf petnat|fr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravillas|vin de france retour aux origines|fr|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graville|lacoste blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau graves blanc|graville lacoste|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau graves blanc|graville lacoste|es|w|??|bordeaux|graves|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|chateau graves blanc|graville lacoste|es|w|??|bordeaux|graves|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graville|lacoste graves|es|r|??|bordeaux|graves|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graville|lacoste graves blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graville|lacoste graves blanc|es|w|??|bordeaux|graves|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=189
W|gravillelacoste|graves blanc|es|w|??|bordeaux|graves|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravillelacoste|graves blanc|es|w|??|bordeaux|graves|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravillelacoste|graves blanc|es|w|??|bordeaux|graves|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=192
W|graviola|botica del senor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviola|d native 100 capsulas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviola|ekstrakt 550 mg 60 kapsuek soul farm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviola|folhas para cha 500g granoi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviola|kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviola|potente 180 tabletas hahnermann|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviola|potente 90 tabletas hahnemann|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graviolasoursop|powder|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravirovani|gravirovani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravirozott|fa diszdoboz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravirozott|fa doboz motivummal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravita|gravita|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravita|gravita|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=205
W|gravita|primitivo di manduria riserva trullo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravitas|omega 950 2 zalto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravitas|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravitas|tempranillo fyldig rdvin til tilbudspris|es|r|tempranillo|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravitas|tempranillo martian ranch|es|r|tempranillo|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravitas|tempranillo martian ranch|es|r|tempranillo|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=211
W|gravitatsiya|cabernet franccabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravitatsiya|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravitatsiya|chardonnayriesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravitatsiya|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravite|zero cremant dalsace andre kleinknecht alsace|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gravite|zero cremant rose dalsace andre kleinknecht alsace|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gravity|gravity|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
