1. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
144. W|cappellano|barolo pie franco|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
145. W|cappellano|barolo pie franco|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|cappellano|barolo pie franco|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=145
147. W|cappellano|barolo pie franco|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
148. W|cappellano|barolo pie franco|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=11
149. W|cappellano|barolo pie franco|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=11
150. W|cappellano|barolo pie franco|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|cappellano|barolo pie franco|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
152. W|cappellano|barolo pie franco|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=151
153. W|cappellano|barolo pie franco|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=151
154. W|cappellano|barolo pie franco|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
155. W|cappellano|barolo pie franco|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
156. W|cappellano|barolo pie franco|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|cappellano|barolo pie franco|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=156
158. W|cappellano|barolo pie franco|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=156
159. W|cappellano|barolo pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=21
160. W|cappellano|barolo pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=21
161. W|cappellano|barolo pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=21
162. W|cappellano|barolo pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=21
163. W|cappellano|barolo pie franco|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
164. W|cappellano|barolo pie franco|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
165. W|cappellano|barolo pie franco|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
166. W|cappellano|barolo pie franco|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
167. W|cappellano|barolo pie franco|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
168. W|cappellano|barolo pie franco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
169. W|cappellano|barolo pie franco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
170. W|cappellano|barolo pie franco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
171. W|cappellano|barolo pie franco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
172. W|cappellano|barolo pie francomichet|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|cappellano|barolo pie rupestris|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
174. W|cappellano|barolo pie rupestris|it|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
175. W|cappellano|barolo pie rupestris|it|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
176. W|cappellano|barolo pie rupestris|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
177. W|cappellano|barolo pie rupestris|it|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|cappellano|barolo pie rupestris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
179. W|cappellano|barolo pie rupestris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=178
180. W|cappellano|barolo pie rupestris|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
181. W|cappellano|barolo pie rupestris|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=180
182. W|cappellano|barolo pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
183. W|cappellano|barolo pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
184. W|cappellano|barolo pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
185. W|cappellano|barolo pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
186. W|cappellano|barolo pie rupestris|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|cappellano|barolo pie rupestris|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=12
188. W|cappellano|barolo pie rupestris|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
189. W|cappellano|barolo pie rupestris|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
190. W|cappellano|barolo pie rupestris|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
191. W|cappellano|barolo pie rupestris|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=20
192. W|cappellano|barolo pie rupestris|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=20
193. W|cappellano|barolo pie rupestris|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=23
194. W|cappellano|barolo pie rupestris|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=23
195. W|cappellano|barolo pie rupestris|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=23
196. W|cappellano|barolo pie rupestris 2017 3 bottle limit per customer|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
197. W|cappellano|barolo pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
198. W|cappellano|barolo pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
199. W|cappellano|barolo pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
200. W|cappellano|barolo pie rupestris|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
201. W|cappellano|barolo pie rupestris|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
202. W|cappellano|barolo pie rupestris 2019 three bottle limit per customer|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
203. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
204. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
205. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
206. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
207. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
208. W|cappellano|barolo pie rupestris 2020 net|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|cappellano|barolo pie rupestris docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
210. W|cappellano|barolo pie rupestris magnum|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|cappellano|barolo pie rupestris nebbiolo|it|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
212. W|cappellano|barolo rupestris|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|cappellano|barolo rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|cappellano|barolo troglia bottle|it|r|??|??|??|1965|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|cappellano|bottled for troglia 1961 barolo|it|r|??|??|??|1961|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|cappellano|bottled for troglia 1964 barolo|it|r|??|??|??|1964|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|cappellano|bottled for troglia 1974 barolo|it|r|??|??|??|1974|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|cappellano|bottled for troglia 1980 barolo|it|r|??|??|??|1980|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|cappellano|chinato barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|cappellano|dolcetto dalba|??|r|dolcetto|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|cappellano|dolcetto dalba doc|??|r|dolcetto|??|??|1981|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
222. W|cappellano|gabutti barbera dalba|??|r|barbera|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
223. W|cappellano|gabutti barbera dalba|??|r|barbera|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
224. W|cappellano|gabutti barbera dalba doc 2016 vino rosso|??|r|barbera|??|??|2016|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
