1. W|william clark |william clark 2020 merlot|us|w|merlot|napa valley|??|2020|??|??|??|??|??
34. W|willi schaefer|riesling kabinett graacher domprobst 2022|de|w|riesling|mosel|??|2022|??|??|??|??|??
35. W|willi schaefer|riesling himmelreich 9 auslese mosel 2019|de|d|riesling|mosel|??|2019|??|??|??|??|??
36. W|willi schaefer|riesling graacher himmelreich spatlese mosel 2018|de|w|riesling|mosel|??|2018|??|??|??|??|??
37. W|willi schaefer|riesling graacher himmelreich spatlese 2023|de|w|??|mosel|??|2023|??|??|??|??|??
38. W|willi schaefer|riesling graacher himmelreich kabinett mosel 2019|de|w|riesling|mosel|??|2019|??|??|??|??|??
39. W|willi schaefer|riesling graacher himmelreich kabinett mosel 2018|de|w|riesling|mosel|??|2018|??|??|??|??|??
40. W|willi schaefer|riesling graacher himmelreich kabinett 2023|de|w|??|mosel|??|2023|??|??|??|??|??
41. W|willi schaefer|riesling graacher himmelreich kabinett|de|w|??|??|??|NV|??|??|??|??|??
42. W|willi schaefer|riesling graacher domprobst auslese ap 11 2005|de|d|??|mosel|??|2005|??|??|??|??|??
43. X
44. W|willi schaefer|riesling domprobst kabinett mosel 2020|de|w|riesling|mosel|??|2020|??|??|??|??|??
45. W|willi schaefer|riesling domprobst kabinett mosel 2019|de|w|riesling|mosel|??|2019|??|??|??|??|??
46. W|willi schaefer|riesling domprobst 5 spatlese mosel 2019|de|w|riesling|mosel|??|2019|??|??|??|??|??
47. W|willi schaefer|riesling domprobst 11 auslese mosel 2020|de|d|riesling|mosel|??|2020|??|??|??|??|??
48. W|willi schaefer|riesling domprobst 10 spatlese mosel 2020|de|w|riesling|mosel|??|2020|??|??|??|??|??
49. W|willi schaefer|riesling domprobst 10 spatlese mosel 2019|de|w|riesling|mosel|??|2019|??|??|??|??|??
50. W|willi schaefer himmelreich|kabinett 2023|??|r|??|??|??|2023|??|??|??|??|??
51. W|willi schaefer himmelreich|kabinett 2022|??|r|??|??|??|2022|??|??|??|??|??
52. W|willi schaefer graacher|riesling trocken 2021|de|w|riesling|mosel|??|2021|??|??|??|??|??
53. W|willi schaefer graacher|riesling trocken 2018|de|w|??|??|??|2018|??|??|??|??|??
54. W|willi schaefer graacher|himmelreich trocken 2022|de|w|riesling|mosel|??|2022|??|??|??|??|??
55. W|willi schaefer graacher|himmelreich spatlese 2023|de|w|riesling|mosel|??|2023|??|??|??|??|??
56. W|willi schaefer graacher|himmelreich riesling spatlese 2023|de|w|??|??|??|2023|??|??|??|??|??
57. W|willi schaefer graacher|himmelreich riesling spatlese 2023|de|w|??|??|??|2023|??|??|??|??|??
58. W|willi schaefer graacher|himmelreich riesling spatlese 2009|de|w|riesling|??|??|2009|??|??|??|??|??
59. W|willi schaefer graacher|himmelreich riesling spatlese|de|w|??|??|??|NV|??|??|??|??|??
60. W|willi schaefer graacher|himmelreich riesling kabinett 22|de|w|riesling|mosel|??|NV|??|??|??|??|??
61. W|willi schaefer graacher|himmelreich riesling kabinett 2024|de|w|??|mosel|??|2024|??|??|??|??|??
62. W|willi schaefer graacher|himmelreich riesling kabinett 2024|de|w|riesling|??|??|2024|??|??|??|??|??
63. W|willi schaefer graacher|himmelreich riesling kabinett 2022|de|w|riesling|??|??|2022|??|??|??|??|??
64. W|willi schaefer graacher|himmelreich riesling kabinett 2020|de|w|??|??|??|2020|??|??|??|??|??
65. W|willi schaefer graacher|himmelreich riesling kabinett 2018|de|w|??|germany & austria & alsace|??|2018|??|??|??|??|??
66. W|willi schaefer graacher|himmelreich riesling auslese 9 2012|de|d|??|??|??|2012|??|??|??|??|??
67. W|willi schaefer|graacher himmelreich riesling auslese 2019 075 2019 75 075|??|d|??|??|??|2019|??|??|??|??|??
68. W|willi schaefer graacher|himmelreich mosel riesling kabinett 2020|de|w|??|mosel|??|2020|??|??|??|??|??
69. W|willi schaefer graacher|himmelreich kabinett 2024|??|r|??|mosel|??|2024|??|??|??|??|??
70. W|willi schaefer graacher|himmelreich kabinett 2023|de|w|riesling|mosel|??|2023|??|??|??|??|??
71. W|willi schaefer graacher|himmelreich kabinett 2022|de|w|riesling|mosel|??|2022|??|??|??|??|??
72. W|willi schaefer graacher|himmelreich auslese 9 2012|de|d|riesling|mosel|??|2012|??|??|??|??|??
73. W|willi schaefer graacher|himmelreich auslese 9 2012|de|d|riesling|mosel|??|2012|??|??|??|??|??
74. W|willi schaefer graacher|himmelreich auslese 9 2012|de|d|riesling|mosel|??|2012|??|??|??|??|??
75. W|willi schaefer graacher|himmelreich auslese 9 2012|de|d|riesling|??|??|2012|??|??|??|??|??
76. W|willi schaefer graacher|himmelreich auslese 04 2016|de|d|riesling|mosel|??|2016|??|??|??|??|??
77. W|willi schaefer graacher|himmelreich auslese 04 2016|de|d|riesling|mosel|??|2016|??|??|??|??|??
78. X
79. X
80. X
81. X
82. X
83. W|willi schaefer graacher|domprobst spatlese 5 2023|de|w|riesling|mosel|??|2023|??|??|??|??|??
84. W|willi schaefer graacher|domprobst spatlese 5 2018|de|w|riesling|mosel|??|2018|??|??|??|??|??
85. W|willi schaefer graacher|domprobst spatlese 2018|de|w|riesling|mosel saar ruwer|??|2018|??|??|??|??|??
86. W|willi schaefer graacher|domprobst spatlese 10 2023|de|w|riesling|mosel|??|2023|??|??|??|??|??
87. W|willi schaefer graacher|domprobst spatlese 10|us|r|riesling|??|??|NV|??|??|??|??|??
88. W|willi schaefer graacher|domprobst riesling spatlese nr5|de|w|??|mosel|??|NV|??|??|??|??|??
89. W|willi schaefer graacher|domprobst riesling spatlese no 10 2023|de|w|??|??|??|2023|??|??|??|??|??
90. W|willi schaefer graacher|domprobst riesling spatlese mosel 2018|de|w|riesling|mosel|??|2018|??|??|??|??|??
91. W|willi schaefer graacher|domprobst riesling spatlese mosel 2016|de|w|riesling|mosel|??|2016|??|??|??|??|??
92. W|willi schaefer graacher|domprobst riesling spatlese auktion|de|w|??|mosel|??|NV|??|??|??|??|??
93. W|willi schaefer graacher|domprobst riesling spatlese a p 8 2005|de|w|??|??|??|2005|??|??|??|??|??
94. W|willi schaefer graacher|domprobst riesling spatlese a p 10 2009|de|w|??|??|??|2009|??|??|??|??|??
95. W|willi schaefer graacher|domprobst riesling spatlese 5 mosel germany 2019 750|de|w|riesling|??|??|2019|??|??|??|??|??
96. W|willi schaefer graacher|domprobst riesling spatlese 5 mosel germany 2018 750|de|w|riesling|??|??|2018|??|??|??|??|??
97. W|willi schaefer graacher|domprobst riesling spatlese 5 2024|de|w|??|mosel|??|2024|??|??|??|??|??
98. W|willi schaefer graacher|domprobst riesling spatlese 5 2022|de|w|??|??|??|2022|??|??|??|??|??
99. W|willi schaefer graacher|domprobst riesling spatlese 5 2020|de|w|??|??|??|2020|??|??|??|??|??
100. W|willi schaefer graacher|domprobst riesling spatlese 5 2019|de|w|riesling|??|??|2019|??|??|??|??|??
101. W|willi schaefer graacher|domprobst riesling spatlese 5 2007|de|w|??|germany & austria & alsace|??|2007|??|??|??|??|??
102. W|willi schaefer graacher|domprobst riesling spatlese 2024|de|w|??|??|??|2024|??|??|??|??|??
103. W|willi schaefer graacher|domprobst riesling spatlese 2024|de|w|riesling|??|??|2024|??|??|??|??|??
104. W|willi schaefer graacher|domprobst riesling spatlese 2020|de|w|riesling|??|??|2020|??|??|??|??|??
105. W|willi schaefer graacher|domprobst riesling spatlese 2012|de|w|riesling|??|??|2012|??|??|??|??|??
106. W|willi schaefer graacher|domprobst riesling spatlese 2009|de|w|riesling|??|??|2009|??|??|??|??|??
107. W|willi schaefer graacher|domprobst riesling spatlese 10 2018|de|w|??|??|??|2018|??|??|??|??|??
108. W|willi schaefer graacher|domprobst riesling spatlese 10|de|w|??|??|??|NV|??|??|??|??|??
109. W|willi schaefer graacher|domprobst riesling kabinett mosel 2018|de|w|riesling|mosel|??|2018|??|??|??|??|??
110. W|willi schaefer graacher|domprobst riesling kabinett 2024|de|w|riesling|??|??|2024|??|??|??|??|??
111. W|willi schaefer graacher|domprobst riesling kabinett 2024|de|w|??|mosel|??|2024|??|??|??|??|??
112. W|willi schaefer graacher|domprobst riesling kabinett 2023|de|w|riesling, riesling|mosel|??|2023|??|??|??|??|??
113. W|willi schaefer graacher|domprobst riesling kabinett 2022|de|w|riesling|mosel|??|2022|??|??|??|??|??
114. W|willi schaefer graacher|domprobst riesling kabinett 2022|de|w|riesling|??|??|2022|??|??|??|??|??
115. W|willi schaefer graacher|domprobst riesling kabinett 2021|de|w|??|??|??|2021|??|??|??|??|??
116. W|willi schaefer graacher|domprobst riesling kabinett 2020|de|w|riesling|mosel|??|2020|??|??|??|??|??
117. W|willi schaefer graacher|domprobst riesling kabinett|de|w|riesling|??|??|NV|??|??|??|??|??
118. W|willi schaefer graacher|domprobst riesling kabinett|de|w|??|??|??|NV|??|??|??|??|??
119. W|willi schaefer graacher|domprobst riesling auslese goldkapsel auction library release2017|de|d|??|mosel|??|2017|??|??|??|??|??
120. W|willi schaefer graacher|domprobst riesling auslese a p 14 2003|de|d|??|??|??|2003|??|??|??|??|??
121. W|willi schaefer graacher|domprobst riesling auslese a p 11 2009|de|d|??|??|??|2009|??|??|??|??|??
122. W|willi schaefer graacher|domprobst riesling auslese a p 11 2005|de|d|??|??|??|2005|??|??|??|??|??
123. W|willi schaefer graacher|domprobst riesling auslese a p 10 2003|de|d|??|??|??|2003|??|??|??|??|??
124. W|willi schaefer graacher|domprobst riesling auslese|de|d|??|mosel|??|NV|??|??|??|??|??
125. W|willi schaefer graacher|domprobst mosel riesling kabinett 2020|de|w|riesling|mosel|??|2020|??|??|??|??|??
126. W|willi schaefer graacher|domprobst kabinett 3 2024|??|r|??|select appellation|??|2024|??|??|??|??|??
127. W|willi schaefer graacher|domprobst kabinett 2022|??|r|??|??|??|2022|??|??|??|??|??
128. W|willi schaefer graacher|domprobst auslese ap 10 2005|de|d|riesling|mosel saar ruwer|??|2005|??|??|??|??|??
129. W|willi schaefer graacher|domprobst auslese 14 2018|de|d|riesling|mosel|??|2018|??|??|??|??|??
130. W|willi schaefer graacher|domprobst auslese 14 2012|de|d|??|mosel|??|2012|??|??|??|??|??
131. W|willi schaefer graacher|domprobst auslese 11 2018|de|d|riesling|mosel|??|2018|??|??|??|??|??
132. W|willi schaefer graacher|domprobst auslese 11 2016|de|d|riesling|mosel|??|2016|??|??|??|??|??
133. W|willi schaefer graacher|domprobst auslese 11 2016|de|d|riesling|mosel|??|2016|??|??|??|??|??
134. W|willi schaefer graacher|domprobst auslese 11 2012|de|d|riesling|mosel|??|2012|??|??|??|??|??
135. W|willi schaefer graacher|domprobst auction auslese gc 25 2007|de|d|riesling|mosel|??|2007|??|??|??|??|??
136. W|willi schaefer graacher|domprobst auction|us|r|riesling|??|??|NV|??|??|??|??|??
137. W|willi schaefer dry|riesling|de|w|??|??|??|NV|??|??|??|??|??
138. W|willi schaefer domprobst|kabinett 2023 nr 3|??|r|??|??|??|2023|??|??|??|??|??
139. W|willi schaefer domprobst|kabinett 2022|??|r|??|??|??|2022|??|??|??|??|??
140. W|willi opitz |willi opitz opitz one illmitz red 2010|??|r|??|??|??|2010|??|??|??|??|??
141. X
142. W|willi opitz |willi opitz muskat ottonel illmitz schilfwein 2010|??|r|??|??|??|2010|??|??|??|??|??
143. W|willi haag|riesling qba polosuchy|??|w|??|??|??|NV|??|??|??|??|??
144. W|willi haag|riesling qba halbtrocken 2024|de|w|riesling|mosel|??|2024|??|??|??|??|??
145. W|willi haag|riesling halbtrocken 2023|de|w|??|??|??|2023|??|??|??|??|??
146. W|willi haag|riesling halbtrocken 2023|de|w|riesling|??|??|2023|??|??|??|??|??
147. W|willi haag|riesling halbtrocken 2021|de|w|riesling|??|??|2021|??|??|??|??|??
148. W|willi haag|riesling brauneberger juffersonnenuhr spatlese 2019|de|w|riesling|mosel|??|2019|??|??|??|??|??
149. W|willi haag|riesling brauneberger juffer kabinett riesling 2022|de|w|riesling|mosel|??|2022|??|??|??|??|??
150. W|willi haag|riesling brauneberger juffer kabinett riesling 2021|de|w|riesling|mosel|??|2021|??|??|??|??|??
151. W|willi haag juffersonnenuhr|brauneberg riesling gg vdpgrosse lage 2023|de|w|??|mosel|??|2023|??|??|??|??|??
152. W|willi haag brauneberger|juffersonnenuhr spatlese riesling 2021|de|w|riesling|mosel|??|2021|??|??|??|??|??
153. W|willi haag brauneberger|juffersonnenuhr riesling auslese goldkapsel 2007|de|d|riesling|mosel|??|2007|??|??|??|??|??
154. W|willi haag brauneberg|juffer riesling kabinett 2021|de|w|riesling|??|??|2021|??|??|??|??|??
155. W|willi haag brauneberg|juffer kabinett riesling 2020|de|w|riesling|mosel|??|2020|??|??|??|??|??
156. X
157. X
158. X
159. W|willful walla walla|red blend|us|r|cabernet franc, cabernet sauvignon, merlot|oregon|??|NV|??|??|??|??|??
160. W|willful|pinot noir winemakers cuvee willamette valley 2021|us|r|pinot noir|oregon|??|2021|??|??|??|??|??
161. W|willful|pinot noir winemakers cuvee willamette valley 2021|??|r|??|??|??|2021|??|??|??|??|??
162. W|willful|pinot noir 2022|us|r|pinot noir|oregon|??|2022|??|??|??|??|??
163. W|willful|pinot noir|us|r|??|oregon|??|NV|??|??|??|??|??
164. W|willful|pinot noir|us|r|pinot noir|oregon|??|NV|??|??|??|??|??
165. W|willful|pinot blanc willamette valley 2023|us|w|??|oregon|??|2023|??|??|??|??|??
166. W|willful|pinot blanc|us|w|??|oregon|??|NV|??|??|??|??|??
167. W|willful jezebel|pinot noir 2023|us|r|pinot noir|oregon|??|2023|??|??|??|??|??
168. W|willful jezebel|blanc 2023|us|w|??|oregon|??|2023|??|??|??|??|??
169. W|willful jezebel|blanc|us|w|??|oregon|??|NV|??|??|??|??|??
170. X
171. X
172. X
173. X
174. X
175. X
176. X
177. X
178. X
179. X
180. X
181. X
182. X
183. X
184. X
185. X
186. X
187. X
188. X
189. X
190. X
191. X
192. X
193. X
194. X
195. X
196. W|willett pure kentucky|small batch|es|r|??|kentucky|??|NV|??|??|??|??|??
197. X
198. X
199. X
200. X
201. X
202. X
203. X
204. X
205. W|willett pot still|reserve 5 yrs in white oak carafe 47 new|??|w|??|??|??|NV|??|??|??|??|??
206. W|willett pot still|reserve 5 yrs in white oak carafe 47|??|w|??|??|??|NV|??|??|??|??|??
207. X
208. X
209. X
210. X
211. W|willett pot still|reserve|us|r|??|kentucky|??|NV|??|??|??|??|??
212. W|willett pot still|reserve|es|r|??|kentucky|??|NV|??|??|??|??|??
213. X
214. X
215. X
216. X
217. X
218. X
219. X
220. X
221. X
222. X
223. X
224. X
225. W|willett pot still|reserve|us|r|??|kentucky|??|NV|??|??|??|??|??
226. X
227. X
228. X
229. X
230. X
231. X
232. X
233. X
234. X
235. X
236. W|willett kentucky straight|rye family estate bottled single barrel 4yo 110 proof|us|r|??|kentucky|??|NV|??|??|??|??|??
237. X
238. X
239. X
240. X
241. X
242. X
243. X
244. X
245. X
246. X
247. X
248. X
249. X
250. W|willett|family reserve rye|??|r|??|bardstown|??|NV|??|??|??|??|??
251. X
252. X
253. X
254. W|willett|family pot still reserve|us|r|??|kentucky|??|NV|??|??|??|??|??
255. X
256. X
257. X
258. X
259. X
260. X
261. W|willett|family estate small batch rye 4 year|us|r|??|kentucky|??|NV|??|??|??|??|??
262. X
263. X
264. X
265. X
266. X
267. X
268. W|willett|family estate single barrel 25 year old rye|us|r|??|kentucky|??|NV|??|??|??|??|??
269. X
270. X
271. X
272. X
273. X
274. X
275. X
276. X
277. X
278. X
279. X
280. X
281. X
282. X
283. X
284. X
285. X
286. X
287. X
288. X
289. X
290. X
291. W|willett|family estate miniature glencairn gift set|us|r|??|kentucky|??|NV|??|??|??|??|??
292. X
293. X
294. X
295. X
296. W|willett|family estate cerbaco bottling 3 7yo rye 512 2024|au|r|american whiskey|kentucky|??|2024|??|??|??|??|??
297. W|willett|family estate cerbaco bottling 3 10yo rye 579 2023|au|r|american whiskey|kentucky|??|2023|??|??|??|??|??
298. X
299. X
300. W|willett|family estate bottled single barrel rye aged in white oak barrels for 9 years 1168 proof white elephant|us|w|??|??|??|NV|??|??|??|??|??
301. W|willett|family estate bottled single barrel rye aged in white oak barrels for 9 years 1168 proof|us|w|??|??|??|NV|??|??|??|??|??
302. X
303. X
304. X
305. W|willett|family estate a38 white wax american cancer society with box|us|w|??|??|??|NV|??|??|??|??|??
306. W|willett|family estate 9 year single barrel rye 2306 white elephant|us|w|??|??|??|NV|??|??|??|??|??
307. X
308. X
309. X
310. X
311. X
312. X
313. X
314. X
315. X
316. X
317. X
318. X
319. X
320. X
321. W|willett|family estate 24 year old single barrel rye|us|r|??|kentucky|??|NV|??|??|??|??|??
322. X
323. X
324. X
325. X
326. X
327. X
328. X
329. X
330. X
331. X
332. X
333. X
334. X
335. X
336. X
337. X
338. X
339. X
340. X
341. X
342. X
343. X
344. X
345. X
346. X
347. X
348. X
349. X
350. X
351. X
352. X
353. X
354. X
355. X
356. W|willett cerbaco|2023 2 10yo 534|au|r|??|??|??|2023|??|??|??|??|??
357. X
358. X
359. X
360. X
361. X
362. X
363. X
364. X
365. X
366. X
367. X
368. X
369. X
370. W|willett 4 yrs|white oak rye small batch 545 750|??|w|??|??|??|NV|??|??|??|??|??
371. X
372. X
373. X
374. X
375. X
376. X
377. X
378. W|willett|1980 private stock bottled exclusively for bob anderson 90 proof|us|r|??|??|??|1980|??|??|??|??|??
379. X
380. W|willets pot still|reserve|??|r|??|kentucky|??|NV|??|??|??|??|??
381. X
382. X
383. W|willet|single barrel rye 6 year bottled for the lexington london|??|r|??|kentucky|??|NV|??|??|??|??|??
384. X
385. X
386. W|willet pot still|reserve 5 yrs in white oak carafe 47|au|w|??|??|??|NV|??|??|??|??|??
387. X
388. X
389. X
390. X
391. X
392. X
393. X
394. X
395. X
396. X
397. X
398. W|willet cerbaco|2023 1 10yo 636|au|r|??|??|??|2023|??|??|??|??|??
399. X
400. X
401. X
402. X
403. W|willespie|shiraz|au|r|shiraz|??|??|NV|??|??|??|??|??
404. W|willespie|sauvignon blanc|au|w|sauvignon blanc|??|??|NV|??|??|??|??|??
405. W|willespie|merlot|au|r|??|??|??|NV|??|??|??|??|??
406. W|willespie margaret river|red|au|r|??|??|??|NV|??|??|??|??|??
407. W|willespie|cabernet sauvignon|au|r|??|??|??|NV|??|??|??|??|??
408. W|willemswillems saar|riesling kabinett 2024|de|w|riesling|??|??|2024|??|??|??|??|??
409. W|willemswillems|pinot blanc mosel 22|de|w|??|mosel|??|NV|??|??|??|??|??
410. W|willemswillems|pinot blanc dry 2022|us|w|??|??|??|2022|??|??|??|??|??
411. W|willemswillems|blanc de noir 2025|de|w|sp\u00e4tburgunder|??|??|2025|??|??|??|??|??
412. W|willemswillems auf der|lauer oberemmel riesling 2021|de|w|??|??|??|2021|??|??|??|??|??
413. X
414. X
415. W|willems willems schiefer|riesling|de|w|??|??|??|NV|??|??|??|??|??
416. W|willems willems schiefer|dry riesling|de|w|other|mosel-saar-ruwer|??|NV|??|??|??|??|??
417. W|willems willems|riesling kabinett altenberg|de|w|riesling|saar|??|NV|??|??|??|??|??
418. X
419. W|willems willems|riesling|de|w|??|??|??|NV|??|??|??|??|??
420. W|willems willems oberemmel|karlsberg saar kabinett riesling|de|w|??|??|??|NV|??|??|??|??|??
421. W|willems willems oberemmel|altenberg kabinett riesling|de|w|??|??|??|NV|??|??|??|??|??
422. W|willems willems krettnach|euchariusberg riesling auslese|de|d|??|??|??|NV|??|??|??|??|??
423. W|willems willems herrenberg|riesling|de|w|??|??|??|NV|??|??|??|??|??
424. X
425. X
426. X
427. X
428. X
429. X
430. X
431. S|willems wermoed |willems wermoed orange grapefruit nonalcoholic aperitif|??
432. X
433. S|willems wermoed nonalcoholic|aperitif orange grapefruit|??
434. X
435. X
436. X
437. X
438. X
439. W|willems weissburgunder trocken|saar 2024|de|r|??|??|??|2024|??|??|??|??|??
440. W|willems|riesling devonschiefer trocken saar 2024|de|w|??|??|??|2024|??|??|??|??|??
441. W|willem|the silent blanc 2024|??|w|??|??|??|2024|??|??|??|??|??
442. W|willem|the silent blanc 2021|??|w|??|??|??|2021|??|??|??|??|??
443. W|willem|the silent 2024|??|r|??|??|??|2024|??|??|??|??|??
444. W|willem|the silent 2022|??|r|??|??|??|2022|??|??|??|??|??
445. W|willem kurt vermentino|willem kurt vermentino|au|w|??|??|??|NV|??|??|??|??|??
446. W|willem kurt|shiraz|au|r|shiraz|??|??|NV|??|??|??|??|??
447. W|willem kurt beechworth|vermentino 2025|au|w|??|??|??|2025|??|??|??|??|??
448. W|willem kurt beechworth|syrah 2022|au|r|??|??|??|2022|??|??|??|??|??
449. W|willem kurt beechworth|rose 2024|au|p|??|??|??|2024|??|??|??|??|??
450. W|willem kurt beechworth|chardonnay 2024|au|w|??|??|??|2024|??|??|??|??|??
451. X
452. X
453. W|wille |wille 2004|??|r|??|??|??|2004|??|??|??|??|??
454. W|wille|2003|??|r|??|??|??|2003|??|??|??|??|??
455. X
456. X
457. X
458. X
459. X
460. X
461. X
462. X
463. X
464. X
465. X
466. X
467. X
468. X
469. X
470. X
471. X
472. X
473. X
474. X
475. X
476. X
477. X
478. X
479. X
480. X
481. X
482. X
483. X
484. X
485. X
486. W|willamette whole cluster|pinot noir|us|r|??|??|??|NV|??|??|??|??|??
487. W|willamette whole cluster|pinot noir|us|r|pinot noir|??|??|2023|??|??|??|??|??
488. W|willamette vly vyds|white pinot noir 2020|??|w|??|??|??|2020|??|??|??|??|??
489. W|willamette valley whole|cluster pinot noir|us|r|??|??|??|NV|??|??|??|??|??
490. W|willamette valley whole|cluster pinot noir|us|r|??|willamette valley|??|NV|??|??|??|??|??
491. W|willamette valley whole|cluster fermented rose of pinot noir|us|p|??|??|??|NV|??|??|??|??|??
492. W|willamette valley whole|cluster fermented pinot noir|us|r|pinot noir|??|??|NV|??|??|??|??|??
493. X
494. W|willamette valley vineyards|whole cluster rose of pinot noir 2023|us|p|pinot noir|oregon|??|2023|??|??|??|??|??
495. W|willamette valley vineyards|whole cluster rose of pinot noir 2022|us|p|pinot noir|oregon|??|2022|??|??|??|??|??
496. W|willamette valley vineyards|whole cluster rose of pinot noir|us|p|pinot noir|oregon|??|NV|??|??|??|??|??
497. W|willamette valley vineyards|whole cluster pinot noir 2023|us|r|pinot noir|oregon|??|2023|??|??|??|??|??
498. W|willamette valley vineyards|whole cluster pinot noir|us|r|pinot noir|??|??|NV|??|??|??|??|??
499. W|willamette valley vineyards|whole cluster pinot noir|us|r|pinot noir|??|??|NV|??|??|??|??|??
500. W|willamette valley vineyards|whole cluster oregon pinot noir|us|r|??|??|??|NV|??|??|??|??|??
501. W|willamette valley vineyards|white pinot noir estate grown willamette valley|us|w|pinot noir|oregon|??|NV|??|??|??|??|??
502. W|willamette valley vineyards|white pinot noir 2022|us|w|pinot noir|oregon|??|2022|??|??|??|??|??
503. W|willamette valley vineyards|white pinot noir|us|w|??|willamette valley|??|NV|??|??|??|??|??
504. W|willamette valley vineyards|white pinot noir|us|w|??|??|??|NV|??|??|??|??|??
505. W|willamette valley vineyards|tualatin estate pinot noir 2008|us|r|pinot noir|oregon|??|2008|??|??|??|??|??
506. W|willamette valley vineyards|rose oregon blossom|us|p|??|??|??|NV|??|??|??|??|??
507. W|willamette valley vineyards|rose of pinot noir whole cluster 2017|??|p|??|??|??|2017|??|??|??|??|??
508. W|willamette valley vineyards|rose|us|p|??|washington st.|??|NV|??|??|??|??|??
509. W|willamette valley vineyards|riesling 2023|de|w|riesling|oregon|??|2023|??|??|??|??|??
510. W|willamette valley vineyards|riesling 2022|de|w|riesling|oregon|??|2022|??|??|??|??|??
511. W|willamette valley vineyards|riesling 2020|de|w|??|??|??|2020|??|??|??|??|??
512. W|willamette valley vineyards|riesling 2019|de|w|??|??|??|2019|??|??|??|??|??
513. W|willamette valley vineyards|riesling 2017|de|w|??|??|??|2017|??|??|??|??|??
514. W|willamette valley vineyards|riesling|de|w|riesling|??|??|NV|??|??|??|??|??
515. W|willamette valley vineyards|red white wine duo|us|w|??|??|??|NV|??|??|??|??|??
516. W|willamette valley vineyards|pinot noir whole cluster 2019|??|r|??|??|??|2019|??|??|??|??|??
517. W|willamette valley vineyards|pinot noir trio|us|r|??|??|??|NV|??|??|??|??|??
518. X
519. W|willamette valley vineyards|pinot noir estate 2020|??|r|??|??|??|2020|??|??|??|??|??
520. W|willamette valley vineyards|pinot noir estate|us|r|pinot noir|??|??|NV|??|??|??|??|??
521. W|willamette valley vineyards|pinot noir estate|us|r|pinot noir|??|??|NV|??|??|??|??|??
522. W|willamette valley vineyards|pinot noir duo|us|r|??|??|??|NV|??|??|??|??|??
523. W|willamette valley vineyards|pinot noir bernau block 2017|??|r|??|??|??|2017|??|??|??|??|??
524. W|willamette valley vineyards|pinot noir 2008|us|r|pinot noir|oregon|??|2008|??|??|??|??|??
525. W|willamette valley vineyards|pinot noir|us|r|??|??|??|NV|??|??|??|??|??
526. W|willamette valley vineyards|pinot gris willamette valley usa 2021|us|w|pinot gris|oregon|??|2021|??|??|??|??|??
