W|branco|bons ventos fresh kit 4 garrafas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodegas carrau juan carrau sauvignon blanc sur lie|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodegas carrau gran reserva petit manseng|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bodega vistalba un mundo chiquito corte de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega vistalba tomero chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega vieja suave maipo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|bodega vieja suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|bodega vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega santa julia viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega santa julia viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=33
W|branco|bodega santa julia pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega santa julia chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega mustiguilo finca calvestra merseguera vinho branco espanhol mustiguillo finca calvestra merseguera|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega mustiguilo finca calvestra merseguera|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega del fin del mundo reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bodega del fin del mundo postales semillon|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega dante robino novecento blend de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodega alandes alandes paradoux white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodas reais siria grande escolha 2019|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|boa noite lisboa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blog tiago cabaco 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blocks santa ema reserva chardonnaycomprar|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bliv organico sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bliv organico sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=47
W|branco|bliv organico sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=47
W|branco|bliv organico sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=47
W|branco|blend de extremos el esteco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blend de extremos el esteco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=51
W|branco|blend chardonnay insolito corte 4 vinicola foppa ambrosicom pixcom pix6x desem juros|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blend chardonnay insolito corte 4 vinicola foppa ambrosi com pix com pix 6 x de sem juros|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blend chardonnay insolito corte 4 vinicola foppa ambrosi|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blanco paraiso moscatel de rulo itata 2021|??|w|moscatel|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blanc de noirs labsurde 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blanc de blancs conejo verde mendoza argentina|ar|w|??|mendoza|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|blanc de blancs conejo ver|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|black tower rivaner|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|black tower rivaner|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=60
W|branco|black tower club edition sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|black tower club edition sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=62
W|branco|black rhino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bizarra naranja|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bizarra naranja|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=65
W|branco|bizarra naranja|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=65
W|branco|bizarra naranja|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=65
W|branco|bisquertt petirrojo reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bispado reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bis white blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|biplano pedro gimenez 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|binivista 265o galatzo 2022 sencelles maiorca espanha|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|binivista 2021 sencelles maiorca|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|big bunch theory fresh impression vdf 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bicicleta viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bicicleta riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bicicleta reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bical de sempre 2017 campolargo|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bibi graetz testamatta 2023 toscana italia|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bibi graetz scopeto 2021 toscana italia|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bibi graetz colore 2023 toscana italia|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bibi graetz casamatta 2024 toscana italia|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bibi graetz casamatta 2021 toscana italia|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bianco terre siciliane 2022|it|w|??|sicilia|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bianchi maria carmen chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bianchi los primos torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bianchi los primos chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|biaia biologico 2019 beira interior|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra vinhas velhas 2023 doc beira interior|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra superior 2018 beira interior|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra siria vinha do prado novo 2023 beira interior|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra sauvignon blanc 2024 beira interior|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra riesling 2023 beira interior|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra reserva quartz 2024 beira interior|??|w|??|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|beyra reserva quartz|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|beyra moscatel galego 2021 doc beira interior|??|w|moscatel|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra grande reserva 2019 doc beira interior|??|w|??|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|beyra gouveio 2021 doc beira interior|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra chardonnay 2024 doc beira interior|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra biologico 2023 beira interior|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra biologico 2022 beira interior|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra 2023no pixno boletoem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra 2023 beira interior|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beyra|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X
W|branco|bergman chardonnay brookfields|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|berg roseneck rudesheim rheingau riesling 2020|??|p|riesling|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|branco|berg riesling 2021|??|w|riesling|??|??|2021|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|berg alsace riesling 2023|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|berceau des fees chenin blanc 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|berceau des fees 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|benmarco sin limites gualtallary chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|benjamin mendoza nieto senetiner argentina|ar|w|??|mendoza|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|benjamim romeo parcela el sauco coleccion no5 2017 rioja espanha|es|w|??|rioja|??|2017|12.5|DOCa|medio|peixes, frutos do mar, saladas|seco
W|branco|benizar semidoce ig do la mancha|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bendita colheita 1|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ben vermentino maremma toscana 2020|??|w|vermentino|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bemberg la linterna chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bemberg la linterna chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=119
W|branco|beltran varietal sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|belondrade quinta apolonia magnum 2024 1 vt castilla y leon espanha|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|belondrade quinta apolonia 2024 vt castilla y leon espanha|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|belondrade belondrade y lurton 2024 do rueda espanha|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bellora le balze dei rovi 2023 soave classico doc italia|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bellavista chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bella sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bella elegance sauvignon blanc magnum 2021 1 dao|pt|w|sauvignon blanc|dao|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bella elegance sauvignon blanc 2023 dao|pt|w|sauvignon blanc|dao|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|belfo 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bela luz vinhas velhas 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bebber chimango cuvee lote iv|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaune en lulunne 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaune en lulunne 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaune en lulunne 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaune en lulunne 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaujolaisvillages blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaujolais village blanc 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaujolais village blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaujolais leynes blanc la jacarde 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beaujolais leynes blanc la jacarde 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco|=140
W|branco|beaujolais blanc la galoche 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|beau rivage premium bordeaux|fr|w|??|bordeaux|??|NV|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|branco|batasiolo moscato dasti docg bosc dla rei|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|batasiolo moscato dasti docg bosc dla rei|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=144
W|branco|batasiolo langhe doc chardonnay morino|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|batasiolo langhe doc chardonnay morino|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=146
W|branco|batasiolo gavi docg comune di gavi granee|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|batasiolo gavi docg comune di gavi granee|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=148
W|branco|batasilolo chardonnay langhe doc vigneto morino|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bastardo 2020 regional tejo|pt|w|??|tejo|??|2020|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|basso mayos jovem 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|basco loco alvarinho 2025|??|w|??|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barton guestier reserva var sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|barton guestier reserva pinot noir|??|w|pinot noir|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|barton guestier french app chablis|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barton guestier french app bordeaux|fr|w|??|bordeaux|??|NV|12.5|AOC|leve|peixes, frutos do mar, saladas|seco
W|branco|barranco longo grande escolha|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|barcos wines vinho verde fvine meio seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barcos wines verde conserva|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barcos pardalito vinho verde|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barbeito vinhas do lanco verdelho 2021 dop madeira|??|f|palomino|??|??|2021|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|barbeito verdelho colheita 2021 dop madeira|??|f|palomino|??|??|2021|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|barbanera trebbiano toscana igt|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barat baratuciat 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|barao rodrigues reserva 2012 alentejo|pt|w|??|alentejo|??|2012|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|barao de vilar kaputt laranja|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|balance natural sweet white|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|balade au jardin 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bajancas vinha do corvo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bajancas reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|bairrinho vinho verde doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bairrada aleixo superior 1996|??|w|??|??|??|1996|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas reserva arinto 2020 regional lisboa|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas malvasia 2023 regional lisboa|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas fernaopires 2023 regional lisboa|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas fernaopires 2020 regional lisboa|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas escolha pessoal malvasia magnun 2020 1 regional lisboa|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas escolha pessoal malvasia 2021 regional lisboa|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|baias e enseadas escolha pessoal fernaopires 2020 regional lisboa|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bageiras garrafeira|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bageiras|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bag in box valmarino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bag in box castellamare riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|badoxa douro doc|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|badoxa colheita reserva gouveio|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|baden weissburgunder gutswein 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa verdelho setubal|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa verdelho 2022 peninsula de setubal|pt|w|??|setubal|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa greco di tufo setubal|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa greco di tufo 2023 peninsula de setubal|pt|w|??|setubal|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa greco di tufo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa chardonnay setubal|pt|w|chardonnay|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa chardonnay 2024 peninsula de setubal|pt|w|chardonnay|setubal|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bacalhoa alvarinho setubal|pt|w|??|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|babylons peak chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|azul portugal palmela|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|azul de ventozelo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|azul de ventozelo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=198
W|branco|azevedo loureiro alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ayler kupp kabinett privatfullung saar grosse lage 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|avo fernanda blend quinta dos monteirinhos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|avo fausto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|avni chardonnay willamette valley 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aviz alvarinho 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|avidagos 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|aventura colheita 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aventura 2023 regional alentejano|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda solos de xisto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda solos de xisto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=209
W|branco|aveleda solos de xisto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=209
W|branco|aveleda solos de xisto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=209
W|branco|aveleda solos de granito|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda solos de granito|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=213
W|branco|aveleda solos de granito|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=213
W|branco|aveleda solos de granito|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=213
W|branco|aveleda parcela do roseiral|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|branco|aveleda parcela do roseiral|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=217
W|branco|aveleda parcela do roseiral|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=217
W|branco|aveleda parcela do convento|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda parcela do convento|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=220
W|branco|aveleda parcela do convento|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=220
W|branco|aveleda minho alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda manoel pedro guedes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda manoel pedro guedes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=224
W|branco|aveleda manoel pedro guedes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=224
