W|gold|river pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gold|seas tuna chunks in herb and garlic 185g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|seas tuna chunks in mild indian curry 185g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|seas tuna chunks in mild indian curry 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|seas yellowfin tuna premium flakes salpicao 170g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|sekt nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gold|sekt schlossbergkellerei|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gold|sekt trocken m 23 karat guldkarl infuhr|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gold|sekt trocken m 23 karat guldkarl infuhr kg|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gold|sekt trocken m 23 karat guldkarl infuhr kg|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=29
W|gold|selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|gold|selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=31
W|gold|selection|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|selection|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|selection|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|sherrywood|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gold|shimmer sparkling brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gold|shimmering body lotion pharmaid radiant glow|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|shot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|silver 2pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gold|small|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|small hoop pearl dangle earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|smiley face earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|soliva gold traminer trentino bianco igt|it|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gold|sparkle cape|za|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|sparkling blue nun|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gold|spot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=49
W|gold|spot 13 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 13 year old generation edt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 13 year old generations edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 13 year old generations edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|gold|spot 13 year old generations edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=53
W|gold|spot 13 year the generations edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 13 year the generations edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=56
W|gold|spot 13 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 13yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 9 year old 135th anniversary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 9 year old 135th anniversary edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 9 year single pot still 135th anniversary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot 9yo 135th anniversary 514|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot generations editions|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot single pot irish 9yr ltd|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot the generations edition 13 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|spot the generations limited edition 46 abv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|squid stem botolu pottery tiger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|ss25 limited edition muotoilurauta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|stainless steel bottle pourer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|stainless steel drinking straw|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|standard 100 whey vainilla ice cream 5lb optimun nutrition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|standard 100whey 185lb cookies and cream optimum nutrition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|star award old world charmers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|star award old world classics|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|star award spanish beauties|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|star awards new world classics|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|star red wine|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gold|station chardonnay ugni blanc|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gold|strike|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|strike|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gold|strike|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gold|strike|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=81
W|gold|strike 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|strike 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=85
W|gold|strike 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=85
W|gold|strike canela 50o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|strike cinnamon schnapps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|strike cinnamon schnapps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=89
S
S
W|gold|stripe dof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|subscription|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|sun stud earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|sweetener 300 tablets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gold|tasak|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tbar pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|termo acinox 12 ltsverde ze0323|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|termo acinox 12 ltsverde ze0323|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=99
W|gold|textured 11plate cluster platter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tin with wooden base carabao with farmer design|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tin with wooden base jeepney design|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tin with wooden base taho vendor design|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tin with wooden base tricycle design|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tin with wooden base vinta design|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tinto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|top|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|top|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|tumbler|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|twisted post hoop earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|utensil set with customization initial|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|velvet bow with ornamentxmas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil 4 trinity circle earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil 4 trinity circle pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil celtic cross pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil claddagh earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil claddagh pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil claddagh plain ring|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil clover and trinity band ring|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil green shamrock earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil green shamrock pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil harp earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil harp pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil shamrock earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil shamrock pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil tree of life drop earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil tree of life pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil trinity circle earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil trinity circle pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil trinity claddagh drop earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil trinity claddagh pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil trinity earrings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vermeil trinity pendant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gold|vol2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|vol3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|washed trunk stool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|washington apple|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|weekend tickets hearty festival|??|r|??|??|??|2026|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|weight loss package including injectionsfat burner and more|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|weihnachtsbox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|weiss cuvee gutswein trocken|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
X
W|gold|wick trimmer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|williams riserva christbirnenbrand psenner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|wine bottle marker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|wine club 4bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|winner 182kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|winning cru bourgeois duo 12btl|??|r|??|??|??|nv|13.5|cru bourgeois|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|winning cru bourgeois duo 6btl|??|r|??|??|??|nv|13.5|cru bourgeois|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|winning trio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|wood serve tray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|xqni br15|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|xqni br27|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|xqni br51|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gold|zakinthino petrakopoulos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|zakinthino petrakopoulos vecchie annate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold|zakynthino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gold99riva|sud cantine truentum|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldate|mazafati date|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldatzel|geisenheimer klauserweg riesling spatlese trocken|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|geisenheimer klauserweg riesling spatlese trocken|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=165
W|goldatzel|johannisberger goldatzel kabinett feinherb rheingau germany|de|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldatzel|johannisberger hasensprung riesling gg|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|johannisberger kabinett fienherb riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|johannisberger vogelsang riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|riesling feinherb alte reben johannisberger vogelsang|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|riesling hasensprung trocken johannisberger goldatzel|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|riesling kabinett feinherb johannisberger goldatzel|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|riesling kabinett feinherb johannisberger goldatzel|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldatzel|winkeler hasensprung riesling auslese|??|d|riesling|??|??|2018|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldband|selar salteddried horse mackerel bite 36g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldband|selar yellow striped bite 36g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbarren|karton|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbaums|corn starch gluten free 397g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbaums|goldf chow mine noodles 221g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbaums|shehakol matzos gluten free 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbears|100th anniversary party hats edition 142g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbears|100th anniversary party hats edition 284g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbears|gummies pocket size 57g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbears|gummies share size 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbears|limited edition cherry gummies glutenfree 113g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbears|limited edition goldbears red white blue share size 113g|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldbears|original edition party size 204kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbelly|cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbelly|pinot noir reserve|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbelly|sauvignon blanc reserve|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldberg|goldberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|goldberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|goldberg|goldberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|goldberg|bitter lemon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|bitter lemon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|goldberg|bitter lemon sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|bitter lemon 24x 02 liter mehrweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|bitter lemon pet 12x 1 liter einweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|bitter lemon sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=197
W|goldberg|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldberg|indian hibisc sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|indian hibiscus tonic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|intense ginger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|intense ginger 02 sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|j heinrich|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|japanese yuzu tonic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|mediterranean|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|mediterranean tonic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|pink grapefruit sticle|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goldberg|pink grapefruit 24x 02 liter mehrweg|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goldberg|pink grapefruit sticle|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=210
W|goldberg|premium cola sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|premium cola sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|goldberg|reserve j heinrich|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldberg|riesling gg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldberg|riesling gg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=217
W|goldberg|riesling gg vdpgrosses gewachs|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldberg|riesling groes gewachs trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldberg|spicy wasabi sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|wild berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|wild berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=222
W|goldberg|wild berry sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|wild berry pet 12x 1 liter einweg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldberg|yuzu tonic sticle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbox|botella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbox|botellas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbrau|goldbrau|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldbrau|goldbrau|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=229
W|goldbrew|freeze dried 95gm jar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldcoated|popping candies|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldcrest|granadilla coulis 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldcrest|longkou premium vermicelli 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldcrest|longkou premium vermicelli 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldcrest|longkou premium vermicelli 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golddrink|mango sirup|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldeck|gruner veltliner white brut 12 075|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|goldeck|welschriesling trocken white brut 12 075|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|goldegg|chardonnay sudtirol doc|??|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|golden|golden|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
