W|giovanni|montisci cannonau barrosu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna torcoletti di semola all antica italien 3 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|perna torcoletti di semola all antica italien 6 x 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|pippione barolo bottiglia storica|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|puiatti pinot grigio friuli doc puiattino|it|w|pinot grigio|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giovanni|puiatti puiatti pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|quintarelli rosso del bepi veneto italy|it|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rana ravioli ham mozzarella 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rana ravioli tomato mozzarella 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rana tortellini ricotta spinach 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rana tortelloni porcini mushroom 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rana tortelloni with basil pinenuts pesto 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del comune di serralunga dalba|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|giovanni|rosso etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|giovanni|rosso etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|giovanni|rosso etna rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|giovanni|rosso etna rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|giovanni|rosso etna rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna white contrade nuove|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso barbera d alba|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=66
W|giovanni|rosso barbera dalba 12|??|r|barbera|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barbera dalba|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barbera dalba|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=70
W|giovanni|rosso barbera dalba doc donna margherita|??|r|barbera|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barbera dalba donna margherita|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|giovanni|rosso barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|giovanni|rosso barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=74
W|giovanni|rosso barolo berry bros rudd|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=80
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=62
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=84
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=86
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=92
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=94
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=94
W|giovanni|rosso barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=94
W|giovanni|rosso barolo cerretta docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo cerretta serralunga dalba docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo classic|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo classico|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo classico|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo commune di serralunga d alba docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del commune di serralunga dalba docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del comune di serralunga|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del comune di serralunga dalba|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del comune di serralunga dalba|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del comune di serralunga docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo del comune serralunga dalba|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=111
W|giovanni|rosso barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=114
W|giovanni|rosso barolo docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg cerretta|it|r|??|barolo|barolo|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg cerretta|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg cerretta|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg del comune di serralunga dalba|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg la serra|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg serra|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo docg serra|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=124
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=124
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=63
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=63
W|giovanni|rosso barolo la serra|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo la serra barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra|it|r|??|barolo|barolo|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serra serralunga dalba docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga|it|r|??|barolo|barolo|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga dalba|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga dalba|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=147
W|giovanni|rosso barolo serralunga dalba|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso barolo serralunga dalba del commune|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso bianco dop|??|w|??|??|??|2022|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso cerretta barolo docg|it|r|??|barolo|barolo|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso cerretta barolo docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso cerretta barolo docg italy|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso del comune di serralunga dalba barolo docg|it|r|??|barolo|barolo|2012|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso del comune di serralunga dalba barolo docg|it|r|??|barolo|barolo|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso docetto d alba|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giovanni|rosso donna margherita barbera|??|r|barbera|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso donna margherita barbera|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso donna margherita barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso donna margherita barbera dalba|??|r|barbera|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=162
W|giovanni|rosso etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=162
W|giovanni|rosso etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=162
W|giovanni|rosso etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=162
W|giovanni|rosso etna bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|giovanni|rosso etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=168
W|giovanni|rosso etna bianco doc|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso etna bianco pietra marina ester|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso etna bianco sicily|it|w|??|sicily|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=54
W|giovanni|rosso etna rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=58
W|giovanni|rosso etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=179
W|giovanni|rosso etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=179
W|giovanni|rosso etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso doc|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso etna rosso doc|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe doc nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe doc nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=187
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=192
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giovanni|rosso langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=195
W|giovanni|rosso langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2015|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso langhe nebbiolo piedmont|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso moscato dasti|??|r|moscato|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso nebbiolo langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso nebbiolo langhe doc|it|r|nebbiolo|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
