W|vino|opprimmerlot opt 34|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto graham s 20 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto graham s 10 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto fonseca tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto fonseca ruby|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto fonseca bin no27|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ferreira tawny superior 750 mlt 195|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ferreira tawny 195o 750 cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ferreira tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ferreira ruby|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ferreira blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ferreira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dows late bottled vintage 20|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dows fine tawny port 19|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dows 10 anos tawny port 20|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dow s fine white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dow s fine tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dow s fine ruby|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dona antonia reserva 30 anos|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|oporto dona antonia reserva 10 anos|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|oporto diamante mitjans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|opera prima verdejo opt34|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|op prima tinto bt34|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|op prima rosado bt34|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ontanon reserva 2005|??|r|??|??|??|2005|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ontanon reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ontanon crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ontanon antologia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|onomastica reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|onomastica reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|onomastica reserva 1981|??|r|??|??|??|1981|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|onom rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|onom blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|onom|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|onna negre ecologic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|onna malva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|onna blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|onix vi negre 1996|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 2005|??|r|??|??|??|2005|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 2004|??|r|??|??|??|2004|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1999|??|r|??|??|??|1999|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1996|??|r|??|??|??|1996|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1993|??|r|??|??|??|1993|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1991|??|r|??|??|??|1991|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1989|??|r|??|??|??|1989|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre reserva 1981|??|r|??|??|??|1981|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondarre magnum reserva 1996|??|r|??|??|??|1996|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ondalan reserva 2002|??|r|??|??|??|2002|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|omphalo vermentino di sardegna blanco|??|w|vermentino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|omega 2022 carmenere|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|omega 2022 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ombre collines rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ombre collines de la moure rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ombra blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ombra barrica|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oloroso lebrero pedro domecq|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|oliena ororosa 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oliena domina lunae 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ole de passion blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ole de aromas bobal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olbios nessuno 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olbios lupus in fabula vt 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olbios cangrande 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olbieta blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olbieta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|olas del sur rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=96
W|vino|olas del sur rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|olas del sur rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|olas del sur merlot botella|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=103
W|vino|olas del sur malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=103
W|vino|olas del sur chardonnay botella|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|olas del sur chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|olas del sur chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=107
W|vino|olas del sur carmenere botella|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=110
W|vino|olas del sur carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=110
W|vino|olas del sur cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=115
W|vino|olas del sur botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olas del sur bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olarra reserva especial 1975|??|r|??|??|??|1975|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|olarra reserva 1975|??|r|??|??|??|1975|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|olarra reserva 1975|??|r|??|??|??|1975|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=120
W|vino|olarra reserva 1973|??|r|??|??|??|1973|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|olarra reserva 1973|??|r|??|??|??|1973|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=122
W|vino|olarra gran reserva 1973|??|r|??|??|??|1973|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|olarra 1978|??|r|??|??|??|1978|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olarra 1973|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olarra 1970|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olaria tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|olaria rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|olaria blanco botella 750m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|okrus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oest|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell orzada merlot 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell orzada malbec 750cc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell orzada carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell orzada carignan 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell orzada carignan 2022 do maule x 3 botellas|cl|r|??|maule valley|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell orzada cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell capitulo flying fish red blend 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell armador sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|odfjell armador sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|odfjell armador merlot 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell armador merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell armador carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|odfjell armador carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=144
W|vino|odfjell armador cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oddero moscato dasti docg cl 75|??|r|moscato|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|doce
W|vino|oddero barolo bussia vigna mondoca riserva docg cl 75 2013|??|r|??|??|??|2013|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|od francuza papillon karbonix pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje rose x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ocucaje rose semi seco|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ocucaje oporto del abuelo botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje oporto del abuelo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje oporto del abuelo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=154
W|vino|ocucaje oporto del abuelo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=154
W|vino|ocucaje grand cru rose|??|p|??|??|??|NV|11.5|grand cru|medio|aperitivos; frutos do mar|??
W|vino|ocucaje grand cru rose|??|p|??|??|??|NV|11.5|grand cru|medio|aperitivos; frutos do mar|??|=157
W|vino|ocucaje fond de cave cabernet sauvignon malbec botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje fond de cave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje fond de cave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=160
W|vino|ocucaje fond de cave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=160
W|vino|ocucaje de misa santo grial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje borgona x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje borgona semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocucaje borgona semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=165
W|vino|ocucaje blanco semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocio pinot noir 2016|??|r|pinot noir|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa uva doble banco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa sobre lias blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa rosado de lagrima|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ochoa reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa reserva 1982|??|r|??|??|??|1982|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa gran reserva 1993|??|r|??|??|??|1993|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa gran reserva 1992|??|r|??|??|??|1992|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ochoa crianza origen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocho tierras syrah reserva privada 750cc|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ocho tierras syrah gran reserva 750cc|??|r|syrah|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ocho tierras ensamblaje cabernet sauvignon syrah 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocho tierras cabernet sauvignon reserva especial 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ocho millas sauvignon blanc 750cc x6 cu|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|ocho millas sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|ocho millas pinot noir 750cc x6 cu|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocho millas pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocho dos dos tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocean experiencias verdil|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ocean experiencias garnacha blanca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|occidente malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|obsequi de l emporda blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|obliqua ventisquero carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|obalo reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|obalo la encina crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o61 red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o61 red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=193
W|vino|o61 red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=193
W|vino|o61 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o61 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=196
W|vino|o tesouro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o luar do sil vides de corgo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o luar do sil tostado seadur blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o luar do sil lias blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o luar do sil godello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o luar do sil blanco magnum b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o luar do sil blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o fournier cfcscari 750c|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|o chan prieto pariente blanco x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuviana rosat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuviana blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuviana 2003|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuviana 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuviana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nutibara manzana 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nutibara manzana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nutibara cereza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|numina syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|numanthia 2003|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|numanthia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuit doree sec black ice edition botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuit doree rose demisec ice edition botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|demi-sec
W|vino|nuit doree blanco sec ice edition botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nuestro verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|nucleo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novo de belesar as londras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novellum crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novecento malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novecento cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novas stellar selection organico red blend 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novas stellar gran reserva organico cab sauvignon|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|novas riesling|??|w|riesling|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|novas red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novas pinot noir organico|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|novas gran reserva pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|novas gran reserva organico sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|novas gran reserva chardonnay 750cc|??|w|chardonnay|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|novas gran reserva carmenere 750cc|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|novas gran reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|novas chardonnay gran reserva|??|w|chardonnay|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|novas carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton select chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|norton select chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=239
W|vino|norton seleccion malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton seleccion chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|norton reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
