1. W|cantina sorbara|omaggio a gino friedmann lambrusco di sorbara brut|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
16. W|cantina terlan|a a lagrein riserva doc porphyr|it|r|lagrein|??|??|2013|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
17. W|cantina terlan|a a lagrein riserva doc porphyr|it|r|lagrein|??|??|2015|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
18. W|cantina terlan|a a lagrein riserva doc porphyr|it|r|lagrein|??|??|2017|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
19. W|cantina terlan|a a lagrein riserva doc porphyr|it|r|lagrein|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
20. W|cantina terlan|a a pinot bianco doc rarity|it|w|pinot bianco|??|??|2009|12.5|doc|leve|peixes, frutos do mar, saladas|seco
21. W|cantina terlan|a a pinot bianco doc rarity|it|w|pinot bianco|??|??|2010|12.5|doc|leve|peixes, frutos do mar, saladas|seco
22. W|cantina terlan|a a pinot bianco vorberg riserva doc|it|w|pinot bianco|??|??|2012|12.5|doc|leve|peixes, frutos do mar, saladas|seco
23. W|cantina terlan|a a sauvignon doc quarz|it|r|sauvignon|??|??|2019|13.5|doc|leve|carne vermelha, massas, queijos curados|seco
24. W|cantina terlan|a a sauvignon doc quarz|it|r|sauvignon|??|??|2020|13.5|doc|leve|carne vermelha, massas, queijos curados|seco
25. W|cantina terlan|a a siebeneich merlot riserva doc|it|r|merlot|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
26. W|cantina terlan|a a siebeneich merlot riserva doc|it|r|merlot|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
27. W|cantina terlan|a a terlaner doc rarity|it|r|??|??|??|1991|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
28. W|cantina terlan|a a terlaner i grande cuvee doc|it|r|??|??|??|2013|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
29. W|cantina terlan|a a terlaner i grande cuvee doc|it|r|??|??|??|2015|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
30. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2009|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
31. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2012|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
32. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2013|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
33. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2014|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
34. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2015|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
35. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
36. W|cantina terlan|a a terlaner nova domus riserva doc|it|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
37. W|cantina terlan|a a vorberg pinot bianco riserva doc|it|w|pinot bianco|??|??|2015|12.5|doc|leve|peixes, frutos do mar, saladas|seco
38. W|cantina terlan|alto adige kreuth chardonnay 2024 white|it|w|chardonnay|alto adige|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
39. W|cantina terlan|alto adige pinot bianco|it|w|pinot bianco|alto adige|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
40. W|cantina terlan|alto adige pinot bianco riserva vorberg 2022 white|it|w|pinot bianco|alto adige|??|2022|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
41. W|cantina terlan|alto adige terlaner 2024 white|it|w|??|alto adige|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
42. W|cantina terlan|alto adige tradition lagrein 2024 red|it|r|lagrein|alto adige|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
43. W|cantina terlan|alto adige tradition pinot grigio 2024 white|it|w|pinot grigio|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
44. X
45. W|cantina terlan|chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
46. W|cantina terlan|chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=45
47. W|cantina terlan|chardonnay bianco doc alto adige trocken weiwein|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
48. W|cantina terlan|chardonnay bianco doc alto adige trocken weiwein|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=47
49. W|cantina terlan|chardonnay bianco doc alto adige trocken weiwein|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=47
50. W|cantina terlan|chardonnay bianco doc alto adige trocken weiwein|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=47
51. W|cantina terlan|chardonnay doc|it|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
52. W|cantina terlan|chardonnay tradition|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
53. W|cantina terlan|cuvee terlaner|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|cantina terlan|cuvee terlaner|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=53
55. W|cantina terlan|cuvee terlaner 2023 alto adige doc|it|r|??|alto adige|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
56. W|cantina terlan|gewurztraminer|it|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
57. W|cantina terlan|gewurztraminer bianco doc alto adige weiwein trocken italien|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
58. W|cantina terlan|gewurztraminer bianco doc alto adige weiwein trocken italien|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco|=57
59. W|cantina terlan|gewurztraminer bianco doc alto adige weiwein trocken italien|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco|=57
60. W|cantina terlan|gewurztraminer doc|it|w|gewurztraminer|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
61. W|cantina terlan|gewurztraminer lunare|it|w|gewurztraminer|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
62. W|cantina terlan|gries lagrein doc riserva|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
63. W|cantina terlan|hausler st magdalener|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|cantina terlan|kreuth|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|cantina terlan|kreuth chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
66. W|cantina terlan|kreuth chardonnay doc|it|w|chardonnay|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
67. W|cantina terlan|lagrein doc|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
68. W|cantina terlan|lagrein doc|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=67
69. W|cantina terlan|lagrein gris doc alto adige rotwein wein trocken italien|it|r|lagrein|alto adige|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
70. W|cantina terlan|lagrein gris doc alto adige rotwein wein trocken italien|it|r|lagrein|alto adige|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=69
71. W|cantina terlan|lagrein gris doc alto adige rotwein wein trocken italien|it|r|lagrein|alto adige|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=69
72. W|cantina terlan|lagrein gris doc alto adige rotwein wein trocken italien|it|r|lagrein|alto adige|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=69
73. W|cantina terlan|lagrein rose|it|p|lagrein|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
74. W|cantina terlan|lunare|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|cantina terlan|lunare gewurztraminer doc|it|w|gewurztraminer|??|??|2018|12.5|doc|leve|peixes, frutos do mar, saladas|seco
76. W|cantina terlan|monticol pinot noir|it|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|cantina terlan|monticol pinot noir riserva|it|r|pinot noir|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
78. W|cantina terlan|muller thurgau alto adige|it|r|??|alto adige|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|cantina terlan|nova domus riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
80. W|cantina terlan|nova domus riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=79
81. W|cantina terlan|nova domus riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
82. W|cantina terlan|nova domus terlaner|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|cantina terlan|nova domus terlaner alto adige riserva|it|r|??|alto adige|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
84. W|cantina terlan|nova domus terlaner riserva doc|it|r|??|??|??|2017|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
85. W|cantina terlan|pinot bianco|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
86. W|cantina terlan|pinot blanc riserva vorberg terlano alto adige italy|it|w|??|alto adige|??|2022|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
87. W|cantina terlan|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
88. W|cantina terlan|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=87
89. W|cantina terlan|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=87
90. W|cantina terlan|pinot grigio doc|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
91. W|cantina terlan|pinot noir monticol riserva|it|r|pinot noir|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
92. W|cantina terlan|porphyr lagrein doc riserva|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
93. W|cantina terlan|quarz|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|cantina terlan|quarz|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|cantina terlan|quarz sauvignon blanc|it|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
96. W|cantina terlan|quarz sauvignon blanc 2018 magnum|it|w|sauvignon blanc|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
97. W|cantina terlan|rarity|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|cantina terlan|sauvignon winkl 135 sgr|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
99. W|cantina terlan|set 4 wines|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|cantina terlan|siebeneich merlot doc riserva|it|r|merlot|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
101. W|cantina terlan|sudtirol terlaner classico|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
102. W|cantina terlan|terlaner|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|cantina terlan|terlaner|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|cantina terlan|terlaner|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|cantina terlan|terlaner bianco doc alto adige weiwein|it|w|??|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
106. W|cantina terlan|terlaner bianco doc alto adige weiwein|it|w|??|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=105
107. W|cantina terlan|terlaner bianco doc alto adige weiwein|it|w|??|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=105
108. W|cantina terlan|terlaner bianco doc alto adige weiwein|it|w|??|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=105
109. W|cantina terlan|terlaner cuvee doc|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
110. W|cantina terlan|terlaner doc 0|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
111. W|cantina terlan|terlaner doc 1 magnum|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
112. W|cantina terlan|terlaner doc|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
113. W|cantina terlan|terlaner i grande cuvee|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|cantina terlan|terlaner i grande cuvee|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|cantina terlan|terlaner i primo grande cuvee doc|it|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
116. X
117. W|cantina terlan|tradition gewurztraminer|it|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
118. W|cantina terlan|vorberg|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|cantina terlan|vorberg pinot bianco|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
120. W|cantina terlan|vorberg pinot bianco riserva|it|w|pinot bianco|??|??|NV|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
121. W|cantina terlan|vorberg pinot bianco riserva|it|w|pinot bianco|??|??|NV|12.5|riserva|leve|peixes, frutos do mar, saladas|seco|=120
122. W|cantina terlan|vorberg pinot bianco riserva|it|w|pinot bianco|??|??|2022|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
123. W|cantina terlan|vorberg riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
124. W|cantina terlan|vorberg riserva pinot bianco|it|w|pinot bianco|??|??|2020|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
125. W|cantina terlan|weiburgunder doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
126. W|cantina terlan|weiburgunder doc alto adige weiwein trocken italien|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
127. W|cantina terlan|weiburgunder doc alto adige weiwein trocken italien|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=126
128. W|cantina terlan|weiburgunder doc alto adige weiwein trocken italien|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=126
129. W|cantina terlan|weiburgunder doc alto adige weiwein trocken italien|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=126
130. W|cantina terlan|winkl|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|cantina terlan|winkl|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|cantina terlan|winkl sauvignon|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
133. W|cantina terlan|winkl sauvignon blanc|it|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
134. W|cantina terlan|winkl sauvignon blanc|it|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=133
135. W|cantina terlan|winkl sauvignon blanc 1|it|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
136. W|cantina terlan|winkl sauvignon doc|it|r|sauvignon|??|??|2019|13.5|doc|leve|carne vermelha, massas, queijos curados|seco
137. W|cantina terlan|winkl sauvignon doc alto adige weiwein wein trocken italien|it|r|sauvignon|alto adige|??|NV|13.5|doc|leve|carne vermelha, massas, queijos curados|seco
138. W|cantina terlan|winkl sauvignon doc alto adige weiwein wein trocken italien|it|r|sauvignon|alto adige|??|NV|13.5|doc|leve|carne vermelha, massas, queijos curados|seco|=137
139. W|cantina terlan|winkl sauvignon doc alto adige weiwein wein trocken italien|it|r|sauvignon|alto adige|??|NV|13.5|doc|leve|carne vermelha, massas, queijos curados|seco|=137
140. W|cantina terlan|winkl sauvignon doc alto adige weiwein wein trocken italien|it|r|sauvignon|alto adige|??|NV|13.5|doc|leve|carne vermelha, massas, queijos curados|seco|=137
141. W|cantina terlano|terlano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|cantina terlano|alto adige chardonnay|it|w|chardonnay|alto adige|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
143. W|cantina terlano|alto adige pinot bianco rarity|it|w|pinot bianco|alto adige|??|2009|12.5|??|leve|peixes, frutos do mar, saladas|seco
144. W|cantina terlano|alto adige pinot bianco tradition|it|w|pinot bianco|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
145. W|cantina terlano|alto adige pinot grigio|it|w|pinot grigio|alto adige|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
146. W|cantina terlano|alto adige pinot grigio|it|w|pinot grigio|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
147. W|cantina terlano|alto adige sauvignon blanc quarz|it|w|sauvignon blanc|alto adige|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
148. W|cantina terlano|alto adige sauvignon blanc winkl|it|w|sauvignon blanc|alto adige|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
149. W|cantina terlano|alto adige terlan pinot bianco|it|w|pinot bianco|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
150. W|cantina terlano|alto adige terlaner cuvee|it|r|??|alto adige|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
151. W|cantina terlano|alto adige terlaner riserva nova dom|it|r|??|alto adige|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
152. W|cantina terlano|andriano lagrein|it|r|lagrein|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
153. W|cantina terlano|chardonnay kreut|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
154. W|cantina terlano|chardonnay kreuth alto adige terlano doc italia branco|it|w|chardonnay|alto adige|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
155. W|cantina terlano|cuvee 2019 italy|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
156. W|cantina terlano|cuvee 2020 italy|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
157. W|cantina terlano|cuvee terlaner 2021 italy|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
158. W|cantina terlano|cuvee terlaner|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
159. W|cantina terlano|cuvee terlaner 2024 half bottle|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
160. W|cantina terlano|cuvee terlaner alto adige doc|it|r|??|alto adige|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
161. W|cantina terlano|cuvee terlaner alto adige terlano doc italia branco|it|w|??|alto adige|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
162. W|cantina terlano|cuvee terlaner ita|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
163. W|cantina terlano|doc lunare gewurztraminer|it|w|gewurztraminer|??|??|2021|12.5|doc|leve|peixes, frutos do mar, saladas|seco
164. W|cantina terlano|gewurztraminer|it|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
165. W|cantina terlano|gewurztraminer|it|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=164
166. W|cantina terlano|gewurztraminer alto adige|it|w|gewurztraminer|alto adige|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
167. W|cantina terlano|gewurztraminer lunare|it|w|gewurztraminer|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
168. W|cantina terlano|gewurztraminer tradition|it|w|gewurztraminer|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
169. W|cantina terlano|gries lagrein riserva alto adige doc|it|r|lagrein|alto adige|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
170. W|cantina terlano|kellerei terlan kreuth terlano chardonnay|it|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
171. W|cantina terlano|lagrein gries riserva 2018 italy|it|r|lagrein|??|??|2018|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
172. W|cantina terlano|lagrein riserva porphyr|it|r|lagrein|??|??|2021|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
173. W|cantina terlano|lagrein rose|it|p|lagrein|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
174. W|cantina terlano|lagrein scuro|it|r|lagrein|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
175. W|cantina terlano|merlot riserva siebeneich|it|r|merlot|??|??|2021|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
176. W|cantina terlano|monticol pinot noir riserva 2019 italy|it|r|pinot noir|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
177. W|cantina terlano|muller thurgau|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
178. W|cantina terlano|nova domus riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
179. W|cantina terlano|nova domus riserva|it|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
180. W|cantina terlano|pinot bianco|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
181. W|cantina terlano|pinot bianco|it|w|pinot bianco|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
182. W|cantina terlano|pinot bianco alto adige 2024 white dry 13 075|it|w|pinot bianco|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
183. W|cantina terlano|pinot bianco alto adige terlaner vorberg riserva|it|w|pinot bianco|alto adige|??|2019|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
184. W|cantina terlano|pinot bianco riserva vorberg|it|w|pinot bianco|??|??|2021|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
185. W|cantina terlano|pinot bianco vorberg|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
186. W|cantina terlano|pinot bianco vorberg riserva alto adige doc|it|w|pinot bianco|alto adige|??|2021|12.5|doc|leve|peixes, frutos do mar, saladas|seco
187. W|cantina terlano|pinot bianco vorberg riserva alto adige doc|it|w|pinot bianco|alto adige|??|2022|12.5|doc|leve|peixes, frutos do mar, saladas|seco
188. W|cantina terlano|pinot blanc vorberg riserva|it|w|??|??|??|2022|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
189. W|cantina terlano|pinot grigio 2020 italy|it|w|pinot grigio|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
190. W|cantina terlano|pinot grigio 2021 italy|it|w|pinot grigio|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
191. W|cantina terlano|pinot grigio 2022 italy|it|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
192. W|cantina terlano|pinot grigio 2022 trentinoalto adige wine italy|it|w|pinot grigio|alto adige|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
193. W|cantina terlano|pinot grigio 2023 6 bottle case|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
194. W|cantina terlano|pinot grigio 2023 italy|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
195. W|cantina terlano|pinot grigio 2023 tradition wine|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
196. W|cantina terlano|pinot grigio 2024 italy|it|w|pinot grigio|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
197. W|cantina terlano|pinot grigio alto adige doc|it|w|pinot grigio|alto adige|??|2024|12.5|doc|leve|peixes, frutos do mar, saladas|seco
198. W|cantina terlano|pinot grigio alto adige italy|it|w|pinot grigio|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
199. W|cantina terlano|pinot grigio tradition vit|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
200. W|cantina terlano|pinot nero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
201. W|cantina terlano|pinot nero|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
