W|arindo|shaya|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinto dos acores|2023|??|w|arinto|??|??|2023|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|2024|??|w|arinto|??|??|2024|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|2024|??|w|arinto|??|??|2024|12.5|??|leve|frutos do mar, saladas, queijos|seco|=31
W|arinto dos acores|2024|??|w|arinto|??|??|2024|12.5|??|leve|frutos do mar, saladas, queijos|seco|=31
W|arinto dos acores|azoren portugal 2015|??|w|arinto|??|??|2015|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|branco 2018 2a edicao|??|w|arinto|??|??|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|branco 2019|??|w|arinto|??|??|2019|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|branco 2023 dopico|??|w|arinto|??|??|2023|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|by antonio macanita|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|by antonio macanita 2a edicao white 2018|??|w|arinto|??|??|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|by antonio macanita pico do 2019|??|w|arinto|??|??|2019|12.5|do|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|by macanita branco 2019|??|w|arinto|??|??|2019|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|do pico|??|w|arinto|??|??|NV|12.5|do|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|garrafeira|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|oferta|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|solera branco|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|solera branco|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=45
W|arinto dos acores|sur lies|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|sur lies 2020|??|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|sur lies 2023|??|w|arinto|??|??|2023|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|sur lies 3 colheitas by antonio macanita|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|sur lies 3 colheitas nv|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|sur lies branco 2020|??|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|terroir vulcanico|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|e fernao pires 2018|??|w|arinto|??|??|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|oak aged lisbona casa santos lima|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|ou chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|reserva branco|??|w|arinto|??|??|NV|12.5|reserva|leve|frutos do mar, saladas, queijos|seco
W|arinto|vinho regional lisboa|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|vinho verde casal de ventozela|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|vr lisboa 2022|??|w|arinto|??|??|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arintofernao|pires 2021 quinta do casal monteiro|??|w|??|??|??|2021|12.5|do|leve|frutos do mar, saladas, queijos|seco
W|arinzano|2010 pago de arinzano la casona|es|r|??|??|??|2010|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|chardonnay hacienda|es|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinzano|gran vino|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|gran vino blanco|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|gran vino blanco|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=65
W|arinzano|gran vino tinto|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|grand vino red 2014|es|r|??|??|??|2014|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|grand vino red 6b|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda chardonnay|es|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinzano|hacienda chardonnay|es|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=70
W|arinzano|hacienda de arinzano|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda de arinzano blanco vino de pago 2020|es|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda de arinzano tempranillo|es|r|tempranillo|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda de arinzano tempranillo 2019|es|r|tempranillo|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda de arinzano tinto vino de pago 2018 spain|es|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda red|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda red|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=77
W|arinzano|hacienda red|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=77
W|arinzano|hacienda temp tinto 2019|es|r|??|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|hacienda white|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano la casona|casona|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano la casona|casona|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=82
W|arinzano la casona|casona|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=82
W|arinzano la casona|casona|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=82
W|arinzano la casona|casona|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=82
W|arinzano la casona|2010|es|r|??|??|??|2010|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano la casona|2015|es|r|??|??|??|2015|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano la casona|2015|es|r|??|??|??|2015|13.5|??|medio|carnes, massas, queijos|seco|=88
W|arinzano la casona|red|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano la casona|red|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=90
W|arinzano|merlot|es|r|merlot|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|merlot 2018|es|r|merlot|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|merlot 2019|es|r|merlot|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|merlot agricultura biologica|es|r|merlot|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|merlot biologico|es|r|merlot|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|pago de arinzano blanco hacienda|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|pago de arinzano la casona|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|pago de arinzano tinto gran vino|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|pago de arinzano tinto gran vino 12 bottles|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|pago de arinzano tinto gran vino 12 bottles|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=100
W|arinzano|pago de arinzano tinto hacienda|es|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|rose|es|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|arinzano|rose tempranillo hacienda|es|p|tempranillo|??|??|NV|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|arinzano|tempranillo|es|r|tempranillo|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|vino de pago hacienda de arinzano rose|es|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|arinzano|vino de pago hacienda de arinzano tempranillo|es|r|tempranillo|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arinzano|vino de pago hacienda de arinzano tempranillo|es|r|tempranillo|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=107
W|ario|olio evo bio mastroberardino 20252026 astucciato|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|ario|prosecco conegliano valdobbiadene superiore docg extra dry bio|??|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, queijos|demi-sec
W|ariobarzanes|the warrior|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arion|arion|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arion|arion|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=112
W|arion|by chateau moulin de clotte castillon cotes de bordeaux 2018|??|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|arion|cabernet sauvignon|??|w|cabernet sauvignon|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arion|carbenet|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arion|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arion|e|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arion|m|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arion|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arion|wines in box|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|1997 barolo|??|r|??|??|??|1997|13.5|??|medio|carnes, massas, queijos|seco
W|arione|2021 barolo biologico|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|arione|asti spumante moscato|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, queijos|brut
W|arione|barbera asti docg|??|r|??|??|??|NV|13.5|docg|medio|carnes, massas, queijos|seco
W|arione|barolo|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|bianco no label 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|bianco wszyscy swieci 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|brachetto|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|brachetto spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, queijos|brut
W|arione|hup bianco 0 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|hup bianco alkoholiton kuohuviini|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|hup rosso alkoholiton kuohuviini|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|mama lemon cocktail 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|mama mango cocktail 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|mamamango nv moscato italy|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|metodo classico brut nature 2018 muni daniele piccinin|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, queijos|brut nature
W|arione|moscato asti|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|moscato asti|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=138
W|arione|moscato d asti hup 0 alcohol free|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|moscato d asti sgiorgio|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|moscato dasti|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|moscato dasti 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|moscato dasti docg san giorgio|??|r|??|??|??|NV|13.5|docg|medio|carnes, massas, queijos|seco
W|arione|moscato dasti docg san giorgio hup 0|??|r|??|??|??|NV|13.5|docg|medio|carnes, massas, queijos|seco
W|arione|moscato dasti la signiora|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|nv spritz alcohol free|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|roero arneis roretto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|arione|rustichetto bianco|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz cocktail 0 0|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz fara alcool|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz non alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz ready to drink can|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spritz ready to drink zero|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arione|spumante mama peach|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, queijos|brut
W|arios|aguafuerte vinho verde|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arios|aguafuerte vinho verde|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=158
W|arios|loureiro aguafuerte 2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|arioso|2024|??|r|??|??|??|2024|13.5|??|medio|carnes, massas, queijos|seco
W|arioso|bianco 2021|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|arioso|dornfelder|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arioso|dornfelder aoc la cote|??|r|??|??|??|NV|13.5|aoc|medio|carnes, massas, queijos|seco
W|ariousios|afstiros|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|ariousios|afstiros 2016|??|r|??|??|??|2016|13.5|??|medio|carnes, massas, queijos|seco
W|ariousios|afstiros 2016|??|r|??|??|??|2016|13.5|??|medio|carnes, massas, queijos|seco|=166
W|ariousios|chora 2021|??|r|??|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|ariousios|greek islands white 2022|??|r|??|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|ariousios|rose 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|aripa de curcan|la cuptor|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripa de curcan|pu cuptor camara|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi|16 buc|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|cg 15kg cocorico|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|cg tavita avicola focsani|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|cu os si piele cg tavita vanbet|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|pane nepicante cg1kg food point|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|pane picante cg 1kg food point|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|pg cg|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|pg cg avicola focsani|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi de pui|premium gold|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi|pui marinate sam goods|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi|pui picante marinate|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripi|pui prime iof cg5kg cocorico|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|cu cartofi taranesti|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare de pui|pui|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare de pui|crispy nepicante 1kg la masa|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare de pui|cu cartofi fri|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare de pui|marinate coapte la cuptor 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare de pui|marinate pu grill camara|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare de pui|picante 1kg la masa|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|din pui cu susan la cuptor 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare in sos|de tamarind|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|picante|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|picante 200g cristim|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|prajite in melanj de usturoi 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|pui|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aripioare|sweetchili|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arir|samppanjapullonsulkija|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aris|arcuri sergio|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|aris|ciro doc gaglioppo 2017 sergio arcuri|??|r|??|??|??|2017|13.5|doc|medio|carnes, massas, queijos|seco
W|aris|ciro rosso classico superiore riserva doc 2020|??|r|??|??|??|2020|13.5|doc|medio|carnes, massas, queijos|seco
W|aris|riserva 2018|??|r|??|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|aris|riserva 2020|??|r|??|??|??|2020|13.5|??|medio|carnes, massas, queijos|seco
W|arisa|bournibus|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|ariscona|imperial apa|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|ariscona|original blonde|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|ariscona|smoked irish red|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arise|baby cleansing wipes and diapers inserts 100 g|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arise|hand body wash|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arise|hand body wash|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=210
W|arise|hand body wash refill|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arista|19 banfield russian river chardonnay 2019|us|w|chardonnay|california|russian river valley|2019|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|20 banfield russian river chardonnay 2020|us|w|chardonnay|california|russian river valley|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|20 banfield russian river chardonnay table white|us|w|chardonnay|california|russian river valley|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|20 russian river chardonnay 2020|us|w|chardonnay|california|russian river valley|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|21 ferrington anderson valley pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|arista|21 russian river chardonnay 2021|us|w|chardonnay|california|russian river valley|2021|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|21 russian river pinot noir table red|us|r|pinot noir|california|russian river valley|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arista|22 el diablo russian river chardonnay 2022|us|w|chardonnay|california|russian river valley|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|22 lucky well russian river pinot noir 2022|us|r|pinot noir|california|russian river valley|2022|13.5|??|medio|carnes, massas, queijos|seco
W|arista|22 ritchie russian river chardonnay 2022|us|w|chardonnay|california|russian river valley|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|22 ritchie russian river chardonnay table white|us|w|chardonnay|california|russian river valley|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|22 russian river pinot noir 2022|us|r|pinot noir|california|russian river valley|2022|13.5|??|medio|carnes, massas, queijos|seco
W|arista|arrosto salumificio mancini 500g 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arista|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|chardonnay ritchie vineyard|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|chardonnay ritchie vineyard 2020|??|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|chardonnay russian river valley|us|w|chardonnay|california|russian river valley|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|chardonnay russian river valley 2021|us|w|chardonnay|california|russian river valley|2021|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista di suino|nostrano alle erbe|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arista|el diablo vineyard chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|ferrington vineyard pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir harpers rest 2014|??|r|pinot noir|??|??|2014|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir kanzler 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir reuling 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir rrv|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir russian river valley 2011|us|r|pinot noir|california|russian river valley|2011|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir toboni vineyard 2018|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir two birds estate 2014|??|r|pinot noir|??|??|2014|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir uv 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|arista|pinot noir uv lucky well 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes, massas, queijos|seco
W|arista|ritchie vineyard chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|russian river valley chardonnay 2018|us|w|chardonnay|california|russian river valley|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arista|russian river valley chardonnay 2018|us|w|chardonnay|california|russian river valley|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco|=246
W|arista|russian river valley chardonnay 2018|us|w|chardonnay|california|russian river valley|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco|=246
