W|lapiceras|eco touch de bamboo elliot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|dalia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|brezo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|bora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|aura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|altea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|alerce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapicera|acero silver|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapical|pararoques ancestral|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphyllante|laphyllante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphyllante|laphyllante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=53
W|laphroig|18 yo 48|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|laphroiaig|querqus alba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphroiag|select cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphroiag|select cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=58
W|laphroiag|25 yrs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphrodisiaque|v16|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphrodisiaque|tinto mencia|??|r|mencia|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphrodisiaque|nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphrodisiaque|lv18|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphrodisiaque|lv17|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphrodisiaque|champagne david leclapart|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|laphrodisiaque|blanco godello|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphroaigh|25 yo 534|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphroaigh|20yo the single malts of scotland directors special|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphroag|qtr cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laphraoig|10 year old|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapeyre|jurancon sec branco|fr|r|??|jura|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapeyre|jurancon sec|fr|r|??|jura|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapeyre|jurancon sec|fr|r|??|jura|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=73
W|lapeyre|jurancon sec vitatge vielh|fr|r|??|jura|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapeyere|jurancon sec|fr|r|??|jura|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapesanteur|rose|??|p|??|??|??|2023|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lapesanteur|les terres promises var|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapesanteur|lapesanteur|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapero|vin mousseux anne et jeanfrancois ganevat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapero|vin de france blanc anne et jeanfrancois ganevat|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapero|box la bouteille de bulles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapero|a prix tout doux 6 bouteilles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapero|a prix tout doux 6 bouteilles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=83
W|lapero|a prix tout doux 6 bouteilles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=83
W|lapero|lapero|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapero|lapero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|spritz ready to drink 68|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|nonino mignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|nonino distillerie nonino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|nonino botanicaldrink nonino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|nonino botanical drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|nonino botanical drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=92
W|laperitivo|nonino botanical drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=92
W|laperitivo|nonino botanical drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=92
W|laperitivo|nonino botanical drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=92
W|laperitivo|nonino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|nonino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=97
W|laperitivo|botanical drink nonino 21 005|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|botanical drink nonino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|botanical drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|barbaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|laperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laperitivo|laperitivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=103
W|laperitif|n1 finote|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|laperitif du|chuchal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapela do|noivo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laped|wonder paste ready to roll fine rolled fondant white 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laped|super ice instant royal icing powder 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laped|ready to use quick cream fondant 5kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laped|pannamix whipping cream stabilizer 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laped|my mousse ready to use strawberry mousse powder 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laped|my mousse ready to use original mousse powder 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
X
X
W|laped|cream instant eggless pastry cream mix 1kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lapazio|lapazio|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|tetris mtsvane|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|tetris mtsvane|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|super ravi saperavi|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|super ravi saperavi|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|super ravi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|kidev erti tavkveri|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|kidev erti rkatsiteli|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|kidev erti rkatsiteli|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|kidev erti chinuri|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|chaku rkatsiteli|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|chakalix rkatsiteli|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati wines|chakalix|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|tetris|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|tetris|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|super ravi saperavi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|super ravi|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|super ravi|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|super ravi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|rose brut|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lapati|kidev erti rose brut|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lapati|kidev erti amber brut|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lapati|erti extra brut|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|lapati|chaku|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|chakalix rkatsiteli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapati|chacalix|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapantheon|lapantheon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapandery|cote roannaise vieilles vignes reserve|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalus|bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|vdf alma mater|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|eau forte|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|cote de brouilly|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|brouilly vv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|brouilly vieilles vignes|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|beaujolaisvillages vieilles vignes|fr|r|??|beaujolais|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|beaujolais nouveau 115|fr|r|??|beaujolais|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|beaujolais nouveau|fr|r|??|beaujolais|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|beaujolais nouveau|fr|r|??|beaujolais|??|2025|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=155
W|lapalu|beaujolais nouveau|fr|r|??|beaujolais|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|alma mater|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|cote de brouilly|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|brouilly la croix des rameaux|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|brouilly vieilles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|beaujolaisvillages vieilles vignes|fr|r|??|beaujolais|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapalu|cote de brouilly|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapaisee|quadruvium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapaisee la|pointe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapaisee la|jonquille|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapadas|rose gazeifie|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lapadas|blanc gazeifie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapaco|dinner napkiin 1 8 fold 2 play 1715 5 200pk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapacho|nature arbre de vie 100g jardins de gaia bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapacho|lapacho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapaccio|primitivo salento igt|??|r|primitivo|??|??|2024|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lapaccio|primitivo salento igt|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lapaccino|villa borghetti pasqua|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|vinho tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gavioes tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes tinto|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes escolha alentejo tinto|pt|r|??|alentejo|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes branco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes alentejo tinto joao barbosa 075|pt|r|??|alentejo|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes alentejo tinto|pt|r|??|alentejo|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lapa|dos gaivoes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoury|bolgheri superiore doc lasorgiva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laougue|tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laougue|pacherenc du vicbilh pacherenc|??|r|??|??|??|1991|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laougue|loree|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laougue|l arbison|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laougue|camy|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laougue|laougue|??|r|??|??|??|1958|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoudia|santorini in anfora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoudia|santorini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laotian|bamboo basket s 1x40pcs th|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laotian|bamboo basket l 1x20pcs th|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|laosa|vinos trasto rosado|??|p|??|??|??|2022|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laosa|vinos trasto blanco|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|vinos polar|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|vinos pardo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|vinos grizzly|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|vinos finca el barranco|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|vinos el mismo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|trasto rosado castilla y leon|es|p|??|castilla|??|2024|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laosa|trasto blanco albarin|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|tierra de leon prieto picudo trasto rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|laosa|albarin blanco trasto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laosa|albarin blanco trasto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=206
W|laori|ruby no 4 alkoholfreier aperitif|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laori|juniper no 1 wacholder kreation alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laori|berry no 6 alkoholfreier aperitif|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laori|berry no 06 aperitif alternative|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laori|amalfi no 3 alkoholfreier aperitif|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laori|amalfi no 03 aperitif alternative|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoreano|gomes malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|laoganma|spicy chilli crisp 210g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laodi|45|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laodi|laodi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoban|lightersims|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoban|lighter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoban|fashion lightersims|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|laoban|fashion lighter|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lao|tan jiu 53 53|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
X
X
W|lao|gan ma black beans 280g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lao|cai cooking wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanzur|shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|shiraz 16|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lanzur|sauvignon blanc 16|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lanzur|reserva pinot noir|??|r|pinot noir|??|??|2021|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lanzur|reserva pinot noir 20|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lanzur|reserva malbec 1718|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|merlot|??|r|merlot|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanzur|merlot 16|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanzur|chardonnay 16|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lanzur|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lanzur|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=239
W|lanzur|carmenere 14|??|r|carmenere|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|cabernet sauvignon m|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|cabernet sauvignon 18|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzur|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lanzones|wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanzier|rueda|es|r|??|rueda|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanzerac|wine estate pinotage|??|r|pinotage|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
