1. W|cantine povero|moscato dasti 2022 bottle|it|w|moscato|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
27. W|cantine pra|cru monte grande soave classico veneto italy 2020 case|it|r|??|veneto|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
28. W|cantine pra|monte grande soave classico|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
29. W|cantine pra|monte grande soave classico|it|r|??|??|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
30. W|cantine pra|monte grande soave classico superiore doc 2021 12 bottles|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
31. W|cantine pra|morandina valpolicella superiore ripasso veneto italy|it|r|??|veneto|??|2019|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
32. W|cantine pra|morandina valpolicella superiore veneto italy|it|r|??|veneto|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
33. W|cantine pra|morandina valpolicella superiore veneto italy 2023 case|it|r|??|veneto|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
34. W|cantine pra|otto soave classico|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
35. W|cantine pra|soave classico otto|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
36. W|cantine pra|soave classico otto doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
37. W|cantine pra|soave classico otto doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=36
38. W|cantine pra|soave classico otto doc|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
39. W|cantine pra|soave classico otto doc|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=38
40. W|cantine pra|soave classico otto doc|it|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
41. W|cantine pra|soave classico otto doc 2024 12 pack a bottle|it|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
42. W|cantine pra|staforte soave classico veneto italy|it|r|??|veneto|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
43. W|cantine pra|valpolicella la morandina doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
44. W|cantine pra|valpolicella la morandina doc 2021 12 bottles|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
45. W|cantine pra|valpolicella la morandina doc|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
46. W|cantine produttori|nebbiolo di carema carema classico doc|it|r|nebbiolo|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
47. W|cantine produttori|nebbiolo di carema carema riserva doc|it|r|nebbiolo|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
48. W|cantine pupillo|re federico doc sicilia nero davola premium sicilian red|it|r|nero davola|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
49. W|cantine quartomoro|orriu|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|cantine quartomoro|sulle bucce|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|cantine raina|campo di raina|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|cantine raina|grechetto|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|cantine raina|montefalco rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|cantine raina|rosso della gobba|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|cantine raina|trebbiano|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|cantine rallo|al qasar zibibbo sicily italy|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|cantine rallo|av01 catarratto orange sicily italy|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|cantine rallo|bianco maggiore|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
59. W|cantine rallo|bianco maggiore grillo|it|w|grillo|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
60. W|cantine rallo|bianco maggiore grillo sicily italy|it|w|grillo|sicily|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
61. W|cantine rallo|bummaru nerello mascalese|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|cantine rallo|ciello bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
63. W|cantine rallo|ciello bianco 100 catarratto sicily italy|it|w|??|sicily|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
64. W|cantine rallo|ciello bianco sicily italy|it|w|??|sicily|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
65. W|cantine rallo|ciello rosso 100 nero davola sicily italy|it|r|nero davola|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|cantine rallo|ciello rosso|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|cantine rallo|ciello rosso nero davola sicily italy|it|r|nero davola|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|cantine rallo|ciello rosso sicily|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|cantine rallo|evro insolia|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|cantine rallo|evro sicily italy|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|cantine rallo|il manto sicily italy|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|cantine rallo|maremosso|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. X
74. W|cantine rallo|soleras 20 yr old marsala sicily italy|it|f|??|sicily|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
75. W|cantine rallo|tule|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|cantine rallo|tule bianco cataratto|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
77. W|cantine rallo|tule rosso nero davola|it|r|nero davola|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|cantine rallo|vicoletto catarratto sicily italy|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
79. W|cantine renzo|cornioleta chianti|it|r|??|chianti|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
80. W|cantine renzo|cornioleta chianti|it|r|??|chianti|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=79
81. W|cantine renzo|masi contrappasso toscana rosso igt tuscany italy|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
82. W|cantine riondo|casalforte soave veneto italy|it|r|??|veneto|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
83. W|cantine riondo|castelforte corvina verona rosso|it|r|corvina|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
84. W|cantine riondo|castelforte valpolicella classico superiore|it|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
85. W|cantine riondo|monte forte pinot grigio|it|w|pinot grigio|??|??|2023|12.5|do|leve|peixes, frutos do mar, saladas|seco
86. W|cantine riondo|organic spumante brut organic 6 bottle case|it|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
87. W|cantine riondo|prosecco nv|it|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
88. W|cantine riondo|prosecco veneto italy|it|s|??|veneto|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
89. W|cantine riondo|spumante brut|it|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
90. W|cantine risveglio|gio primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
91. W|cantine risveglio|simposio primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
92. W|cantine riunite|lambrusco bianco dolce weiwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
93. W|cantine riunite|lambrusco bianco dolce weiwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=92
94. W|cantine riunite|lambrusco bianco dolce weiwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=92
95. W|cantine riunite|lambrusco dolce rotwein perlwein wein suss magnum italien 1 x 1|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
96. W|cantine riunite|lambrusco dolce rotwein perlwein wein suss magnum italien 12 x 1|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
97. W|cantine riunite|lambrusco dolce rotwein perlwein wein suss magnum italien 3 x 1|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
98. W|cantine riunite|lambrusco dolce rotwein perlwein wein suss magnum italien 6 x 1|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
99. W|cantine riunite|lambrusco emilia igt rosato rosewein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut
100. W|cantine riunite|lambrusco emilia igt rosato rosewein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut|=99
101. W|cantine riunite|lambrusco emilia igt rosato rosewein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut|=99
102. W|cantine riunite|lambrusco emilia igt rosso rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut
103. W|cantine riunite|lambrusco emilia igt rosso rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut|=102
104. W|cantine riunite|lambrusco emilia rosso dolce rotwein wein su italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
105. W|cantine riunite|lambrusco emilia rosso dolce rotwein wein su italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=104
106. W|cantine riunite|lambrusco emilia rosso dolce rotwein wein su italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=104
107. W|cantine riunite|lambrusco frizzante emilia igt rosso rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut
108. W|cantine riunite|lambrusco frizzante emilia igt rosso rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut|=107
109. W|cantine riunite|lambrusco frizzante emilia igt rosso rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut|=107
110. W|cantine riunite|lambrusco rosso bio rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
111. W|cantine riunite|lambrusco rosso bio rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=110
112. W|cantine riunite|lambrusco rosso bio rotwein wein lieblich italien|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=110
113. W|cantine romagnoli|gutturnio superiore linea palazzo premium red wine from colli piacentini|it|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
114. W|cantine romano|dogliotti barbera|it|r|barbera|??|??|1974|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
115. W|cantine romano|dogliotti barbera|it|r|barbera|??|??|1974|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=114
116. W|cantine romano|dogliotti barbera|it|r|barbera|??|??|1974|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=114
117. W|cantine ronchetto|gattinara|it|r|??|??|??|1974|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|cantine rosa|del golfo scaliere rod|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|cantine ruggiero|nastizza|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|cantine ruggiero|nsisto|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|cantine russo|contrada crasa cru etna doc rosso|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
122. W|cantine russo|etna bianco crasa 12750|it|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
123. W|cantine russo|etna rosso crasa 12750|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cantine russo|luce di lava etna bianco sicilia 2019 white dry 125 075|it|w|??|sicilia|??|2019|12.5|ava|medio|peixes, frutos do mar, saladas|seco
125. W|cantine russo|luce di lava etna doc bianco|it|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
126. W|cantine russo|luce di lava etna doc rosso|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
127. W|cantine russo|luce di lava etna rosso|it|r|??|??|??|2019|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
128. W|cantine sacchetto|linea 071 merlot igt|it|r|merlot|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
129. W|cantine sacchetto|linea 071 pinot grigio doc|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
130. W|cantine salizzoni|castel beseno|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
131. W|cantine salizzoni|voi|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
132. W|cantine salvatore|rutilia tintilia del molise doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
133. W|cantine san|gaudenzio moscato dasti|it|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
134. W|cantine san|gaudenzio moscato dasti|it|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=133
135. W|cantine san|giorgio strabone primitivo salento|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
136. W|cantine san|marzano 2023 tramari rose di primitivo salento igp|it|p|primitivo|??|??|2023|12|igp|leve|carne vermelha, massas, queijos curados|seco
137. W|cantine san|marzano 60 sessantanni old vines primitivo di manduria|it|r|primitivo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
138. W|cantine san|marzano 62 anniversario primitivo di manduria riserva|it|r|primitivo|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
139. W|cantine san|marzano anniversario 62 primitivo di manduria|it|r|primitivo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
140. W|cantine san|marzano anniversario 62riserva primitivo di manduria|it|r|primitivo|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
141. W|cantine san|marzano collezione cinquanta|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|cantine san|marzano edda|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|cantine san|marzano edda bianco salento|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
144. W|cantine san|marzano edda lei bianco salento igp|it|w|??|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
145. W|cantine san|marzano edda vit|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
146. W|cantine san|marzano il pumo|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
147. W|cantine san|marzano il pumo malvasia bianca sauvignon salento|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
148. W|cantine san|marzano il pumo malvasia sauvignon salento igp|it|r|sauvignon|??|??|NV|13.5|igp|leve|carne vermelha, massas, queijos curados|seco
149. W|cantine san|marzano il pumo primitivo salento igp|it|r|primitivo|??|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
150. W|cantine san|marzano il pumo rosso salento igp|it|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
151. W|cantine san|marzano il pumo salice salentino dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
152. W|cantine san|marzano il pumo sauvignon malvasia|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
153. W|cantine san|marzano liboll rose vino spumante extra dry nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
154. W|cantine san|marzano liboll vino spumante extra dry nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
155. W|cantine san|marzano primitivo di manduria sud|it|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
156. W|cantine san|marzano primitivo di manduria talo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
157. W|cantine san|marzano primitivo i tratturi|it|r|primitivo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
158. W|cantine san|marzano primitivo puglia domodo|it|r|primitivo|puglia|??|2023|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
159. W|cantine san|marzano salento edda lei bianco|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
160. W|cantine san|marzano salice salentino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
161. W|cantine san|marzano salice salentino rose di primitivo tramari|it|p|primitivo|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
162. W|cantine san|marzano sessantanni primitivo di manduria|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
163. W|cantine san|marzano sessantanni primitivo di manduria doc|it|r|primitivo|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
164. W|cantine san|marzano sessantanni primitivo di manduria old vines 2020 12 bottle|it|r|primitivo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
165. W|cantine san|marzano talo fiano salento igp|it|w|??|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
166. W|cantine san|marzano talo malvasia nera salento igp|it|r|malvasia nera|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
167. W|cantine san|marzano talo malvasia nera salento igp|it|r|malvasia nera|??|??|2023|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
168. W|cantine san|marzano talo nero di troia puglia igt|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
169. W|cantine san|marzano talo primitivo|it|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
170. W|cantine san|marzano talo primitivo di manduria dop|it|r|primitivo|??|??|NV|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
171. W|cantine san|marzano talo salice salentino dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
172. W|cantine san|marzano talo verdeca|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
173. W|cantine san|marzano talo verdeca puglia igp|it|r|??|puglia|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
174. W|cantine san|marzano timo vermentino|it|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
175. W|cantine san|marzano timo vermentino 2024 case|it|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
176. W|cantine san|marzano timo vermentino salento igp|it|w|vermentino|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
177. W|cantine san|marzano tramari rose di primitivo|it|p|primitivo|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
178. W|cantine san|marzano tramari rose di primitivo igt puglia|it|p|primitivo|puglia|??|NV|12|igt|leve|carne vermelha, massas, queijos curados|seco
179. W|cantine san|marzano tramari rose di primitivo salento|it|p|primitivo|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
180. W|cantine san|marzano tramari rose di primitivo salento igp|it|p|primitivo|??|??|NV|12|igp|leve|carne vermelha, massas, queijos curados|seco
181. W|cantine san|matteo barbera dasti|it|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
182. W|cantine san|silvestro barolo patres|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
183. W|cantine san|silvestro patres barolo docg 2014 italy|it|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
184. W|cantine santadi|antigua|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
185. W|cantine santadi|grotta rossa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
186. W|cantine santadi|pedraia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
187. W|cantine santadi|rocca rubia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
188. W|cantine santadi|tre torri|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
189. W|cantine santadi|villa solais|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
190. W|cantine santagata|baby barbera dasti|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
191. W|cantine santagata|gavi ciarea|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
192. W|cantine santagata|grignolino dasti miravalle|it|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
193. W|cantine santagata|na vota ruche|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
194. W|cantine santi|nobile barocco appassimento igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
195. W|cantine santi|nobile camasella appassimento puglia igt|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
196. W|cantine santi|nobile dark spy igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
197. W|cantine santi|nobile francesco toscana rosso igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
198. W|cantine santi|nobile lm94 alberone siciliane igp|it|r|??|sicilia|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
199. W|cantine santi|nobile lm96 rosso di notte igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
200. W|cantine sartirano|san silvestro appassimento piemonte barbera passito doc|it|d|barbera|piemonte|??|NV|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
201. W|cantine sartirano|san silvestro barolo riserva doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
202. W|cantine sartirano|san silvestro gavi del comune di gavi doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
203. W|cantine sartirano|san silvestro monferrato chiaretto doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
204. W|cantine sartirano|san silvestro piemonte barbera doc|it|r|barbera|piemonte|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
205. W|cantine sasso|aglianico|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
206. W|cantine scrimaglio|barbaresco|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
